UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PBDS,PBDS CANDIDATE,PBDS CANDIDATE SEX,PBDS CANDIDATE AGE,PBDS VOTE,PBDS  CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P.141_N. 21,SARAWAK,P.141,SARATOK,N. 21,KALAKA,KALAKA,BN - PBB,,8222,2773,77.33,6358,137,6221,PBB,WAN YUSOF BIN TUN DATUK PATINGGI TUANKU HJ. BUJANG,MALE,,3828,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,MOHD. RAMLI BIN HJ OMAR,MALE,,1055,,INDEPENDENT - UMBRELLA,OTHMAN BIN KAWI,MALE,,120,LOST DEPOSIT,INDEPENDENT - BUS,JONG TAHI BEE,MALE,,528,LOST DEPOSIT,INDEPENDENT - AEROPLANE,JONG NAM HIN,MALE,,690,LOST DEPOSIT,,,,,,
P.141_N. 22,SARAWAK,P.141,SARATOK,N. 22,KRIAN,KRIAN,PBDS,,8249,445,75.35,6216,77,6139,,,,,,,SNAP,DATUK PETER TINGGOM AK KAMARAU,MALE,59,2307,,PBDS,LANGGU AK. SAGA @ EDMUND,MALE,47,2752,,,,,,,,INDEPENDENT - SCISSORS,SOLOMON BUYONG AK IGOH,MALE,,65,LOST DEPOSIT,INDEPENDENT - BOOK,ANDAU AK JAPAR,MALE,,162,LOST DEPOSIT,INDEPENDENT - AEROPLANE,JOHN ANTAU AK LINGGANG,MALE,,853,,,,,,,,,,,,,
P.142_N. 23,SARAWAK,P.142,PALOH,N. 23,KUALA RAJANG,KUALA RAJANG,BN - PBB,,6563,1455,79.45,5214,59,5155,PBB,SA'AIDI B. OLIA,MALE,,3305,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,LAMASUDIN BIN SALLEH @ DR UDIE BIN SALLEH,MALE,,1850,,,,,,,,,,,,,,,,,,,,,,,,,
P.142_N. 24,SARAWAK,P.142,PALOH,N. 24,MATU - DARO,MATU - DARO,BN - PBB,Y,11109,,,,,,PBB,WAHAB HJ. DOLLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N. 25,SARAWAK,P.143,SARIKEI,N. 25,REPOK,REPOK,BN - SUPP,,13712,726,79.92,10959,103,10856,SUPP,TENG LUNG CHI,MALE,38,5791,,,,,,,,,,,,,,DAP,CHONG SIEW CHIANG,,,5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143_N. 26,SARAWAK,P.143,SARIKEI,N. 26,MERADONG,MERADONG,BN - SUPP,,11748,897,77.82,9142,96,9046,SUPP,HII KING HIONG,MALE,,3857,,,,,,,,,,,,,,DAP,TING YII HIEP,,,2095,,INDEPENDENT - OIL PALM,JOSEPH SALANG AK. GANDUM,MALE,,2960,,INDEPENDENT - TIGER,WAN ZAINALABIDIN BIN WAN KASSIM,MALE,,101,LOST DEPOSIT,INDEPENDENT - UMBRELLA,TEO SIANG HAI,MALE,,33,LOST DEPOSIT,,,,,,,,,,,,
P.144_N. 27,SARAWAK,P.144,SIBU,N. 27,MALING,MALING,BN - SUPP,,34853,16220,78.94,27512,126,27386,SUPP,WONG SOON KAI,MALE,56,21803,,,,,,,,,,,,,,DAP,LING SIE MING,,,5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144_N. 28,SARAWAK,P.144,SIBU,N. 28,SEDUAN,SEDUAN,BN - SUPP,,12953,5558,73.98,9582,74,9508,SUPP,TING ING MIENG,MALE,54,7445,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,WONG SIE LENG,MALE,,1887,,INDEPENDENT - UMBRELLA,MOHD. SYAIFUDDIN SUYONG BIN ABDULLAH @ VERO WELLS SUYONG,MALE,,176,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.145_N. 29,SARAWAK,P.145,RAJANG,N. 29,IGAN,IGAN,BN - SUPP,,7341,1886,62.58,4594,90,4504,SUPP,TIONG CHIONG CHU,MALE,,2813,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,BONIFACE JUBILEE B. GENAM,MALE,,365,LOST DEPOSIT,INDEPENDENT - UMBRELLA,NEO AK SENEN,MALE,,399,LOST DEPOSIT,INDEPENDENT - KEY,LINUS AK. LEMBANG,MALE,,927,,,,,,,,,,,,,
P.145_N. 30,SARAWAK,P.145,RAJANG,N. 30,DUDONG,DUDONG,INDEPENDENT - CANDLE,,11269,175,71.56,8064,112,7952,,,,,,,SNAP,JOSEPH TAN CHOK TIONG @ JOSEPH CHOCK CHUNG TANG,MALE,,2695,,PBDS,SABANG AK. LAMBONG @ RAYMOND,MALE,,2387,,,,,,,,INDEPENDENT - CANDLE,WILFRED KIROH AK JERAM,MALE,,2870,,,,,,,,,,,,,,,,,,,,,,,,,
P.146_N. 31,SARAWAK,P.146,MUKAH,N. 31,BALINGIAN,BALINGIAN,BN - PBB,,10409,2666,62.18,6472,207,6265,PBB,WAN HABIB SYED MAHMUD,MALE,47,3777,,,,,,,,,,,,,,DAP,WONG SING HONG @ JANGGAU,,,737,LOST DEPOSIT,INDEPENDENT - FISH,AWANG MORSIDI BIN AWANG BUYU,MALE,,640,LOST DEPOSIT,INDEPENDENT - SCISSORS,ENGGAI AK ANTASIN,MALE,,1111,,,,,,,,,,,,,,,,,,,
P.146_N. 32,SARAWAK,P.146,MUKAH,N. 32,OYA,OYA,BN - PBB,Y,8090,,,,,,PBB,HAJI SALLEH JAFARUDDIN,MALE,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
