UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE  LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.128_N.11,NEGERI SEMBILAN,P.128,SEREMBAN,N.11,LOBAK,,2,,23079,,,,,,,,,,,,,DAP,CHEW SEH YONG,MALE,64,,,PAS,P.M. KUMAR,MALE,56,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128_N.12,NEGERI SEMBILAN,P.128,SEREMBAN,N.12,TEMIANG,,3,,12947,,,,,,,MCA,LEAW KOK CHAN,MALE,51,,,DAP,HO WENG WAH,MALE,42,,,,,,,,,PPBM,FAZLY BIN HAMID,MALE,48,,,,,,,,,,,,,,,,,,,,
P.128_N.13,NEGERI SEMBILAN,P.128,SEREMBAN,N.13,SIKAMAT,,3,,34103,,,,,,,,,,,,,PKR,NOR AZMAN MOHAMAD,MALE,46,,,WAWASAN,DATUK RAZALI,MALE,63,,,PPBM,TUN FAISAL,MALE,54,,,,,,,,,,,,,,,,,,,,
P.128_N.14,NEGERI SEMBILAN,P.128,SEREMBAN,N.14,AMPANGAN,,3,,21336,,,,,,,,,,,,,PKR,NAZRI KASSIM,MALE,56,,,PAS,DATO' DR MOHAMAD RAFIE BIN AB MALEK,MALE,62,,,PPBM,AZZAH HARUN,FEMALE,48,,,,,,,,,,,,,,,,,,,,
P.129_N.15,NEGERI SEMBILAN,P.129,KUALA PILAH,N.15,JUASSEH,,3,,13671,,,,,,,UMNO,DATO' ISMAIL BIN LASIM,MALE,67,,,PKR,AIDIL,MALE,51,,,,,,,,,PPBM,MOHD ZUHAIMI MD YUSOF,MALE,60,,,,,,,,,,,,,,,,,,,,
P.129_N.16,NEGERI SEMBILAN,P.129,KUALA PILAH,N.16,SERI MENANTI,,3,,10105,,,,,,,UMNO,USTAZ SUFIAN,MALE,43,,,PKR,KAMARUL ARIFIN WAFA,MALE,45,,,,,,,,,PPBM,DATO' SERI MEGAT,MALE,43,,,,,,,,,,,,,,,,,,,,
P.129_N.17,NEGERI SEMBILAN,P.129,KUALA PILAH,N.17,SENALING,,3,,9903,,,,,,,UMNO,MOHAMAD QAYYUM BIN ABD JALIL,MALE,36,,,AMANAH,HANIS ALIMIN,MALE,36,,,,,,,,,PPBM,MOHD IZAFFI,MALE,41,,,,,,,,,,,,,,,,,,,,
P.129_N.18,NEGERI SEMBILAN,P.129,KUALA PILAH,N.18,PILAH,,2,,18034,,,,,,,UMNO,S LEZA,FEMALE,59,,,PKR,NOORZUNITA BEGUM,FEMALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129_N.19,NEGERI SEMBILAN,P.129,KUALA PILAH,N.19,JOHOL,,2,,12331,,,,,,,UMNO,HJ SAIFUL YAZAN SULAIMAN,MALE,59,,,AMANAH,ZAILAN MUNAWAR,MALE,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130_N.20,NEGERI SEMBILAN,P.130,RASAH,N.20,LABU,,3,,32884,,,,,,,UMNO,MAIRA HASIM,FEMALE,35,,,PKR,DATO' AHMAD FAEZ,MALE,40,,,,,,,,,PPBM,ANIP ABU BAKER,MALE,45,,,,,,,,,,,,,,,,,,,,
P.130_N.21,NEGERI SEMBILAN,P.130,RASAH,N.21,BUKIT KEPAYANG,,2,,49568,,,,,,,,,,,,,DAP,NICOLE TAN,FEMALE,55,,,GERAKAN,AH BOON,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130_N.22,NEGERI SEMBILAN,P.130,RASAH,N.22,RAHANG,,4,,19715,,,,,,,MCA,YAP SIOK MOY (AH MOY),FEMALE,60,,,DAP,SIAU MEOW KONG,MALE,54,,,,,,,,,PPBM,TANG JAY SON,MALE,52,,,PSM,CIKGU TINA,MALE,48,,,,,,,,,,,,,,
P.130_N.23,NEGERI SEMBILAN,P.130,RASAH,N.23,MAMBAU,,3,,30346,,,,,,,,,,,,,DAP,LEE KAI YET,MALE,42,,,WAWASAN,ERIK A/L MICHAEL,MALE,43,,,PPBM,SARAWANAN NAGAYAH,MALE,45,,,,,,,,,,,,,,,,,,,,
P.130_N.24,NEGERI SEMBILAN,P.130,RASAH,N.24,SEREMBAN JAYA,,3,,33015,,,,,,,MIC,THINALAN T RAJAGOPALU,MALE,47,,,DAP,S. MUGUNTHAN,MALE,40,,,,,,,,,PPBM,MAHENDRAN RAMASAMY,MALE,46,,,,,,,,,,,,,,,,,,,,
P.131_N.25,NEGERI SEMBILAN,P.131,REMBAU,N.25,PAROI,,3,,64998,,,,,,,,,,,,,AMANAH,USTAZ SHAHIR,MALE,40,,,PAS,HJ KAMAROL RIDZUAN,MALE,59,,,PPBM,HJ. NAZREE YUNUS,MALE,41,,,,,,,,,,,,,,,,,,,,
P.131_N.26,NEGERI SEMBILAN,P.131,REMBAU,N.26,CHEMBONG,,2,,26547,,,,,,,UMNO,DATO' HAJI ZAIFULBAHRI BIN HAJI IDRIS,MALE,58,,,PKR,DANISH NAZRAN,MALE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131_N.27,NEGERI SEMBILAN,P.131,REMBAU,N.27,RANTAU,,2,,34831,,,,,,,UMNO,TOK MAT,MALE,70,,,PKR,DR HAKIM,MALE,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131_N.28,NEGERI SEMBILAN,P.131,REMBAU,N.28,KOTA,,3,,16744,,,,,,,UMNO,SUHAIMI AINI,MALE,46,,,AMANAH,UST ALLIF IBRAHIM,MALE,35,,,,,,,,,PPBM,AKMAL @ ABOY,MALE,34,,,,,,,,,,,,,,,,,,,,
P.132_N.29,NEGERI SEMBILAN,P.132,PORT DICKSON,N.29,CHUAH,,2,,15129,,,,,,,MCA,AH PAU,MALE,40,,,PKR,YEW BOON LYE,MALE,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132_N.30,NEGERI SEMBILAN,P.132,PORT DICKSON,N.30,LUKUT,,3,,28219,,,,,,,,,,,,,DAP,CHOO KEN HWA,MALE,49,,,MIPP,SATHES,MALE,46,,,,,,,,,,,,,,,INDEPENDENT - HORSE,AH LEE,MALE,66,,,,,,,,
P.132_N.31,NEGERI SEMBILAN,P.132,PORT DICKSON,N.31,BAGAN PINANG,,3,,27451,,,,,,,,,,,,,AMANAH,NASIR RAMAN,MALE,56,,,PAS,USTAZ FATAH,MALE,60,,,PPBM,SHEIKH JUNAIDY,MALE,53,,,,,,,,,,,,,,,,,,,,
P.132_N.32,NEGERI SEMBILAN,P.132,PORT DICKSON,N.32,LINGGI,,3,,20677,,,,,,,UMNO,DATO' MOHD FAIZAL RAMLI,MALE,54,,,PKR,AMINUDDIN HARUN,MALE,59,,,,,,,,,PPBM,DATO' HJ. ZAMRI MD SAID,MALE,54,,,,,,,,,,,,,,,,,,,,
P.132_N.33,NEGERI SEMBILAN,P.132,PORT DICKSON,N.33,SRI TANJUNG,,5,,19590,,,,,,,MIC,ACU,MALE,53,,,PKR,DR. RAJA,MALE,45,,,,,,,,,PPBM,LEEVINESH MURUGAN,MALE,23,,,,,,,,,INDEPENDENT - SAMPAN,ISLAH WAHYUDI ZAINUDIN,MALE,46,,,INDEPENDENT - TREE,DATUK A. SARAVANAN,MALE,48,,
P.133_N.34,NEGERI SEMBILAN,P.133,TAMPIN,N.34,GEMAS,,3,,29600,,,,,,,,,,,,,PKR,SITI AISHAH,FEMALE,53,,,WAWASAN,HAJI RIDZUAN BIN AHMAD,MALE,49,,,PPBM,AZMAN BIN ABDULLAH,MALE,53,,,,,,,,,,,,,,,,,,,,
P.133_N.35,NEGERI SEMBILAN,P.133,TAMPIN,N.35,GEMENCHEH,,2,,24916,,,,,,,UMNO,SUHAIMIZAN BIZAR (HAI),MALE,42,,,AMANAH,DATO ABD LATIF,MALE,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133_N.36,NEGERI SEMBILAN,P.133,TAMPIN,N.36,REPAH,,2,,27910,,,,,,,MCA,KOH KIM SWEE (AH SWEE),MALE,54,,,DAP,VEERAPAN A/L SUPERAMANIAM,MALE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
