UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.28_N.2,TRENGGANU,P.28,BESUT,N.2,KAMPONG RAJA,BN - UMNO,,7553,568,80.35,6069,379,5690,BN - UMNO,DATO' ABU BAKAR BIN AHMAD,MALE,,3129,,,,,,,,PAS,DATO' WAN ISHAK BIN ALI,MALE,,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.3,TRENGGANU,P.28,BESUT,N.3,BUKIT KENAK,BN - UMNO,,7477,447,79.29,5929,334,5595,BN - UMNO,DOLLAH BIN JUSOH,MALE,,3021,,,,,,,,PAS,CIK GU MAT BIN SAMAN,MALE,,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28_N.4,TRENGGANU,P.28,BESUT,N.4,ULU BESUT,BN - UMNO,,7477,606,80.2,5997,305,5692,BN - UMNO,HUSIN BIN HAJI ABDULLAH,MALE,,3149,,,,,,,,PAS,USTAZ ABD. LATIF BIN MOHAMAD,MALE,,2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.5,TRENGGANU,P.29,ULU NERUS,N.5,SETIU,BN - UMNO,,6572,1336,79.28,5210,334,4876,BN - UMNO,TENGKU MAHMUD BIN MANSOR,MALE,,3106,,,,,,,,PAS,MOHD. NOR BIN SULONG,MALE,,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.6,TRENGGANU,P.29,ULU NERUS,N.6,LANGKAP,BN - UMNO,,7559,2064,78.22,5913,399,5514,BN - UMNO,SALLEH BIN MAMAT,MALE,,3303,,,,,,,,PAS,MOHAMAD BIN HITAM,MALE,,972,,PSRM,TENGKU AHMAD HUSSAIN,MALE,,1239,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.7,TRENGGANU,P.29,ULU NERUS,N.7,BATU RAKIT,BN - UMNO,,5889,426,78.51,4624,268,4356,BN - UMNO,W. IBRAHIM BIN W. OTHMAN,MALE,,2391,,,,,,,,PAS,CIKGU DAUD BIN AWANG,MALE,,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29_N.8,TRENGGANU,P.29,ULU NERUS,N.8,SEBERANG TAKIR,BN - UMNO,,7545,1226,72.64,5481,269,5212,BN - UMNO,ABDUL RASHID BIN NGAH,MALE,,3219,,,,,,,,PAS,AHMAD YUSOF ASSYDDIEQY,MALE,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.9,TRENGGANU,P.30,ULU TRENGGANU,N.9,TELEMONG,BN - UMNO,,5583,1115,84.27,4705,304,4401,BN - UMNO,AHMAD SIDI BIN HAJI ISMAIL,MALE,,2758,,,,,,,,PAS,ABU BAKAR BIN ISMAIL,MALE,,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.10,TRENGGANU,P.30,ULU TRENGGANU,N.10,BINJAI,BN - UMNO,,7746,1626,79.78,6180,476,5704,BN - UMNO,ABD. RAHMAN BIN ALI,MALE,,3562,,,,,,,,PAS,ABDUL WAHAB BIN SALLEH,MALE,,1936,,PSRM,M. ZAWAWI BIN MOHD. YUSOF,MALE,,206,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.11,TRENGGANU,P.30,ULU TRENGGANU,N.11,TANGGOL,BN - UMNO,,6966,1299,78.42,5463,374,5089,BN - UMNO,HAJI SALLEH BIN ISMAIL,MALE,,3120,,,,,,,,PAS,OMAR BIN ABD. RAHMAN,MALE,,1821,,PSRM,AZHAR BIN CHIK,MALE,,148,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.30_N.12,TRENGGANU,P.30,ULU TRENGGANU,N.12,KUALA BRANG,BN - UMNO,,5416,576,81.88,4435,267,4168,BN - UMNO,MOHD. NOR BIN ABDULLAH,MALE,,1876,,,,,,,,PAS,HAJI ABDUL RASHID BIN SU,MALE,,992,,PSRM,BAKAR BIN AHMAD,MALE,,1300,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.13,TRENGGANU,P.31,KUALA NERUS,N.13,JERAM,BN - UMNO,,6372,23,79.59,5072,120,4952,BN - UMNO,ABDUL RASHID BIN MUHAMMAD,MALE,,2238,,,,,,,,PAS,HASHIM BIN EMBONG,MALE,,2215,,PSRM,EMBONG @ ABDUL RAHMAN BIN NGAH,MALE,,155,LOST DEPOSIT,,,,,,,INDEPENDENT,GHAZALI BIN EMBONG,MALE,,344,LOST DEPOSIT,,,,,,,,,,,,
P.31_N.14,TRENGGANU,P.31,KUALA NERUS,N.14,BUKIT TUNGGAL,BN - UMNO,Y,6777,,,,,,BN - UMNO,HAJI ABDUL RAHMAN BIN AWANG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.15,TRENGGANU,P.31,KUALA NERUS,N.15,MANIR,BN - UMNO,,8011,235,76.19,6104,115,5989,BN - UMNO,ISMAIL BIN YUSOF,MALE,,3112,,,,,,,,PAS,HARUN BIN TAIB,MALE,,2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31_N.16,TRENGGANU,P.31,KUALA NERUS,N.16,BUKIT PAYONG,BN - UMNO,,7531,1352,78.5,5912,120,5792,BN - UMNO,HAJI ABDUL RAZIK BIN HAJI TAIB,MALE,,3336,,,,,,,,PAS,MUKHTAR BIN HAJI MOHD.,MALE,,1984,,PSRM,ABIDIN BIN HASSAN,MALE,,472,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.17,TRENGGANU,P.32,KUALA TRENGGANU,N.17,BANDAR,BN - MCA,,11647,883,72.75,8474,435,8039,BN - MCA,TOK TENG SAI,,,3850,,,,,,,,PAS,SAJAUDIN BIN MAARUFF,MALE,,1222,,PSRM,MAZLAN @ MAHMUD BIN EMBONG,MALE,,2967,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.18,TRENGGANU,P.32,KUALA TRENGGANU,N.18,LADANG,BN - UMNO,,9434,2485,69.12,6521,246,6275,BN - UMNO,ABU BAKAR BIN DAUD,MALE,,4025,,,,,,,,PAS,HARUN JUSOH,MALE,,1540,,PSRM,MUKHTAR BIN HAJI ABD. RAHMAN,MALE,,710,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.19,TRENGGANU,P.32,KUALA TRENGGANU,N.19,WAKAF MEMPELAM,BN - UMNO,,7826,772,75.07,5875,360,5515,BN - UMNO,SHAFIE BIN HAJI ABD. RAHMAN,MALE,,2580,,,,,,,,PAS,CHE WAN LONG BIN IBRAHIM,MALE,,1808,,PSRM,EMBONG BIN NGAH,MALE,,1127,,,,,,,,,,,,,,,,,,,,,,,,,
P.32_N.20,TRENGGANU,P.32,KUALA TRENGGANU,N.20,BATU BUROK,BN - UMNO,,8597,74,71.95,6186,427,5759,BN - UMNO,HAJI ABDUL MUTTALIB BIN HAJI SALLEH,MALE,,2700,,,,,,,,PAS,WAN ABD. MUTTALIB @ WAN MUSA BIN EMBONG,MALE,,2626,,PSRM,YASIN @ ISMAIL AWANG,MALE,,433,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.21,TRENGGANU,P.33,DUNGUN,N.21,MARANG,BN - UMNO,,7142,68,79.68,5691,387,5304,BN - UMNO,TENGKU HAJI ZAHID MUSA,MALE,,2686,,,,,,,,PAS,HAJI ABDUL HADI BIN HAJI AWANG,MALE,,2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_N.22,TRENGGANU,P.33,DUNGUN,N.22,MERCHANG,BN - UMNO,,6627,537,76.68,5082,397,4685,BN - UMNO,HAJI MOHMED ADIB BIN OMAR,MALE,,2611,,,,,,,,PAS,USTAZ KASIM BIN AHMAD,MALE,,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
