UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA (%),NON MUSLIM BUMIPUTERA (%),CHINESE (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2020)
P.179_N.38,SABAH,P.179,RANAU,N.38,PAGINATAN,"15,410",36,64,0.7,0.1,100,0,0,12.69,33.35,20.78,16.35,9.51,3.95,2.05,1.32,48.96,51.04,RURAL
P.180_N.39,SABAH,P.180,KENINGAU,N.39,TAMBUNAN,"16,511",14,85,1,0.1,99.9,0,0.1,12.19,28.48,21.78,19.82,10.85,4.42,1.96,0.5,49,51,RURAL
P.180_N.40,SABAH,P.180,KENINGAU,N.40,BINGKOR,"17,828",29,63,8,0.2,98.61,0.01,1.38,10.42,25.54,24.23,20.61,11.82,4.11,1.94,1.33,49.37,50.63,RURAL
P.180_N.41,SABAH,P.180,KENINGAU,N.41,LIAWAN,"17,446",45,39,16,0.2,99.99,0.01,0,14.8,29.42,19.7,18.78,11.35,3.46,1.47,1.02,50.32,49.68,SEMI URBAN
P.181_N.42,SABAH,P.181,TENOM,N.42,MELALAP,"13,993",27,61,12,0.5,98.97,0.01,1.02,11.42,26.94,20.83,19.72,12.52,4.91,2,1.64,50.64,49.36,RURAL
P.181_N.43,SABAH,P.181,TENOM,N.43,KEMABONG,"15,086",21,75,4,0.2,99.99,0.01,0,12.26,28.51,21.79,18.92,9.86,4.03,2.81,1.82,48.68,51.32,RURAL
P.182_N.44,SABAH,P.182,PENSIANGAN,N.44,TULID,"8,910",28,72,0.3,0.4,100,0,0,11.73,29.45,21.8,19.17,9.45,4.37,2.75,1.28,50.66,49.34,RURAL
P.182_N.45,SABAH,P.182,PENSIANGAN,N.45,SOOK,"10,397",27,71,2.3,0.1,100,0,0,10.58,29.61,21.47,18.48,10.73,4.09,2.63,2.41,50.63,49.37,SEMI URBAN
P.182_N.46,SABAH,P.182,PENSIANGAN,N.46,NABAWAN,"12,475",17,82,0.5,0.1,99.93,0,0.07,15.52,30.2,20.02,15.67,8.26,3.73,3.53,3.07,48.78,51.22,RURAL
P.183_N.47,SABAH,P.183,BELURAN,N.47,TELUPID,"7,862",29,70,0.6,0.3,99.96,0,0.04,11.66,27.94,23.84,18.77,10.16,4.87,1.92,0.84,51.18,48.82,RURAL
P.183_N.48,SABAH,P.183,BELURAN,N.48,SUGUT,"11,712",55,44,0.5,0.2,99.98,0,0.02,13.93,27.16,19.36,17.22,12,5.32,3.37,1.64,51.7,48.3,RURAL
P.183_N.49,SABAH,P.183,BELURAN,N.49,LABUK,"8,952",68,31,1,0.4,98.37,0,1.63,13.73,30.81,22.93,16.44,10.53,3.63,1.25,0.68,49.83,50.17,RURAL
P.184_N.50,SABAH,P.184,LIBARAN,N.50,GUM-GUM,"12,474",69,12,19,0.3,99.99,0.01,0,12.56,27.63,22.41,17.37,12.19,4.57,1.99,1.28,50.83,49.17,RURAL
P.184_N.51,SABAH,P.184,LIBARAN,N.51,SUNGAI MANILA,"12,761",80,4,15,0.8,95.5,0,4.5,16.43,24.15,21.43,18.43,11.72,4.72,2.02,1.1,52.52,47.48,RURAL
P.184_N.52,SABAH,P.184,LIBARAN,N.52,SUNGAI SIBUGA,"23,308",82,7,11.5,0.1,97.57,0.01,2.42,19.19,31.56,19.8,14.48,10.05,3.54,0.99,0.39,49.17,50.83,SEMI URBAN
P.185_N.53,SABAH,P.185,BATU SAPI,N.53,SEKONG,"17,054",72,10,18,0.1,100,0,0,18.15,28.83,18.33,16.21,11.4,4.2,1.79,1.09,50.18,49.82,URBAN
P.185_N.54,SABAH,P.185,BATU SAPI,N.54,KARAMUNTING,"15,896",52,12,36,0.7,88.41,0,11.59,11.46,23.21,20.03,19.08,14.24,6.52,3.14,2.32,53.82,46.18,URBAN
P.186_N.55,SABAH,P.186,SANDAKAN,N.55,ELOPURA,"25,794",41,14,44,0.4,99.7,0.01,0.29,14.32,26.46,19.58,16.76,13.57,5.7,2.59,1.02,49.02,50.98,URBAN
P.186_N.56,SABAH,P.186,SANDAKAN,N.56,TANJONG PAPAT,"14,287",45,12,43,0.3,98.66,0.03,1.31,8.72,16.14,19.67,21.47,19.47,8.36,3.67,2.5,49.88,50.12,URBAN
P.187_N.57,SABAH,P.187,KINABATANGAN,N.57,KUAMUT,"9,854",25,73,2,0.1,100,0,0,12.81,27.73,20.62,17.89,11.02,5.54,2.73,1.66,50.66,49.34,RURAL
P.187_N.58,SABAH,P.187,KINABATANGAN,N.58,LAMAG,"8,159",86,14,0.4,0.4,97.63,0,2.37,15.31,31.62,21.17,16.18,10.11,3.25,1.38,0.98,51.88,48.12,RURAL
P.187_N.59,SABAH,P.187,KINABATANGAN,N.59,SUKAU,"10,810",93,6,0.6,0.2,100,0,0,13.52,25.99,20.9,19.23,12.03,4.59,1.84,1.9,52.78,47.22,RURAL
P.188_N.60,SABAH,P.188,LAHAD DATU,N.60,TUNGKU,"13,255",88,11,1,0.4,97.24,0,2.76,15.96,31.29,19.98,17.49,9.97,2.71,1.52,1.08,52.18,47.82,RURAL
P.188_N.61,SABAH,P.188,LAHAD DATU,N.61,SEGAMA,"16,575",66,17,16,0.5,96.55,0,3.45,14.3,28.74,20.18,17.5,12.34,3.97,1.73,1.24,51.95,48.05,URBAN
P.188_N.62,SABAH,P.188,LAHAD DATU,N.62,SILAM,"17,395",76,10,14,0.8,95.81,0.01,4.18,13.81,29.59,20.93,17.65,11.92,3.75,1.37,0.98,52.22,47.78,URBAN
P.188_N.63,SABAH,P.188,LAHAD DATU,N.63,KUNAK,"14,641",92,5,2,0.4,98.75,0,1.25,16.72,27.99,19.16,17.23,12.42,4.05,1.48,0.95,50.3,49.7,RURAL
P.189_N.64,SABAH,P.189,SEMPORNA,N.64,SULABAYAN,"14,012",95,4,0,0.1,100,0,0,13.21,23.97,23.03,17.93,11.33,4.25,3.38,2.9,47.57,52.43,RURAL
P.189_N.65,SABAH,P.189,SEMPORNA,N.65,SENALLANG,"14,336",91,5,3,0.2,97.47,0,2.53,12.9,25.18,23.93,17.42,12.4,4.35,2.25,1.57,49.08,50.92,RURAL
P.189_N.66,SABAH,P.189,SEMPORNA,N.66,BUGAYA,"20,267",96,3,1,0.2,97.72,0,2.28,18.89,30.67,20.17,15.01,9.32,3.12,1.67,1.15,49.08,50.92,URBAN
P.190_N.67,SABAH,P.190,TAWAU,N.67,BALUNG,"14,600",88,7,5,0.2,100,0,0,14.07,28.79,19.21,17.86,13.63,4.25,1.48,0.71,49.93,50.07,RURAL
P.190_N.68,SABAH,P.190,TAWAU,N.68,APAS,"19,378",80,8,12,0.6,97.76,0.1,2.23,15.39,25.76,19.1,18.14,14.1,4.89,1.62,1,51.27,48.73,URBAN
P.190_N.69,SABAH,P.190,TAWAU,N.69,SRI TANJONG,"26,493",32,18,49,0.5,97.51,0.02,2.47,8.64,21.84,21.85,20.56,15.94,7.27,2.53,1.37,50.67,49.33,URBAN
P.191_N.70,SABAH,P.191,KALABAKAN,N.70,KUKUSAN,"12,640",82,6,11,0.6,89.26,0.03,10.71,12.48,29.15,21.06,17.77,13.01,4.36,1.42,0.75,51.5,48.5,URBAN
P.191_N.71,SABAH,P.191,KALABAKAN,N.71,TANJUNG BATU,"14,875",82,6,11,0.7,99.99,0.01,0,17.14,35.21,18.25,14.43,10.72,3.24,0.87,0.14,48.92,51.08,URBAN
P.191_N.72,SABAH,P.191,KALABAKAN,N.72,MEROTAI,"14,973",93,4,3,0.2,96.67,0,3.33,14.11,30.37,19.31,15.83,13.16,4.56,1.64,1.02,51.03,48.97,RURAL
P.191_N.73,SABAH,P.191,KALABAKAN,N.73,SEBATIK,"10,131",90,10,0.5,0.3,95.49,0,4.51,14.82,32.71,19.17,16.99,9.93,3.22,1.55,1.61,52.61,47.39,RURAL
