UNIQUE CODE (1982),STATE (1982),PARLIAMENTARY CONSTITUENCY CODE (1982),PARLIAMENTARY CONSTITUENCY NAME (1982),UNIQUE CODE (1986),STATE (1986),PARLIAMENTARY CONSTITUENCY CODE (1986),PARLIAMENTARY CONSTITUENCY NAME (1986),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P.108,JOHOR,P.108,PANTI,P. 128,JOHOR,P. 128,KOTA TINGGI,YES,,Boundary has changed
P.109,JOHOR,P.109,SRI GADING,P. 124,JOHOR,P. 124,SRI GADING,,,Boundary has changed
P.110,JOHOR,P.110,SEMERAH,P. 121,JOHOR,P. 121,PARIT SULONG,YES,,Boundary has changed
P.111,JOHOR,P.111,BATU PAHAT,P. 125,JOHOR,P. 125,BATU PAHAT,,,Boundary has changed
P.112,JOHOR,P.112,PONTIAN,P. 132,JOHOR,P. 132,PONTIAN,,,Boundary has changed
P.113,JOHOR,P.113,PULAI,P. 131,JOHOR,P. 131,PULAI,,,Boundary has changed
P.114,JOHOR,P.114,JOHOR BAHRU,P. 130,JOHOR,P. 130,JOHOR BAHRU,,,Boundary has changed
,,,,P. 122,JOHOR,P. 122,BAKRI,,YES,Formed from constituencies of Muar and formerlu named Semerah
,,,,P. 126,JOHOR,P. 126,SUNGAI BENUT,,YES,"Formed from constituencies of Renggam, Sri Gading, Pontian and abolished Ayer Hitam"
,,,,P. 129,JOHOR,P. 129,TEBRAU,,YES,"Formed from constituencies of Johor Bahru, Pulai, and formerly named Panti"
,,,,P. 133,WILAYAH PERSEKUTUAN LABUAN,P. 133,LABUAN,,YES,Excised from constituency of Hilir Padas (Sabah)
