UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.70_N.44,PERAK,P.70,TELOK INTAN,N.44,CHANGKAT JONG,BN - UMNO,MOHD. ARSHAD B ABDULLAH,MALE,,
P.71_N.45,PERAK,P.71,TANJONG MALIM,N.45,SUNGKAI,BN - MIC,K. KUMARON @ KUMARAN A/L KARUNAGARAN,MALE,,
P.71_N.46,PERAK,P.71,TANJONG MALIM,N.46,SLIM,BN - UMNO,JUNUS BIN WAHID,MALE,,
P.72_N.1,PAHANG,P.72,LIPIS,N.1,TANAH RATA,BN - MCA,CHAN KONG CHOY,,,
P.72_N.2,PAHANG,P.72,LIPIS,N.2,JELAI,BN - UMNO,ABDULLAH BIN HJ. SULAIMAN,MALE,,
P.72_N.3,PAHANG,P.72,LIPIS,N.3,BUKIT BETONG,BN - UMNO,OMAR BIN OTHMAN,MALE,,
P.72_N.4,PAHANG,P.72,LIPIS,N.4,CEKA,BN - UMNO,ABU DAHARI BIN OSMAN,MALE,,
P.73_N.5,PAHANG,P.73,RAUB,N.5,BENTA,BN - UMNO,MOHD ZUKI BIN KAMALUDDIN,MALE,,
P.73_N.6,PAHANG,P.73,RAUB,N.6,BATU TALAM,BN - UMNO,IDROS @ MOHAMAD MAZLAN BIN IDRIS,MALE,,
P.73_N.7,PAHANG,P.73,RAUB,N.7,TERAS,DAP,LIP AH KOW @ LIP TUCK CHEE,,,
P.73_N.8,PAHANG,P.73,RAUB,N.8,DONG,BN - UMNO,ABDUL RAHMAN BIN YEOP SENDIRI,MALE,,
P.74_N.9,PAHANG,P.74,JERANTUT,N.9,TAHAN,BN - UMNO,AHMAD BAZAIN BIN MOHAMUD,MALE,,
P.74_N.10,PAHANG,P.74,JERANTUT,N.10,TEMBELING,BN - UMNO,KAMARIAH BINTI MAT NOH,FEMALE,,
P.74_N.11,PAHANG,P.74,JERANTUT,N.11,PULAU TAWAR,BN - MCA,HAR CHAI @ HO CHOCK KEONG,MALE,,
P.75_N.12,PAHANG,P.75,KUANTAN,N.12,SUNGAI LEMBING,BN - UMNO,WAN ABDULLAH BIN WAN OSMAN,MALE,,
P.75_N.13,PAHANG,P.75,KUANTAN,N.13,BESERAH,BN - UMNO,MOHAMED YUSOF BIN MOHAMED ALI,MALE,,
P.75_N.14,PAHANG,P.75,KUANTAN,N.14,TERUNTUM,BN - MCA,DATO LIM AH LEK @ LIM MOK SIANG,,,
P.76_N.15,PAHANG,P.76,PEKAN,N.15,PAYA BESAR,BN - UMNO,MOHD. NOR BIN ABU BAKAR,MALE,,
P.76_N.16,PAHANG,P.76,PEKAN,N.16,KUALA PAHANG,BN - UMNO,AB. MANAF BIN ABDULLAH,MALE,,
P.76_N.17,PAHANG,P.76,PEKAN,N.17,PERAMU,BN - UMNO,ABDUL RAHIM BIN HITAM,MALE,,
P.77_N.18,PAHANG,P.77,MARAN,N.18,LUIT,BN - UMNO,AYUB BIN TEH,MALE,,
P.77_N.19,PAHANG,P.77,MARAN,N.19,BUKIT TAJAU,BN - UMNO,DATO' MOHD. KHALIL BIN YAAKOB,MALE,,
P.77_N.20,PAHANG,P.77,MARAN,N.20,JENGKA,BN - UMNO,ZAINAL BIN HASSAN,MALE,,
P.77_N.21,PAHANG,P.77,MARAN,N.21,CENUR,BN - UMNO,MAHMUD BIN MAT TALIB,MALE,,
P.78_N.22,PAHANG,P.78,MENTEKAB,N.22,JENDERAK,BN - UMNO,ABDULLAH BIN KIA,MALE,,
P.78_N.23,PAHANG,P.78,MENTEKAB,N.23,SANGGANG,BN - UMNO,ABD. HALIM BIN HJ. MOHD SEH,MALE,,
P.78_N.24,PAHANG,P.78,MENTEKAB,N.24,LANCANG,BN - MIC,V. V. ABOO S/O AHAMMU,MALE,,
P.79_N.25,PAHANG,P.79,BENTUNG,N.25,BILUT,BN - MCA,FU AH KAW @ POO YEW CHOY,,,
P.79_N.26,PAHANG,P.79,BENTUNG,N.26,KARAK,BN - GERAKAN,LOKE AH KOW @ POO YEW CHOY,,,
P.79_N.27,PAHANG,P.79,BENTUNG,N.27,PELANGAI,BN - UMNO,ADNAN BIN YAAKOB,MALE,,
P.80_N.28,PAHANG,P.80,TEMERLUH,N.28,SEMANTAN,BN - UMNO,HAJI ABDULLAH BIN HAJI MOHAMED,MALE,,
P.80_N.29,PAHANG,P.80,TEMERLUH,N.29,TERIANG,BN - MCA,SHU HA @ MOK SAN HONG,,,
P.80_N.30,PAHANG,P.80,TEMERLUH,N.30,BERA,BN - UMNO,DATO' ABDUL AZIZ BIN ABDUL RAHMAN,MALE,,
P.81_N.31,PAHANG,P.81,ROMPIN,N.31,CINI,BN - UMNO,MOHAMAD RAZALI @ WAN MOHAMAD RAZALI BIN WAN MAHUSSIN,MALE,,
P.81_N.32,PAHANG,P.81,ROMPIN,N.32,BUKIT IBAM,BN - UMNO,ABDUL JABBAR BIN IBRAHIM,MALE,,
P.81_N.33,PAHANG,P.81,ROMPIN,N.33,TIOMAN,BN - UMNO,HASAN BIN ARIFFIN,MALE,,
P.82_N.1,SELANGOR,P.82,SABAK BERNAM,N.1,SUNGEI AYER TAWAR,BN - UMNO,ZAINAL BIN DAHALAN @ DATO' HAJI ZAINAL BIN DAHALAN,MALE,,
P.82_N.2,SELANGOR,P.82,SABAK BERNAM,N.2,SABAK,BN - UMNO,MOHD. YUSUP BIN A. LATIB,MALE,,
P.82_N.3,SELANGOR,P.82,SABAK BERNAM,N.3,SUNGAI BESAR,BN - UMNO,ABU SAMAH BIN NORDIN,MALE,,
P.83_N.4,SELANGOR,P.83,TANJONG KARANG,N.4,SUNGAI PANJANG,BN - UMNO,ARIFFIN BIN HJ. MAT RAWI @ HJ RAWI,MALE,,
P.83_N.5,SELANGOR,P.83,TANJONG KARANG,N.5,SEKINCHAN,BN - MCA,SIM KENG SEIK,MALE,,
P.83_N.6,SELANGOR,P.83,TANJONG KARANG,N.6,SUNGAI BURONG,BN - UMNO,JAAFAR @ DOLLAH SUKOR @ ABDUL SHUKUR HAJI SIRAJ BIN HAJI SIRAJ @ HAJI SIRAT,MALE,,
P.84_N.7,SELANGOR,P.84,HULU SELANGOR,N.7,KALUMPANG,BN - UMNO,RAMLI BIN ABD. RAHMAN,MALE,,
P.84_N.8,SELANGOR,P.84,HULU SELANGOR,N.8,KUALA KUBU BHARU,BN - MCA,WONG AH TAIH,MALE,,
P.84_N.9,SELANGOR,P.84,HULU SELANGOR,N.9,BATANG KALI,BN - UMNO,MUHAMMAD BIN MUHAMMAD TAIB,MALE,,Y
P.85_N.10,SELANGOR,P.85,KUALA SELANGOR,N.10,SUNGAI TINGGI,BN - UMNO,YUSOFF BIN HASSAN,MALE,,
P.85_N.11,SELANGOR,P.85,KUALA SELANGOR,N.11,PERMATANG,BN - UMNO,MOHAMED KHALIP BIN AHMAD @ KHALID BIN HJ. AHMAD,MALE,,
P.85_N.12,SELANGOR,P.85,KUALA SELANGOR,N.12,SERI CAHAYA,BN - MIC,MASILAMANE @ MAHALINGAM @ DATO' M. MAHALINGAM A/L MUTHUKRISHNEN,MALE,,
P.86_N.13,SELANGOR,P.86,KAPAR,N.13,JERAM,BN - UMNO,MISKAM @ MISKON BIN SETERA @ SUTERO,MALE,,
P.86_N.14,SELANGOR,P.86,KAPAR,N.14,SEMENTA,BN - UMNO,HJ. MOHD. AMIN BIN HJ. ABD. MOIN @ HJ. ABD. MUIN,MALE,,
P.86_N.15,SELANGOR,P.86,KAPAR,N.15,SELAT KLANG,BN - UMNO,CHE ONN BIN HJ. ISMAIL,MALE,,
P.87_N.16,SELANGOR,P.87,SELAYANG,N.16,RAWANG,BN - MCA,TANG SEE HANG,MALE,,
P.87_N.17,SELANGOR,P.87,SELAYANG,N.17,GOMBAK SETIA,BN - UMNO,KAHARUDIN BIN MO MIN,MALE,,
P.87_N.18,SELANGOR,P.87,SELAYANG,N.18,PAYA JARAS,BN - UMNO,SAIDIN TAMBY,MALE,,
P.88_N.19,SELANGOR,P.88,AMPANG JAYA,N.19,ULU KLANG,BN - UMNO,RAKIBAH BT. HJ. ABD. MANAP,FEMALE,,
P.88_N.20,SELANGOR,P.88,AMPANG JAYA,N.20,KERAMAT,BN - UMNO,MUFTI BIN SUIB,MALE,,
P.88_N.21,SELANGOR,P.88,AMPANG JAYA,N.21,PANDAN,BN - UMNO,MOHD. FAHMI BIN IBRAHIM,MALE,,Y
P.89_N.22,SELANGOR,P.89,SEMENYIH,N.22,DUSUN TUA,BN - UMNO,MOHD. AZMIR BIN MOHD. NAZIR,MALE,,
P.89_N.23,SELANGOR,P.89,SEMENYIH,N.23,SEMENYIH,BN - UMNO,ABDUL JALIL BIN MOHD. NAZIR,MALE,,
P.89_N.24,SELANGOR,P.89,SEMENYIH,N.24,KAJANG,DAP,CHAN KOK KIT @ CHAN KIT,,,
P.90_N.25,SELANGOR,P.90,PETALING JAYA,N.25,DAMANSARA UTAMA,DAP,MADHAVAN NAIR A/L NARAYANAN NAIR,MALE,,
P.90_N.26,SELANGOR,P.90,PETALING JAYA,N.26,TAMAN AMAN,DAP,OON HONG GEOK,,,
P.90_N.27,SELANGOR,P.90,PETALING JAYA,N.27,KELANA JAYA,BN - UMNO,MEGAT NAJMUDDIN BIN HAJI MEGAT KHAS,MALE,,
P.91_N.28,SELANGOR,P.91,PUCHONG,N.28,BUKIT GASING,DAP,TAI SIN PIAU @ TAI SIM PIYU,,,
P.91_N.29,SELANGOR,P.91,PUCHONG,N.29,LINDONGAN,BN - UMNO,MAZLAN BIN HARUN @ MAZLAN BIN DATO' HARUN,MALE,,
P.91_N.30,SELANGOR,P.91,PUCHONG,N.30,SERDANG,BN - MCA,YAP PIAN HON,,,
P.92_N.31,SELANGOR,P.92,SHAH ALAM,N.31,SUBANG,BN - UMNO,ABU SUJAK BIN HAJI MAHMUD,MALE,,
P.92_N.32,SELANGOR,P.92,SHAH ALAM,N.32,BATU TIGA,BN - UMNO,M. ZIN BIN SULIMAN,MALE,,
P.92_N.33,SELANGOR,P.92,SHAH ALAM,N.33,SHAHBANDAR RAYA,BN - MIC,SANGGILLY @ SELLATHEVAN A/L MUTHUSAMY,MALE,,
P.93_N.34,SELANGOR,P.93,KLANG,N.34,KLANG BANDAR,DAP,TAN SENG GIAW @ TAN CHUN TIN,MALE,,
P.93_N.35,SELANGOR,P.93,KLANG,N.35,TELOK GADONG,BN - MCA,TONG YOKE SENG,MALE,,
P.93_N.36,SELANGOR,P.93,KLANG,N.36,PANDAMARAN,BN - MCA,NG BOON THONG @ NG THIAN HOCK,,,
P.94_N.37,SELANGOR,P.94,KUALA LANGAT,N.37,PANGLIMA GARANG,BN - MCA,ENG HOI CHOO,MALE,,
P.94_N.38,SELANGOR,P.94,KUALA LANGAT,N.38,MORIB,BN - UMNO,ABU BAKAR BIN ABDUL HAMID,MALE,,
P.94_N.39,SELANGOR,P.94,KUALA LANGAT,N.39,BANTING,BN - UMNO,SITI FATIMAH BT. DULLAH SUKIMI @ FATIMAH BT. SUHAIMI,FEMALE,,
P.95_N.40,SELANGOR,P.95,SEPANG,N.40,DENGKIL,BN - MIC,MAMUTHATHURAI @ MUNUSAMY S/O THANGIAH,MALE,,
P.95_N.41,SELANGOR,P.95,SEPANG,N.41,SUNGAI PELEK,BN - MCA,NG AH HOCK @ NG SOON PON,MALE,,
P.95_N.42,SELANGOR,P.95,SEPANG,N.42,BATU LAUT,BN - UMNO,SAMIRAN @ SAIRON BIN HAJI ABDUL HAMID,MALE,,
P.103_N.1,NEGERI SEMBILAN,P.103,JELEBU,N.1,PERADONG,BN - MCA,WONG SEE WAH,,,
P.103_N.2,NEGERI SEMBILAN,P.103,JELEBU,N.2,KLAWANG,BN - UMNO,SHAMSUL BAHARI @ RAMLI BIN MAT,MALE,,
P.103_N.3,NEGERI SEMBILAN,P.103,JELEBU,N.3,PERTANG,BN - UMNO,ABD. KADIR BIN KASSIM,MALE,,
P.103_N.4,NEGERI SEMBILAN,P.103,JELEBU,N.4,SUNGAI LUI,BN - UMNO,ABDUL MUNI BIN ABD. WAHAB,MALE,,
P.104_N.5,NEGERI SEMBILAN,P.104,JEMPOL,N.5,SERTING,BN - UMNO,IBRAHIM BIN HAJI ALI,MALE,,
P.104_N.6,NEGERI SEMBILAN,P.104,JEMPOL,N.6,BATU KIKIR,BN - UMNO,LILAH BIN YASIN,MALE,,
P.104_N.7,NEGERI SEMBILAN,P.104,JEMPOL,N.7,BAHAU,DAP,LOO AH MAN @ LOH MING CHAI,,,
P.104_N.8,NEGERI SEMBILAN,P.104,JEMPOL,N.8,PALONG,BN - UMNO,BAHARUDIN BIN HAJI HASSAN,MALE,,
P.105_N.9,NEGERI SEMBILAN,P.105,TAMPIN,N.9,GEMAS,BN - UMNO,MOHAMAD YASSIN BIN BAKAR,MALE,,
P.105_N.10,NEGERI SEMBILAN,P.105,TAMPIN,N.10,GEMENCHEH,BN - UMNO,WAAD BIN HAJI MANSOR,MALE,,
P.105_N.11,NEGERI SEMBILAN,P.105,TAMPIN,N.11,REPAH,BN - MCA,LAY CHUN TAI @ LOY CHEE TAI,,,
P.105_N.12,NEGERI SEMBILAN,P.105,TAMPIN,N.12,KOTA,BN - UMNO,AHMAD APANDI BIN JOHAN,MALE,,
P.106_N.13,NEGERI SEMBILAN,P.106,KUALA PILAH,N.13,JUASSEH,BN - UMNO,MOHAMAD BIN AHMAD,MALE,,
P.106_N.14,NEGERI SEMBILAN,P.106,KUALA PILAH,N.14,JOHOL,BN - UMNO,DARUS SALIM BIN BULIN,MALE,,
P.106_N.15,NEGERI SEMBILAN,P.106,KUALA PILAH,N.15,PILAH,BN - UMNO,ABU ZAHAR BIN DATO' NIKA UJANG,MALE,,
P.106_N.16,NEGERI SEMBILAN,P.106,KUALA PILAH,N.16,SERI MENANTI,BN - UMNO,RAMLI BIN UJANG,MALE,,
P.107_N.17,NEGERI SEMBILAN,P.107,SEREMBAN,N.17,LENGGENG,BN - MCA,HON CHOON KIM,,,
P.107_N.18,NEGERI SEMBILAN,P.107,SEREMBAN,N.18,AMPANGAN,BN - UMNO,KHATIMAH BTE HAJI IBRAHIM,FEMALE,,
P.107_N.19,NEGERI SEMBILAN,P.107,SEREMBAN,N.19,RAHANG,DAP,LEE YUEN FONG,,,
P.107_N.20,NEGERI SEMBILAN,P.107,SEREMBAN,N.20,SUNGAI UJONG,BN - MCA,OH HER SANG @ HWU HOR SHAN,,,
P.108_N.21,NEGERI SEMBILAN,P.108,RASAH,N.21,LABU,BN - UMNO,SHAHARDIN BIN HASHIM,MALE,,
P.108_N.22,NEGERI SEMBILAN,P.108,RASAH,N.22,MAMBAU,DAP,HU SEPANG,MALE,,
P.108_N.23,NEGERI SEMBILAN,P.108,RASAH,N.23,JIMAH,DAP,KUPPUSAMY A/L MARUTHY,MALE,,
P.108_N.24,NEGERI SEMBILAN,P.108,RASAH,N.24,RANTAU,BN - MIC,MUTHUPPALANIAPPEN @ MANI A/L MUTHURAMAN CHETTIAR,MALE,,
P.109_N.25,NEGERI SEMBILAN,P.109,TELOK KEMANG,N.25,CHEMBONG,BN - UMNO,MAHZAN BIN HAMZAH,MALE,,
P.109_N.26,NEGERI SEMBILAN,P.109,TELOK KEMANG,N.26,LINGGI,BN - UMNO,MOHD. ISA BIN ABDUL SAMAD,MALE,,Y
P.109_N.27,NEGERI SEMBILAN,P.109,TELOK KEMANG,N.27,SI RUSA,BN - MIC,KRISHNAN @ KRISHNASAMY A/L MUTHURAJOO,MALE,,
P.109_N.28,NEGERI SEMBILAN,P.109,TELOK KEMANG,N.28,PASIR PANJANG,BN - UMNO,MUSTAPA BIN MANAP,MALE,,Y
P.110_N.1,MELAKA,P.110,ALOR GAJAH,N.1,KUALA LINGGI,BN - UMNO,BAHARI BIN HASAN,MALE,,
P.110_N.2,MELAKA,P.110,ALOR GAJAH,N.2,SUNGAI BAHRU,BN - UMNO,MOHD. ALI BIN ABD. MAJID,MALE,,
P.110_N.3,MELAKA,P.110,ALOR GAJAH,N.3,MASJID TANAH,BN - UMNO,A. RAHIM BIN TAMBY CHIK,MALE,,
P.110_N.4,MELAKA,P.110,ALOR GAJAH,N.4,KELEMAK,BN - UMNO,MOHD. ZIN BIN HAJI ABD. GHANI,MALE,,
P.111_N.5,MELAKA,P.111,SELANDAR,N.5,PULAU SEBANG,BN - MCA,POH AH TIAM,,,
P.111_N.6,MELAKA,P.111,SELANDAR,N.6,KEMUNING,BN - UMNO,AHMAD BIN HAJI ABDULLAH,MALE,,
P.111_N.7,MELAKA,P.111,SELANDAR,N.7,TEBONG,BN - MIC,ARUNASALAM A/L NARAYANAN,MALE,,
P.111_N.8,MELAKA,P.111,SELANDAR,N.8,BUKIT ASAHAN,BN - UMNO,JENAH BT. SARIP,FEMALE,,
P.112_N.9,MELAKA,P.112,BATU BERENDAM,N.9,AYER MOLEK,BN - UMNO,MOHD. ALI BIN MOHD. RUSTAM,MALE,,
P.112_N.10,MELAKA,P.112,BATU BERENDAM,N.10,KRUBONG,BN - MCA,SEAH KWI TONG,,,
P.112_N.11,MELAKA,P.112,BATU BERENDAM,N.11,TANJONG MINYAK,BN - UMNO,YASIN BIN HJ. MOHD. SARIF,MALE,,
P.112_N.12,MELAKA,P.112,BATU BERENDAM,N.12,SUNGAI UDANG,BN - UMNO,AHMAD NORDIN BIN MD. AMIN,MALE,,
P.113_N.13,MELAKA,P.113,KOTA MELAKA,N.13,TRANQUERAH,DAP,SIM TONG HIM,MALE,,
P.113_N.14,MELAKA,P.113,KOTA MELAKA,N.14,KUBU,DAP,YAU JIOK HUA @ YAU SIOK HUA,,,
P.113_N.15,MELAKA,P.113,KOTA MELAKA,N.15,DURIAN DAUN,DAP,KERK KIM HOCK,MALE,,
P.113_N.16,MELAKA,P.113,KOTA MELAKA,N.16,BANDAR HILIR,BN - MCA,GAN BOON LEONG,MALE,,
P.114_N.17,MELAKA,P.114,JASIN,N.17,SERKAM,BN - UMNO,ARIFIN BIN BABA,MALE,,
P.114_N.18,MELAKA,P.114,JASIN,N.18,AYER PANAS,BN - MCA,LIM AH KOW @ LIM SOO KIANG,,,
P.114_N.19,MELAKA,P.114,JASIN,N.19,RIM,BN - UMNO,JAAFAR BIN LAJIS,MALE,,
P.114_N.20,MELAKA,P.114,JASIN,N.20,SUNGAI RAMBAI,BN - UMNO,ABU ZAHAR BIN ISNIN,MALE,,
P.115_N.1,JOHOR,P.115,SEGAMAT,N.1,SEPINANG,BN - UMNO,OTHMAN BIN JAIS,MALE,,
P.115_N.2,JOHOR,P.115,SEGAMAT,N.2,JEMENTAH,BN - MCA,LIM SI CHENG,,,Y
P.116_N.3,JOHOR,P.116,LEDANG,N.3,TANGKAK,BN - MCA,YAP CHIK DONG,,,
P.116_N.4,JOHOR,P.116,LEDANG,N.4,SEROM,BN - UMNO,MD. NOOR BIN MD. DOM,MALE,,
P.117_N.5,JOHOR,P.117,PAGOH,N.5,BUKIT SERAMPANG,BN - UMNO,MAHIADDIN B. MD. YASIN,MALE,,Y
P.117_N.6,JOHOR,P.117,PAGOH,N.6,JORAK,BN - UMNO,SABARIAH BT. AHMAD,FEMALE,,
P.118_N.7,JOHOR,P.118,LABIS,N.7,TENANG,BN - UMNO,BAHARI BIN HARON,MALE,,
P.118_N.8,JOHOR,P.118,LABIS,N.8,BEKOK,BN - MCA,TAY BOON CHONG,,,
P.119_N.9,JOHOR,P.119,MERSING,N.9,ENDAU,BN - UMNO,KHADRI BIN SABRAN,MALE,,
P.119_N.10,JOHOR,P.119,MERSING,N.10,TENGGAROH,BN - MIC,ARUMUGAM CHETTIAR S/O VERRU CHETTIAR,MALE,,
P.120_N.11,JOHOR,P.120,KLUANG,N.11,PALOH,BN - MCA,PANG TONG YONG,,,
P.120_N.12,JOHOR,P.120,KLUANG,N.12,GUNUNG LAMBAK,BN - MCA,KANG CHOW OH,,,
P.121_N.13,JOHOR,P.121,PARIT SULONG,N.13,SRI MEDAN,BN - UMNO,KAMISAN BIN HAJI ASARI,MALE,,
P.121_N.14,JOHOR,P.121,PARIT SULONG,N.14,SEMERAH,BN - MCA,CHANG LU KIANG,,,
P.122_N.15,JOHOR,P.122,BAKRI,N.15,BUKIT NANING,BN - UMNO,HASHIM BIN RAIS,MALE,,
P.122_N.16,JOHOR,P.122,BAKRI,N.16,MAHARANI,DAP,SONG SING KWEE,,,
P.123_N.17,JOHOR,P.123,MUAR,N.17,PARIT BAKAR,BN - UMNO,MUSA BIN HJ. ISMAIL,MALE,,
P.123_N.18,JOHOR,P.123,MUAR,N.18,PARIT JAWA,BN - UMNO,ZAKARIA BIN MAHADI,MALE,,
P.124_N.19,JOHOR,P.124,SRI GADING,N.19,PARIT YAANI,BN - UMNO,MOHAMAD BIN HAJI AZIZ,MALE,,Y
P.124_N.20,JOHOR,P.124,SRI GADING,N.20,PARIT RAJA,BN - UMNO,SYED ZAIN BIN IDRUS,MALE,,Y
P.125_N.21,JOHOR,P.125,BATU PAHAT,N.21,PENGGARAM,BN - MCA,CHUA SOI LEK @ CHUA KIN SENG,MALE,,
P.125_N.22,JOHOR,P.125,BATU PAHAT,N.22,RENGIT,BN - UMNO,ABU BAKAR BIN MOHD. DEWA,MALE,,
P.126_N.23,JOHOR,P.126,SUNGAI BENUT,N.23,SIMPANG RENGGAM,BN - MCA,LAW BOON KING @ LOW BOON HONG,,,
P.126_N.24,JOHOR,P.126,SUNGAI BENUT,N.24,BENUT,BN - UMNO,AHMAD BIN SELAMAT,MALE,,
P.127_N.25,JOHOR,P.127,SENAI,N.25,KULAI,BN - GERAKAN,KEW CHE WAT @ KHOO CHE WAT,,,
P.127_N.26,JOHOR,P.127,SENAI,N.26,BANDAR TENGGARA,BN - UMNO,ADAM BIN ABDUL HAMID,MALE,,
P.128_N.27,JOHOR,P.128,KOTA TINGGI,N.27,SEDILI,BN - UMNO,TOSRIN BIN JARVANTHI,MALE,,
P.128_N.28,JOHOR,P.128,KOTA TINGGI,N.28,PENGERANG,BN - UMNO,HASMONI BIN HAJI SALIM,MALE,,
P.129_N.29,JOHOR,P.129,TEBRAU,N.29,TIRAM,BN - UMNO,MOHD. ALI BIN HASSAN,MALE,,
P.129_N.30,JOHOR,P.129,TEBRAU,N.30,PASIR GUDANG,BN - MIC,PALIKAINA SIWALINGGAM S/O KANDASAMY @ K. S. BALIKRISNAN,MALE,,
P.130_N.31,JOHOR,P.130,JOHOR BAHRU,N.31,TANJONG PUTERI,BN - UMNO,MD. YUNOS BIN SULAIMAN,MALE,,
P.130_N.32,JOHOR,P.130,JOHOR BAHRU,N.32,GERTAK MERAH,BN - MCA,LONG AH MUI @ LONG HOO HIN,,,
P.131_N.33,JOHOR,P.131,PULAI,N.33,TAMBATAN,BN - UMNO,MAHMOOD BIN DAUD,MALE,,
P.131_N.34,JOHOR,P.131,PULAI,N.34,GELANG PATAH,BN - MCA,CHEW KONG HUAT,,,
P.132_N.35,JOHOR,P.132,PONTIAN,N.35,PULAI SEBATANG,BN - UMNO,KHATIJAH BTE MD. SOM,FEMALE,,
P.132_N.36,JOHOR,P.132,PONTIAN,N.36,KUKUP,BN - UMNO,AHMAD BIN ABDULLAH,MALE,,
