UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,BERSEKUTU,BERSEKUTU CANDIDATE,BERSEKUTU CANDIDATE SEX,BERSEKUTU CANDIDATE AGE,BERSEKUTU VOTE,BERSEKUTU CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 154_N. 21,SABAH,P. 154,BEAUFORT,N. 21,KUALA PENYU,BN - PDS,,12066,884,80.43,9705,0,140,9565,PDS,WENCES ANGANG,MALE,,4956,,,,,,,,PBS,MARCELLINUS AUGUSTINE PIONG,MALE,,4072,,BERSEKUTU,AWANG HASHIM BIN AWANG GADOR,MALE,,468,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,MD TAJUDDIN BIN MD WALLI,MALE,,59,LOST DEPOSIT,INDEPENDENT - OIL PALM,ASMAT BIN MISRIN,MALE,,10,LOST DEPOSIT,,,,,,
P. 154_N. 22,SABAH,P. 154,BEAUFORT,N. 22,KLIAS,BN - UMNO,,15073,3778,75.74,11416,17,119,11280,UMNO,LAJIM BIN UKIN,MALE,,7209,,,,,,,,PBS,ABDUL RAHMAN BIN MD YAKUB,MALE,,3431,,BERSEKUTU,SAIDIN BIN MUSI @ SAIDIN BIN MUSEH,MALE,,640,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 155_N. 23,SABAH,P. 155,SIPITANG,N. 23,LUMADAN,BN - UMNO,,10648,2362,77.94,8299,14,132,8153,UMNO,SARINUM BINTI SADIKUN,FEMALE,,4678,,,,,,,,PBS,USOP BIN JUDIN,MALE,,2316,,BERSEKUTU,ABDUL SULAIMAN BIN OMAR,MALE,,847,LOST DEPOSIT,SETIA,JAHARI @ JOHARI BIN MOHD DU @ MOHD DON,MALE,,312,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 155_N. 24,SABAH,P. 155,SIPITANG,N. 24,SINDUMIN,BN - UMNO,,12070,1682,73.89,8919,4,75,8840,UMNO,SAPAWI BIN AMAT WASALI @ AHMAD,MALE,,4794,,,,,,,,PBS,JAMILAH @ HALIMAH BINTI SULAIMAN,FEMALE,,3112,,BERSEKUTU,PENGIRAN SARPUDIN AHMAD,MALE,,934,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 156_N. 25,SABAH,P. 156,KINABALU,N. 25,KUNDASANG,PBS,,11539,99,77.72,8968,0,112,8856,PDS,EWON BIN EBIN,MALE,,4102,,,,,,,,PBS,KARIM BIN ADAM,MALE,,4201,,BERSEKUTU,RAMDI BIN INDANG,MALE,,481,LOST DEPOSIT,SETIA,BENJIMIN @ BENJAMIN YASIN,MALE,,72,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 156_N. 26,SABAH,P. 156,KINABALU,N. 26,RANAU,BN - PDS,,14542,1227,77.82,11317,6,113,11198,PDS,SIRINGAN BIN GUBAT,MALE,,6074,,,,,,,,PBS,HENRYNUS AMIN,MALE,,4847,,BERSEKUTU,MUSLIEN BIN BARINGKOK,MALE,,224,LOST DEPOSIT,SETIA,SUTIAN @ PHLULUS BIN KENDILONG,MALE,,53,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 157_N. 27,SABAH,P. 157,KENINGAU,N. 27,TAMBUNAN,PBS,,11086,4675,84.12,9325,3,105,9217,PDS,PETRUS FRANCIS BIN GURITING,MALE,,2116,,,,,,,,PBS,JOSEPH PAIRIN KITINGAN,MALE,,6791,,BERSEKUTU,JOUTI @ JOSEPH BIN AJUN,MALE,,169,LOST DEPOSIT,SETIA,JUILI B. MATIMBUN,MALE,,141,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 157_N. 28,SABAH,P. 157,KENINGAU,N. 28,BINGKOR,PBS,,19009,3468,72.41,13764,20,117,13627,PBRS,DATUK SERI PANGLIMA JOSEPH KURUP,MALE,,4871,,,,,,,,PBS,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN,MALE,,8339,,BERSEKUTU,KUILAN BINTI ANGGAU @ JUSTINA,FEMALE,,395,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,PETER KODOU,MALE,,22,LOST DEPOSIT,,,,,,,,,,,,
P. 157_N. 29,SABAH,P. 157,KENINGAU,N. 29,PENSIANGAN,PBS,,10240,1279,71.35,7306,0,101,7205,PBRS,ELLRON BIN ANGIN,MALE,,2655,,,,,,,,PBS,ULIN BIN PAMIANG,MALE,,3934,,BERSEKUTU,SUSURU @ SIMON BIN ANTIBAK,MALE,,616,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 158_N. 30,SABAH,P. 158,TENOM,N. 30,MELALAP,PBS,,16607,2260,72.79,12088,3,105,11980,AKAR,KADOH BIN AGUNDONG,MALE,,4626,,,,,,,,PBS,RADIN MALLEH,MALE,,6886,,BERSEKUTU,EDWARD BIN SIBIN,MALE,,337,LOST DEPOSIT,,,,,,,INDEPENDENT - UMBRELLA,JAIT BIN MAHAT,MALE,,73,LOST DEPOSIT,INDEPENDENT - KEY,LIDOH RABIH @ GEORGE ROJOS,MALE,,58,LOST DEPOSIT,,,,,,
