UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,AREA (SQ KM),NOTES
P. 72,SELANGOR,P. 72,BUKIT BINTANG,19.01,Computed using Tindak Malaysia's electoral boundary files
P. 73,SELANGOR,P. 73,DAMANSARA,398.92,Computed using Tindak Malaysia's electoral boundary files
P. 74,SELANGOR,P. 74,KLANG,579.61,Computed using Tindak Malaysia's electoral boundary files
P. 75,SELANGOR,P. 75,KUALA LANGAT,522.01,Computed using Tindak Malaysia's electoral boundary files
P. 76,SELANGOR,P. 76,SEPANG,801.24,Computed using Tindak Malaysia's electoral boundary files
P. 77,SELANGOR,P. 77,SABAK BERNAM,737.10,Computed using Tindak Malaysia's electoral boundary files
P. 78,SELANGOR,P. 78,ULU SELANGOR,1558.35,Computed using Tindak Malaysia's electoral boundary files
P. 79,NEGRI SEMBILAN,P. 79,KUALA PILAH,884.75,Computed using Tindak Malaysia's electoral boundary files
P. 80,NEGRI SEMBILAN,P. 80,SEREMBAN TIMOR,378.01,Computed using Tindak Malaysia's electoral boundary files
P. 81,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,1128.51,Computed using Tindak Malaysia's electoral boundary files
P. 82,NEGRI SEMBILAN,P. 82,PORT DICKSON,694.89,Computed using Tindak Malaysia's electoral boundary files
P. 83,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,2982.82,Computed using Tindak Malaysia's electoral boundary files
P. 84,NEGRI SEMBILAN,P. 84,SEREMBAN BARAT,572.00,Computed using Tindak Malaysia's electoral boundary files
P. 85,MALACCA,P. 85,MALACCA TENGAH,280.73,Computed using Tindak Malaysia's electoral boundary files
P. 86,MALACCA,P. 86,BANDAR MALACCA,16.56,Computed using Tindak Malaysia's electoral boundary files
P. 87,MALACCA,P. 87,MALACCA UTARA,511.95,Computed using Tindak Malaysia's electoral boundary files
P. 88,MALACCA,P. 88,MALACCA SELATAN,846.79,Computed using Tindak Malaysia's electoral boundary files
P. 89,JOHORE,P. 89,MUAR DALAM,1184.58,Computed using Tindak Malaysia's electoral boundary files
P. 90,JOHORE,P. 90,SEGAMAT SELATAN,2451.47,Computed using Tindak Malaysia's electoral boundary files
P. 91,JOHORE,P. 91,MUAR PANTAI,178.97,Computed using Tindak Malaysia's electoral boundary files
P. 92,JOHORE,P. 92,MUAR SELATAN,796.01,Computed using Tindak Malaysia's electoral boundary files
P. 93,JOHORE,P. 93,BATU PAHAT,166.61,Computed using Tindak Malaysia's electoral boundary files
P. 94,JOHORE,P. 94,BATU PAHAT DALAM,1044.89,Computed using Tindak Malaysia's electoral boundary files
P. 95,JOHORE,P. 95,KLUANG UTARA,1064.40,Computed using Tindak Malaysia's electoral boundary files
P. 96,JOHORE,P. 96,JOHORE TENGGARA,2605.53,Computed using Tindak Malaysia's electoral boundary files
P. 97,JOHORE,P. 97,PONTIAN UTARA,696.82,Computed using Tindak Malaysia's electoral boundary files
P. 98,JOHORE,P. 98,PONTIAN SELATAN,543.29,Computed using Tindak Malaysia's electoral boundary files
P. 99,JOHORE,P. 99,KLUANG SELATAN,1218.95,Computed using Tindak Malaysia's electoral boundary files
P. 100,JOHORE,P. 100,JOHORE BAHRU TIMOR,534.58,Computed using Tindak Malaysia's electoral boundary files
P. 101,JOHORE,P. 101,JOHORE BAHRU BARAT,573.95,Computed using Tindak Malaysia's electoral boundary files
P. 102,JOHORE,P. 102,JOHORE TIMOR,4314.06,Computed using Tindak Malaysia's electoral boundary files
P. 103,JOHORE,P. 103,SEGAMAT UTARA,1101.44,Computed using Tindak Malaysia's electoral boundary files
P. 104,JOHORE,P. 104,MUAR UTARA,698.65,Computed using Tindak Malaysia's electoral boundary files
P. 105,SABAH,P. 105,MARUDU,2469.53,Computed using Tindak Malaysia's electoral boundary files
P. 106,SABAH,P. 106,BANDAU,2325.48,Computed using Tindak Malaysia's electoral boundary files
P. 107,SABAH,P. 107,KOTA BELUD,1381.74,Computed using Tindak Malaysia's electoral boundary files
P. 108,SABAH,P. 108,TUARAN,1147.87,Computed using Tindak Malaysia's electoral boundary files
P. 109,SABAH,P. 109,JESSELTON,88.26,Computed using Tindak Malaysia's electoral boundary files
P. 110,SABAH,P. 110,PENAMPANG,1290.86,Computed using Tindak Malaysia's electoral boundary files
P. 111,SABAH,P. 111,KIMANIS,1412.00,Computed using Tindak Malaysia's electoral boundary files
P. 112,SABAH,P. 112,LABUAN - BEAUFORT,1533.43,Computed using Tindak Malaysia's electoral boundary files
P. 113,SABAH,P. 113,SABAH SELATAN,5173.97,Computed using Tindak Malaysia's electoral boundary files
P. 114,SABAH,P. 114,SABAH DALAM,9104.83,Computed using Tindak Malaysia's electoral boundary files
P. 115,SABAH,P. 115,KINABALU,4579.32,Computed using Tindak Malaysia's electoral boundary files
P. 116,SABAH,P. 116,SANDAKAN,24.32,Computed using Tindak Malaysia's electoral boundary files
P. 117,SABAH,P. 117,LABUK - SUGUT,8760.75,Computed using Tindak Malaysia's electoral boundary files
P. 118,SABAH,P. 118,KINABATANGAN,19384.80,Computed using Tindak Malaysia's electoral boundary files
P. 119,SABAH,P. 119,DARVEL,8880.29,Computed using Tindak Malaysia's electoral boundary files
P. 120,SABAH,P. 120,TAWAU,6594.27,Computed using Tindak Malaysia's electoral boundary files
P. 121,SARAWAK,P. 121,BAU - LUNDU,2655.21,Computed using Tindak Malaysia's electoral boundary files
P. 122,SARAWAK,P. 122,BANDAR KUCHING,25.10,Computed using Tindak Malaysia's electoral boundary files
P. 123,SARAWAK,P. 123,SANTUBONG,555.50,Computed using Tindak Malaysia's electoral boundary files
P. 124,SARAWAK,P. 124,SAMARAHAN,832.03,Computed using Tindak Malaysia's electoral boundary files
P. 125,SARAWAK,P. 125,PADAWAN,1018.30,Computed using Tindak Malaysia's electoral boundary files
P. 126,SARAWAK,P. 126,SERIAN,2026.59,Computed using Tindak Malaysia's electoral boundary files
P. 127,SARAWAK,P. 127,SIMUNJAN,1654.43,Computed using Tindak Malaysia's electoral boundary files
P. 128,SARAWAK,P. 128,BATANG LUPAR,3381.84,Computed using Tindak Malaysia's electoral boundary files
P. 129,SARAWAK,P. 129,LUBOK ANTU,3221.95,Computed using Tindak Malaysia's electoral boundary files
P. 130,SARAWAK,P. 130,BETONG,1919.31,Computed using Tindak Malaysia's electoral boundary files
P. 131,SARAWAK,P. 131,SARATOK,1717.09,Computed using Tindak Malaysia's electoral boundary files
P. 132,SARAWAK,P. 132,SARIKEI,1697.65,Computed using Tindak Malaysia's electoral boundary files
P. 133,SARAWAK,P. 133,PAYANG,2196.34,Computed using Tindak Malaysia's electoral boundary files
P. 134,SARAWAK,P. 134,BANDAR SIBU,251.23,Computed using Tindak Malaysia's electoral boundary files
P. 135,SARAWAK,P. 135,RAJANG,4073.70,Computed using Tindak Malaysia's electoral boundary files
P. 136,SARAWAK,P. 136,MUKAH,6119.03,Computed using Tindak Malaysia's electoral boundary files
P. 137,SARAWAK,P. 137,JULAU,2613.14,Computed using Tindak Malaysia's electoral boundary files
P. 138,SARAWAK,P. 138,KANOWIT,2245.49,Computed using Tindak Malaysia's electoral boundary files
P. 139,SARAWAK,P. 139,KAPIT,6625.62,Computed using Tindak Malaysia's electoral boundary files
P. 140,SARAWAK,P. 140,ULU RAJANG,31737.98,Computed using Tindak Malaysia's electoral boundary files
P. 141,SARAWAK,P. 141,BINTULU,12251.79,Computed using Tindak Malaysia's electoral boundary files
P. 142,SARAWAK,P. 142,MIRI - SUBIS,5084.91,Computed using Tindak Malaysia's electoral boundary files
P. 143,SARAWAK,P. 143,BARAM,21796.68,Computed using Tindak Malaysia's electoral boundary files
P. 144,SARAWAK,P. 144,LIMBANG - LAWAS,7701.72,Computed using Tindak Malaysia's electoral boundary files
