UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 137_N. 11,SABAH,P. 137,TUARAN,N. 11,SULAMAN,BN - UMNO,,11771,876,79.73,9385,20,80,9285,UMNO,HAJIJI BIN HAJI NOR,MALE,,5016,,PBS,MATBEH BIN HJ. ISMAIL,MALE,,4140,,SETIA,MARGARET FARARENA MOHD. KIMON,FEMALE,,60,LOST DEPOSIT,,,,,,,INDEPENDENT,DATUK PENGIRAN OTHMAN RAUF,MALE,,69,LOST DEPOSIT,,,,,,,,,,,,
P. 137_N. 12,SABAH,P. 137,TUARAN,N. 12,KIULU,PBS,,8156,2528,76.58,6246,4,62,6180,AKAR,SULAH BT RAMPAS,FEMALE,,1826,,PBS,GISIN BIN LOMBUT,MALE,,4354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N. 13,SABAH,P. 138,KINABALU,N. 13,KUNDASANG,PBS,,11061,939,82.15,9087,3,111,8973,UMNO,KASITAH BIN GADDAM,MALE,,4017,,PBS,EWON EBIN,MALE,,4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N. 14,SABAH,P. 138,KINABALU,N. 14,RANAU,PBS,,10329,1022,80.34,8298,6,84,8208,AKAR,DATUK MARK KODING,MALE,,3593,,PBS,SIRINGAN BIN GUBAT @ ALLIANCE,MALE,,4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 15,SABAH,P. 139,JAMBONGAN,N. 15,SUGUT,BN - UMNO,,7386,79,65.53,4840,2,111,4727,UMNO,SURADY BIN KAYONG,MALE,,2403,,PBS,JUBLEE BIN KK ZEN,MALE,,2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 16,SABAH,P. 139,JAMBONGAN,N. 16,LABUK,PBS,,8847,1076,74.55,6595,0,72,6523,UMNO,AHMAD THAMRIN HJ. MOHD. JAINI,MALE,,2180,,PBS,TAN YONG GEE,MALE,,3256,,,,,,,,,,,,,,INDEPENDENT,DENNIS TWEENING RANTAU,MALE,,1087,,,,,,,,,,,,,
P. 139_N. 17,SABAH,P. 139,JAMBONGAN,N. 17,SUNGAI SIBUGA,BN - UMNO,,19960,3708,68.03,13579,548,212,12819,UMNO,MUSA BIN AMAN,MALE,,8211,,PBS,THIEN FUN YUN,MALE,,4503,,SETIA,SATIMAN BIN TAURAN,MALE,,42,LOST DEPOSIT,BERSEKUTU,HAMID JAN @ PIGING JAN,MALE,,63,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 140_N. 18,SABAH,P. 140,SANDAKAN,N. 18,ELOPURA,BN - SAPP,,14311,870,69.25,9910,78,123,9709,SAPP,YHAM NYIP SHEN,MALE,,4854,,PBS,CHONG KET WAH @ CHONG KET FAH,MALE,,3984,,,,,,,,DAP,ANG LIAN HAI,MALE,,871,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 140_N. 19,SABAH,P. 140,SANDAKAN,N. 19,TANJONG PAPAT,BN - SAPP,,12605,87,68.07,8580,93,64,8423,SAPP,TAN SU KIAH,MALE,,3614,,PBS,LAI LUN TZE,MALE,,3527,,,,,,,,DAP,FUNG KET WING,MALE,,1282,,,,,,,,,,,,,,,,,,,
P. 140_N. 20,SABAH,P. 140,SANDAKAN,N. 20,KARAMUNTING,PBS,,12218,113,68.92,8421,4,92,8325,SAPP,NG KET HENN @ WU KUO SHIEAN,MALE,,4106,,PBS,LAU PUI KEONG,MALE,,4219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
