UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (GE15 2022),TOTAL ELECTORS (2023),CHANGE IN VOTER COUNT,URBAN-RURAL CLASSIFICATION (2023)
P.105_N. 33,SELANGOR,P.105,PETALING JAYA,N. 33,TAMAN MEDAN,61585,61959,374,URBAN
P.105_N. 34,SELANGOR,P.105,PETALING JAYA,N. 34,BUKIT GASING,54317,54238,-79,URBAN
P.106_N. 35,SELANGOR,P.106,DAMANSARA,N. 35,KAMPUNG TUNKU,58510,58357,-153,URBAN
P.106_N. 36,SELANGOR,P.106,DAMANSARA,N. 36,BANDAR UTAMA,72269,73038,769,URBAN
P.106_N. 37,SELANGOR,P.106,DAMANSARA,N. 37,BUKIT LANJAN,108324,110583,2259,URBAN
P.107_N. 38,SELANGOR,P.107,SUNGAI BULOH,N. 38,PAYA JARAS,70729,72563,1834,URBAN
P.107_N. 39,SELANGOR,P.107,SUNGAI BULOH,N. 39,KOTA DAMANSARA,87361,90130,2769,URBAN
P.108_N. 40,SELANGOR,P.108,SHAH ALAM,N. 40,KOTA ANGGERIK,90996,95104,4108,URBAN
P.108_N. 41,SELANGOR,P.108,SHAH ALAM,N. 41,BATU TIGA,74748,75486,738,URBAN
P.109_N. 42,SELANGOR,P.109,KAPAR,N. 42,MERU,64367,65801,1434,URBAN
P.109_N. 43,SELANGOR,P.109,KAPAR,N. 43,SEMENTA,67782,68969,1187,URBAN
P.109_N. 44,SELANGOR,P.109,KAPAR,N. 44,SELAT KLANG,57220,57613,393,URBAN
P.110_N. 45,SELANGOR,P.110,KLANG,N. 45,BANDAR BARU KLANG,82340,82826,486,URBAN
P.110_N. 46,SELANGOR,P.110,KLANG,N. 46,PELABUHAN KLANG,50913,51907,994,URBAN
P.110_N. 47,SELANGOR,P.110,KLANG,N. 47,PANDAMARAN,75660,75777,117,URBAN
P.111_N. 48,SELANGOR,P.111,KOTA RAJA,N. 48,SENTOSA,88435,90270,1835,URBAN
P.111_N. 49,SELANGOR,P.111,KOTA RAJA,N. 49,SUNGAI KANDIS,76676,78605,1929,URBAN
P.111_N. 50,SELANGOR,P.111,KOTA RAJA,N. 50,KOTA KEMUNING,79601,81946,2345,URBAN
P.112_N. 51,SELANGOR,P.112,KUALA LANGAT,N. 51,SIJANGKANG,60902,62907,2005,SEMI URBAN
P.112_N. 52,SELANGOR,P.112,KUALA LANGAT,N. 52,BANTING,44454,44972,518,SEMI URBAN
P.112_N. 53,SELANGOR,P.112,KUALA LANGAT,N. 53,MORIB,43281,43828,547,SEMI URBAN
