UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 27,KELANTAN,P. 27,TANAH MERAH,BN - UMNO,,37665,2527,82.03,30896,421,788,29687,UMNO,SHAARI BIN HASSAN (IR. SHAARI),MALE,,16107,,PKR,SAUPI BIN DAUD (HAJI SAUPI HAJI DAUD),MALE,,13580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28,KELANTAN,P. 28,PASIR PUTEH,BA - PAS,,57308,3810,90.17,51676,266,1184,50226,UMNO,CHE MIN BIN CHE AHMAD (USTAZ CHE MIN BIN CHE AHMAD),MALE,57,23208,,PAS,KALTHOM BINTI OTHMAN (KAK SOM),FEMALE,,27018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29,KELANTAN,P. 29,MACHANG,BN - UMNO,,43874,135,80.67,35392,0,599,34793,UMNO,SAZMI BIN MIAH (SAZMIMIAH),MALE,,17464,,PAS,MOHD YUSOFF @ YUSOF BIN MOHD NOR (YUSOF HJ NOR),MALE,,17329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30,KELANTAN,P. 30,JELI,BN - UMNO,,32729,7353,82.38,26961,0,394,26567,UMNO,MUSTAPA BIN MOHAMED (DATO' PA),MALE,54,16960,,PAS,MOHD APANDI BIN MOHAMAD (HAJI PENDI),MALE,,9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31,KELANTAN,P. 31,KUALA KRAI,BN - UMNO,,45259,2416,81.02,36667,2,785,35880,UMNO,MOHAMED RAZALI BIN CHE MAMAT (CHE GU MAT RAZALI),MALE,,19148,,PAS,ABD. RAHIM BIN WAN ABDULLAH (CHE GU RAHIM),MALE,,16732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 32,KELANTAN,P. 32,GUA MUSANG,BN - UMNO,,26137,6598,80.64,21076,0,534,20542,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH (TENGKU RAZALEIGH HAMZAH),MALE,67,13570,,PAS,ZULKEFLI BIN MOHAMED (DR ZUL),MALE,,6972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33,TERENGGANU,P. 33,BESUT,BN - UMNO,,51284,8500,86.49,44357,0,683,43674,UMNO,ABDULLAH BIN MD ZIN (DATO' DR ABDULLAH BIN MD.ZIN),MALE,,26087,,PAS,NASHARUDIN BIN MAT ISA (USTAZ HAJI NASHARUDIN MAT ISA),MALE,,17587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34,TERENGGANU,P. 34,SETIU,BN - UMNO,,48161,7405,88.23,42494,47,760,41687,UMNO,MOHD YUSOF BIN MAJID (MOHD YUSOP MAJID),MALE,41,24546,,PAS,CHE GHANI BIN CHE AMBAK (HAJI CHE GHANI BIN CHE AMBAK),MALE,,17141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35,TERENGGANU,P. 35,KUALA NERUS,BN - UMNO,,52468,4097,88.71,46546,140,713,45693,UMNO,CHE AZMI BIN HJ A RAHMAN (CHE AZMI BIN HJ A RAHMAN),MALE,,24895,,PAS,M SHUKRIMUN BIN SHAMSUDIN (M SHUKRIMUN SHAMSUDIN),MALE,,20798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,BN - UMNO,,72259,1933,84.54,61085,240,790,60055,UMNO,RAZALI BIN ISMAIL (HJ. RAZALI BIN ISMAIL),MALE,55,30994,,PAS,SYED AZMAN SYED AHMAD NAWAWI (DR SYED AZMAN SYED AHMAD NAWAWI),MALE,42,29061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
