UNIQUE CODE,STATE,FEDERAL LEGISLATIVE CONSTITUENCY CODE,FEDERAL LEGISLATIVE COUNCIL CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
NO. 24,NEGERI SEMBILAN,NO. 24,NEGRI SEMBILAN UTARA,ALLIANCE - UMNO,,26502,19583,89.31,23668,435,23233,UMNO,MOHD. IDRIS BIN MAT SIL,MALE,42,21155,,,,,,,,NEGARA,DATO UJANG BIN MENUANG,MALE,54,1572,LOST DEPOSIT,,,,,,,INDEPENDENT,NOORDIN BIN HAJI ABDUL SAMAD,MALE,35,506,LOST DEPOSIT,,,,,,
NO. 25,NEGERI SEMBILAN,NO. 25,NEGRI SEMBILAN SELATAN,ALLIANCE - UMNO,,18651,8509,85.87,16015,326,15689,UMNO,ABDUL JALIL BIN HAJI AMINUDIN,MALE,52,12099,,,,,,,,NEGARA,BABA BIN LUDEK,MALE,41,3590,,,,,,,,,,,,,,,,,,,
NO. 26,NEGERI SEMBILAN,NO. 26,SEREMBAN,ALLIANCE - MCA,,12979,6096,83.60,10850,142,10708,MCA,LEE KEE SIONG,MALE,52,8402,,,,,,,,NEGARA,B.H. TAN,MALE,40,2306,,,,,,,,,,,,,,,,,,,
NO. 27,PAHANG,NO. 27,ULU PAHANG,ALLIANCE - UMNO,,22812,14165,80.82,18437,452,17985,UMNO,MOHAMED SULONG BIN MOHAMED ALI,MALE,55,16075,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL MAJID BIN MA'AJAB,MALE,,1910,LOST DEPOSIT,,,,,,
NO. 28,PAHANG,NO. 28,SEMANTAN,ALLIANCE - UMNO,,19849,12095,82.49,16373,280,16093,UMNO,DATO ABDUL RAZAK BIN HUSSAIN,MALE,33,14094,,PMIP,MOHAMED YASSIN BIN MOHD. SALLEH,MALE,50,1999,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
NO. 29,PAHANG,NO. 29,PAHANG TIMOR,ALLIANCE - UMNO,,22291,15429,83.15,18536,439,18097,UMNO,ABDUL RAHMAN BIN HAJI TALIB,MALE,39,16763,,,,,,,,,,,,,,,,,,,,INDEPENDENT,SHEIK KADIR BIN SHEIK OMAR,MALE,30,1334,LOST DEPOSIT,,,,,,
NO. 30,JOHORE,NO. 30,JOHORE TIMOR,ALLIANCE - UMNO,,14155,10450,82.86,11729,326,11403,UMNO,DR. ISMAIL BIN DATO ABDUL RAHMAN,MALE,40,10800,,,,,,,,NEGARA,JAAFAR BIN HAJI ALI,MALE,,350,LOST DEPOSIT,,,,,,,INDEPENDENT,HAJI ABDULLAH BIN HAJI TAIB,MALE,,253,LOST DEPOSIT,,,,,,
NO. 31,JOHORE,NO. 31,JOHORE BAHRU,ALLIANCE - UMNO,,15042,5943,77.62,11675,128,11547,UMNO,SULEIMAN BIN DATO ADUL RAHMAN,MALE,43,8745,,,,,,,,NEGARA,DATO ONN BIN JAAFAR,MALE,60,2802,,,,,,,,,,,,,,,,,,,
NO. 32,JOHORE,NO. 32,JOHORE SELATAN,ALLIANCE - MCA,,29090,19263,83.78,24372,473,23899,MCA,DR. L.H. TAN,,,21581,,,,,,,,NEGARA,KASSIM BIN AWANG CHIK,MALE,,2318,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 33,JOHORE,NO. 33,JOHORE TENGAH,ALLIANCE - MCA,,11737,6032,71.73,8419,251,8168,MCA,TEO CHZE CHONG,MALE,,7100,,,,,,,,NEGARA,HAJI AWANG BIN HAJI ABDUL MALEK,MALE,,1068,,,,,,,,,,,,,,,,,,,
