UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 177_N. 24,SARAWAK,P. 177,LUBOK ANTU,N. 24,ENGKILILI,BN - SUPP,TOH HENG SAN,MALE,,
P. 177_N. 25,SARAWAK,P. 177,LUBOK ANTU,N. 25,BATANG AIR,BN - PBDS,UNTING ANAK INGKOT,MALE,46,Y
P. 178_N. 26,SARAWAK,P. 178,BETONG,N. 26,SARIBAS,BN - PBB,WAHBI BIN JUNAIDI,MALE,,
P. 178_N. 27,SARAWAK,P. 178,BETONG,N. 27,LAYAR,BN - PBB,ALFRED JABU ANAK NUMPANG,MALE,61,
P. 179_N. 28,SARAWAK,P. 179,SARATOK,N. 28,KALAKA,BN - PBB,ABDUL WAHAB BIN AZIZ,MALE,54,
P. 179_N. 29,SARAWAK,P. 179,SARATOK,N. 29,KRIAN,BN - SNAP,PETER NYAROK ANAK ENTRIE,MALE,54,
P. 180_N. 30,SARAWAK,P. 180,KUALA RAJANG,N. 30,BELAWAI,BN - PBB,HAMDEN BIN AHMAD,MALE,53,
P. 180_N. 31,SARAWAK,P. 180,KUALA RAJANG,N. 31,SERDENG,BN - PBB,MOHAMAD ASFIA BIN AWANG NASSAR,MALE,54,
P. 180_N. 32,SARAWAK,P. 180,KUALA RAJANG,N. 32,MATU DARO,BN - PBB,WAHAB BIN HAJI DOLAH,MALE,51,
P. 181_N. 33,SARAWAK,P. 181,SARIKEI,N. 33,MERADONG,BN - SUPP,TING CHECK SII,MALE,,
P. 181_N. 34,SARAWAK,P. 181,SARIKEI,N. 34,REPOK,BN - SUPP,DAVID TENG LUNG CHI,MALE,56,
P. 182_N. 35,SARAWAK,P. 182,JULAU,N. 35,PAKAN,BN - SNAP,WILLIAM IKOM,MALE,52,
P. 182_N. 36,SARAWAK,P. 182,JULAU,N. 36,MELUAN,INDEPENDENT,WONG ANAK JUDAT,MALE,,
P. 183_N. 37,SARAWAK,P. 183,KANOWIT,N. 37,NGEMAH,BN - PBDS,ADEK ANAK DENONG,MALE,,
P. 183_N. 38,SARAWAK,P. 183,KANOWIT,N. 38,MACHAN,BN - PBB,DATUK GRAMONG JUNA,MALE,55,
P. 184_N. 39,SARAWAK,P. 184,LANANG,N. 39,BUKIT ASSEK,BN - SUPP,NGIENG KIONG ANN,MALE,49,
P. 184_N. 40,SARAWAK,P. 184,LANANG,N. 40,DUDONG,BN - SUPP,SOON CHOON TECK,MALE,58,
P. 185_N. 41,SARAWAK,P. 185,SIBU,N. 41,BAWANG ASSAN,BN - SUPP,WONG SOON KOH,MALE,59,
P. 185_N. 42,SARAWAK,P. 185,SIBU,N. 42,PELAWAN,BN - SUPP,GOH CHUNG SIONG,MALE,50,
P. 185_N. 43,SARAWAK,P. 185,SIBU,N. 43,NANGKA,BN - PBB,AWANG BEMEE BIN AWANG ALI BASAH,MALE,42,
P. 186_N. 44,SARAWAK,P. 186,MUKAH,N. 44,DALAT,BN - PBB,FATIMAH BT ABDULLAH @ TING SAI MING,FEMALE,44,
P. 186_N. 45,SARAWAK,P. 186,MUKAH,N. 45,BALINGIAN,BN - PBB,DATUK PATINGGI TAN SRI (DR.) HAJI ABDUL TAIB BIN MAHMUD,MALE,65,
P. 187_N. 46,SARAWAK,P. 187,SELANGAU,N. 46,TAMIN,BN - PBDS,JOSEPH ENTULU ANAK BELAUN,MALE,,
P. 187_N. 47,SARAWAK,P. 187,SELANGAU,N. 47,KAKUS,BN - PBDS,JOHN SIKIE ANAK TAYAI,MALE,51,
P. 188_N. 48,SARAWAK,P. 188,KAPIT,N. 48,PELAGUS,BN - PBDS,LARRY SOON @ LARAY SANG WEI SHIEN,MALE,22,
P. 188_N. 49,SARAWAK,P. 188,KAPIT,N. 49,KATIBAS,BN - PBB,AMBROSE BLIKAU,MALE,48,Y
P. 189_N. 50,SARAWAK,P. 189,HULU RAJANG,N. 50,BALEH,BN - PBDS,JAMES JEMUT ANAK MASING,MALE,52,
P. 189_N. 51,SARAWAK,P. 189,HULU RAJANG,N. 51,BELAGA,BN - PBDS,STANLEY ANJANG BATOK,MALE,,
P. 190_N. 52,SARAWAK,P. 190,BINTULU,N. 52,KEMENA,BN - PBB,RUNDI @ STEPHEN RUNDTHEE ANAK UTOM,MALE,41,
P. 190_N. 53,SARAWAK,P. 190,BINTULU,N. 53,KIDURONG,DAP,CHIEW CHIU SING,MALE,51,
P. 190_N. 54,SARAWAK,P. 190,BINTULU,N. 54,JEPAK,BN - PBB,TALIB BIN ZULPILIP,MALE,50,
P. 191_N. 55,SARAWAK,P. 191,MIRI,N. 55,LAMBIR,BN - PBB,SWIN BIN JEMAAH @ AIDIN WING,MALE,47,
P. 191_N. 56,SARAWAK,P. 191,MIRI,N. 56,PIASAU,BN - SUPP,GEORGE CHAN HONG NAM,MALE,65,
P. 191_N. 57,SARAWAK,P. 191,MIRI,N. 57,SENADIN,BN - SUPP,LEE KIM SIN,MALE,51,
P. 192_N. 58,SARAWAK,P. 192,BARAM,N. 58,MARUDI,BN - SNAP,SYLVESTER ENTRI ANAK MURAN,MALE,47,
P. 192_N. 59,SARAWAK,P. 192,BARAM,N. 59,TELANG USAN,BN - PBB,LIHAN JOK,MALE,44,
P. 193_N. 60,SARAWAK,P. 193,BUKIT MAS,N. 60,LIMBANG,BN - SNAP,RICHARD WONG SHOON FOOK,MALE,,
P. 193_N. 61,SARAWAK,P. 193,BUKIT MAS,N. 61,LAWAS,BN - PBB,TENGAH BIN ALI HASSAN,MALE,46,
P. 193_N. 62,SARAWAK,P. 193,BUKIT MAS,N. 62,BA'KELALAN,BN - SNAP,DR. JUDSON SAKAI TAGAL,MALE,49,Y
