UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),URBAN-RURAL CLASSIFICATION (2013)
P.131,NEGERI SEMBILAN,P.131,REMBAU,79661,70.41,12.39,16.39,0.41,0.1,0.11,0.2,98.39,0.04,0.51,1.07,SEMI URBAN
P.132,NEGERI SEMBILAN,P.132,TELOK KEMANG,70524,42.34,33.82,21.4,0.2,0.65,1.24,0.35,87.71,0.02,1.53,10.74,SEMI URBAN
P.133,NEGERI SEMBILAN,P.133,TAMPIN,57268,61.48,24.05,12.65,0.15,0.43,1.02,0.23,91,0.02,0.62,8.36,SEMI URBAN
P.134,MELAKA,P.134,MASJID TANAH,45952,81.87,13.37,3.89,0.33,0.07,0.12,0.35,99.04,0.02,0.19,0.75,SEMI URBAN
P.135,MELAKA,P.135,ALOR GAJAH,63591,58.48,27.8,12.86,0.59,0.07,0.06,0.13,99.29,0.01,0.7,0,RURAL
P.136,MELAKA,P.136,TANGGA BATU,73282,68.06,24.95,3.53,0.13,1.06,1.78,0.49,84.3,0.02,0.09,15.58,SEMI URBAN
P.137,MELAKA,P.137,BUKIT KATIL,99438,52.79,40.76,5.7,0.01,0.16,0.12,0.46,98.91,0.02,0.81,0.26,URBAN
P.138,MELAKA,P.138,KOTA MELAKA,92322,35.75,59.07,3.64,0.01,0.07,0.08,1.38,99.28,0.03,0.69,0,URBAN
P.139,MELAKA,P.139,JASIN,64455,71.32,18.14,10.16,0.12,0.06,0.07,0.14,99.42,0.01,0.57,0,SEMI URBAN
P.140,JOHOR,P.140,SEGAMAT,47009,44.29,45.55,9.87,0.09,0.03,0.05,0.12,99.26,0.02,0.72,0,RURAL
P.141,JOHOR,P.141,SEKIJANG,43066,56.13,38.98,4.54,0.14,0.02,0.04,0.13,99.96,0.02,0.02,0,RURAL
P.142,JOHOR,P.142,LABIS,37714,36.52,46.47,15.07,1.74,0.05,0.04,0.11,99.78,0.02,0.2,0,RURAL
P.143,JOHOR,P.143,PAGOH,46793,64.79,30.83,3.88,0.36,0.04,0.03,0.07,99.82,0,0.18,0,RURAL
P.144,JOHOR,P.144,LEDANG,69316,53.61,41.12,4.76,0.34,0.04,0.04,0.09,99.54,0.03,0.43,0,SEMI URBAN
P.145,JOHOR,P.145,BAKRI,67202,44.07,53.21,2.25,0,0.08,0.09,0.29,97.69,0.02,2.29,0,URBAN
P.146,JOHOR,P.146,MUAR,48208,62.78,35.38,1.48,0,0.07,0.09,0.2,98.81,0.01,1.12,0.06,SEMI URBAN
P.147,JOHOR,P.147,PARIT SULONG,56896,76.84,22.47,0.45,0.01,0.02,0.06,0.15,99.92,0.01,0.07,0,RURAL
P.148,JOHOR,P.148,AYER HITAM,42913,57.91,37.96,3.95,0,0.02,0.05,0.1,99.81,0.02,0.17,0,SEMI URBAN
P.149,JOHOR,P.149,SRI GADING,44816,64.7,33.65,1.42,0,0.05,0.05,0.13,99.8,0.02,0.1,0.09,SEMI URBAN
P.150,JOHOR,P.150,BATU PAHAT,88272,52.66,45.61,1.39,0.05,0.04,0.05,0.19,99.41,0.03,0.56,0,SEMI URBAN
P.151,JOHOR,P.151,SIMPANG RENGGAM,40143,56.79,33.13,9.64,0.02,0.08,0.11,0.23,97.94,0,2.05,0,RURAL
P.152,JOHOR,P.152,KLUANG,86732,39.57,49.27,9.78,0.06,0.29,0.75,0.29,92.86,0.03,0.44,6.67,URBAN
P.153,JOHOR,P.153,SEMBRONG,41588,58.74,30.88,8.94,1.19,0.02,0.04,0.19,99.87,0.01,0.13,0,RURAL
P.154,JOHOR,P.154,MERSING,44497,79.81,15.78,1.29,1.55,0.47,0.87,0.23,93.81,0.02,0.71,5.47,RURAL
P.155,JOHOR,P.155,TENGGARA,39694,73.07,17.46,6.95,0.56,0.45,1.25,0.27,95.31,0.01,0.1,4.58,RURAL
P.156,JOHOR,P.156,KOTA TINGGI,41894,87,10.51,2.13,0.07,0.03,0.09,0.16,99.3,0.01,0.69,0,RURAL
P.157,JOHOR,P.157,PENGERANG,37999,88.45,10.05,0.85,0.22,0.13,0.18,0.12,97.12,0.01,0.16,2.71,RURAL
P.158,JOHOR,P.158,TEBRAU,90482,47.42,38.19,13.26,0.09,0.23,0.51,0.31,99.86,0.01,0.13,0,URBAN
P.159,JOHOR,P.159,PASIR GUDANG,101041,47.78,38.43,11.05,0.06,1.23,1.1,0.35,97.81,0.02,0.72,1.44,URBAN
P.160,JOHOR,P.160,JOHOR BAHRU,96321,51.57,42.58,4.98,0.02,0.17,0.25,0.43,97.48,0.03,1.46,1.02,URBAN
P.161,JOHOR,P.161,PULAI,100490,47.87,41,10.02,0.15,0.21,0.32,0.42,98.4,0.03,1.57,0,URBAN
P.162,JOHOR,P.162,GELANG PATAH,106726,34.27,52.4,12.49,0.23,0.14,0.27,0.2,99.11,0.03,0.82,0.05,URBAN
P.163,JOHOR,P.163,KULAI,83991,33.12,56.13,10.27,0.01,0.17,0.15,0.15,99.3,0.02,0.68,0,SEMI URBAN
P.164,JOHOR,P.164,PONTIAN,49633,71.4,27.46,0.89,0.03,0.02,0.04,0.17,99.82,0.01,0.17,0,RURAL
P.165,JOHOR,P.165,TANJONG PIAI,51875,52.12,46.49,1.07,0.01,0.06,0.08,0.16,99.37,0.02,0.61,0,SEMI URBAN
P.166,WILAYAH PERSEKUTUAN LABUAN,P.166,LABUAN,24474,39.25,23.16,1.48,0,31.57,1.73,2.81,93.95,0.02,1.09,4.94,SEMI URBAN
P.167,SABAH,P.167,KUDAT,47249,6.61,10.77,0.15,0.01,71.73,0.29,10.46,99.08,0,0.92,0,RURAL
P.168,SABAH,P.168,KOTA MARUDU,42197,4.19,2.29,0.08,0,91.92,0.22,1.29,99.65,0,0.35,0,RURAL
P.169,SABAH,P.169,KOTA BELUD,51467,4.59,1.58,0.16,0,91.64,0.23,1.8,99.57,0,0.28,0.14,RURAL
P.170,SABAH,P.170,TUARAN,48276,4.78,5.97,0.23,0,87.13,0.34,1.54,99.64,0,0.35,0,RURAL
P.171,SABAH,P.171,SEPANGGAR,53374,16.1,19.43,0.47,0.01,57.96,0.56,5.47,95.91,0.02,0.01,4.06,URBAN
P.172,SABAH,P.172,KOTA KINABALU,50516,4.78,70.26,1,0,21.64,0.38,1.94,97.85,0.03,1.68,0.44,URBAN
P.173,SABAH,P.173,PUTATAN,37490,22.94,18.79,0.7,0.01,50.76,1.07,5.73,90.79,0.01,0.1,9.1,URBAN
P.174,SABAH,P.174,PENAMPANG,44323,5.19,32.4,0.74,0,59.56,0.59,1.51,96.72,0.01,3.15,0.13,URBAN
P.175,SABAH,P.175,PAPAR,38771,9.91,8.74,0.43,0.01,77.32,0.6,3,97.64,0.01,2.35,0,SEMI URBAN
P.176,SABAH,P.176,KIMANIS,26628,11.16,4.01,0.18,0,81.72,0.51,2.42,99.94,0,0.06,0,RURAL
P.177,SABAH,P.177,BEAUFORT,30097,7.92,7.59,0.35,0,81.55,0.61,1.98,99.47,0,0.53,0,RURAL
P.178,SABAH,P.178,SIPITANG,29177,9.55,4.27,0.14,0,82.37,1.71,1.97,99.64,0,0.36,0,RURAL
P.179,SABAH,P.179,RANAU,39053,3.13,1.96,0.06,0.01,93.92,0.3,0.64,99.66,0,0.34,0,RURAL
P.180,SABAH,P.180,KENINGAU,43691,5.57,9.65,0.18,0,81.88,0.63,2.08,99.41,0.01,0.58,0,RURAL
P.181,SABAH,P.181,TENOM,25304,7.07,12.17,0.15,0.01,78.56,0.47,1.56,99.51,0,0.48,0,RURAL
P.182,SABAH,P.182,PENSIANGAN,26194,3.01,1.44,0.08,0,94.4,0.3,0.77,99.95,0,0.05,0,RURAL
P.183,SABAH,P.183,BELURAN,24688,9.47,1.07,0.17,0,81.02,1.22,7.03,99.52,0,0.48,0,RURAL
P.184,SABAH,P.184,LIBARAN,39772,25.69,20.49,0.25,0.01,38.54,0.64,14.38,98.56,0.01,0,1.43,RURAL
P.185,SABAH,P.185,BATU SAPI,30199,17.81,33.35,0.35,0.03,38.03,0.95,9.48,92.93,0,3.5,3.57,URBAN
P.186,SABAH,P.186,SANDAKAN,37058,13.67,53.39,0.57,0.01,25.21,0.63,6.51,99.17,0.01,0.8,0.02,URBAN
P.187,SABAH,P.187,KINABATANGAN,24748,16.56,0.77,0.14,0.01,75.4,0.95,6.16,99.62,0,0.38,0,RURAL
P.188,SABAH,P.188,SILAM,51662,23.44,12.66,0.54,0,50.69,1.02,11.64,98.15,0,1.85,0,SEMI URBAN
P.189,SABAH,P.189,SEMPORNA,41549,10.01,1.96,0.1,0.01,85.12,0.3,2.5,97.96,0,1.13,0.91,RURAL
P.190,SABAH,P.190,TAWAU,51538,33.02,37.67,0.26,0.01,16.54,0.89,11.62,99.96,0.01,0,0.03,URBAN
P.191,SABAH,P.191,KALABAKAN,46793,46.04,11.24,0.38,0.01,18.3,2.12,21.9,94.64,0,2.29,3.07,URBAN
P.192,SARAWAK,P.192,MAS GADING,25771,4.59,19.1,0.14,0.01,0.15,75.83,0.17,99.48,0,0.52,0,
P.193,SARAWAK,P.193,SANTUBONG,37017,79.88,8.11,0.04,0.02,0.07,11.78,0.1,99.52,0,0.33,0.15,
P.194,SARAWAK,P.194,PETRA JAYA,49750,74.34,12.33,0.53,0.01,0.22,12.28,0.29,98.25,0.03,1.72,0,
P.195,SARAWAK,P.195,BANDAR KUCHING,53336,4.48,90.94,0.4,0,0.17,3.86,0.14,97.93,0.01,1.9,0.16,
P.196,SARAWAK,P.196,STAMPIN,84732,10.69,73.25,0.88,0.03,0.18,14.71,0.27,95.3,0.03,1.48,3.19,
P.197,SARAWAK,P.197,KOTA SAMARAHAN,38158,60.6,12.09,0.24,0.11,0.67,26.04,0.24,86.03,0.01,0.35,13.61,
P.198,SARAWAK,P.198,MAMBONG,42344,6.5,26.68,0.2,0.03,0.31,66.05,0.23,97.22,0,2.78,0,
P.199,SARAWAK,P.199,SERIAN,33713,7.18,10.57,0.1,0.01,0.15,81.83,0.16,99.45,0,0.54,0,
P.200,SARAWAK,P.200,BATANG SADONG,19839,68.18,5.64,0.03,0.01,0.1,25.78,0.27,99.56,0,0.44,0,
P.201,SARAWAK,P.201,BATANG LUPAR,27360,65.18,3.24,0.02,0.01,0.09,31.4,0.05,99.96,0,0.04,0,
P.202,SARAWAK,P.202,SRI AMAN,29789,9.22,17.02,0.04,0.02,0.17,73.35,0.17,96.25,0,1.27,2.47,
P.203,SARAWAK,P.203,LUBOK ANTU,19303,1.42,8.1,0.03,0.02,0.18,90.12,0.14,99.7,0.01,0.29,0,
