UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.022,KELANTAN,P.022,PASIR MAS,PR-PAS,,71965,8047,83.6,60168,238,1115,58815,,,,,,PR-PAS,NIK MOHAMAD ABDUH BIN NIK ABDUL AZIZ,,,33431,,,,,,,,,,,,,,,,,INDEPENDENT,IBRAHIM BIN ALI,,,25384,,,,,,,,,,,,,,,
P.023,KELANTAN,P.023,RANTAU PANJANG,PR-PAS,,52903,6362,79.3,41934,130,632,41172,BN - UMNO,MOHAMAD FATMI BIN CHE SALLEH,,,17405,PR-PAS,SITI ZAILAH BINTI MOHD YUSOFF,,,23767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,KELANTAN,P.024,KUBANG KERIAN,PR-PAS,,65390,16741,84.3,55108,224,605,54279,BN - UMNO,ANUAR BIN SAFIAN,,,18769,PR-PAS,AHMAD BAIHAKI BIN ATIQULLAH,,,35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,KELANTAN,P.025,BACHOK,PR-PAS,,81566,201,88,71792,208,947,70637,BN - UMNO,AWANG ADEK BIN HUSSIN,,,35218,PR-PAS,AHMAD MARZUK BIN SHAARY,,,35419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026,KELANTAN,P.026,KETEREH,BN - UMNO,,62217,974,86.6,53906,180,876,52850,BN - UMNO,ANNUAR BIN MUSA,,,26912,PR-PKR,AB AZIZ BIN AB KADIR,,,25938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,KELANTAN,P.027,TANAH MERAH,BN - UMNO,,58237,4227,85.9,50009,137,876,48996,BN - UMNO,IKMAL HISHAM BIN ABDUL AZIZ,,,26505,PR-PKR,NIK MAHMOOD BIN NIK HASSAN,,,22278,,,,,,,,,,,,,,,,,INDEPENDENT,AHMAD FIZAL BIN CHE HARUN,,,213,,,,,,,,,,,,,,,
P.028,KELANTAN,P.028,PASIR PUTEH,PR-PAS,,76259,1888,86.9,66232,192,770,65270,BN - UMNO,TUAN MUSTAFFA BIN TUAN MAT,,,31691,PR-PAS,NIK MAZIAN BIN NIK MOHAMAD,,,33579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029,KELANTAN,P.029,MACHANG,BN - UMNO,,59226,805,86.7,51372,128,729,50515,BN - UMNO,AHMAD JAZLAN BIN YAAKUB,,,25660,PR-PKR,WAN ZAWAWI BIN WAN ISMAIL,,,24855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,KELANTAN,P.030,JELI,BN - UMNO,,43224,5336,87.6,37871,93,424,37354,BN - UMNO,MUSTAPA BIN MOHAMED,,,21345,PR-PAS,MOHD APANDI BIN MOHAMAD,,,16009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,KELANTAN,P.031,KUALA KRAI,PR-PAS,,63101,2043,86.6,54643,128,720,53795,BN - UMNO,TUAN AZIZ BIN TUAN HAMAT @ TUAN MAT,,,25876,PR-PAS,MOHD HATTA BIN MD RAMLI,,,27919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,KELANTAN,P.032,GUA MUSANG,BN - UMNO,,40176,8413,87.4,35097,64,712,34321,BN - UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH,,,21367,PR-PAS,WAN ABD RAHIM BIN WAN ABDULLAH,,,12954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,TERENGGANU,P.033,BESUT,BN - UMNO,,72566,8342,86.8,63017,254,641,62122,BN - UMNO,IDRIS BIN JUSOH,,,35232,PR-PAS,RIDUAN BIN MOHAMAD NOR,,,26890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
