UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.029,KELANTAN,P.029,MACHANG,BN - UMNO,,59226,805,86.74,51372,128,729,50515,UMNO,DATUK JAZLAN,MALE,,25660,,PKR,DR WAN ZAWAWI,MALE,,24855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,KELANTAN,P.030,JELI,BN - UMNO,,43224,5336,87.62,37871,93,424,37354,UMNO,DATO’ PA,MALE,,21345,,,,,,,,PAS,HAJI PENDI,MALE,,16009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,KELANTAN,P.031,KUALA KRAI,PR - PAS,,63101,2043,86.60,54643,128,720,53795,UMNO,TUAN AZIZ TUAN MAT,MALE,,25876,,,,,,,,PAS,DR HATTA RAMLI,MALE,,27919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,KELANTAN,P.032,GUA MUSANG,BN - UMNO,,40176,8413,87.36,35097,64,712,34321,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,,21367,,,,,,,,PAS,DATO WAN RAHIM,MALE,,12954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,TERENGGANU,P.033,BESUT,BN - UMNO,,72566,8342,86.84,63017,254,641,62122,UMNO,DATO’  SERI HJ  IDRIS JUSOH,MALE,,35232,,,,,,,,PAS,USTAZ RIDUAN  MOHD NOR,MALE,,26890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,TERENGGANU,P.034,SETIU,BN - UMNO,,67280,7943,88.08,59262,124,685,58453,UMNO,CHE MOHAMAD ZULKIFLY BIN JUSOH,MALE,,33198,,,,,,,,PAS,HAJI OMAR SIDEK,MALE,,25255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,PR - PAS,,76238,610,89.24,68036,152,772,67112,UMNO,DATO’ MOHD NASIR B.  TAN SRI IBRAHIM FIKRI,MALE,,33251,,,,,,,,PAS,UST DR  KHAIRUDDIN  AT-TAKIRI,MALE,,33861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,PR - PAS,,94406,10785,86.99,82122,224,845,81053,UMNO,MOHD ZUBIR BIN EMBONG,MALE,,35043,,,,,,,,PAS,RAJA KAMARUL,MALE,,45828,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MAIMUN BINTI YUSUF,FEMALE,,182,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,PR - PAS,,90795,5124,90.13,81829,180,805,80844,UMNO,DATO’ HJ. YAHYA BIN KHATIB MOHAMAD,MALE,,37860,,,,,,,,PAS,DATO’ SERI TUAN GURU HAJI ABDUL HADI AWANG,MALE,,42984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,BN - UMNO,,63543,8213,89.13,56634,144,823,55667,UMNO,DATO’ JAILANI  JOHAR,MALE,,31940,,,,,,,,PAS,USTAZ KAMARUZAMAN BIN ABDULLAH,MALE,,23727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
