UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDANT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDANT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) CANDIDATE VOTE,INDEPENDANT (3) CANDIDATE LOST DEPOSIT
P.108_N.41,SELANGOR,P.108,SHAH ALAM,N.41,BATU TIGA,PR - PKR,,45005,3805,87.52,39390,71,432,38887,UMNO,AHMAD NAWAWI BIN M.ZIN,MALE,51,17479,,PKR,RODZIAH ISMAIL,FEMALE,49,21284,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,MOHD UZI BIN CHE HUSSIN,MALE,32,124,LOST DEPOSIT,,,,,,,,,,,,
P.109_N.42,SELANGOR,P.109,KAPAR,N.42,MERU,PR - PAS,,39457,9079,90.03,35523,87,343,35093,UMNO,HJ. SUKAIMAN AHMAD,MALE,61,13007,,PAS,DR ABD RANI BIN OSMAN,MALE,54,22086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109_N.43,SELANGOR,P.109,KAPAR,N.43,SEMENTA,PR - PKR,,40406,7846,88.80,35879,78,425,35376,UMNO,HJ MD GHAZALI MD AMIN,MALE,60,13674,,PKR,DR DAROYAH ALWI,FEMALE,51,21520,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,S. SINGAM,MALE,,182,LOST DEPOSIT,,,,,,,,,,,,
P.109_N.44,SELANGOR,P.109,KAPAR,N.44,SUNGAI PINANG,PR - DAP,,27404,11309,86.66,23747,37,291,23419,MCA,LEE SIEW CHEE,FEMALE,38,6055,,DAP,DATO' TENG CHANG KHIM,MALE,50,17364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109_N.45,SELANGOR,P.109,KAPAR,N.45,SELAT KELANG,PR - PAS,,36892,2754,86.40,31874,98,360,31416,UMNO,FAISAL YAHYA,MALE,52,14331,,PAS,DR HALIMAH ALI,FEMALE,53,17085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.110_N.46,SELANGOR,P.110,KLANG,N.46,PELABUHAN KLANG,PR - PKR,,39972,2994,87.15,34835,51,596,34188,UMNO,DATUK HJ NASARRUDDIN BIN M ZIN,MALE,50,15597,,PKR,TAN SRI DATO' SERI ABD KHALID IBRAHIM,MALE,67,18591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.110_N.47,SELANGOR,P.110,KLANG,N.47,PANDAMARAN,PR - DAP,,27594,9176,87.40,24118,29,365,23724,MCA,CHING EU BOON,MALE,67,7135,,DAP,TAN POK SHYONG,MALE,,16311,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BAG,HAMZAH BIN LAMIN,MALE,,216,LOST DEPOSIT,INDEPENDENT - ELEPHANT,AL. DELIGANU @ MR DELI,MALE,,62,LOST DEPOSIT,,,,,,
P.110_N.48,SELANGOR,P.110,KLANG,N.48,KOTA ALAM SHAH,PR - DAP,,29507,13369,85.63,25266,39,386,24841,PPP,MAGLIN DCRUZ (MAG),MALE,57,5602,,DAP,GANABATIRAU A/L VERAMAN,MALE,40,18971,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,LOO HOK CHAI,MALE,60,186,LOST DEPOSIT,INDEPENDENT - HIBISCUS,L. P. SELVAM,MALE,60,82,LOST DEPOSIT,,,,,,
P.111_N.49,SELANGOR,P.111,KOTA RAJA,N.49,SERI ANDALAS,PR - PKR,,56763,15633,87.30,49552,95,582,48875,MIC,T. MOHAN,MALE,40,15858,,PKR,DR XAVIER JAYAKUMAR,MALE,60,31491,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,HANAFIAH BIN HUSIN,MALE,,871,LOST DEPOSIT,INDEPENDENT - PEN,P.UTHAYAKUMAR,MALE,52,614,LOST DEPOSIT,INDEPENDENT - BIRD,KS KOTTAPAN,MALE,51,41,LOST DEPOSIT
P.111_N.50,SELANGOR,P.111,KOTA RAJA,N.50,SRI MUDA,PR - PKR,,49146,12510,87.85,43177,63,406,42708,UMNO,ABDUL RAOF MOKHTAR,MALE,46,14978,,PKR,SHUHAIMI HAJI SHAFIEI,MALE,45,27488,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO' SARO,FEMALE,,242,LOST DEPOSIT,,,,,,,,,,,,
