UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT ,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT ,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,PR - PAS,,28981,2806,87.25,25286,72,291,24923,UMNO,HASHIM BIN JAHAYA,MALE,51,11016,,,,,,,,PAS,DATO' IR. HAJI AMIRUDDIN BIN HAMZAH,MALE,51,13822,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ABD SAMAT BIN CHE NOH,MALE,,85,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,PR - PAS,,34559,1044,85.07,29399,82,335,28982,UMNO,DATO' LATT SHARIMAN BIN ABDULLAH,MALE,45,13969,,,,,,,,PAS,MOHD NASIR BIN MUSTAFA,MALE,45,15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,PR - PAS,,31788,3884,86.72,27568,86,314,27168,UMNO,NOOR HASITA BINTI MAT ISA,FEMALE,45,11642,,,,,,,,PAS,DATO' IR. HAJI PHAHROLRAZI BIN MOHD ZAWAWI,MALE,54,15526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,PR - PAS,,34623,5833,88.82,30751,74,364,30313,UMNO,NAJMUDDIN BIN DARUS,MALE,,12172,,,,,,,,PAS,DATO' TAULAN RASUL,MALE,71,18005,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,ABU BAKAR BIN ABDULLAH,MALE,,136,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,BN - UMNO,,35512,6994,89.62,31827,55,577,31195,UMNO,SURAYA BINTI YAACOB,FEMALE,44,18929,,,,,,,,PAS,FADZIL BAHARUM,MALE,43,11935,,,,,,,,,,,,,,KITA,CHAREAN A/L ISEN,MALE,35,139,LOST DEPOSIT,INDEPENDENT - BIRD,ROSLI BIN OMAR,MALE,,192,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,PR - PAS,,27287,2774,89.44,24406,57,351,23998,UMNO,AR MOHD FAZILLAH BIN MOHD ALI,MALE,55,10520,,,,,,,,PAS,DATO' SERI DIRAJA USTAZ HJ AZIZAN BIN ABDUL RAZAK,MALE,69,13294,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,CIKGU SOBRI AHMAD,MALE,,100,LOST DEPOSIT,INDEPENDENT - HIBISCUS,ABDULLAH BIN HASHIM,MALE,,84,LOST DEPOSIT,,,,,,,,,,,,
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,BN - UMNO,,21086,2298,86.76,18295,51,226,18018,UMNO,DATO' DR. KU ABD. RAHMAN BIN KU ISMAIL,MALE,61,10158,,,,,,,,PAS,MUSODDAK BIN HJ AHMAD,MALE,44,7860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,BN - MCA,,26037,1296,84.79,22077,59,492,21526,MCA,DOKTOR LEONG YONG KONG,MALE,53,11411,,PKR,SALMA ISMAIL,FEMALE,,10115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,BN - UMNO,,21200,842,90.14,19109,46,261,18802,UMNO,DATUK MOHD TAJUDIN ABDULLAH,MALE,49,9822,,,,,,,,PAS,USTAZ BAKILANI,MALE,43,8980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,BN - UMNO,,25586,2060,89.77,22968,41,351,22576,UMNO,MAHADZIR BIN ABDUL HAMID,MALE,38,12318,,,,,,,,PAS,USTAZ TARMIZI SULAIMAN,MALE,37,10258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
