UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P. 177_N. 24,SARAWAK,P. 177,LUBOK ANTU,N. 24,ENGKILILI,BN - SUPP,,8582,374,73.61,6317,7,87,6223,SUPP,TOH HENG SAN,MALE,,3152,,,,,,,,INDEPENDENT - KEY,SANGGONG AK BUNGU,MALE,,106,,INDEPENDENT - PALM OIL TREE,SERIT AK KUNCHAU,MALE,,187,,INDEPENDENT - ROOSTER,SIM CHOO NAM,MALE,,2778,,,,,,,,,,,,,
P. 177_N. 25,SARAWAK,P. 177,LUBOK ANTU,N. 25,BATANG AIR,BN - PBDS,,7084,2555,75,5313,4,100,5209,PBDS,DUBLIN UNTING ANAK INGKOT,MALE,41,3882,,,,,,,,INDEPENDENT - FISH,KLINSING ANAK MANAU,MALE,,1327,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 26,SARAWAK,P. 178,BETONG,N. 26,SARIBAS,BN - PBB,,9226,1996,61.87,5708,11,123,5574,PBB,DR. HAJI WAHBI B. HAJI JUNAIDI,MALE,,3161,,,,,,,,INDEPENDENT - CHAIR,HJ ZAINI BIN HJ. SIAM,MALE,,1165,,INDEPENDENT - SCISSORS,ALBERT DASS,MALE,,802,,INDEPENDENT - OIL PALM,JEMAT PANJANG,MALE,,446,,,,,,,,,,,,,
P. 178_N. 27,SARAWAK,P. 178,BETONG,N. 27,LAYAR,BN - PBB,Y,10636,,,,,,,PBB,ALFRED JABU ANAK NUMPANG,MALE,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 28,SARAWAK,P. 179,SARATOK,N. 28,KALAKA,BN - PBB,Y,12865,,,,,,,PBB,ABDUL WAHAB BIN AZIZ,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 29,SARAWAK,P. 179,SARATOK,N. 29,KRIAN,BN - SNAP,,9931,477,72.84,7234,15,60,7159,SNAP,PETER NYAROK ANAK ENTRIE,MALE,54,3818,,,,,,,,INDEPENDENT - CHAIR,MUSA ANAK DINGGAT,MALE,,3341,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 30,SARAWAK,P. 180,KUALA RAJANG,N. 30,BELAWAI,BN - PBB,Y,9172,,,,,,,PBB,HAMDEN AHMAND,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 31,SARAWAK,P. 180,KUALA RAJANG,N. 31,SERDENG,BN - PBB,,7923,2747,71.44,5660,4,108,5548,PBB,DATO' MOHAMAD ASFIA AWANG NASAR,MALE,49,4075,,,,,,,,INDEPENDENT - KEY,IBRAHIM BIN TAHA,MALE,,145,,INDEPENDENT - UMBRELLA,ZAITON BINTI NOR MOHAMED,FEMALE,,1328,,,,,,,,,,,,,,,,,,,
P. 180_N. 32,SARAWAK,P. 180,KUALA RAJANG,N. 32,MATU DARO,BN - PBB,,9853,4578,72.74,7167,19,188,6960,PBB,WAHAB BIN HAJI DOLAH,MALE,46,5769,,,,,,,,INDEPENDENT - KEY,MOSTAPA BIN KUSAIRI,MALE,,1191,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 33,SARAWAK,P. 181,SARIKEI,N. 33,MERADONG,INDEPENDENT - ROOSTER,,13951,1258,72.35,10093,24,122,9947,SUPP,THOMAS HII KING HIONG,MALE,51,4262,,,,,,,,INDEPENDENT - KITE,WILLIAM MINGGU SABUN,MALE,,133,,INDEPENDENT - BUS,CHAN ENG CHAI,MALE,,32,,INDEPENDENT - ROOSTER,YII CHU LIK,MALE,,5520,,,,,,,,,,,,,
P. 181_N. 34,SARAWAK,P. 181,SARIKEI,N. 34,REPOK,BN - SUPP,Y,18250,,,,,,,SUPP,DAVID TENG LUNG CHI,MALE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 35,SARAWAK,P. 182,JULAU,N. 35,PAKAN,BN - SNAP,,7608,330,73.79,5614,0,138,5476,SNAP,WILLIAM MAWAN IKOM,MALE,47,2903,,,,,,,,INDEPENDENT - KEY,SAMUEL EDWARD CHUN,MALE,,2573,,,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 36,SARAWAK,P. 182,JULAU,N. 36,MELUAN,BN - SNAP,,9456,131,73.15,6917,20,139,6758,SNAP,GEMAN AK ITAM,MALE,,2869,,,,,,,,INDEPENDENT - KEY,DAVID AK GRAMONG,MALE,,172,,INDEPENDENT - UMBRELLA,JEFFREY GERAMAN NYAMBANG,MALE,,979,,INDEPENDENT - ROOSTER,THOMAS SALANG ANAK SIDEN,MALE,,2738,,,,,,,,,,,,,
P. 183_N. 37,SARAWAK,P. 183,KANOWIT,N. 37,NGEMAH,BN - PBDS,,7581,1707,62.89,4768,8,111,4649,PBDS,GABRIEL ADIT AK DEMONG,MALE,,3178,,,,,,,,INDEPENDENT - AEROPLANE,PETER TALAJAN AK SABAI,MALE,,1471,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183_N. 38,SARAWAK,P. 183,KANOWIT,N. 38,MACHAN,BN - PBB,,9932,2230,73,7250,5,116,7129,PBB,DATUK GRAMONG JUNA,MALE,49,4619,,,,,,,,INDEPENDENT - CHAIR,DOUGLAS LIMBAI ANAK GURAN,MALE,,121,,INDEPENDENT,ANGKI KABOY,MALE,,2389,,,,,,,,,,,,,,,,,,,
P. 184_N. 39,SARAWAK,P. 184,LANANG,N. 39,BUKIT ASSEK,DAP,,18310,226,63.3,11591,23,82,11486,SUPP,TAN SRI DATUK AMAR DR. WONG SOON KAI,MALE,69,5630,,DAP,WONG HO LENG,MALE,36,5856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 40,SARAWAK,P. 184,LANANG,N. 40,DUDONG,BN - SUPP,Y,18353,,,,,,,SUPP,SOON CHOON TECK,MALE,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 41,SARAWAK,P. 185,SIBU,N. 41,BAWANG ASSAN,BN - SUPP,,18388,2709,61.45,11300,5,98,11197,SUPP,WONG SOON KOH,MALE,54,6953,,DAP,CHIAN PAO KOH,MALE,,4244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 42,SARAWAK,P. 185,SIBU,N. 42,PELAWAN,DAP,,20733,974,67.73,14043,32,65,13946,SUPP,GOH CHUNG SIONG,MALE,45,6486,,DAP,WONG SING NANG,MALE,38,7460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
