Unique Code,State,Parliamentary Code,Parliamentary Seat Name,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.171,SARAWAK,P.171,LANANG,GR - DAP,,39078,3973,69.66,27220,170,213,26837,SUPP,TIEU SUNG SEE,MALE,,11432,,,,,,,,DAP,WONG SING NANG,MALE,32,15405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.172,SARAWAK,P.172,SIBU,BN - SUPP,,32371,2008,70.16,22711,503,226,21982,SUPP,ROBERT LAU HOI CHEW,MALE,,11914,,,,,,,,DAP,LING SIE MING,MALE,,9906,,,,,,,,PLUS,TANG LUNG CHIEW,MALE,,162,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.173,SARAWAK,P.173,MUKAH,BN - PBB,,25155,8305,61.19,15393,71,395,14927,PBB,DR. LEO MICHAEL TOYAD,MALE,40,11616,,,,,,,,,,,,,,,,,,,,PERMAS,ABDUL GHANI @ LAI RANI B. ETLI,MALE,,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.174,SARAWAK,P.174,SELANGAU,INDEPENDENT - ROOSTER,,16971,1025,66.03,11206,11,235,10960,SUPP,JEROME RUNGGOL,MALE,40,4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,JOSEPH MAUH,MALE,39,5443,,INDEPENDENT - OIL PALM,LINTON ALBERT,MALE,,1099,LOST DEPOSIT,,,,,,,,,,,,
P.175,SARAWAK,P.175,KAPIT,BN - PBB,,17854,1241,78.05,13935,21,186,13728,PBB,JAMES JIMBUN AK PUNGGA,MALE,50,7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,AHMAD B. SALLEH,MALE,,163,LOST DEPOSIT,INDEPENDENT - FISH,DATO' SNG CHEE HUA,MALE,43,6162,,,,,,,,,,,,,
P.176,SARAWAK,P.176,HULU RAJANG,INDEPENDENT - ROOSTER,,14004,1193,70.87,9924,16,315,9593,SNAP,JUSTINE JINGGUT,MALE,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,BILLY ABIT JOO,MALE,40,5393,,,,,,,,,,,,,,,,,,,
P.177,SARAWAK,P.177,BINTULU,BN - SNAP,,29673,287,62.58,18569,22,292,18255,SNAP,DATUK AMAR JAMES WONG KIM MIN,MALE,58,6337,,,,,,,,DAP,CHIEW CHIU SING,MALE,40,6050,,,,,,,,PERMAS,DATO SALLEH JAFARUDDIN,MALE,47,3227,,,,,,,,INDEPENDENT - ROOSTER,DANIEL SIGAH AK LIMBAI,MALE,,523,LOST DEPOSIT,INDEPENDENT - KEY,FRANCIS LUTAU JILAN,MALE,,2118,LOST DEPOSIT,,,,,,,,,,,,
P.178,SARAWAK,P.178,MIRI,BN - SUPP,,53111,8181,63.05,33486,240,377,32869,SUPP,PETER CHIN FAH KUI,MALE,45,18904,,,,,,,,DAP,LO YUNG TEE,MALE,,10723,,,,,,,,PERMAS,SARBINI BIN MORNI,MALE,,3242,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.179,SARAWAK,P.179,BARAM,INDEPENDENT - UMBRELLA,,22722,839,54.71,12431,14,202,12215,SNAP,LUHAT WAN,MALE,,4742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,HARRISON NGAU LAING,MALE,30,5581,,INDEPENDENT - ROOSTER,JOK DING,MALE,37,1892,,,,,,,,,,,,,
P.180,SARAWAK,P.180,BUKIT MAS,BN - PBB,,27641,2872,64.47,17819,2,281,17536,PBB,MICHAEL LISA KAYA,MALE,,10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,HJ. IBRAHIM B. HJ. ABDULLAH,MALE,,294,LOST DEPOSIT,INDEPENDENT - KEY,MUNIR KARIM,MALE,,7185,,,,,,,,,,,,,
