UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.6_N.7,KEDAH,P.6,KOTA SETAR,N.7,LANGGAR,BN - UMNO,,24388,1351,77.55,18912,0,467,18445,UMNO,SYEIKH ALIAS BIN HAJI MUSTAFA,MALE,,9898,,PAS,SYEIKH MUHAMAD ABDULLAH,MALE,,8547,,,,,,,,,,,,,,,,,,,,,,,,,
P.6_N.8,KEDAH,P.6,KOTA SETAR,N.8,DERGA,BN - UMNO,,20654,1162,71.75,14819,0,430,14389,UMNO,ABDUL RAHMAN B IBRAHIM,MALE,,7673,,,,,,,,,,,,,,S46,BASHARON HANAFIAH,MALE,,6511,,INDEPENDENT,JAYAGOPAL ADAIKKALAM,MALE,,205,LOST DEPOSIT,,,,,,
P.7_N.9,KEDAH,P.7,ALOR SETAR,N.9,ALOR MERAH,BN - UMNO,,31018,8326,73.15,22690,37,619,22034,UMNO,DATO' AZIZAN B HAJI TAIB,MALE,,15180,,PAS,CHEGU NASRUN DIN,MALE,,6854,,,,,,,,,,,,,,,,,,,,,,,,,
P.7_N.10,KEDAH,P.7,ALOR SETAR,N.10,KOTA DARULAMAN,GR - DAP,,28126,640,68.02,19130,84,664,18382,MCA,DR. CH'NG KOK HEONG,MALE,,8871,,,,,,,,DAP,GEORGE JOHN,MALE,,9511,,,,,,,,,,,,,,,,,,,
P.8_N.11,KEDAH,P.8,KUALA KEDAH,N.11,ALOR JANGGUS,BN - UMNO,,21889,377,76.1,16658,16,531,16111,UMNO,DATO HAJI ZAKARIA SAID,MALE,,8244,,PAS,HAJI ABDUL RAHMAN B HALIM,MALE,,7867,,,,,,,,,,,,,,,,,,,,,,,,,
P.8_N.12,KEDAH,P.8,KUALA KEDAH,N.12,PENGKALAN KUNDOR,BN - UMNO,,21780,1165,74.68,16265,11,365,15889,UMNO,DATO HJ SYED RAZAK B HAJI SYED ZAIN,MALE,,8527,,PAS,PHAHROLRAZI ZAWAWI,MALE,,7362,,,,,,,,,,,,,,,,,,,,,,,,,
P.9_N.13,KEDAH,P.9,PENDANG,N.13,BUKIT RAYA,APU - PAS,,25340,1829,80.96,20514,39,458,20017,UMNO,DATO' SYED MANSOR BARAKBAH,MALE,,9094,,PAS,USTAZ FADZIL NOOR,MALE,,10923,,,,,,,,,,,,,,,,,,,,,,,,,
P.9_N.14,KEDAH,P.9,PENDANG,N.14,AYER PUTEH,BN - UMNO,,21612,3929,76.31,16493,9,831,15653,UMNO,USTAZAH FATIMAH HAJI ISMAIL,FEMALE,,9791,,,,,,,,,,,,,,S46,CIKGU HAJI SHAIRY BIN AHMAD,MALE,,5862,,,,,,,,,,,,,
P.10_N.15,KEDAH,P.10,JERAI,N.15,SALA,BN - UMNO,,19357,596,77.04,14912,11,411,14490,UMNO,AHMAD BIN HAJI AWANG,MALE,,7543,,PAS,USTAZ ZAHARI,MALE,,6947,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_N.16,KEDAH,P.10,JERAI,N.16,YAN,BN - UMNO,,17814,4298,70.67,12589,29,578,11982,UMNO,DATO' PADUKA HJ ABDULLAH ISMAIL,MALE,,8140,,,,,,,,,,,,,,S46,JAMIL LONG,MALE,,3842,,,,,,,,,,,,,
