UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,SABAH ALLIANCE (1),SABAH ALLIANCE (1) CANDIDATE,SABAH ALLIANCE (1) CANDIDATE SEX,SABAH ALLIANCE (1) CANDIDATE AGE,SABAH ALLIANCE (1) VOTE,SABAH ALLIANCE (1) CANDIDATE LOST DEPOSIT,SABAH ALLIANCE (2),SABAH ALLIANCE (2) CANDIDATE,SABAH ALLIANCE (2) CANDIDATE SEX,SABAH ALLIANCE (2) CANDIDATE AGE,SABAH ALLIANCE (2) VOTE,SABAH ALLIANCE (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P110_S12,SABAH,P110,PENAMPANG,S12,PAPAR,SABAH ALLIANCE - USNO,,4718,358,95.63%,4512,,92,4420,USNO,JUMAH BIN SALLIM,MALE,,2389,N/A,UPKO,FRED SINODOL,MALE,,2031,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P111_S13,SABAH,P111,KIMANIS,S13,BONGAWAN,SABAH ALLIANCE - USNO,,7540,818,92.08%,6943,,193,6750,USNO,SHERZEMAN MULKIAMAN,MALE,,3784,N/A,UPKO,ABU BAKAR BIN HAJI PENGIRAN AHMAD,MALE,,2966,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P111_S14,SABAH,P111,KIMANIS,S14,KUALA PENYU,SABAH ALLIANCE - UPKO,,6532,514,94.52%,6174,,110,6064,USNO,AWANG ANAK BIN A. M. THAUFECK,MALE,,2775,N/A,UPKO,WONG FOOK SIANG,MALE,,3289,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P112_S15,SABAH,P112,LABUAN-BEAUFORT,S15,LABUAN,SABAH ALLIANCE - USNO,,5854,2003,85.94%,5031,,138,4893,USNO,O. K. K. ABDULLAH BIN ANSON,MALE,,3448,N/A,,,,,,,INDEPENDENT - BELL,LUCAS KONG THIAM SINN,MALE,,1445,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P112_S16,SABAH,P112,LABUAN-BEAUFORT,S16,BEAUFORT,SABAH ALLIANCE - USNO,,6802,1120,93.18%,6338,,230,6108,USNO,HAJI MOHD. DUN BIN BANIR,MALE,,3598,N/A,UPKO,HASJI ASNEH BIN HASSAN,MALE,,2478,N/A,INDEPENDENT - BICYCLE,MOHAMMAD YASSIN BURAW,MALE,,32,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P113_S17,SABAH,P113,SABAH SELATAN,S17,TENOM,SABAH ALLIANCE - UPKO,,5303,752,86.16%,4569,,205,4364,USNO,DATO MOHD YASSIN,MALE,,1806,N/A,UPKO,TINGKALOR BIN O. T. LAMPAG,MALE,,2558,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P113_S18,SABAH,P113,SABAH SELATAN,S18,SIPITANG-ULU PADAS,SABAH ALLIANCE - USNO,,4897,1112,88.91%,4354,,94,4260,USNO,HARRIS BIN MOHD SALLEH,MALE,37,2686,N/A,UPKO,SADUM AGONG,MALE,,1574,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P114_S19,SABAH,P114,SABAH DALAM,S19,KENINGAU,SABAH ALLIANCE - UPKO,,4683,1012,90.88%,4256,,194,4062,USNO,R. M. JASNI,MALE,,1525,N/A,UPKO,N. C. ANTHONY UNDAN BIN ANDULAG,MALE,,2537,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P114_S20,SABAH,P114,SABAH DALAM,S20,PENSIANGAN-SOOK,SABAH ALLIANCE - UPKO,,6540,1222,87.42%,5717,,187,5530,USNO,UNTONG,MALE,,2154,N/A,UPKO,STEPHEN KOROH,MALE,,3376,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P115_S21,SABAH,P115,KINABALU,S21,RANAU,SABAH ALLIANCE - UPKO,,7576,1602,90.05%,6822,,84,6738,USNO,AMIN BIN MOHAMMAD ALI,MALE,,2568,N/A,UPKO,DATO GANIE GILONG,MALE,35,4170,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P115_S22,SABAH,P115,KINABALU,S22,TAMBUNAN,SABAH ALLIANCE - UPKO,,3917,2408,91.55%,3586,,111,3475,,,,,,,UPKO,ANTHONY GIBON,MALE,,2901,N/A,INDEPENDENT - SHOE,NG AH KIEW,MALE,,7,N/A,INDEPENDENT - CHICKEN,ONG SHIH CHANG,MALE,,5,N/A,INDEPENDENT - BELL,PRIMUS,MALE,,493,N/A,INDEPENDENT - LAMP,JOSEPH MARCUS PODTUNG,MALE,,69,N/A,,,,,,
P116_S23,SABAH,P116,SANDAKAN,S23,SANDAKAN BANDAR,SABAH ALLIANCE - SCA,,4924,426,85.09%,4190,,46,4144,SCA,KHOO SIAK CHIEW,MALE,,2285,N/A,,,,,,,INDEPENDENT - CHICKEN,CHONG THAIN VUN,MALE,31,1859,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P116_S24,SABAH,P116,SANDAKAN,S24,ELOPURA,INDEPENDENT - TEAPOT,,4539,1496,87.55%,3974,,40,3934,SCA,MR. PETER LO SU YIN,MALE,43,1219,N/A,,,,,,,INDEPENDENT - TEAPOT,MR. YAP PAK LEONG,MALE,32,2715,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P117_S25,SABAH,P117,LABUK - SUGUT,S25,SUGUT,SABAH ALLIANCE - USNO,,5273,2427,80.90%,4266,,100,4166,USNO,KANGKAWANG BIN KULANG,MALE,,3271,N/A,UPKO,NASRUN LUNSUI,MALE,,844,N/A,INDEPENDENT - BELL,LO PIN FAH THOMAS,MALE,,51,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P117_S26,SABAH,P117,LABUK - SUGUT,S26,LABUK,SABAH ALLIANCE - UPKO,,5471,62,86.57%,4736,,44,4692,USNO,HAJI SALLEH BIN O. T. OTIK,MALE,,2315,N/A,UPKO,JIMMY MALIS,MALE,,2377,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P118_S27,SABAH,P118,KINABATANGAN,S27,KUALA KINABATANGAN,SABAH ALLIANCE - USNO,,6888,2010,84.70%,5834,,45,5789,USNO,DATU ALIUDDIN BIN DATO HARUN,MALE,,3871,N/A,UPKO,ABDUL AZIZ BIN MOHD. SAID,MALE,,1861,N/A,INDEPENDENT - LAMP,"CHONG YUK KIM, SIMON",MALE,,7,N/A,INDEPENDENT - BALL,WONG FOOK SIANG,MALE,,50,N/A,,,,,,,,,,,,,,,,,,
P118_S28,SABAH,P118,KINABATANGAN,S28,LAMAG,SABAH ALLIANCE - USNO,,4883,1375,83.37%,4071,,72,3999,USNO,DATO HAJI PENGIRAN GALPAM BIN PENGIRAN INDUT,MALE,,2687,N/A,UPKO,PHILIP NIUN,MALE,,1312,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P119_S29,SABAH,P119,DARVEL,S29,LAHAD DATU,SABAH ALLIANCE - USNO,,4760,474,84.29%,4012,,110,3902,USNO,SALLEH SULONG,MALE,27,2188,N/A,,,,,,,INDEPENDENT - HIBISCUS,TAN CHONG MING,MALE,,1714,N/A,,,,,,,,,,,,,,,,,,,,,,,,
P119_S30,SABAH,P119,DARVEL,S30,SEMPORNA,SABAH ALLIANCE - USNO,,8134,3670,84.68%,6888,,366,6522,USNO,O. K. K. SAKARAN,MALE,47,5096,N/A,UPKO,ABDUL GAFAR BIN HAMULAWAN,MALE,,1426,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P120_S31,SABAH,P120,TAWAU,S31,MEROTAI,SABAH ALLIANCE - USNO,Y,3262,,,,,,,USNO,MOHD. KASSIM BIN KAMIDIN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P120_S32,SABAH,P120,TAWAU,S32,BALUNG,SABAH ALLIANCE - SCA,,5075,1238,84.18%,4272,,110,4162,SCA,CHAN FOO SANG,MALE,,2232,N/A,,,,,,,INDEPENDENT - HAND FAN,TAI YAU KHIUN,MALE,,648,N/A,INDEPENDENT - BALL,RICHARD LEE,MALE,,127,N/A,INDEPENDENT - SHOE,STEPHEN CHAN TZE HUNG,MALE,,994,N/A,INDEPENDENT - UMBRELLA,AMPONG BIN KERAHU,MALE,,148,N/A,INDEPENDENT - CHAIR,ROBERT CHENG,MALE,,13,N/A
