UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 134,JOHOR,P. 134,SRI GADING,BN - UMNO,,55710,17558,74.83,41687,67,866,40754,UMNO,MOHAMAD BIN HAJI AZIZ,MALE,59,29156,,PAS,KHALID BIN ABD SAMAD,MALE,42,11598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135,JOHOR,P. 135,BATU PAHAT,BN - UMNO,,64048,17448,73.66,47176,79,1197,45900,UMNO,SIAM BIN KASRIN,MALE,,31674,,PAS,MOHD RAMLI BIN MD KARI,MALE,,14226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 136,JOHOR,P. 136,TENGGARA,BN - UMNO,,48461,20817,78.06,37829,903,991,35935,UMNO,HISHAMMUDDIN BIN HUSSEIN,MALE,38,28376,,,,,,,,PKN,LOKMAN NOOR BIN ADAM,MALE,26,7559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137,JOHOR,P. 137,SUNGAI BENUT,BN - UMNO,,57646,20692,72.59,41844,89,1291,40464,UMNO,ABD HAMID BIN ABD RAHMAN,MALE,46,30578,,PAS,UNGKU MOHD NOOR BIN UNGKU MAHMOOD,MALE,,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138,JOHOR,P. 138,SENAI,BN - MCA,,64753,17533,74.99,48556,24,1591,46941,MCA,LIM SI CHENG,MALE,49,32237,,DAP,TAN HANG MENG,MALE,,14704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139,JOHOR,P. 139,KOTA TINGGI,BN - UMNO,,57571,32161,78.15,44994,156,1187,43651,UMNO,SYED HAMID BIN S. JAAFAR ALBAR,MALE,55,37906,,,,,,,,PKN,ROSDIN BIN DATO HJ. ABDUL RAHMAN MAHMUD,MALE,,5745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140,JOHOR,P. 140,TEBRAU,BN - UMNO,,87202,35485,75.2,65572,809,1680,63083,UMNO,DATUK ALI HASSAN,MALE,61,49284,,PRM,HASSAN BIN KARIM,MALE,48,13799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 141,JOHOR,P. 141,JOHOR BAHRU,BN - UMNO,,77837,24558,70.13,54588,724,1008,52856,UMNO,MOHAMED KHALED NORDIN,MALE,41,38707,,PRM,A. RAZAK AHMAD,MALE,64,14149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 142,JOHOR,P. 142,PULAI,BN - UMNO,,72051,24568,65.95,47521,101,930,46490,UMNO,DATO' HJ. ABDUL KADIR BIN ANNUAR,MALE,66,35529,,,,,,,,PKN,ISMAIL HJ. AWAB,MALE,,10961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 143,JOHOR,P. 143,GELANG PATAH,BN - MCA,,74560,26805,75.19,56060,118,1243,54699,MCA,TEU SI @ HANG SEE TEN,MALE,51,40752,,DAP,NORMAN FERNANDEZ,MALE,,13947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 144,JOHOR,P. 144,PONTIAN,BN - MCA,,64557,29910,74.44,48055,55,1572,46428,MCA,ONG KA TING,MALE,43,38169,,,,,,,,PKN,DIONG CHI TZUOH,MALE,,8259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 145,WILAYAH PERSEKUTUAN LABUAN,P. 145,LABUAN,BN - UMNO,,21611,6515,65.52,14159,1806,176,12177,UMNO,DATO' HAJI SUHAILI BIN ABDUL RAHMAN,MALE,38,8687,,PAS,ASBULLAH BIN MOHD. SALLEH,MALE,,1318,LOST DEPOSIT,,,,,,,,,,,,,PBS,TEO BOON HENG @ RAYMOND,MALE,,2172,,,,,,,,,,,,,,,,,,,
P. 146,SABAH,P. 146,MARUDU,BN - UMNO,,35532,3887,57.13,20299,15,265,20019,UMNO,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,49,11850,,,,,,,,,,,,,,STAR,AMATUS BERNADUS ANJUN,MALE,,206,LOST DEPOSIT,PBS,MD ZAKARIA BIN SAID,MALE,,7963,,,,,,,,,,,,,,,,,,,
P. 147,SABAH,P. 147,BANDAU,PBS,,25422,1684,65.67,16694,16,204,16474,UPKO,MAIJOL MAHAP,MALE,,6781,,,,,,,,,,,,,,,,,,,,PBS,DR. MAXIMUS JOHNITY ONGKILI,MALE,46,8465,,INDEPENDENT - UMBRELLA,BAINTIN BIN ADUN,MALE,,1228,LOST DEPOSIT,,,,,,,,,,,,
P. 148,SABAH,P. 148,KOTA BELUD,BN - UMNO,,37484,9216,77.55,29070,139,266,28665,UMNO,SALLEH SAID,MALE,42,17817,,PAS,DR. DATU' BANDRIA DATU' ALANG,MALE,43,1515,LOST DEPOSIT,,,,,,,,,,,,,PBS,SAIDIL @ SAIDI BIN SIMOI,MALE,,8601,,INDEPENDENT - KEY,MUL BIN MARIF,MALE,,179,LOST DEPOSIT,INDEPENDENT - OIL PALM,MAIDOM @ PAUL PANSAI,MALE,,553,LOST DEPOSIT,,,,,,
P. 149,SABAH,P. 149,TUARAN,BN - UPKO,,36085,2813,65.88,23773,28,207,23538,UPKO,WILFRED MADIUS TANGAU,MALE,41,13083,,,,,,,,,,,,,,,,,,,,PBS,YUNOF MARINGKING,MALE,51,10270,,INDEPENDENT - KEY,RUBIAH F. AYID,MALE,,185,LOST DEPOSIT,,,,,,,,,,,,
P. 150,SABAH,P. 150,GAYA,BN - SAPP,,47135,4117,58.14,27405,14,149,27242,SAPP,YONG TECK LEE,MALE,41,15315,,PAS,HAMZAH HJ. ABDULLAH,MALE,45,729,LOST DEPOSIT,,,,,,,,,,,,,PBS,JOHNNY GOH CHIN LOK,MALE,42,11198,,,,,,,,,,,,,,,,,,,
P. 151,SABAH,P. 151,TANJONG ARU,PBS,,41414,545,58.02,24028,276,111,23641,SAPP,YONG CHIEW LIP @ PHILIP YONG,MALE,38,11281,,DAP,OH CHOO HONG,MALE,59,534,LOST DEPOSIT,,,,,,,,,,,,,PBS,DR. YEE MOH CHAI,MALE,44,11826,,,,,,,,,,,,,,,,,,,
P. 152,SABAH,P. 152,PENAMPANG,BN - UPKO,,45592,3320,66.03,30104,1980,353,27771,UPKO,PHILIP BENEDICT LASIMBANG @ PHILIP LASIMBANG,MALE,,15326,,DAP,CHIN SYN FU,MALE,,439,LOST DEPOSIT,,,,,,,,,,,,,PBS,JIVOL @ EDMUND BIN DOUDILIM,MALE,,12006,,,,,,,,,,,,,,,,,,,
P. 153,SABAH,P. 153,PAPAR,BN - UMNO,,31134,6405,70.23,21864,43,200,21621,UMNO,OSU HAJI SUKAM,MALE,50,14013,,,,,,,,,,,,,,,,,,,,PBS,MOHD SAIDI LAMPOH,MALE,,7608,,,,,,,,,,,,,,,,,,,
P. 154,SABAH,P. 154,BEAUFORT,BN - UMNO,,40002,6800,64.26,25707,49,440,25218,UMNO,ANIFAH BIN AMAN,MALE,46,16009,,,,,,,,,,,,,,,,,,,,PBS,AK ALIUDDIN,MALE,55,9209,,,,,,,,,,,,,,,,,,,
P. 155,SABAH,P. 155,SIPITANG,BN - UMNO,,22084,4339,68.74,15181,27,186,14968,UMNO,DATUK DR. HJ YUSOF HJ YACOB,MALE,43,9581,,,,,,,,PKN,ABDUL RAHMAN BIN MD. YAKUB,MALE,37,5242,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,AG. KU TENGAH PG. DAMIT,MALE,,145,LOST DEPOSIT,,,,,,,,,,,,
P. 156,SABAH,P. 156,KINABALU,BN - UPKO,,25538,5423,72.45,18502,105,199,18198,UPKO,TAN SRI BERNARD GILUK DOMPOK,MALE,50,11723,,,,,,,,,,,,,,,,,,,,PBS,JANINIM BIN SALIUN,MALE,,6300,,INDEPENDENT - KEY,WASIMIN HJ. RASHIM,MALE,,175,LOST DEPOSIT,,,,,,,,,,,,
P. 157,SABAH,P. 157,KENINGAU,PBS,,39971,250,64.05,25602,3,283,25316,PBRS,TAN SRI JOSEPH KURUP,MALE,55,12533,,,,,,,,,,,,,,,,,,,,PBS,DATUK JOSEPH PAIRIN KITINGAN,MALE,59,12783,,,,,,,,,,,,,,,,,,,
P. 158,SABAH,P. 158,TENOM,BN - UMNO,,27477,3642,68.93,18940,8,216,18716,UMNO,RIZALMAN @ SUMIN BIN ABDULLAH @ SUMBING,MALE,40,11179,,,,,,,,,,,,,,,,,,,,PBS,RADIN MALLEH,MALE,49,7537,,,,,,,,,,,,,,,,,,,
P. 159,SABAH,P. 159,BELURAN,BN - UMNO,,18590,1276,65.79,12231,12,152,12067,UMNO,RONALD KIANDEE,MALE,38,6562,,,,,,,,,,,,,,,,,,,,PBS,DENNIS TWEENING RANTAU,MALE,,5286,,INDEPENDENT - FISH,LIAW TECK KING,MALE,,219,LOST DEPOSIT,,,,,,,,,,,,
P. 160,SABAH,P. 160,LIBARAN,BN - UMNO,,34687,6311,48.18,16711,185,231,16295,UMNO,JUSLIE BIN AJIROL,MALE,45,11303,,,,,,,,PKN,MUZHRY BIN NASIR,MALE,,4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 161,SABAH,P. 161,SANDAKAN,BN - LDP,,45645,4368,55.68,25417,537,296,24584,LDP,LAU NGAN SIEW,MALE,56,12998,,,,,,,,,,,,,,MDP,FUNG KET WING,MALE,,2956,LOST DEPOSIT,PBS,SAK CHEONG YU,MALE,,8630,,,,,,,,,,,,,,,,,,,
P. 162,SABAH,P. 162,KINABATANGAN,BN - UMNO,,21438,3895,58.85,12616,19,210,12387,UMNO,BUNG MOKTHAR RADIN,MALE,40,8141,,,,,,,,,,,,,,,,,,,,PBS,ALI LATIP BIN TAHA,MALE,,4246,,,,,,,,,,,,,,,,,,,
P. 163,SABAH,P. 163,SILAM,BN - UMNO,,42341,6519,54.66,23144,99,306,22739,UMNO,DATUK RAILEY BIN HJ. JEFFREY,MALE,54,14629,,,,,,,,PKN,USTAZ DR. BADRULAMIN,MALE,,8110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164,SABAH,P. 164,SEMPORNA,BN - UMNO,,41300,13325,58.49,24155,14,326,23815,UMNO,DATUK MOHD. SHAFIE APDAL,MALE,42,18570,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,ABDUL RAHIM @ ABDURAHIM,MALE,,5245,,,,,,,,,,,,,
P. 165,SABAH,P. 165,TAWAU,BN - SAPP,,60260,11116,55.18,33252,530,240,32482,SAPP,SHIM PAW FATT,MALE,,20160,,,,,,,,,,,,,,,,,,,,PBS,KONG HONG MING,MALE,,9044,,INDEPENDENT - UMBRELLA,DATUK HJ. MAJIN AJING,MALE,,3278,LOST DEPOSIT,,,,,,,,,,,,
P. 166,SARAWAK,P. 166,MAS GADING,BN - SNAP,,26721,4020,66.26,17706,114,244,17348,SNAP,TEKHEE @ DR. TIKI AK LAFE,MALE,46,10684,,,,,,,,,,,,,,STAR,DR. PATAU AK RUBIS,MALE,53,6664,,,,,,,,,,,,,,,,,,,,,,,,,
P. 167,SARAWAK,P. 167,SANTUBONG,BN - PBB,,21057,1895,67.55,14225,0,210,14015,PBB,ROHANI BINTI ABDUL KARIM @ HAJJAH ROHANI BINTI HAJI ABDUL KARIM,FEMALE,44,7955,,,,,,,,PKN,HUSAINI BIN HAMDAN,MALE,,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168,SARAWAK,P. 168,PETRA JAYA,BN - PBB,,35179,2870,61.6,21672,474,312,20886,PBB,SULAIMAN DAUD @ DATUK AMAR DR. HAJI SULAIMAN HAJI DAUD,MALE,66,11878,,,,,,,,PKN,WAN ZAINAL ABIDIN B WAN SENUSI @ HJ WAN ZAINAL ABIDIN B WAN SANUSI,MALE,,9008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169,SARAWAK,P. 169,BANDAR KUCHING,BN - SUPP,,54598,8389,64.69,35318,1078,238,34002,SUPP,SONG SWEE GUAN,MALE,59,18239,,DAP,CHONG CHIENG JEN,MALE,28,5913,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,DOMINIQUE NG KIM HO,MALE,38,9850,,,,,,,,,,,,,
P. 170,SARAWAK,P. 170,STAMPIN,BN - SUPP,,51050,8897,60.92,31098,300,391,30407,SUPP,YONG KHOON HIANG @ YONG KHOON SENG,MALE,58,18810,,DAP,VOON LEE SHAN,MALE,44,9913,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,CHUO CHIO KUIA,MALE,,1684,LOST DEPOSIT,,,,,,,,,,,,
P. 171,SARAWAK,P. 171,KOTA SAMARAHAN,BN - PBB,,28962,8215,77.46,22433,3206,411,18816,PBB,ABDUL TAIB BIN MAHMUD @ YAB DATUK PATINGGI HJ ABDUL TAIB B. MAHMUD,MALE,63,13307,,,,,,,,PKN,ZULRUSDI BIN MOHAMAD HOL,MALE,31,5092,,,,,,,,,,,,,,INDEPENDENT - KEY,BUJANG BIN BAKAR @ HAJI BUJANG BAKAR,MALE,,417,LOST DEPOSIT,,,,,,,,,,,,
P. 172,SARAWAK,P. 172,MAMBONG,BN - DIRECT,,33225,1672,64.9,21563,81,500,20982,DIRECT,JAMES DAWOS MAMIT @ DR. DAWOS MAMIT,MALE,50,11327,,,,,,,,,,,,,,STAR,BELEK @ JERIP ANAK SUSIL @ DR. JERIP ANAK SUSIL,MALE,42,9655,,,,,,,,,,,,,,,,,,,,,,,,,
P. 173,SARAWAK,P. 173,SERIAN,BN - SUPP,,30076,8451,59.76,17974,120,451,17403,SUPP,RICHARD RIOT JAEM,MALE,48,12491,,,,,,,,,,,,,,STAR,ANTHONY POLYCARP MUNJAN,MALE,,4040,,,,,,,,INDEPENDENT - KEY,SHAMSUDDIN BIN ABDULLAH @ POK ANAK UNGKUT,MALE,,872,LOST DEPOSIT,,,,,,,,,,,,
P. 174,SARAWAK,P. 174,BATANG SADONG,BN - PBB,,18034,5218,60.94,10990,21,174,10795,PBB,HAJJAH SUKINAM DOMO,FEMALE,52,7656,,PAS,OTHMAN BIN MUSTAPHA @ MOS,MALE,,2438,,PKN,SAHARI BIN PET @ HJ. SAHARI BIN PET,MALE,,701,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 175,SARAWAK,P. 175,BATANG LUPAR,BN - PBB,,18917,5214,57.85,10944,13,339,10592,PBB,WAN JUNAIDI TUANKU JAAFAR,MALE,53,7903,,,,,,,,,,,,,,STAR,SYID ASSIMIE BIN WAN ISMAIL @ SYID ASSIMIE ISMAIL,MALE,,2689,,,,,,,,,,,,,,,,,,,,,,,,,
P. 176,SARAWAK,P. 176,SRI AMAN,BN - PBDS,,28291,7594,59.45,16820,1125,411,15284,PBDS,JIMMY LIM @ JIMMY DONALD,MALE,54,11439,,,,,,,,PKN,WEL @ MAXWELL ANAK ROJIS,MALE,47,3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177,SARAWAK,P. 177,LUBOK ANTU,BN - PBDS,,16405,6662,67.61,11092,13,223,10856,PBDS,JAWAH ANAK GERANG,MALE,45,8759,,,,,,,,PKN,DAVID ANAK JEMUT,MALE,,2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178,SARAWAK,P. 178,BETONG,BN - PBB,Y,19885,,,,,,,PBB,DOUGLAS UGGAH EMBAS,MALE,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179,SARAWAK,P. 179,SARATOK,BN - SNAP,,23611,5503,67.16,15858,0,271,15587,SNAP,DATUK PETER TINGGOM AK. KAMARAU,MALE,75,10545,,,,,,,,PKN,IDRIS HAJI BOHARI,MALE,37,5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180,SARAWAK,P. 180,KUALA RAJANG,BN - PBB,,27647,10586,67.07,18543,31,486,18026,PBB,MOHD EFFENDI BIN NORWAWI @ DATUK MOHD EFFENDI BIN NORWAWI,MALE,51,14306,,,,,,,,PKN,LAMASUDIN @ UDIE BIN SALLEH @ DR URDIE B. SALLEH,MALE,,3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181,SARAWAK,P. 181,SARIKEI,BN - SUPP,,33513,7363,70.32,23568,69,241,23258,SUPP,LAW HIENG DING,MALE,63,15212,,DAP,MICHAEL TIANG MING TEE,MALE,26,7849,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,YII CHU LIK,MALE,,197,LOST DEPOSIT,,,,,,,,,,,,
P. 182,SARAWAK,P. 182,JULAU,BN - PBDS,,18141,6286,75.56,13707,15,285,13407,PBDS,JOSEPH SALANG ANAK GANDUM,MALE,48,9183,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,PATRICK MIT @ DUMIT ANAK TUTONG,MALE,,483,LOST DEPOSIT,INDEPENDENT - KEY,SAMUEL ANAK EDWARD CHUN,MALE,,844,LOST DEPOSIT,INDEPENDENT,KONG AH HUAT,MALE,,2897,
P. 183,SARAWAK,P. 183,KANOWIT,BN - PBDS,,18168,5308,58.95,10710,0,274,10436,PBDS,LEO MOGGIE AK IROK @ MOGGIE @ DATUK AMAR LEO MOGGIE,MALE,58,7872,,,,,,,,PKN,TADONG ANAK TAMBI @ TADONG AK TAMBI,MALE,,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184,SARAWAK,P. 184,LANANG,BN - SUPP,,38177,6790,68.32,26084,70,292,25722,SUPP,TIONG THAI KING,MALE,54,16256,,DAP,WONG HO LENG,MALE,40,9466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185,SARAWAK,P. 185,SIBU,BN - SUPP,,56931,9142,67.66,38521,756,453,37312,SUPP,ROBERT LAU HOI CHEW,MALE,57,23227,,DAP,WONG SING NANG,MALE,41,14085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186,SARAWAK,P. 186,MUKAH,BN - PBB,,25390,7567,60.54,15371,33,389,14949,PBB,DATUK DR. LEO MICHAEL TOYAD,MALE,49,11258,,,,,,,,PKN,YUSUF ABDUL RAHMAN,MALE,43,3691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187,SARAWAK,P. 187,SELANGAU,BN - PBDS,,19689,3617,60.68,11948,14,327,11607,PBDS,JOSEPH MAUH ANAK IKEH,MALE,48,7612,,,,,,,,PKN,RICKY BERNARD BETTI,MALE,,3995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188,SARAWAK,P. 188,KAPIT,BN - PBB,,21934,11016,65.75,14422,54,227,14141,PBB,ALEXANDER NANTA LINGGI,MALE,41,12157,,,,,,,,PKN,NOR AZMAN BIN ABDULLAH @ BAGINDA AK MINDA,MALE,39,843,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,RICHARD NUJONG AK ABIT,MALE,,1141,LOST DEPOSIT,,,,,,,,,,,,
P. 189,SARAWAK,P. 189,HULU RAJANG,BN - PBDS,,16018,4133,61.67,9878,11,232,9635,PBDS,ABIT JOO @ BILLY ABIT JOO,MALE,50,6884,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,KUMBONG ANAK LANGIT,MALE,,2751,,,,,,,,,,,,,
P. 190,SARAWAK,P. 190,BINTULU,BN - SNAP,,45920,1400,66.28,30437,53,422,29962,SNAP,TIONG KING SING @ DATO' TIONG KING SING,MALE,38,15681,,DAP,CHIEW CHIU SING,MALE,49,14281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 191,SARAWAK,P. 191,MIRI,BN - SUPP,,68305,10706,59.2,40439,421,482,39536,SUPP,DATUK PETER CHIN FAH KUI,MALE,54,25121,,DAP,DR. YIE SIEW KEE,MALE,,14415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 192,SARAWAK,P. 192,BARAM,BN - SNAP,,24842,6872,42.75,10619,14,259,10346,SNAP,JACOB DUNGAU SAGAN,MALE,53,8609,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,SEDI BIN II @ SEDI LI,MALE,,1737,,,,,,,,,,,,,
P. 193,SARAWAK,P. 193,BUKIT MAS,BN - PBB,,34226,10526,51.53,17638,184,237,17217,PBB,HENRY SUM AGONG,MALE,53,13642,,,,,,,,PKN,CHARLEE SOH CHENG HIONG @ CHARLEE SOH,MALE,,3116,,,,,,,,,,,,,,INDEPENDENT - BUS,MOHAMAD BIN HJ. IBRAHIM,MALE,,459,LOST DEPOSIT,,,,,,,,,,,,
