UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 24,KELANTAN,P. 24,KUBANG KERIAN,BA - PAS,,45897,16091,76.79,35246,52,517,34677,UMNO,SITI JELIHA @ USTAZA ZALEHA HUSSIN,FEMALE,,9293,,PAS,HAJI HUSAM HAJI MUSA,MALE,40,25384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25,KELANTAN,P. 25,BACHOK,BA - PAS,,51363,9817,79.06,40610,231,922,39457,UMNO,DR. AZAKI BIN ISHAK,MALE,,14820,,PAS,WAN NIK BIN WAN YUSOF @ CIKGU WAN NIK,MALE,,24637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26,KELANTAN,P. 26,PERINGAT,BA - PKN,,45310,4525,80.05,36271,1108,726,34437,UMNO,ANNUAR BIN MUSA,MALE,43,14956,,,,,,,,PKN,MUHAMMAD BIN MUSTAFA,MALE,41,19481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27,KELANTAN,P. 27,TANAH MERAH,BA - PKN,,42824,4658,77.71,33279,41,778,32460,UMNO,HASHIM B. SAFIN @ DATOK HASHIM SAFIN,MALE,50,13901,,,,,,,,PKN,SAUPI BIN DAU @ HAJI SAUPI HAJI DAUD,MALE,49,18559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 28,KELANTAN,P. 28,PASIR PUTEH,BA - PAS,,56773,8411,76.59,43485,55,821,42609,UMNO,KAMARUDIN B. MD. NOR,MALE,52,16962,,PAS,ALWI B. JUSOH @ USTAZ ALWI,MALE,49,25373,,,,,,,,AKIM,HASIM B. OTHMAN @ ABANG HASIM,MALE,,274,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 29,KELANTAN,P. 29,MACHANG,BA - PAS,,43200,6919,77.75,33587,33,453,33101,UMNO,SUKRI BIN HAJI MOHAMAD @ DATO HJ. SHUKRI MOHAMED,MALE,,13091,,PAS,MOHD YUSSOF @ YUSOF BIN MOHD NOR @ YUSOF NOR,MALE,,20010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30,KELANTAN,P. 30,JELI,BA - PAS,,38023,693,81.93,31152,270,529,30353,UMNO,MUSTAPA BIN MOHAMED @ DATO ' PA,MALE,49,14830,,PAS,MOHD APANDI BIN HJ. MOHAMAD @ HAJI NASIR HAJI MAT,MALE,39,15523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31,KELANTAN,P. 31,KUALA KRAI,BA - PAS,,38887,4072,77.54,30152,22,528,29602,UMNO,DR. NIK HUSSAIN,MALE,63,12765,,PAS,MOHD NASIR,MALE,,16837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 32,KELANTAN,P. 32,GUA MUSANG,BN - UMNO,,29890,2925,77.54,23176,0,451,22725,UMNO,TENGKU RAZALEIGH B. TENGKU MOHD HAMZAH,MALE,62,12825,,PAS,RAZAK BIN ABAS @ (ABE JAK),MALE,,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33,TERENGGANU,P. 33,BESUT,BA - PAS,,44522,3057,81.17,36140,0,690,35450,UMNO,DATO' DR. MOHD YUSOF NOOR,MALE,,16109,,PAS,HASSAN BIN MOHAMED,MALE,,19166,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,WAN AHMAD BIN WAN OMAR,MALE,,175,LOST DEPOSIT,,,,,,,,,,,,
