UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,AREA (SQ KM),Notes
P. 79,PAHANG,P. 79,PAYA BESAR,2586,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 80,PAHANG,P. 80,PEKAN,3431,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 81,PAHANG,P. 81,MARAN,1892,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 82,PAHANG,P. 82,MENTEKAB,2016,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 83,PAHANG,P. 83,BENTUNG,1508,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 84,PAHANG,P. 84,TEMERLUH,2826,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 85,PAHANG,P. 85,ROMPIN,5524,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 86,SELANGOR,P. 86,SABAK BERNAM,357,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 87,SELANGOR,P. 87,TANJUNG KARANG,1069,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 88,SELANGOR,P. 88,HULU SELANGOR,1703,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 89,SELANGOR,P. 89,KUALA SELANGOR,791,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 90,SELANGOR,P. 90,SELAYANG,332,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 91,SELANGOR,P. 91,GOMBAK,303,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 92,SELANGOR,P. 92,AMPANG JAYA,68,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 93,SELANGOR,P. 93,HULU LANGAT,749,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 94,SELANGOR,P. 94,PJ UTARA,16,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 95,SELANGOR,P. 95,PJ SELATAN,19,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 96,SELANGOR,P. 96,SERDANG,171,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 97,SELANGOR,P. 97,SUBANG,164,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 98,SELANGOR,P. 98,SHAH ALAM,190,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 99,SELANGOR,P. 99,KAPAR,488,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 100,SELANGOR,P. 100,KLANG,65,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 101,SELANGOR,P. 101,KUALA LANGAT,554,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 102,SELANGOR,P. 102,SEPANG,916,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 103,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 103,KEPONG,17,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 104,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 104,BATU,22,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 105,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 105,WANGSA MAJU,26,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 106,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 106,SEGAMBUT,49,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 107,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 107,TITIWANGSA,17,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 108,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 108,BUKIT BINTANG,17,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 109,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 109,LEMBAH PANTAI,22,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 110,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 110,SEPUTEH,21,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 111,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 111,CHERAS,15,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 112,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 112,BANDAR TUN RAZAK,38,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 113,NEGERI SEMBILAN,P. 113,JELEBU,1671,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 114,NEGERI SEMBILAN,P. 114,JEMPOL,1199,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 115,NEGERI SEMBILAN,P. 115,TAMPIN,965,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 116,NEGERI SEMBILAN,P. 116,KUALA PILAH,1032,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 117,NEGERI SEMBILAN,P. 117,SEREMBAN,576,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 118,NEGERI SEMBILAN,P. 118,RASAH,394,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 119,NEGERI SEMBILAN,P. 119,TELOK KEMANG,806,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 120,MELAKA,P. 120,ALOR GAJAH,363,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 121,MELAKA,P. 121,SELANDAR,562,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 122,MELAKA,P. 122,BATU BERENDAM,210,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 123,MELAKA,P. 123,KOTA MELAKA,48,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 124,MELAKA,P. 124,JASIN,467,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 125,JOHOR,P. 125,SEGAMAT,1202,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 126,JOHOR,P. 126,LEDANG,643,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 127,JOHOR,P. 127,PAGOH,1080,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 128,JOHOR,P. 128,LABIS,1774,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 129,JOHOR,P. 129,MERSING,3383,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 130,JOHOR,P. 130,KLUANG,945,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 131,JOHOR,P. 131,PARIT SULONG,825,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 132,JOHOR,P. 132,BAKRI,230,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 133,JOHOR,P. 133,MUAR,291,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 134,JOHOR,P. 134,SRI GADING,692,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 135,JOHOR,P. 135,BATU PAHAT,441,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 136,JOHOR,P. 136,TENGGARA,1791,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 137,JOHOR,P. 137,SUNGAI BENUT,1112,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 138,JOHOR,P. 138,SENAI,878,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 139,JOHOR,P. 139,KOTA TINGGI,2019,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 140,JOHOR,P. 140,TEBRAU,592,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 141,JOHOR,P. 141,JOHOR BAHRU,28,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 142,JOHOR,P. 142,PULAI,48,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 143,JOHOR,P. 143,GELANG PATAH,429,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 144,JOHOR,P. 144,PONTIAN,580,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 145,WILAYAH PERSEKUTUAN LABUAN,P. 145,LABUAN,96,As per 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P. 146,SABAH,P. 146,MARUDU,2304,As per 1994 Redelineation Exercise of Sabah
P. 147,SABAH,P. 147,BANDAU,2271,As per 1994 Redelineation Exercise of Sabah
P. 148,SABAH,P. 148,KOTA BELUD,1381,As per 1994 Redelineation Exercise of Sabah
P. 149,SABAH,P. 149,TUARAN,1245,As per 1994 Redelineation Exercise of Sabah
P. 150,SABAH,P. 150,GAYA,306,As per 1994 Redelineation Exercise of Sabah
P. 151,SABAH,P. 151,TANJONG ARU,44,As per 1994 Redelineation Exercise of Sabah
P. 152,SABAH,P. 152,PENAMPANG,483,As per 1994 Redelineation Exercise of Sabah
P. 153,SABAH,P. 153,PAPAR,737,As per 1994 Redelineation Exercise of Sabah
P. 154,SABAH,P. 154,BEAUFORT,1663,As per 1994 Redelineation Exercise of Sabah
P. 155,SABAH,P. 155,SIPITANG,3728,As per 1994 Redelineation Exercise of Sabah
P. 156,SABAH,P. 156,KINABALU,3767,As per 1994 Redelineation Exercise of Sabah
P. 157,SABAH,P. 157,KENINGAU,10397,As per 1994 Redelineation Exercise of Sabah
P. 158,SABAH,P. 158,TENOM,2797,As per 1994 Redelineation Exercise of Sabah
P. 159,SABAH,P. 159,BELURAN,7900,As per 1994 Redelineation Exercise of Sabah
P. 160,SABAH,P. 160,LIBARAN,678,As per 1994 Redelineation Exercise of Sabah
P. 161,SABAH,P. 161,SANDAKAN,36,As per 1994 Redelineation Exercise of Sabah
P. 162,SABAH,P. 162,KINABATANGAN,19045,As per 1994 Redelineation Exercise of Sabah
P. 163,SABAH,P. 163,SILAM,8468,As per 1994 Redelineation Exercise of Sabah
P. 164,SABAH,P. 164,SEMPORNA,1920,As per 1994 Redelineation Exercise of Sabah
P. 165,SABAH,P. 165,TAWAU,4639,As per 1994 Redelineation Exercise of Sabah
P. 166,SARAWAK,P. 166,MAS GADING,2056,As per 1996 Redelineation Exercise of Sarawak
P. 167,SARAWAK,P. 167,SANTUBONG,959,As per 1996 Redelineation Exercise of Sarawak
P. 168,SARAWAK,P. 168,PETRA JAYA,114,As per 1996 Redelineation Exercise of Sarawak
P. 169,SARAWAK,P. 169,BANDAR KUCHING,21,As per 1996 Redelineation Exercise of Sarawak
P. 170,SARAWAK,P. 170,STAMPIN,237,As per 1996 Redelineation Exercise of Sarawak
P. 171,SARAWAK,P. 171,KOTA SAMARAHAN,775,As per 1996 Redelineation Exercise of Sarawak
P. 172,SARAWAK,P. 172,MAMBONG,1384,As per 1996 Redelineation Exercise of Sarawak
P. 173,SARAWAK,P. 173,SERIAN,2014,As per 1996 Redelineation Exercise of Sarawak
P. 174,SARAWAK,P. 174,BATANG SADONG,1164,As per 1996 Redelineation Exercise of Sarawak
P. 175,SARAWAK,P. 175,BATANG LUPAR,2024,As per 1996 Redelineation Exercise of Sarawak
P. 176,SARAWAK,P. 176,SRI AMAN,2392,As per 1996 Redelineation Exercise of Sarawak
P. 177,SARAWAK,P. 177,LUBOK ANTU,3294,As per 1996 Redelineation Exercise of Sarawak
P. 178,SARAWAK,P. 178,BETONG,1199,As per 1996 Redelineation Exercise of Sarawak
P. 179,SARAWAK,P. 179,SARATOK,1660,As per 1996 Redelineation Exercise of Sarawak
P. 180,SARAWAK,P. 180,KUALA RAJANG,3932,As per 1996 Redelineation Exercise of Sarawak
P. 181,SARAWAK,P. 181,SARIKEI,758,As per 1996 Redelineation Exercise of Sarawak
P. 182,SARAWAK,P. 182,JULAU,2858,As per 1996 Redelineation Exercise of Sarawak
P. 183,SARAWAK,P. 183,KANOWIT,2187,As per 1996 Redelineation Exercise of Sarawak
P. 184,SARAWAK,P. 184,LANANG,719,As per 1996 Redelineation Exercise of Sarawak
P. 185,SARAWAK,P. 185,SIBU,1398,As per 1996 Redelineation Exercise of Sarawak
P. 186,SARAWAK,P. 186,MUKAH,3165,As per 1996 Redelineation Exercise of Sarawak
P. 187,SARAWAK,P. 187,SELANGAU,9041,As per 1996 Redelineation Exercise of Sarawak
P. 188,SARAWAK,P. 188,KAPIT,7089,As per 1996 Redelineation Exercise of Sarawak
P. 189,SARAWAK,P. 189,HULU RAJANG,31817,As per 1996 Redelineation Exercise of Sarawak
P. 190,SARAWAK,P. 190,BINTULU,10024,As per 1996 Redelineation Exercise of Sarawak
P. 191,SARAWAK,P. 191,MIRI,2334,As per 1996 Redelineation Exercise of Sarawak
P. 192,SARAWAK,P. 192,BARAM,18924,As per 1996 Redelineation Exercise of Sarawak
P. 193,SARAWAK,P. 193,BUKIT MAS,10847,As per 1996 Redelineation Exercise of Sarawak
