UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.207_N.44,SARAWAK,P.207,IGAN,N.44,JEMORENG,9699,91.3,4,4.2,,,0.5,99.99,0.01,0,0,10.85,23.38,22.11,20.76,13.61,7,2.07,0.23,50.03,49.97,RURAL
P.208_N.45,SARAWAK,P.208,SARIKEI,N.45,REPOK,20263,6.3,75,17.8,,,0.9,98.84,0,0,1.16,11.82,22.39,20.23,19.84,16.04,6.68,2.35,0.66,50,50,URBAN
P.208_N.46,SARAWAK,P.208,SARIKEI,N.46,MERADONG,16882,3.2,55,41,,,0.8,99.58,0,0,0.42,12.9,21.55,21.32,19.94,13.27,7.42,2.66,0.95,50.06,49.94,RURAL
P.209_N.47,SARAWAK,P.209,JULAU,N.47,PAKAN,10322,1.1,6.5,91.5,,,0.9,99.99,0.01,0,0,14.09,19.07,23,22.34,11.45,6.87,2.18,0.99,51.41,48.59,RURAL
P.209_N.48,SARAWAK,P.209,JULAU,N.48,MELUAN,13103,,3.8,94.7,,,1.5,99.53,0,0,0.47,12.32,20.81,23.37,20.46,11.46,7.55,2.74,1.29,49.74,50.26,RURAL
P.210_N.49,SARAWAK,P.210,KANOWIT,N.49,NGEMAH,8899,,6.9,91.9,,,1.2,99.99,0.01,0,0,9.73,20.34,21.18,21.17,14.21,8.65,3.25,1.47,48.04,51.96,RURAL
P.210_N.50,SARAWAK,P.210,KANOWIT,N.50,MACHAN,10947,4.3,17.1,77.5,,,1.1,99.35,0,0,0.65,9.97,20.15,21.03,21.93,14.24,8.49,2.89,1.3,48.72,51.28,RURAL
P.211_N.51,SARAWAK,P.211,LANANG,N.51,BUKIT ASSEK,28341,4,89.8,5.6,,,0.6,100,0,0,0,6.52,17.2,20.65,21.5,20.73,9.44,3.02,0.94,47.13,52.87,URBAN
P.211_N.52,SARAWAK,P.211,LANANG,N.52,DUDONG,29028,7.7,54.2,36.8,,,1.3,97.62,0.01,0,2.38,15.44,24.73,22.1,17.87,11.01,5.44,1.74,0.68,49.55,50.45,URBAN
P.212_N.53,SARAWAK,P.212,SIBU,N.53,BAWANG ASSAN,18340,5.3,55.1,38.8,,,0.8,99.98,0,0,0.02,12.61,17.87,17.87,22.06,16.92,8.31,3.17,1.21,51.27,48.73,RURAL
