UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2016),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,PH2,PH2 CANDIDATE,PH2 CANDIDATE GENDER,PH2 CANDIDATE AGE,PH2 CANDIDATE VOTE,PH2 CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,STAR,STAR CANDIDATE,STAR CANDIDATE GENDER,STAR CANDIDATE AGE,STAR CANDIDATE VOTE,STAR CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB CANDIDATE VOTE,PBDSB CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.203_N.34,SARAWAK,P.203,LUBOK ANTU,N.34,BATANG AI,BN - PRS,,9492,"3,186",70.80%,"6,716",18,116,"6,582",PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,4884,,PKR,KOLIEN ANAK LIONG,MALE,,1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.35,SARAWAK,P.204,BETONG,N.35,SARIBAS,BN - PBB,,9879,"4,432",79.80%,"7,883",277,112,"7,494",PBB,RICKY @ MOHAMMAD RAZI SITAM,MALE,43,5963,,PKR,YAKUP BIN DAUD,MALE,,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.36,SARAWAK,P.204,BETONG,N.36,LAYAR,BN - PBB,,9094,"1,428",72.40%,"6,582",34,114,"6,434",PBB,GERALD RENTAP JABU,MALE,46,3931,,PKR,VERNON ALBERT KEDIT,MALE,,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.204_N.37,SARAWAK,P.204,BETONG,N.37,BUKIT SABAN,BN - PBB,,8897,"4,599",74.00%,"6,584",27,108,"6,449",PBB,DOUGLAS UGGAH EMBAS,MALE,61,5524,,PKR,NOEL CHANGGAI BUCKING,MALE,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.205_N.38,SARAWAK,P.205,SARATOK,N.38,KALAKA,BN - PBB,,7327,"2,835",71.60%,"5,247",24,82,"5,141",PBB,ABDUL WAHAB BIN AZIZ,MALE,72,3988,,PKR,JEMAT PANJANG,MALE,,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.205_N.39,SARAWAK,P.205,SARATOK,N.39,KRIAN,PH - PKR,,11959,"1,640",77.30%,"9,247",53,58,"9,136",SPDP,KILAT BERIAK,MALE,,3748,,PKR,ALI ANAK BIJU,MALE,48,5388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.205_N.40,SARAWAK,P.205,SARATOK,N.40,KABONG,BN - PBB,,9287,"3,585",72.20%,"6,708",34,121,"6,553",PBB,MOHD CHEE KADIR,MALE,63,5069,,PAN,JINI BIN SAHINI,MALE,54,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.206_N.41,SARAWAK,P.206,TANJONG MANIS,N.41,KUALA RAJANG,BN - PBB,,10259,"5,586",70.40%,"7,227",37,153,"7,037",PBB,LEN TALIF SALLEH,MALE,63,6235,,PAN,SOPIAN BIN JULAIHI,MALE,38,649,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOAT,ASBOR BIN ABDULLAH,MALE,,153,LOST DEPOSIT,,,,,,
P.206_N.42,SARAWAK,P.206,TANJONG MANIS,N.42,SEMOP,BN - PBB,,9617,"4,412",65.80%,"6,331",24,139,"6,168",PBB,ABDULLAH SAIDOL,MALE,50,5290,,PAN,MOHAMAD FADILLAH BIN SABALI,MALE,35,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.207_N.43,SARAWAK,P.207,IGAN,N.43,DARO,BN - PBB,,8491,"4,432",67.50%,"5,734",17,147,"5,570",PBB,SAFIEE BIN HAJI AHMAD,MALE,47,5001,,PAN,IBRAHIM BIN BAYAU,MALE,50,569,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
