UNIQUE CODE (2004),STATE (2004),PARLIAMENTARY CONSTITUENCY CODE (2004),PARLIAMENTARY CONSTITUENCY NAME (2004),STATE CONSTITUENCY CODE (2004),STATE CONSTITUENCY NAME (2004),UNIQUE CODE (2005),STATE (2005),PARLIAMENTARY CODE (2005),PARLIAMENTARY NAME (2005),STATE CONSTITUENCY CODE (2005),STATE CONSTITUENCY NAME (2005),DUN CONSTITUENCY NAME CHANGE,NEW DUN SEAT,NOTES
P.200_N. 18,SARAWAK,P.200,BATANG SADONG,N. 18,SADONG JAYA,P.200_N.20,SARAWAK,P.200,BATANG SADONG,N.20,SADONG JAYA,,,
P.200_N. 19,SARAWAK,P.200,BATANG SADONG,N. 19,SIMUNJAN,P.200_N.21,SARAWAK,P.200,BATANG SADONG,N.21,SIMUNJAN,,,
P.201_N. 20,SARAWAK,P.201,BATANG LUPAR,N. 20,SEBUYAU,P.201_N.22,SARAWAK,P.201,BATANG LUPAR,N.22,SEBUYAU,,,Boundaries were changed
,,,,,,P.201_N.23,SARAWAK,P.201,BATANG LUPAR,N.23,LINGGA,,YES,Constituency formed from DUN Sebuyau and Simanggang
P.201_N. 21,SARAWAK,P.201,BATANG LUPAR,N. 21,BETING MARO,P.201_N.24,SARAWAK,P.201,BATANG LUPAR,N.24,BETING MARO,,,
,,,,,,P.202_N.25,SARAWAK,P.202,SRI AMAN,N.25,BALAI RINGIN,,YES,Constituency formed from DUN Kedup and Bukit Begunan
P.202_N. 22,SARAWAK,P.202,SRI AMAN,N. 22,BUKIT BEGUNAN,P.202_N.26,SARAWAK,P.202,SRI AMAN,N.26,BUKIT BEGUNAN,,,Boundaries were changed
P.202_N. 23,SARAWAK,P.202,SRI AMAN,N. 23,SIMANGGANG,P.202_N.27,SARAWAK,P.202,SRI AMAN,N.27,SIMANGGANG,,,Boundaries were changed
P.203_N. 24,SARAWAK,P.203,LUBOK ANTU,N. 24,ENGKILILI,P.203_N.28,SARAWAK,P.203,LUBOK ANTU,N.28,ENGKILILI,,,
P.203_N. 25,SARAWAK,P.203,LUBOK ANTU,N. 25,BATANG AIR,P.203_N.29,SARAWAK,P.203,LUBOK ANTU,N.29,BATANG AIR,,,
P.204_N. 26,SARAWAK,P.204,BETONG,N. 26,SARIBAS,P.204_N.30,SARAWAK,P.204,BETONG,N.30,SARIBAS,,,Boundaries were changed
P.204_N. 27,SARAWAK,P.204,BETONG,N. 27,LAYAR,P.204_N.31,SARAWAK,P.204,BETONG,N.31,LAYAR,,,Boundaries were changed
,,,,,,P.204_N.32,SARAWAK,P.204,BETONG,N.32,BUKIT SABAN,,YES,Constituency formed from DUN Saribas and Layar
P.205_N. 28,SARAWAK,P.205,SARATOK,N. 28,KALAKA,P.205_N.33,SARAWAK,P.205,SARATOK,N.33,KALAKA,,,
P.205_N. 29,SARAWAK,P.205,SARATOK,N. 29,KRIAN,P.205_N.34,SARAWAK,P.205,SARATOK,N.34,KRIAN,,,
P.206_N. 30,SARAWAK,P.206,KUALA RAJANG,N. 30,BELAWAI,P.206_N.35,SARAWAK,P.206,TANJONG MANIS,N.35,BELAWAI,,,Parent Parliamentary Constituency was renamed from Kuala Rajang to Tanjong Manis
P.206_N. 31,SARAWAK,P.206,KUALA RAJANG,N. 31,SERDENG,P.206_N.36,SARAWAK,P.206,TANJONG MANIS,N.36,SEMOP,YES,,Boundaries were changed. Parent Parliamentary Constituency was renamed from Kuala Rajang to Tanjong Manis
P.206_N. 32,SARAWAK,P.206,KUALA RAJANG,N. 32,MATU DARO,,,,,,,,,Constituency was abolished and divided into DUN Daro and DUN Jemoreng
,,,,,,P.207_N.37,SARAWAK,P.207,IGAN,N.37,DARO,,YES,Constituency formed from former DUN Matu Daro and former DUN Serdeng. Igan is a new Parliamentary Constituency
,,,,,,P.207_N.38,SARAWAK,P.207,IGAN,N.38,JEMORENG,,YES,Constituency formed from former DUN Matu Daro and DUN Dalat. EC doesn't recognize this DUN as a new State Constituency. Igan is a new Parliamentary Constituency
P.207_N. 33,SARAWAK,P.207,SARIKEI,N. 33,MERADONG,P.208_N.40,SARAWAK,P.208,SARIKEI,N.40,MERADONG,,,
P.207_N. 34,SARAWAK,P.207,SARIKEI,N. 34,REPOK,P.208_N.39,SARAWAK,P.208,SARIKEI,N.39,REPOK,,,
P.208_N. 35,SARAWAK,P.208,JULAU,N. 35,PAKAN,P.209_N.41,SARAWAK,P.209,JULAU,N.41,PAKAN,,,
P.208_N. 36,SARAWAK,P.208,JULAU,N. 36,MELUAN,P.209_N.42,SARAWAK,P.209,JULAU,N.42,MELUAN,,,
P.209_N. 37,SARAWAK,P.209,KANOWIT,N. 37,NGEMAH,P.210_N.43,SARAWAK,P.210,KANOWIT,N.43,NGEMAH,,,
P.209_N. 38,SARAWAK,P.209,KANOWIT,N. 38,MACHAN,P.210_N.44,SARAWAK,P.210,KANOWIT,N.44,MACHAN,,,
P.210_N. 39,SARAWAK,P.210,LANANG,N. 39,BUKIT ASSEK,P.211_N.45,SARAWAK,P.211,LANANG,N.45,BUKIT ASSEK,,,Boundaries were changed
P.210_N. 40,SARAWAK,P.210,LANANG,N. 40,DUDONG,P.211_N.46,SARAWAK,P.211,LANANG,N.46,DUDONG,,,
P.211_N. 41,SARAWAK,P.211,SIBU,N. 41,BAWANG ASSAN,P.212_N.47,SARAWAK,P.212,SIBU,N.47,BAWANG ASSAN,,,
P.211_N. 42,SARAWAK,P.211,SIBU,N. 42,PELAWAN,P.212_N.48,SARAWAK,P.212,SIBU,N.48,PELAWAN,,,Boundaries were changed
P.211_N. 43,SARAWAK,P.211,SIBU,N. 43,NANGKA,P.212_N.49,SARAWAK,P.212,SIBU,N.49,NANGKA,,,
P.212_N. 44,SARAWAK,P.212,MUKAH,N. 44,DALAT,P.213_N.50,SARAWAK,P.213,MUKAH,N.50,DALAT,,,Boundaries were changed
P.212_N. 45,SARAWAK,P.212,MUKAH,N. 45,BALINGIAN,P.213_N.51,SARAWAK,P.213,MUKAH,N.51,BALINGIAN,,,
P.213_N. 46,SARAWAK,P.213,SELANGAU,N. 46,TAMIN,P.214_N.52,SARAWAK,P.214,SELANGAU,N.52,TAMIN,,,
P.213_N. 47,SARAWAK,P.213,SELANGAU,N. 47,KAKUS,P.214_N.53,SARAWAK,P.214,SELANGAU,N.53,KAKUS,,,
P.214_N. 48,SARAWAK,P.214,KAPIT,N. 48,PELAGUS,P.215_N.54,SARAWAK,P.215,KAPIT,N.54,PELAGUS,,,Boundaries were changed
P.214_N. 49,SARAWAK,P.214,KAPIT,N. 49,KATIBAS,P.215_N.55,SARAWAK,P.215,KAPIT,N.55,KATIBAS,,,
P.215_N. 50,SARAWAK,P.215,HULU RAJANG,N. 50,BALEH,P.216_N.56,SARAWAK,P.216,HULU RAJANG,N.56,BALEH,,,
P.215_N. 51,SARAWAK,P.215,HULU RAJANG,N. 51,BELAGA,P.216_N.57,SARAWAK,P.216,HULU RAJANG,N.57,BELAGA,,,
P.216_N. 52,SARAWAK,P.216,BINTULU,N. 52,KEMENA,P.217_N.60,SARAWAK,P.217,BINTULU,N.60,KEMENA,,,
P.216_N. 53,SARAWAK,P.216,BINTULU,N. 53,KIDURONG,P.217_N.59,SARAWAK,P.217,BINTULU,N.59,KIDURONG,,,
P.216_N. 54,SARAWAK,P.216,BINTULU,N. 54,JEPAK,P.217_N.58,SARAWAK,P.217,BINTULU,N.58,JEPAK,,,
,,,,,,P.218_N.61,SARAWAK,P.218,SIBUTI,N.61,BEKENU,,YES,Constituency formed from DUN Lambir
P.217_N. 55,SARAWAK,P.217,MIRI,N. 55,LAMBIR,P.218_N.62,SARAWAK,P.218,SIBUTI,N.62,LAMBIR,,,Boundaries were changed. Moved from Parliamentary Constituency of Miri to newly created Parliamentary Constituency of Sibuti
P.217_N. 56,SARAWAK,P.217,MIRI,N. 56,PIASAU,P.219_N.63,SARAWAK,P.219,MIRI,N.63,PIASAU,,,Boundaries were changed
,,,,,,P.219_N.64,SARAWAK,P.219,MIRI,N.64,PUJUT,,YES,Constituency formed from DUN Piasau and Senadin
P.217_N. 57,SARAWAK,P.217,MIRI,N. 57,SENADIN,P.219_N.65,SARAWAK,P.219,MIRI,N.65,SENADIN,,,Boundaries were changed
P.218_N. 58,SARAWAK,P.218,BARAM,N. 58,MARUDI,P.220_N.66,SARAWAK,P.220,BARAM,N.66,MARUDI,,,
P.218_N. 59,SARAWAK,P.218,BARAM,N. 59,TELANG USAN,P.220_N.67,SARAWAK,P.220,BARAM,N.67,TELANG USAN,,,
P.219_N. 60,SARAWAK,P.219,BUKIT MAS,N. 60,LIMBANG,P.221_N.68,SARAWAK,P.221,LIMBANG,N.68,BUKIT KOTA,YES,,Boundaries were changed. Limbang is a new Parliamentary Constituency
,,,,,,P.221_N.69,SARAWAK,P.221,LIMBANG,N.69,BATU DANAU,,YES,Constituency formed from formerly named DUN Limbang and DUN Ba'Kelalan. Limbang is a new Parliamentary Constituency
P.219_N. 61,SARAWAK,P.219,BUKIT MAS,N. 61,LAWAS,P.222_N.71,SARAWAK,P.222,LAWAS,N.71,BUKIT SARI,YES,,Boundaries were changed. Bukit Mas Parliamentary Constituency was subdivided into Limbang and Lawas. EC doesn't recognize Lawas Parliamentary Constituency as a new seat
P.219_N. 62,SARAWAK,P.219,BUKIT MAS,N. 62,BA'KELALAN,P.222_N.70,SARAWAK,P.222,LAWAS,N.70,BA'KELALAN,,,Boundaries were changed. Bukit Mas Parliamentary Constituency was subdivided into Limbang and Lawas. EC doesn't recognize Lawas Parliamentary Constituency as a new seat
