UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2006),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PKR,PKR CANDIDATE,PKR CANDIDATE GENDER,PKR CANDIDATE AGE,PKR CANDIDATE VOTE,PKR CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE GENDER,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPDENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.205_N.34,Sarawak,P.205,SARATOK,N.34,KRIAN,BN - SPDP,,10429,2089,72.48%,7559,4,76,7479,SPDP,PETER NYAROK ANAK ENTRIE,MALE,64,4784,,SNAP,EDMUND STANLEY JUGOL ANAK BENEDICT SANDIN,MALE,,2695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.206_N.35,Sarawak,P.206,TANJONG MANIS,N.35,BELAWAI,BN - PBB,,8004,3316,62.28%,4985,0,97,4888,PBB,HAMDEN BIN AHMAD,MALE,58,4102,,,,,,,,PKR,ABANG SARBINI BIN ABANG OJEK,MALE,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.206_N.36,Sarawak,P.206,TANJONG MANIS,N.36,SEMOP,BN - PBB,,9162,3226,63.89%,5854,0,122,5732,PBB,MOHAMAD ASFIA BIN AWG NASAR,MALE,59,4479,,,,,,,,PKR,NOH BIN SA`BI @ SAABI,MALE,,1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.207_N.37,Sarawak,P.207,IGAN,N.37,DARO,BN - PBB,Y,7411,,0.00%,,,,0,PBB,MURNI BIN SUHAILI,MALE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.207_N.38,Sarawak,P.207,IGAN,N.38,JEMORENG,BN - PBB,,8545,1710,64.61%,5521,1,96,5424,PBB,GANI @ ABU SEMAN BIN JAHWIE,MALE,49,3567,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,NASARUDDIN BIN ABDULLAH,MALE,,1857,,,,,,,,,,,,,
P.208_N.39,Sarawak,P.208,SARIKEI,N.39,REPOK,BN - SUPP,,16750,576,63.02%,10556,43,85,10428,SUPP,DAVID TENG LUNG CHI,MALE,61,5502,,,,,,,,,,,,,,DAP,KUNG CHIN CHIN,FEMALE,32,4926,,,,,,,,,,,,,,,,,,,,,,,,,
P.208_N.40,Sarawak,P.208,SARIKEI,N.40,MERADONG,DAP,,14584,3578,67.01%,9773,6,76,9691,SUPP,WONG ZEE YENG,FEMALE,26,2412,,,,,,,,,,,,,,DAP,TING TZE FUI,FEMALE,24,5990,,,,,,,,INDEPENDENT,JUNAK ANAK JAWEK,MALE,,117,LOST DEPOSIT,INDEPENDENT,DAVID TIONG CHIONG CHU,MALE,62,569,LOST DEPOSIT,INDEPENDENT,WONG KUNG KUONG,MALE,,603,LOST DEPOSIT
P.209_N.41,Sarawak,P.209,JULAU,N.41,PAKAN,BN - SPDP,,9034,1763,73.15%,6609,1,95,6513,SPDP,WILLIAM IKOM,MALE,57,4138,,SNAP,BOOS ANAK TUTONG @ KIRAI,MALE,,2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.209_N.42,Sarawak,P.209,JULAU,N.42,MELUAN,BN - SPDP,,11169,3007,68.94%,7700,4,91,7605,SPDP,WONG ANAK JUDAT,MALE,42,5086,,SNAP,LABANG ANAK JAMBA,MALE,,440,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,JENGGIE ANAK MALAKA,MALE,,2079,,,,,,,,,,,,,
P.210_N.43,Sarawak,P.210,KANOWIT,N.43,NGEMAH,INDEPENDENT,,7849,549,63.81%,5009,5,48,4956,PRS,ALEXANDER ANAK VINCENT,MALE,,2033,,SNAP,RICHARD ANAK LIAS,MALE,47,341,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT,ADEH AK DENONG,MALE,,2582,,,,,,,,,,,,,
