UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 1,PERLIS,P. 1,PADANG BESAR,BN - UMNO,,36613,5348,80.05,29310,2,674,28634,UMNO,AZMI BIN KHALID,MALE,67,16991,,PAS,ZOLKHARNAIN BIN ABIDIN,MALE,,11643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 2,PERLIS,P. 2,KANGAR,BN - UMNO,,43591,13671,80.17,34946,167,808,33971,UMNO,MOHD RADZI BIN SHEIKH AHMAD,MALE,66,23821,,PKR,TUNKU ABDUL RAHMAN BIN TUNKU ISMAIL,MALE,,10150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3,PERLIS,P. 3,ARAU,BN - UMNO,,39877,300,83.45,33276,88,586,32602,UMNO,ISMAIL BIN KASIM,MALE,49,16451,,PAS,HARON BIN DIN,MALE,68,16151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4,KEDAH,P. 4,LANGKAWI,BN - UMNO,,29567,4970,78.71,23273,49,670,22554,UMNO,ABU BAKAR BIN TAIB,MALE,65,13762,,PKR,WAN SALLEH BIN WAN ISA,MALE,,8792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5,KEDAH,P. 5,JERLUN,BN - UMNO,,45513,2205,81.95,37297,55,599,36643,UMNO,MUKHRIZ MAHATHIR,MALE,44,19424,,PAS,IDRIS BIN AHMAD,MALE,50,17219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6,KEDAH,P. 6,KUBANG PASU,BN - UMNO,,53323,7060,79.43,42353,127,928,41298,UMNO,MOHD JOHARI BIN BAHARUM,MALE,54,24179,,PAS,ABD ISA BIN ISMAIL,MALE,,17119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 7,KEDAH,P. 7,PADANG TERAP,PAS,,35403,369,86,30445,38,770,29637,UMNO,GHAZALI BIN IBRAHIM,MALE,55,14634,,PAS,MOHD NASIR BIN ZAKARIA,MALE,,15003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8,KEDAH,P. 8,POKOK SENA,PAS,,69631,5731,79.44,55318,636,1039,53643,UMNO,ABDUL RAHMAN BIN IBRAHIM,MALE,59,23956,,PAS,MAHFUZ BIN OMAR,MALE,51,29687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9,KEDAH,P. 9,ALOR STAR,BN - MCA,,58957,184,73.28,43206,151,1757,41298,MCA,CHOR CHEE HEUNG,MALE,53,20741,,PKR,GOOI HSIAO - LEUNG,MALE,,20557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10,KEDAH,P. 10,KUALA KEDAH,PKR,,83132,7018,79.09,65750,5,1385,64360,UMNO,HASHIM BIN JAHAYA,MALE,46,28671,,PKR,AHMAD BIN KASIM,MALE,,35689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11,KEDAH,P. 11,PENDANG,PAS,,61346,4073,84.19,51645,105,991,50549,UMNO,MD ROZAI BIN SHAFIAN,MALE,53,23238,,PAS,MOHD HAYATI BIN OTHMAN,MALE,,27311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12,KEDAH,P. 12,JERAI,PAS,,65739,2299,78.97,51913,122,1070,50721,UMNO,BADRUDDIN BIN AMIRULDIN,MALE,58,24211,,PAS,MOHD FIRDAUS BIN JAAFAR,MALE,,26510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13,KEDAH,P. 13,SIK,PAS,,40339,481,83.94,33859,107,505,33247,UMNO,OTHMAN BIN DESA,MALE,,16383,,PAS,CHE UDA BIN CHE NIK,MALE,,16864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14,KEDAH,P. 14,MERBOK,PKR,,64443,3098,77.15,49718,396,1338,47984,UMNO,TAJUL URUS BIN MAT ZAIN,MALE,56,22443,,PKR,RASHID BIN DIN,MALE,,25541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15,KEDAH,P. 15,SUNGAI PETANI,PKR,,76284,9381,77.84,59378,129,986,58263,UMNO,ZAINUDIN BIN MAIDIN,MALE,69,24441,,PKR,JOHARI BIN ABDUL,MALE,53,33822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16,KEDAH,P. 16,BALING,PAS,,78784,7613,83.47,65764,75,1154,64535,UMNO,ABDUL AZEEZ BIN ABDUL RAHIM,MALE,42,28461,,PAS,TAIB AZAMUDDEN BIN MD TAIB,MALE,,36074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17,KEDAH,P. 17,PADANG SERAI,PKR,,59218,11738,79.58,47124,55,1259,45810,MCA,BOEY CHIN GAN,MALE,43,17036,,PKR,GOBALAKRISHNAN A/L NAGAPAN,MALE,,28774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18,KEDAH,P. 18,KULIM-BANDAR BAHARU,PKR,,51995,5583,77.28,40182,233,1022,38927,UMNO,ABD AZIZ BIN SHEIKH FADZIR,MALE,45,16672,,PKR,ZULKIFLI BIN NOORDIN,MALE,46,22255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19,KELANTAN,P. 19,TUMPAT,PAS,,80072,9377,81.49,65254,171,1032,64051,UMNO,ASYRAF WAJDI BIN DUSUKI,MALE,32,27337,,PAS,KAMARUDIN BIN JAFFAR,MALE,57,36714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20,KELANTAN,P. 20,PENGKALAN CHEPA,PAS,,52350,11311,82.23,43049,270,564,42215,UMNO,RAHIM BIN MOHD ZAIN,MALE,,15452,,PAS,DATO' AB. HALIM BIN AB. RAHMAN,MALE,68,26763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 21,KELANTAN,P. 21,KOTA BHARU,PAS,,68261,11288,78.68,53710,131,609,52970,UMNO,MOHAMAD FATMI BIN CHE SALLEH,MALE,51,20841,,PAS,WAN ABD. RAHIM BIN WAN ABDULLAH,MALE,56,32129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 22,KELANTAN,P. 22,PASIR MAS,PAS,,59640,8991,82.74,49344,125,864,48355,UMNO,AHMAD ROSDI BIN MAHMAD,MALE,,19682,,PAS,IBRAHIM BIN ALI,MALE,57,28673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 23,KELANTAN,P. 23,RANTAU PANJANG,PAS,,45384,4486,78.11,35451,82,837,34532,UMNO,MOHD AFANDI BIN YUSOFF,MALE,34,14858,,PAS,SITI ZAILAH BINTI MOHD YUSOFF,FEMALE,45,19344,,,,,,,,,,,,,,INDEPENDENT - TIGER,ISMA AIRFATH BIN HASSANUDDIN,MALE,,330,LOST DEPOSIT,,,,,,,,,,,,
P. 24,KELANTAN,P. 24,KUBANG KERIAN,PAS,,53496,10642,83.14,44474,120,638,43716,UMNO,AB GHANI BIN MAMAT,MALE,49,16537,,PAS,SALAHUDDIN BIN AYUB,MALE,47,27179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 25,KELANTAN,P. 25,BACHOK,PAS,,64808,2901,85.98,55724,144,811,54769,UMNO,AWANG ADEK BIN HUSSIN,MALE,53,25934,,PAS,NASHARUDIN BIN MAT ISA,MALE,,28835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 26,KELANTAN,P. 26,KETEREH,PKR,,52240,400,84.95,44377,308,993,43076,UMNO,ANNUAR BIN MUSA,MALE,52,21338,,PKR,AB AZIZ BIN AB KADIR,MALE,,21738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 27,KELANTAN,P. 27,TANAH MERAH,PKR,,44347,1584,81.46,36126,99,1064,34963,UMNO,SHAARI BIN HASSAN,MALE,,15970,,PKR,AMRAN BIN AB GHANI,MALE,,17554,,,,,,,,,,,,,,INDEPENDENT - WAU,ASMADI BIN ABU BAKAR,MALE,,1439,LOST DEPOSIT,,,,,,,,,,,,
P. 28,KELANTAN,P. 28,PASIR PUTEH,PAS,,64393,3968,83.52,53778,130,886,52762,UMNO,AMRAN BIN MAT NOR,MALE,43,24397,,PAS,MUHAMMAD BIN HUSAIN,MALE,,28365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 29,KELANTAN,P. 29,MACHANG,PKR,,49157,1460,84.41,41494,124,748,40622,UMNO,SAZMI BIN MIAH,MALE,44,19581,,PKR,SAIFUDDIN NASUTION BIN ISMAIL,MALE,45,21041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 30,KELANTAN,P. 30,JELI,BN - UMNO,,36298,4436,84.18,30555,181,474,29900,UMNO,MUSTAPA BIN MOHAMED,MALE,58,17168,,PAS,MOHD AFANDI BIN MOHAMAD,MALE,,12732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 31,KELANTAN,P. 31,KUALA KRAI,PAS,,52250,4984,82.32,43013,117,756,42140,UMNO,CHE MUSA BIN CHE OMAR,MALE,,18578,,PAS,MOHD HATTA BIN MD RAMLI,MALE,52,23562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 32,KELANTAN,P. 32,GUA MUSANG,BN - UMNO,,28986,4394,83.77,24283,62,489,23732,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD HAMZAH,MALE,71,14063,,PAS,ZULKEFLI BIN MOHAMED,MALE,,9669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 33,TERENGGANU,P. 33,BESUT,BN - UMNO,,58353,10590,84.49,49303,473,668,48162,UMNO,ABDULLAH BIN MD ZIN,MALE,,29376,,PAS,HUSAIN BIN AWANG,MALE,,18786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 34,TERENGGANU,P. 34,SETIU,BN - UMNO,,54520,7232,85.88,46821,0,833,45988,UMNO,MOHD JIDIN BIN SHAFEE,MALE,53,26610,,PAS,MOHD PAUZI BIN MUDA,MALE,,19378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35,TERENGGANU,P. 35,KUALA NERUS,BN - UMNO,,61214,1341,85.83,52539,289,713,51537,UMNO,MOHD NASIR B. IBRAHIM @ IBRAHIM FIKRI,MALE,51,26439,,PAS,M SHUKRIMUN BIN SHAMSUDIN,MALE,,25098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,BN - UMNO,,80325,628,82.45,66231,119,931,65181,UMNO,RAZALI BIN ISMAIL,MALE,59,32562,,PAS,MOHAMAD BIN SABU,MALE,54,31934,,,,,,,,,,,,,,INDEPENDENT - KEY,MAIMUN BINTI YUSUF,FEMALE,89,685,LOST DEPOSIT,,,,,,,,,,,,
P. 37,TERENGGANU,P. 37,MARANG,PAS,,74813,2747,86.89,65008,79,806,64123,UMNO,AHMAD RAMZI BIN MOHAMAD ZUBIR,MALE,36,30688,,PAS,ABDUL HADI BIN AWANG,MALE,61,33435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,BN - UMNO,,52515,10460,87.54,45971,154,709,45108,UMNO,MOHD NOR BIN OTHMAN,MALE,,27784,,PAS,KAMARUZAMAN BIN ABDULLAH,MALE,,17324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39,TERENGGANU,P. 39,DUNGUN,BN - UMNO,,64851,4994,83.98,54464,0,930,53534,UMNO,MATULIDI BIN JUSOH,MALE,51,29264,,PKR,SHAMSUL ISKANDAR @ YUSRE BIN MOHD AKIN,MALE,38,24270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40,TERENGGANU,P. 40,KEMAMAN,BN - UMNO,,75006,12683,83.82,62868,76,1077,61715,UMNO,AHD SHABERY BIN CHEEK,MALE,50,37199,,PKR,MOHD FARIZ BIN ABD TALIB @ MUSA,MALE,38,24516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,BN - UMNO,,43019,11246,84.45,36328,50,634,35644,UMNO,ABDULLAH BIN HAJI AHMAD,MALE,69,23445,,PAS,SUBRI BIN MD. ARSHAD,MALE,,12199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,BN - UMNO,,44466,4547,83.9,37308,359,600,36349,UMNO,NOR MD BIN YAKCOP,MALE,60,20448,,PAS,ISMAIL BIN SALLEH,MALE,,15901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43,PULAU PINANG,P. 43,BAGAN,DAP,,59385,22070,77.84,46227,35,766,45426,MCA,SONG CHOY LENG,FEMALE,,11678,,,,,,,,DAP,LIM GUAN ENG,MALE,48,33748,,,,,,,,,,,,,,,,,,,,,,,,,
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,PKR,,58449,13398,82.06,47963,29,636,47298,UMNO,PIRDAUS BIN ISMAIL,MALE,43,16950,,PKR,WAN AZIZAH BINTI WAN ISMAIL,FEMALE,56,30348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,DAP,,64080,25897,79.31,50823,25,931,49867,MCA,ONG TANG CHUAN,MALE,,11985,,,,,,,,DAP,CHONG ENG,FEMALE,51,37882,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46,PULAU PINANG,P. 46,BATU KAWAN,DAP,,47378,9485,78.71,37292,3,640,36649,GERAKAN,KOH TSU KOON,MALE,59,13582,,,,,,,,DAP,P.RAMASAMY A/L PALANISAMY,MALE,58,23067,,,,,,,,,,,,,,,,,,,,,,,,,
P. 47,PULAU PINANG,P. 47,NIBONG TEBAL,PKR,,47540,3087,80.2,38129,12,784,37333,UMNO,ZAINAL ABIDIN BIN OSMAN,MALE,48,17123,,PKR,TAN TEE BENG,MALE,,20210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48,PULAU PINANG,P. 48,BUKIT BENDERA,DAP,,64545,16112,72.98,47105,89,642,46374,GERAKAN,CHIA KWANG CHYE,MALE,56,15131,,,,,,,,DAP,LIEW CHIN TONG,MALE,31,31243,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49,PULAU PINANG,P. 49,TANJONG,DAP,,53188,18489,72.82,38734,96,631,38007,GERAKAN,KHAW VEON SZU,MALE,37,9759,,,,,,,,DAP,CHOW KON YEOW,MALE,50,28248,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50,PULAU PINANG,P. 50,JELUTONG,DAP,,61181,16246,75.85,46406,41,743,45622,GERAKAN,THOR TEONG GEE,MALE,,14247,,,,,,,,DAP,OOI CHUAN AUN,MALE,,30493,,,,,,,,INDEPENDENT - UMBRELLA,BADRUL ZAMAN BIN P.S. MD ZAKARIAH,MALE,,882,LOST DEPOSIT,,,,,,,,,,,,
P. 51,PULAU PINANG,P. 51,BUKIT GELUGOR,DAP,,65614,21015,77.05,50553,581,707,49265,MCA,KOAY KAR HUAH,MALE,60,14125,,,,,,,,DAP,KARPAL SINGH A/L RAM SINGH,MALE,68,35140,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52,PULAU PINANG,P. 52,BAYAN BARU,PKR,,60713,11029,76.45,46418,1556,655,44207,MCA,OOI SIEW KIM,FEMALE,51,16589,,PKR,ZAHRAIN MOHAMED HASHIM,MALE,,27618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 53,PULAU PINANG,P. 53,BALIK PULAU,PKR,,39765,708,78.94,31391,0,601,30790,UMNO,NORRAESAH BINTI MOHAMAD,FEMALE,60,15041,,PKR,MOHD YUSMADI BIN MOHD YUSOFF,MALE,,15749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 54,PERAK,P. 54,GERIK,BN - GERAKAN,,26229,5573,78.13,20493,365,649,19479,GERAKAN,TAN LIAN HOE,FEMALE,,12526,,PAS,MOHD NOOR BIN ABDUL RAHMAN,MALE,,6953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55,PERAK,P. 55,LENGGONG,BN - UMNO,,23223,4919,75.08,17436,60,311,17065,UMNO,SHAMSUL ANUAR BIN NASARAH,MALE,41,10992,,PAS,MUHAMAD ZULKIFLI BIN MOHAMAD ZAKARIA,MALE,,6073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56,PERAK,P. 56,LARUT,BN - UMNO,,39697,1911,77.06,30589,57,687,29845,UMNO,HAMZAH BIN ZAINUDIN,MALE,51,15878,,PAS,MOHD. DHARI BIN OTHMAN,MALE,,13967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57,PERAK,P. 57,PARIT BUNTAR,PAS,,45219,7551,78.71,35592,83,618,34891,UMNO,ABDUL RAMAN BIN SULIMAN,MALE,59,13670,,PAS,MUJAHID BIN YUSOF,MALE,44,21221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 58,PERAK,P. 58,BAGAN SERAI,PKR,,47111,3413,76.92,36237,578,1186,34473,UMNO,ZAINAL ABIDIN BIN ZIN,MALE,68,15530,,PKR,MOHSIN FADZLI BIN HAJI SAMSURI,MALE,,18943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59,PERAK,P. 59,BUKIT GANTANG,PAS,,55471,1566,72.65,40301,114,851,39336,UMNO,ABDUL AZIM BIN MOHD ZABIDI,MALE,48,18449,,PAS,ROSLAN BIN SHAHARUM,MALE,49,20015,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,MOHGANAN A/L P.MANIKAM,MALE,,872,LOST DEPOSIT,,,,,,,,,,,,
P. 60,PERAK,P. 60,TAIPING,DAP,,65889,11298,71.52,47123,613,1612,44898,PPP,M. KAYVEAS,MALE,54,16800,,,,,,,,DAP,NGA KOR MING,MALE,36,28098,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61,PERAK,P. 61,PADANG RENGAS,BN - UMNO,,24397,1749,75.21,18350,77,362,17911,UMNO,MOHAMED NAZRI BIN ABDUL AZIZ,MALE,54,9830,,PKR,ALIAS BIN ZENON,MALE,,8081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 62,PERAK,P. 62,SUNGAI SIPUT,PKR,,47424,1821,69.91,33154,194,1001,31959,MIC,S. SAMY VELLU A/L SANGALIMUTHU,MALE,72,14637,,PKR,MICHAEL JEYAKUMAR DEVARAJ,MALE,53,16458,,,,,,,,,,,,,,INDEPENDENT - KEY,NOR RIZAN BIN OON,MALE,,864,LOST DEPOSIT,,,,,,,,,,,,
P. 63,PERAK,P. 63,TAMBUN,BN - UMNO,,68966,5386,75.17,51844,419,927,50498,UMNO,AHMAD HUSNI BIN MOHAMAD HANADZLAH,MALE,56,27942,,PKR,MOHAMAD ASRI BIN OTHMAN,MALE,,22556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 64,PERAK,P. 64,IPOH TIMOR,DAP,,76647,21942,70.45,53994,501,707,52786,MCA,LIEW MUN HON,MALE,32,15422,,,,,,,,DAP,LIM KIT SIANG,MALE,67,37364,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65,PERAK,P. 65,IPOH BARAT,DAP,,69773,15534,72.58,50641,194,829,49618,MCA,YIK PHOOI HONG,MALE,,17042,,,,,,,,DAP,M.KULASEGARAN A/L V.MURUGESON,MALE,51,32576,,,,,,,,,,,,,,,,,,,,,,,,,
P. 66,PERAK,P. 66,BATU GAJAH,DAP,,77313,24627,72.78,56270,142,911,55217,MCA,CHEAH YOKE CAN,MALE,,15295,,,,,,,,DAP,FONG PO KUAN,FEMALE,36,39922,,,,,,,,,,,,,,,,,,,,,,,,,
P. 67,PERAK,P. 67,KUALA KANGSAR,BN - UMNO,,28325,1458,73.34,20773,388,373,20012,UMNO,RAFIDAH AZIZ,FEMALE,65,10735,,PAS,KHAIRUDDIN BIN ABD MALIK,MALE,,9277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 68,PERAK,P. 68,BERUAS,DAP,,43273,1828,71.22,30821,98,889,29834,GERAKAN,DATO` CHANG KO YOUN,MALE,,14003,,,,,,,,DAP,NGEH KOO HAM,MALE,47,15831,,,,,,,,,,,,,,,,,,,,,,,,,
P. 69,PERAK,P. 69,PARIT,BN - UMNO,,28859,2873,78.3,22598,45,628,21925,UMNO,MOHD NIZAR BIN ZAKARIA,MALE,49,12399,,PAS,NAJIHATUSSALEHAH BINTI AHMAD,FEMALE,,9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 70,PERAK,P. 70,KAMPAR,BN - MCA,,59784,2697,65.16,38953,350,1048,37555,MCA,LEE CHEE LEONG,MALE,51,20126,,,,,,,,DAP,KEONG MENG SING,MALE,,17429,,,,,,,,,,,,,,,,,,,,,,,,,
P. 71,PERAK,P. 71,GOPENG,PKR,,74344,7368,71.7,53303,0,1279,52024,MCA,LING HEE LEONG,MALE,32,22328,,PKR,LEE BOON CHYE,MALE,48,29696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 72,PERAK,P. 72,TAPAH,BN - MIC,,38236,3020,70.12,26811,1,1662,25148,MIC,SARAVANAN A/L MURUGAN,MALE,40,14084,,PKR,TAN SENG TOH,MALE,40,11064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 73,PERAK,P. 73,PASIR SALAK,BN - UMNO,,42712,2688,75.2,32119,1,950,31168,UMNO,TAJUDDIN BIN ABDUL RAHMAN,MALE,60,16928,,PKR,MUSTAFFA KAMIL BIN AYUB,MALE,,14240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 74,PERAK,P. 74,LUMUT,BN - MCA,,72763,298,76.87,55930,2948,1884,51098,MCA,KONG CHO HA,MALE,58,25698,,PKR,SUWARDI BIN SAPUAN,MALE,,25400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 75,PERAK,P. 75,BAGAN DATOK,BN - UMNO,,34670,2692,70.42,24414,62,814,23538,UMNO,AHMAD ZAHID BIN HAMIDI,MALE,55,13115,,PKR,MADZI BIN HASAN,MALE,,10423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 76,PERAK,P. 76,TELOK INTAN,DAP,,52354,1470,70.17,36739,84,1153,35502,GERAKAN,MAH SIEW KEONG,MALE,47,17016,,,,,,,,DAP,MANOGARAN A/L MARIMUTHU,MALE,48,18486,,,,,,,,,,,,,,,,,,,,,,,,,
P. 77,PERAK,P. 77,TANJONG MALIM,BN - MCA,,53481,5422,71.25,38107,153,1344,36610,MCA,ONG KA CHUAN,MALE,54,21016,,PKR,MOHAMAD AZMAN BIN MARJOHAN,MALE,,15594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 78,PAHANG,P. 78,CAMERON HIGHLANDS,BN - MIC,,23461,3117,70.14,16456,59,1186,15211,MIC,DEVAMANY A/L S. KRISHNASAMY,MALE,51,9164,,,,,,,,DAP,APALASAMY A/L JATALIAH,MALE,,6047,,,,,,,,,,,,,,,,,,,,,,,,,
P. 79,PAHANG,P. 79,LIPIS,BN - UMNO,,28425,4137,76.55,21758,112,561,21085,UMNO,MOHAMAD SHAHRUM BIN OSMAN,MALE,55,12611,,PAS,MOHAMED NILAM BIN ABDUL MANAP,MALE,,8474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 80,PAHANG,P. 80,RAUB,BN - MCA,,46454,2752,74.18,34459,140,915,33404,MCA,OEI YANG YANG @ NG YEN YEN,FEMALE,,18078,,,,,,,,DAP,ABU BAKAR BIN LEBAI SUDIN,MALE,67,15326,,,,,,,,,,,,,,,,,,,,,,,,,
P. 81,PAHANG,P. 81,JERANTUT,BN - UMNO,,48812,1946,78.01,38078,109,829,37140,UMNO,TENGKU AZLAN IBNI SULTAN ABU BAKAR,MALE,61,19543,,PAS,HAMZAH BIN JAAFAR,MALE,,17597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 82,PAHANG,P. 82,INDERA MAHKOTA,PKR,,51235,1027,77.44,39677,390,668,38619,UMNO,SALAMON ALI RIZAL BIN ABDUL RAHMAN,MALE,40,18796,,PKR,AZAN BIN ISMAIL,MALE,,19823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 83,PAHANG,P. 83,KUANTAN,PKR,,47745,1826,74.92,35772,179,623,34970,MCA,FU AH KIOW @ OH (FU) SOON GUAN,MALE,59,16572,,PKR,FUZIAH BINTI SALLEH,FEMALE,49,18398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 84,PAHANG,P. 84,PAYA BESAR,BN - UMNO,,39882,8503,77.45,30888,44,637,30207,UMNO,ABDUL MANAN BIN ISMAIL,MALE,60,19355,,PKR,MOHD JAFRI BIN AB RASHID,MALE,,10852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 85,PAHANG,P. 85,PEKAN,BN - UMNO,,58217,26464,82.23,47870,549,1261,46060,UMNO,MOHD NAJIB BIN HJ ABD RAZAK,MALE,55,36262,,PKR,KHAIRUL ANUAR BIN AHMAD ZAINUDIN,MALE,,9798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 86,PAHANG,P. 86,MARAN,BN - UMNO,,32517,6641,78.95,25672,82,495,25095,UMNO,ISMAIL BIN ABD. MUTTALIB,MALE,54,15868,,PAS,NASRUDIN BIN HASSAN,MALE,,9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 87,PAHANG,P. 87,KUALA KRAU,BN - UMNO,,34139,5265,80.83,27594,50,479,27065,UMNO,ISMAIL BIN MOHAMED SAID,MALE,43,16165,,PAS,KAMAL BIN ASHAARI,MALE,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
