UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 163,JOHOR,P. 163,KULAI,BN - MCA,,67358,11744,79.69,53676,59,1327,52290,MCA,ONG KA TING,MALE,52,32017,,,,,,,,DAP,NG PACK SIONG,MALE,,20273,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164,JOHOR,P. 164,PONTIAN,BN - UMNO,,43264,14444,75.83,32806,0,1008,31798,UMNO,AHMAD BIN MASLAN,MALE,42,23121,,PKR,MOHD ANNUAR BIN MOHD SALLEH,MALE,,8677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165,JOHOR,P. 165,TANJONG PIAI,BN - MCA,,45701,12371,77.82,35564,214,1117,34233,MCA,WEE JECK SENG,MALE,44,23302,,,,,,,,DAP,AHMAD BIN TON,MALE,59,10931,,,,,,,,,,,,,,,,,,,,,,,,,
P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,BN - UMNO,,20783,8457,68.08,14149,247,311,13591,UMNO,YUSSOF BIN MAHAL,MALE,,10471,,PAS,MATUSIN BIN ABDUL RAHMAN,MALE,,1106,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,LAU SENG KIAT,MALE,,2014,,,,,,,,,,,,,
P. 167,SABAH,P. 167,KUDAT,BN - UMNO,,39643,9895,66.98,26551,120,1058,25373,UMNO,ABD RAHIM BIN BAKRI,MALE,47,17634,,PKR,YAHYA BIN OTHMAN,MALE,,7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 168,SABAH,P. 168,KOTA MARUDU,BN - PBS,,31938,4198,69.51,22199,27,748,21424,PBS,JOHNITY @ MAXIMUS BIN ONGKILI,MALE,55,12028,,PKR,ANDONNY PILIT @ ANTHONY BIRI MANDIAU,MALE,,7830,,,,,,,,BERSEKUTU,BERMAN BIN ANGKAP,MALE,,457,LOST DEPOSIT,INDEPENDENT - UMBRELLA,ROSLAN BIN MOHD ZAIN,MALE,,1109,LOST DEPOSIT,,,,,,,,,,,,
P. 169,SABAH,P. 169,KOTA BELUD,BN - UMNO,,43071,3020,78.27,33710,0,1046,32664,UMNO,ABD RAHMAN BIN DAHLAN,MALE,43,17842,,PKR,SAIDIL @ SAIDI BIN SIMOI,MALE,,14822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 170,SABAH,P. 170,TUARAN,BN - UPKO,,40761,6622,74.98,30563,37,979,29547,UPKO,MOJILIP BIN BUMBURING @ WILFRED,MALE,,17645,,PKR,UMSERY @ ANSARI BIN ABDULLAH,MALE,,11023,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,AJIN @ NAZIN BIN GAGAH,MALE,,879,LOST DEPOSIT,,,,,,,,,,,,
P. 171,SABAH,P. 171,SEPANGGAR,BN - SAPP,,39251,11461,68.76,26990,184,790,26016,SAPP,ENCHIN BIN MAJIMBUN @ ERIC,MALE,,16884,,PKR,MOHD IBRAHIM BIN ABDULLAH @ YEMBUN,MALE,,5423,,DAP,EWOL BIN MUJI,MALE,,3709,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172,SABAH,P. 172,KOTA KINABALU,DAP,,43714,106,64.09,28017,108,326,27583,PBS,CHIN TEK MING,MALE,,8420,,PKR,LIEW CHIN JIN,FEMALE,56,9358,,DAP,HIEW KING CHEU,MALE,56,9464,,,,,,,,INDEPENDENT - UMBRELLA,KONG YU KIONG,MALE,,341,LOST DEPOSIT,,,,,,,,,,,,
