UNIQUE CODE (2008),STATE (2008),PARLIAMENTARY CONSTITUENCY CODE (2008),PARLIAMENTARY CONSTITUENCY NAME (2008),AREA (SQ KM),NOTES
P. 62,PERAK,P. 62,SUNGAI SIPUT,1576.22,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 63,PERAK,P. 63,TAMBUN,528.31,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 64,PERAK,P. 64,IPOH TIMOR,37.73,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 65,PERAK,P. 65,IPOH BARAT,32.82,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 66,PERAK,P. 66,BATU GAJAH,206.87,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 67,PERAK,P. 67,KUALA KANGSAR,577.47,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 68,PERAK,P. 68,BERUAS,618.46,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 69,PERAK,P. 69,PARIT,565.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 70,PERAK,P. 70,KAMPAR,469.12,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 71,PERAK,P. 71,GOPENG,591.75,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 72,PERAK,P. 72,TAPAH,994.05,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 73,PERAK,P. 73,PASIR SALAK,1058.08,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 74,PERAK,P. 74,LUMUT,438.39,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 75,PERAK,P. 75,BAGAN DATOK,565.28,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 76,PERAK,P. 76,TELOK INTAN,779.86,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 77,PERAK,P. 77,TANJONG MALIM,1836.53,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 78,PAHANG,P. 78,CAMERON HIGHLANDS,3110.52,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 79,PAHANG,P. 79,LIPIS,2949.91,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 80,PAHANG,P. 80,RAUB,2299.52,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 81,PAHANG,P. 81,JERANTUT,7359.04,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 82,PAHANG,P. 82,INDERA MAHKOTA,389.18,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 83,PAHANG,P. 83,KUANTAN,163.05,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 84,PAHANG,P. 84,PAYA BESAR,2221.93,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 85,PAHANG,P. 85,PEKAN,3696.65,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 86,PAHANG,P. 86,MARAN,1559.13,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 87,PAHANG,P. 87,KUALA KRAU,1367.38,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 88,PAHANG,P. 88,TEMERLOH,1214.07,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
