UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,MALAY,BRUNEI,KEDAYAN,CHINESE,KADAZAN,DUSUN,RUNGUS,MURUT,BAJAU,SULUK,SUNGEI,IDAHAN,UBIAN,BUGIS,IRANUN,TAMBANUO,LUNDAYEH,TIDUNG,SINO NATIVE,UNCLASSIFIED BUMI SABAH,BUMI SARAWAK,FILIPINOS,INDIA
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,,,,4.8,9.2,7.1,3.8,,4.4,,50.8,,,2.3,,3.6,,,,,,,
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,5.3,2.5,,25.7,2.8,,,,24.6,12.9,8,,,6.3,,,,,,,2.1,3.6,
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,11.1,4,,36.6,2.1,,,,14,7.7,6,,,6.3,,,,,,,2.6,,
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,5.3,,,44.9,4.3,,,,11.2,5.4,5.6,,,8.5,,,,0.8,1.8,,2,,
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,6.3,4.7,,42.3,2.1,,,,12.4,7.4,,,,7.8,,,,,,,2,3.1,
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,,,,4.1,14.5,19.7,,3,0.7,,43.4,,,,,,,,,10,,,
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,4.4,,,7,2.7,,,,4.4,1.7,54.6,,,11.8,,,,,,1.8,,1.3,
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,8.3,,,20.7,,5.9,,,17.8,4.2,0.9,4.8,,16.3,,,,,0.7,4.8,,,
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,8.1,,,19.5,2.9,,,,23.9,6.6,,7.1,,15.6,,,,,,3.2,,3.1,0.6
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,12.1,,,8.8,2,,,,32.8,4.9,,,,23.1,,,,,,4.6,,,
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,,,,,,,,,,,,,,,,,,,,,,,
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,4.1,,,9.5,,,,,70.1,3,,,,6.7,,,,,,0.9,,,
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,3.3,,,8.2,0.4,,,,73.2,3.3,,,,,,,,,,1.1,,,
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,,,,,,,,,,,,,,,,,,,,,,,
P. 190_N. 68,SABAH,P. 190,TAWAU,N. 68,APAS,,,,,,,,,,,,,,,,,,,,,,,
P. 190_N. 69,SABAH,P. 190,TAWAU,N. 69,SRI TANJONG,6.3,,,58.5,,0.6,,,5.5,1.5,,2,,,,,,,,,1.7,,
P. 191_N. 70,SABAH,P. 191,KALABAKAN,N. 70,KUKUSAN,18.6,,,20.2,2.3,,,,8.6,2.5,,,,27.3,,,,,,4.5,,,
P. 191_N. 71,SABAH,P. 191,KALABAKAN,N. 71,TANJUNG BATU,11.2,,,9,1.1,,,,7.5,1.8,,,,52,,,,,,3.7,,,
P. 191_N. 72,SABAH,P. 191,KALABAKAN,N. 72,MEROTAI,11.9,,,18.6,1.9,,,,6.5,3,,,,32.5,,,,8.2,,4.8,3.7,,0.4
P. 191_N. 73,SABAH,P. 191,KALABAKAN,N. 73,SEBATIK,11.5,,,6.2,,1.4,,8.1,22.1,3,,,,13.3,,,,22.5,,3.9,,,
