UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA VOTERS,NON MUSLIM BUMIPUTERA VOTERS,CHINESE VOTERS,OTHER VOTERS,ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY AND POLICE VOTERS,ELECTORS - POLICE VOTERS,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS,URBAN-RURAL CLASSIFICATION (2025)
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,23168,,,,,23168,0,0,1617,5105,5588,4194,3128,2195,669,364,308,11398,11770,RURAL
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,16551,,,,,16551,0,0,1346,4044,4265,2807,2008,1293,439,209,140,8423,8128,RURAL
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,20349,,,,,20349,0,0,1668,5247,5159,3338,2287,1649,505,217,279,10284,10065,RURAL
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,23392,,,,,23379,0,13,2140,6766,5933,3565,2185,1452,596,304,451,11442,11950,RURAL
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,14965,,,,,14965,0,0,1249,3854,3651,2495,1921,1108,443,160,84,7642,7323,RURAL
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,18435,,,,,18435,0,0,1418,4568,4427,3021,2083,1603,700,360,255,9503,8932,RURAL
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,14564,,,,,14312,0,252,1126,3403,3767,2670,1818,1151,445,123,61,7357,7207,RURAL
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,19433,,,,,18746,0,687,1403,4404,4563,3639,2515,1731,766,230,182,10187,9246,RURAL
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,18217,,,,,17659,0,558,1325,4049,4202,3070,2618,1731,813,266,143,9509,8708,RURAL
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,38678,,,,,38272,406,0,3436,10411,9887,6647,3901,2738,1244,301,113,19399,19279,URBAN
