UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORS,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,GRS,GRS CANDIDATE,GRS CANDIDATE SEX,GRS CANDIDATE AGE,GRS VOTE,GRS CANDIDATE LOST DEPOSIT,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,PN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PIS,PIS CANDIDATE,PIS CANDIDATE SEX,PIS CANDIDATE AGE,PIS VOTE,PIS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,OTHER PARTY (5),OTHER PARTY (5) CANDIDATE,OTHER PARTY (5) CANDIDATE SEX,OTHER PARTY (5) CANDIDATE AGE,OTHER PARTY (5) VOTE,OTHER PARTY (5) CANDIDATE LOST DEPOSIT,OTHER PARTY (6),OTHER PARTY (6) CANDIDATE,OTHER PARTY (6) CANDIDATE SEX,OTHER PARTY (6) CANDIDATE AGE,OTHER PARTY (6) VOTE,OTHER PARTY (6) CANDIDATE LOST DEPOSIT,OTHER PARTY (7),OTHER PARTY (7) CANDIDATE,OTHER PARTY (7) CANDIDATE SEX,OTHER PARTY (7) CANDIDATE AGE,OTHER PARTY (7) VOTE,OTHER PARTY (7) CANDIDATE LOST DEPOSIT,OTHER PARTY (8),OTHER PARTY (8) CANDIDATE,OTHER PARTY (8) CANDIDATE SEX,OTHER PARTY (8) CANDIDATE AGE,OTHER PARTY (8) VOTE,OTHER PARTY (8) CANDIDATE LOST DEPOSIT,OTHER PARTY (9),OTHER PARTY (9) CANDIDATE,OTHER PARTY (9) CANDIDATE SEX,OTHER PARTY (9) CANDIDATE AGE,OTHER PARTY (9) VOTE,OTHER PARTY (9) CANDIDATE LOST DEPOSIT,OTHER PARTY (10),OTHER PARTY (10) CANDIDATE,OTHER PARTY (10) CANDIDATE SEX,OTHER PARTY (10) CANDIDATE AGE,OTHER PARTY (10) VOTE,OTHER PARTY (10) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT,INDEPENDENT (6),INDEPENDENT (6) CANDIDATE,INDEPENDENT (6) CANDIDATE SEX,INDEPENDENT (6) CANDIDATE AGE,INDEPENDENT (6) VOTE,INDEPENDENT (6) CANDIDATE LOST DEPOSIT
P. 174_N. 25,SABAH,P. 174,PENAMPANG,N. 25,KAPAYAN,WARISAN,13,,49597,9256,,,,272,28938,,,,,,,,,,,,,,,,,,,DAP,JANNIE LASIMBANG,FEMALE,62,5341,,WARISAN,CHIN TEK MING,MALE,55,14597,,PIS,CHIN LING LING,FEMALE,54,487,LOST DEPOSIT,STAR,BERNARD A LOGIJIN,MALE,56,2764,LOST DEPOSIT,PKAN,WONG KONG FOOH,MALE,56,53,LOST DEPOSIT,PBK,KUO LEE ON,MALE,57,102,LOST DEPOSIT,KDM,DR. EDWIN @ JACK BOSI,MALE,68,660,LOST DEPOSIT,UPKO,BILLY JOE DOMINIC,MALE,41,3496,LOST DEPOSIT,,,,,,,ASPIRASI,SYLVESTER MOLUKUN,MALE,59,81,LOST DEPOSIT,,,,,,,,,,,,,PR,LASIUS MIKI,MALE,65,132,LOST DEPOSIT,INDEPENDENT - KEY,LAND LIP FONG,MALE,54,68,LOST DEPOSIT,INDEPENDENT - HORSE,CYRIL GERALD LIEW,MALE,53,683,LOST DEPOSIT,INDEPENDENT - TREE,SABARIA @ SABARIAH AZIZ,FEMALE,64,474,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 174_N. 26,SABAH,P. 174,PENAMPANG,N. 26,MOYOG,UPKO,12,,31084,2618,,,,226,21166,PBS,IR.TS. JOEYNODD BANSIN,MALE,36,1620,LOST DEPOSIT,,,,,,,PPBM,FRANCIS MOJIKON,MALE,65,160,LOST DEPOSIT,PKR,REMYSTA JIMMY TAYLOR,MALE,37,946,LOST DEPOSIT,WARISAN,TERRENCE SIAMBUN @ ALON,MALE,51,6490,,PIS,CLEFTUS STEPHEN SPINE,MALE,71,68,LOST DEPOSIT,STAR,JOE SULEIMAN,MALE,64,1805,LOST DEPOSIT,,,,,,,PBK,WALTER NORBERT JOHNNY,MALE,34,30,LOST DEPOSIT,KDM,TS. MCKERY VICTOR NININ,MALE,47,669,LOST DEPOSIT,UPKO,DONALD PETER MOJUNTIN,MALE,60,9108,,PKS,RICHARD RONALD DOMPOK,MALE,42,84,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HORSE,RICKY CHANG,MALE,54,110,LOST DEPOSIT,INDEPENDENT - TREE,PETER MAURICE LIDADUN,MALE,60,76,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 27,SABAH,P. 175,PAPAR,N. 27,LIMBAHAU,GRS - DIRECT,9,,20225,3320,,,,148,14861,DIRECT,DATUK JUIL NUATIM,MALE,66,6444,,,,,,,,PPBM,ADRIAN ALEXANDER MALIM,MALE,43,189,LOST DEPOSIT,,,,,,,WARISAN,ROGER @ ROY VALENTINE AMANDUS,MALE,61,2150,,PIS,JOSEPH PHILIP KULIP,MALE,64,68,LOST DEPOSIT,SAPP,EDWARD DAGUL,MALE,59,1585,LOST DEPOSIT,,,,,,,,,,,,,KDM,MALIK BIN LUMAN,MALE,55,1007,LOST DEPOSIT,UPKO,NELSON WENCES ANGANG,MALE,46,3124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MARCELLUS BIN TAMBUD,MALE,61,257,LOST DEPOSIT,INDEPENDENT - ELEPHANT,LINDA BEDA DUNSTAN,FEMALE,45,37,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 28,SABAH,P. 175,PAPAR,N. 28,KAWANG,GRS - PGRS,5,,23823,8763,,,,252,17720,PGRS,GULAMHAIDAR @ YUSOF BIN KHAN BAHADAR,MALE,70,11688,,UMNO,JAMAL NERUBI,MALE,60,2925,,,,,,,,,,,,,,WARISAN,NIN BIN JELLIH,MALE,65,2454,,PIS,SAMAIL BIN BULONGIK,MALE,52,162,LOST DEPOSIT,STAR,BEVERLEY KOH,FEMALE,41,491,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 175_N. 29,SABAH,P. 175,PAPAR,N. 29,PANTAI MANIS,GRS - PGRS,7,,20026,2131,,,,195,14846,PGRS,DATUK HAJI PENGIRAN SAIFUDDIN BIN PENGIRAN TAHIR PETRA,MALE,68,6755,,UMNO,REDZUAN @ GARIN,MALE,45,4624,,PPBM,FAIZAL BIN JULAILI,MALE,49,444,LOST DEPOSIT,,,,,,,WARISAN,AIDI BIN MOKTAR,MALE,70,2531,,PIS,MOHAMAD AZZMI BIN AHMAD,MALE,43,121,LOST DEPOSIT,STAR,RICHARD VITALES @ CHARLES,MALE,66,132,LOST DEPOSIT,,,,,,,,,,,,,KDM,DATU MOHAMAD BIN DATU TAMIN,MALE,63,239,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 176_N. 30,SABAH,P. 176,KIMANIS,N. 30,BONGAWAN,WARISAN,9,,24019,938,,,,286,18054,PCS,ANIFAH AMAN,MALE,71,4604,,UMNO,MOHAMAD BIN ALAMIN,MALE,52,4569,,PPBM,RIDZUAN FIRDAUS,MALE,35,465,LOST DEPOSIT,,,,,,,WARISAN,DAUD BIN YUSOF,MALE,64,5542,,PIS,ROYSTON ADVEN,MALE,33,76,LOST DEPOSIT,STAR,DOLORES MICHAEL,MALE,54,801,LOST DEPOSIT,,,,,,,,,,,,,KDM,PETER BIN MATINJAL,MALE,61,1868,LOST DEPOSIT,,,,,,,,,,,,,PPRS,HUSSIN BIN DASAR,MALE,55,43,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MD HARIS BIN MD TAHIR,MALE,63,86,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 176_N. 31,SABAH,P. 176,KIMANIS,N. 31,MEMBAKUT,GRS - PGRS,10,,18563,2017,,,,123,14188,PGRS,MOHD ARIFIN BIN MOHD ARIF,MALE,62,5668,,UMNO,CIKGU RUSMAN BIN DULAMIT,MALE,55,3651,,,,,,,,,,,,,,WARISAN,MOHAMAD BIN SAID @ ISMAIL BIN SAIT,MALE,61,2199,,PIS,KAMAL BIN IDRIS,MALE,51,67,LOST DEPOSIT,STAR,ADRIAN BIN LAJIM,MALE,42,324,LOST DEPOSIT,PKAN,HAJI YAHYA AHMAD,MALE,59,278,LOST DEPOSIT,,,,,,,,,,,,,UPKO,ROWINDY LAWRENCE ODONG,FEMALE,43,1788,,PKS,SULIAMAN BIN ALLADAD,MALE,67,23,LOST DEPOSIT,PPRS,AZIZ BIN ANGKIU @ JAAFAR,MALE,60,38,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,HASLAN BIN WASLI,MALE,47,152,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 32,SABAH,P. 177,BEAUFORT,N. 32,KLIAS,GRS - PGRS,9,,22277,1643,,,,1,15193,PGRS,DATUK ISNIN HJ ALIASNIH,MALE,60,6078,,UMNO,HJ OSIN BIN JILON,MALE,70,4435,,PPBM,MOHD HISYAM HAZARIL BIN MOHD AZMAN,MALE,24,877,LOST DEPOSIT,,,,,,,WARISAN,MOHD SHAID OTHMAN,MALE,68,2808,,PIS,MATLANI BIN SABLI,MALE,53,124,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,KDM,MOHD ARIFFIN BIN BARHIM,MALE,66,557,LOST DEPOSIT,,,,,,,PKS,JISMIT BIN JAPONG,MALE,60,178,LOST DEPOSIT,PPRS,KALIWON BIN EDI,MALE,67,66,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,EDWIN LOUIS,MALE,64,70,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177_N. 33,SABAH,P. 177,BEAUFORT,N. 33,KUALA PENYU,GRS - PGRS,6,,22288,3965,,,,284,16130,PGRS,LIMUS BIN JURY,MALE,63,8633,,UMNO,AWANG ASLEE BIN LAKAT,MALE,65,4668,,,,,,,,,,,,,,WARISAN,MONIH EPIN,MALE,58,1199,LOST DEPOSIT,PIS,DINI BINTI GINSIK @ ANNIE BINTI GINSIK,FEMALE,60,125,LOST DEPOSIT,STAR,WALTHER PHILIP MICHAEL,MALE,38,1346,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,PKS,JONEHTAN MATHEUS,MALE,37,159,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 34,SABAH,P. 178,SIPITANG,N. 34,LUMADAN,GRS - PBS,6,,22165,4254,,,,287,15111,PBS,DATUK HJ RUSLAN BIN MUHARAM,MALE,63,7967,,UMNO,DATUK MOHD NAZRI ABDULLAH,MALE,63,3713,,,,,,,,,,,,,,WARISAN,MOHAMMAD NORIZHUAN BIN AWANG,MALE,35,2528,,PIS,JURINAH BINTI NASIR,FEMALE,59,161,LOST DEPOSIT,STAR,AMIT BIN BASRIN,MALE,62,407,LOST DEPOSIT,,,,,,,,,,,,,KDM,ABDUL JARIH BIN OKIN,MALE,63,335,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178_N. 35,SABAH,P. 178,SIPITANG,N. 35,SINDUMIN,WARISAN,10,,25536,362,,,,264,15843,,,,,,,,,,,,,PPBM,DAYANG SYAFIQAH,FEMALE,30,705,LOST DEPOSIT,PKR,YAMANI HAFEZ MUSA,MALE,48,4724,,WARISAN,YUSRI BIN PUNGUT,MALE,53,5086,,PIS,MARKUS BUAS,MALE,56,293,LOST DEPOSIT,STAR,MOKTAR BIN MATUSSIN,MALE,66,1469,LOST DEPOSIT,,,,,,,,,,,,,KDM,SANI BIN MIASIN,MALE,47,875,LOST DEPOSIT,,,,,,,PKS,KANAFIA BIN BUJANG,MALE,50,37,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WILSON LIOU,MALE,55,54,LOST DEPOSIT,INDEPENDENT - MANGOSTEEN,IBRAHIM BIN TUAH,MALE,51,30,LOST DEPOSIT,INDEPENDENT - ELEPHANT,ABDILLAH BIN JALAF @ DILA,MALE,41,2570,,,,,,,,,,,,,,,,,,,
P. 179_N. 36,SABAH,P. 179,RANAU,N. 36,KUNDASANG,GRS - PBS,10,,24582,1031,,,,194,16016,PBS,DR. JOACHIM GUNSALAM,MALE,67,4640,,PBRS,JAPIRIN BIN SAHADI,MALE,61,1877,LOST DEPOSIT,PPBM,ATONG BIN ANTONG,MALE,61,154,LOST DEPOSIT,,,,,,,WARISAN,JEFFREY BIN GOPOG,MALE,57,986,LOST DEPOSIT,PIS,EDWARD JAMKIM,MALE,56,64,LOST DEPOSIT,SAPP,DATUK JAPIRIL SUHAIMIN,MALE,62,1279,LOST DEPOSIT,PKAN,NAZARUL KHAIWALA BIN WAHAB,MALE,46,44,LOST DEPOSIT,,,,,,,KDM,JATTRY ABIE @ JEFFRY MOHD ALI,MALE,63,2833,,UPKO,ROGERS TIAM,MALE,45,530,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,JACKSON MUSI,MALE,40,3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 37,SABAH,P. 179,RANAU,N. 37,KARANAAN,GRS - PGRS,7,,18696,5361,,,,114,12961,PGRS,MASIDI BIN MANJUN @ MASDI,MALE,75,7081,,UMNO,MD. NADZMIN KAMIN,MALE,40,1630,,,,,,,,,,,,,,WARISAN,MUKININ @ MAZLAN BIN DAIMAN,MALE,73,860,LOST DEPOSIT,,,,,,,STAR,ANUAR GHANI GILONG @ PHILIP,MALE,66,1720,,,,,,,,,,,,,,KDM,KARIM BIN ADAM,MALE,71,895,LOST DEPOSIT,UPKO,GEORGINA GEORGE,FEMALE,50,660,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,NAOMI @ NEOMI FRANCIS,FEMALE,58,115,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179_N. 38,SABAH,P. 179,RANAU,N. 38,PAGINATAN,KDM,10,,26881,736,,,,206,18357,DIRECT,DATUK ABIDIN MADINGKIR,MALE,71,5256,,UMNO,DATUK JUNAIDI BIN SAHAT,MALE,67,2448,,,,,,,,,,,,,,WARISAN,JUHAILI BIN SIDEK,MALE,64,541,LOST DEPOSIT,PIS,LINUS BIN YUBOD @ MD HAIDI B MD BADAWI,MALE,56,55,LOST DEPOSIT,STAR,FEDDRIN BIN TULIANG,MALE,49,1709,LOST DEPOSIT,PKAN,RUBICA GABAYOI,FEMALE,50,92,LOST DEPOSIT,PBM,VENNEX BIN JASMIN @ MIKI,MALE,46,78,LOST DEPOSIT,KDM,DATUK RUSDIN BIN RIMAN,MALE,64,5992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR,BENSIN DANI,MALE,58,46,LOST DEPOSIT,INDEPENDENT - CLOCK,IVAN BENEDICT,MALE,37,2140,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 39,SABAH,P. 180,KENINGAU,N. 39,TAMBUNAN,STAR,7,,29187,7311,,,,144,19144,PGRS,VICTOR P PAUT,MALE,60,5284,,,,,,,,,,,,,,,,,,,,WARISAN,BIANUS KONTONG,MALE,66,738,LOST DEPOSIT,PIS,KENNETH EDWIN N.,MALE,52,66,LOST DEPOSIT,STAR,DSP DR. JEFFREY G. KITINGAN,MALE,78,12595,,PKAN,DIONYSIA GINSOS,FEMALE,33,151,LOST DEPOSIT,,,,,,,KDM,JIKOL BIN TAGUA,MALE,60,242,LOST DEPOSIT,,,,,,,,,,,,,SPP,GULIT BIN RUKAG,MALE,54,68,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 40,SABAH,P. 180,KENINGAU,N. 40,BINGKOR,STAR,10,,31305,5427,,,,176,19857,PGRS,RAFIE ROBERT,MALE,38,3919,,,,,,,,,,,,,,,,,,,,WARISAN,BENEDICT MARTIN GUNIR,MALE,66,2451,LOST DEPOSIT,PIS,KENOLEE BIN JUSTINE,MALE,46,84,LOST DEPOSIT,STAR,MOHD ISHAK BIN AYUB,MALE,57,9346,,,,,,,,,,,,,,KDM,NIKLOS BIN ONGOH,MALE,37,803,LOST DEPOSIT,UPKO,KENNEDY JOHN ANGIAN,MALE,50,2728,,PKS,THOMAS ANGGAN,MALE,86,83,LOST DEPOSIT,SPP,SOLZAH BIN SUAL,MALE,52,60,LOST DEPOSIT,,,,,,,GAS,HARYADY BIN ANTUTU,MALE,30,71,LOST DEPOSIT,,,,,,,INDEPENDENT - MANGOSTEEN,AHAMIN BIN SALIM,MALE,56,312,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180_N. 41,SABAH,P. 180,KENINGAU,N. 41,LIAWAN,BN - UMNO,10,,32661,643,,,,306,20759,DIRECT,ANNUAR AYUB AMAN @ BANAND,MALE,63,5239,,UMNO,NIK MOHD NADZRI BIN NIK ZAWAWI,MALE,46,5882,,PPBM,JOHNY ANTHONY,MALE,69,272,LOST DEPOSIT,,,,,,,WARISAN,ADZHAR BIN JASNI @ EDDY,MALE,62,4142,,PIS,JUNADEY BIN EJIH @ EGIH,MALE,50,51,LOST DEPOSIT,STAR,AUGUSTINE A.NAIN,MALE,52,3899,,,,,,,,,,,,,,KDM,PETER PAUN,MALE,56,501,LOST DEPOSIT,UPKO,WILSON GAN,MALE,37,658,LOST DEPOSIT,,,,,,,PPRS,MUSTAZARMIE BIN MUSTAPHA,MALE,33,37,LOST DEPOSIT,RUMPUN,YUKILIN BIN GIGING,MALE,62,78,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 42,SABAH,P. 181,TENOM,N. 42,MELALAP,PH - PKR,8,,21320,525,,,,135,14983,,,,,,,,,,,,,,,,,,,PKR,JAMAWI BIN JA'AFAR,MALE,51,5064,,WARISAN,CHELD LIND,MALE,39,448,LOST DEPOSIT,PIS,KEVIN CHONG,MALE,50,21,LOST DEPOSIT,STAR,ALVIANA BINTI LINUS,FEMALE,46,271,LOST DEPOSIT,,,,,,,,,,,,,KDM,PRISCELLA PETER,FEMALE,27,4539,,UPKO,JUNIK BIN BAJIT,MALE,59,1702,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,FATIMAH,FEMALE,71,59,LOST DEPOSIT,INDEPENDENT - ELEPHANT,GABRIEL GEORGE TULAS,MALE,40,2879,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181_N. 43,SABAH,P. 181,TENOM,N. 43,KEMABONG,GRS - PGRS,9,,23168,2129,,,,276,15908,PGRS,RUBIN BALANG,MALE,62,6326,,UMNO,RAHMAH JAN BINTI SULAIMAN KHAN,FEMALE,57,2877,,,,,,,,DAP,NOORITA BINTI SUAL,FEMALE,45,4197,,WARISAN,BURNLEY BALANG,MALE,38,1317,LOST DEPOSIT,PIS,JASINI BIN ANGKIWAN,MALE,62,103,LOST DEPOSIT,STAR,HASMIN AZROY ABDULLAH,MALE,45,232,LOST DEPOSIT,,,,,,,,,,,,,KDM,YABRI ONOS,MALE,49,720,LOST DEPOSIT,,,,,,,,,,,,,PPRS,RASSEDI BIN LIARON,MALE,30,33,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,PETRUS BIN YAHYA,MALE,45,103,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 44,SABAH,P. 182,PENSIANGAN,N. 44,TULID,INDEPENDENT - MANGOSTEEN,14,,16551,1195,,,,198,11620,,,,,,,,,,,,,,,,,,,PKR,RUFINAH PENGERAN,FEMALE,49,1628,,WARISAN,LUCIA BINTI KIHING,FEMALE,48,855,LOST DEPOSIT,PIS,RAYNER FRANCIS UDONG,MALE,71,69,LOST DEPOSIT,STAR,DATUK EVARISTUS GUNGKIT,MALE,60,2350,,,,,,,,,,,,,,KDM,DR. OSWALD AISAT IGAU,MALE,59,416,LOST DEPOSIT,UPKO,MOHD KHAIRIL ABDULLAH,MALE,57,555,LOST DEPOSIT,PKS,VINSON BIN RUSIKAN,MALE,49,93,LOST DEPOSIT,,,,,,,RUMPUN,JUFINA BT DIMIS,FEMALE,65,29,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,CLARENCE CARTER MARAAT,MALE,48,27,LOST DEPOSIT,INDEPENDENT - PEN,DATUK SUMAN YASAMBUN,MALE,67,699,LOST DEPOSIT,INDEPENDENT - TRACTOR,EDWIN LAIMIN,MALE,45,1236,LOST DEPOSIT,INDEPENDENT - MANGOSTEEN,JORDAN JUDE ELLRON,MALE,28,3545,,INDEPENDENT - HOUSE,ENGAH BIN SINTAN @ DAHLAN BIN ABDULLAH,MALE,74,100,LOST DEPOSIT,INDEPENDENT - KETTLE,LAUTIS @ LAULIS BIN ANGGANG,MALE,54,18,LOST DEPOSIT
P. 182_N. 45,SABAH,P. 182,PENSIANGAN,N. 45,SOOK,BN - PBRS,5,,20349,4727,,,,119,14347,DIRECT,ELLRON BIN ANGIN,MALE,66,3580,,PBRS,DATO' SRI ARTHUR JOSEPH KURUP,MALE,43,8307,,,,,,,,,,,,,,WARISAN,JOSEPH BIN PETER TINGGI,MALE,57,708,LOST DEPOSIT,PIS,V CHONG VIN @ SIAU HO,MALE,69,71,LOST DEPOSIT,STAR,IRENEUS PAGUT @ JRENEUS PAGUT,MALE,64,1681,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 182_N. 46,SABAH,P. 182,PENSIANGAN,N. 46,NABAWAN,GRS - PGRS,9,,23392,1682,,,,208,14249,PGRS,DATUK ABD. GHANI MOHD. YASSIN,MALE,64,5283,,UMNO,LAIJI BINTI OMPONGOH,FEMALE,35,3601,,PPBM,SAYAU TANGKAP,MALE,72,187,LOST DEPOSIT,,,,,,,WARISAN,ALFIAN TUN AHMAD KOROH,MALE,71,1495,LOST DEPOSIT,PIS,REJOH BIN ONDOH,MALE,44,95,LOST DEPOSIT,STAR,AKUANG SUAN,MALE,60,780,LOST DEPOSIT,,,,,,,,,,,,,KDM,JEKERISON KILAN,MALE,55,2348,,UPKO,JUNILIN @ JUBILIN BIN KILAN,MALE,63,438,LOST DEPOSIT,PKS,FARNEY BINTI AKON,FEMALE,46,22,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183_N. 47,SABAH,P. 183,BELURAN,N. 47,TELUPID,GRS - PBS,9,,14965,1011,,,,157,10284,PBS,JONNYBONE J KURUM,MALE,49,3868,,UMNO,BENEDICT ASMAT,MALE,57,1687,,PPBM,JAMIN BIN JAMRI,MALE,47,254,LOST DEPOSIT,,,,,,,WARISAN,SIMAH BINTI MATUSIP,FEMALE,65,806,LOST DEPOSIT,PIS,MICHEL ALOK,MALE,56,291,LOST DEPOSIT,STAR,JIKMARIYA BINTI MURAN,FEMALE,43,345,LOST DEPOSIT,,,,,,,PBM,PAGRIOS @ PETRUS BIN ZABANG,MALE,53,51,LOST DEPOSIT,KDM,NILIS JOSEPH,MALE,46,125,LOST DEPOSIT,UPKO,FELIX JOSEPH SAANG,MALE,51,2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
