UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.119,SABAH,P.119,TUARAN,,BN - BERJAYA,19739,6662,68.74,13568,,261,13307,BERJAYA,"ONGKILI JAMES PETER, DATUK",MALE,,9606,,,,,,,,,,,,,,PASOK,JEMIS BIN ARAB @ JAMES BIN ARAB,MALE,,2944,,PUSAKA,ALIM SUGARA @ MOHD. HALIM,MALE,,272,LOST DEPOSIT,INDEPENDENT,MADRUS BIN YUNUS,MALE,,485,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.120,SABAH,P.120,KINABALU,Y,BN - BERJAYA,18583,,,,,,,BERJAYA,MARK KODING,MALE,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.121,SABAH,P.121,GAYA,,BN - BERJAYA,39606,6599,60.48,23955,,320,23635,BERJAYA,WILLIAM LYE @ LE CHEE HIEN,MALE,,13113,,DAP,OH CHOO HONG,MALE,,6514,,,,,,,,PCBS,TAN CHING CHEE @ MICHAEL CHIN,MALE,,4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.122,SABAH,P.122,PENAMPANG,,BN - BERJAYA,23404,5336,67.21,15730,,216,15514,BERJAYA,CLARENCE ELONG MANSUL,MALE,,10425,,,,,,,,,,,,,,PASOK,JUSTINE JOGUMBA STIMOL,MALE,,5089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.123,SABAH,P.123,SANDAKAN,,DAP,31239,3416,67.33,21033,,195,20838,BERJAYA,CHIN HON CHONG,MALE,,8711,,DAP,FUNG KET WING,MALE,,12127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.124,SABAH,P.124,KINABATANGAN,Y,BN - BERJAYA,15827,,,,,,,BERJAYA,ABDUL GHANI MISBAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.125,SABAH,P.125,KIMANIS,,BN - BERJAYA,19679,4284,66.96,13178,,283,12895,BERJAYA,PENGIRAN OTHMAN RAUF @ AWANG,MALE,,7555,,,,,,,,,,,,,,PASOK,APOLLONIUS ANDREW,MALE,,1342,LOST DEPOSIT,,,,,,,INDEPENDENT,AG. AHMAD PG. MOKTAR,MALE,,3271,,INDEPENDENT,AG. NAWAWI PG. AHMAD,MALE,,727,LOST DEPOSIT,,,,,,,,,,,,
P.126,SABAH,P.126,HILIR PADAS,,INDEPENDENT,23700,1102,70.38,16681,,261,16420,USNO,MOHAMED BIN OMAR BLEDRAM,MALE,,7659,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MOHAMMED YUSSOF HAJI YAKOB,MALE,,8761,,,,,,,,,,,,,,,,,,,
P.127,SABAH,P.127,KENINGAU,,BN - BERJAYA,19755,6388,62.63,12372,,539,11833,BERJAYA,MICHAEL BIN TAMBAKAU @ ENGKONG,MALE,,8552,,,,,,,,,,,,,,PASOK,ULING ANGGAN @ THOMAS,MALE,,2164,,,,,,,,INDEPENDENT,ALLIM BIN JAAFAR @ ABDUL HALIM,MALE,,1117,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.128,SABAH,P.128,SILAM,,INDEPENDENT,27138,1777,67.21,18240,,448,17792,USNO,DATUK HAJI SAKARAN BIN DANDAI @ HASHIM B. DANDAI,MALE,52,7899,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDILLAH HAJI ABDUL HAMID,MALE,,9676,,INDEPENDENT,ISMAIL B. RUGASAN,MALE,,217,LOST DEPOSIT,,,,,,,,,,,,
P.129,SABAH,P.129,ULU PADAS,,BN - BERJAYA,15835,5766,73.22,11595,,261,11334,BERJAYA,HARRIS BIN MOHD. SALLEH,MALE,52,8252,,,,,,,,,,,,,,PASOK,GAMPARON BIN LAJAH @ MOHD. ZULKIFLII LAJAH,MALE,,425,LOST DEPOSIT,,,,,,,INDEPENDENT,HJ. ABDUL HALIK BIN KHANIZAMAN KHAN @ HJ. KHALID K. ZAMAN,MALE,,2486,,INDEPENDENT,HASSIM PIKI @ LAWRENCE PIKI,MALE,,171,LOST DEPOSIT,,,,,,,,,,,,
P.130,SABAH,P.130,TAWAU,,BN - BERJAYA,28381,2933,66.76,18947,,249,18698,BERJAYA,KAN YAU FAH @ PAUL,MALE,,10525,,,,,,,,,,,,,,PCBS,CHAN TSE HUAN @ CHAN TZE HUNG,MALE,,7592,,,,,,,,INDEPENDENT,ISMAIL BIN MOHAMAD SAID,MALE,,420,LOST DEPOSIT,INDEPENDENT,IBRHAHIM BIN KAMARUDDIN,MALE,,161,LOST DEPOSIT,,,,,,,,,,,,
P.131,SARAWAK,P.131,MAS GADING,,INDEPENDENT,23398,314,74.4,17407,,382,17025,SNAP,PATAU ANAK RUBIS @ DR. PATAU RUBIS,MALE,36,7969,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,PATRICK ANEK UREN,MALE,34,8283,,INDEPENDENT,AFFENDY B. DHOBY @ HAJI AFFENDEY HAJI DHOBEY,MALE,,432,LOST DEPOSIT,INDEPENDENT,GUING AK NYANGGU @ ALOYSIUS DOM NAGOK,MALE,,100,LOST DEPOSIT,INDEPENDENT,ABANG SAUFI B. ABG. ADNAN @ ABANG SAUFI BIN ABANG ADENAN,MALE,,241,LOST DEPOSIT
P.132,SARAWAK,P.132,BANDAR KUCHING,,DAP,47201,3577,74.69,35254,,431,34823,SUPP,LOKE YIK PING,MALE,,15623,,DAP,SIM KWANG YANG,MALE,34,19200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133,SARAWAK,P.133,SANTUBONG,Y,BN - PBB,30261,,,,,,,PBB,DATO DR. SULAIMAN HJ DAUD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,SARAWAK,P.134,SAMARAHAN,Y,BN - PBB,12847,,,,,,,PBB,DATO PATINGGI AMAR HJ. ABDUL TAIB MAHMOOD,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,SARAWAK,P.135,PADAWAN,,BN - SUPP,26453,5123,71.56,18931,,774,18157,SUPP,STEPHEN YONG KUET TZE,MALE,,11640,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,GEORGE SI RICORD,MALE,,6517,,,,,,,,,,,,,,,,,,,
P.136,SARAWAK,P.136,SERIAN,,BN - SUPP,25483,2864,66.08,16840,,772,16068,SUPP,RICHARD DAMPENG AK LAKI,MALE,,8419,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,NELSON KUNDAI NGARENG,MALE,,5555,,INDEPENDENT,VERNON NYANA AK JURAM,MALE,,1360,LOST DEPOSIT,INDEPENDENT,TAN YAM HUI,MALE,,734,LOST DEPOSIT,,,,,,
P.137,SARAWAK,P.137,SIMUNJAN,,BN - PBB,14547,5974,62.74,9127,,323,8804,PBB,BUJANG BIN HAJI ULIS @ BUJANG HADZIRI BIN HJ. ULIS,MALE,,7389,,,,,,,,,,,,,,PAJAR,HAJI MOHAMAD BUJANG BIN HAJI AMIN,MALE,,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.138,SARAWAK,P.138,BATANG LUPAR,,INDEPENDENT,23127,629,60.17,13915,,472,13443,SNAP,WELLINGTON RUFUS NANANG,MALE,,5944,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,EDWEN AK TANGKON,MALE,,6573,,INDEPENDENT,SENADA HENRY BENARD,MALE,,926,LOST DEPOSIT,,,,,,,,,,,,
P.139,SARAWAK,P.139,LUBOK ANTU,Y,BN - SNAP,11739,,,,,,,SNAP,ANDREW JANGGI MUYANG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.140,SARAWAK,P.140,BETONG,,BN - PBB,17870,1480,62.94,11247,,371,10876,PBB,ALFRED JABU AK NUMPANG @ DATUK ALFRED JABU AK NUMPANG,MALE,,6178,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,DAVID UMPIE @ KALOM,MALE,,4698,,,,,,,,,,,,,,,,,,,
P.141,SARAWAK,P.141,SARATOK,,INDEPENDENT,15929,1795,73.19,11659,,222,11437,SNAP,DUNSTAN ENDAWIE ENCHANA @ DUNSTAN ENDAWIE AK ENCHANA,MALE,47,4722,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,LANGGU AK SAGA @ EDMUND,MALE,,6517,,INDEPENDENT,MOHD. KHO BIN ABDULLAH,MALE,,198,LOST DEPOSIT,,,,,,,,,,,,
P.142,SARAWAK,P.142,PALOH,,BN - PBB,17193,6751,73.03,12556,,283,12273,PBB,ABANG ABU BAKAR BIN DATU BANDAR ABANG HAJI MUSTAPHA,MALE,,9512,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,DR. UDIE SALLEH,MALE,,2761,,,,,,,,,,,,,,,,,,,
P.143,SARAWAK,P.143,SARIKEI,,BN - SUPP,23093,81,76.12,17579,,255,17324,SUPP,LAW HIENG DING,MALE,47,8389,,DAP,CHONG SIEW CHIANG,MALE,,8308,,,,,,,,SAPO,LING TUNG LEH,MALE,,178,LOST DEPOSIT,,,,,,,INDEPENDENT,NYANDANG AK LENANG,MALE,,449,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.144,SARAWAK,P.144,SIBU,,DAP,39032,141,74.14,28939,,216,28723,SUPP,WONG SOON KAI,MALE,,14291,,DAP,LING SIE MING,MALE,,14432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145,SARAWAK,P.145,RAJANG,,BN - SUPP,18967,1692,53.96,10234,,460,9774,SUPP,JAWAN AK EMPALIENG,MALE,44,5733,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,TUNI (A/S) TONY AK P. POH,MALE,,4041,,,,,,,,,,,,,,,,,,,
P.146,SARAWAK,P.146,MUKAH,,BN - PBB,18207,3279,47.07,8570,,607,7963,PBB,LEO MICHAEL TOYAD,MALE,32,5621,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,YAMAN GUAN @ GODFRID ALBERT,MALE,,2342,,,,,,,,,,,,,,,,,,,
P.147,SARAWAK,P.147,JULAU,,BN - SNAP,10724,2459,65.6,7035,,374,6661,SNAP,THOMAS SALANG SIDEN,MALE,,4560,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,GALAU AK PENG. ITAM,MALE,,2101,,,,,,,,,,,,,,,,,,,
P.148,SARAWAK,P.148,KANOWIT,,BN - SNAP,12784,3818,63.2,8079,,265,7814,SNAP,LEO MOGGIE @ LEO MOGGIE AK IROK,MALE,42,5816,,DAP,LING PING SING,MALE,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.149,SARAWAK,P.149,KAPIT,Y,BN - PBB,14555,,,,,,,PBB,DATO' LEONARD LINGGI AK JUGAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150,SARAWAK,P.150,ULU RAJANG,Y,BN - SNAP,12476,,,,,,,SNAP,JUSTINE AK JINGGOT,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151,SARAWAK,P.151,BINTULU,,BN - SNAP,19859,3526,60.2,11955,,491,11464,SNAP,TING LING KIEW @ TING LING KIAW,MALE,,6379,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,STEPHEN RANDI AK SEKALAI,MALE,,2853,,INDEPENDENT,HU LIONG KONG @ HU LIONG KWONG,MALE,,1145,LOST DEPOSIT,INDEPENDENT,MOHD. JULAIHI B. MOHD. HANAFFIE,MALE,,1087,LOST DEPOSIT,,,,,,
P.152,SARAWAK,P.152,LAMBIR,,BN - SUPP,39370,13213,65.46,25770,,561,25209,SUPP,GEORGE CHAN HONG NAM,MALE,,17898,,DAP,WONG TECK NAI @ HUANG TECK NAI,MALE,,4685,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HUSSEIN B. ABDUL RAHIM,MALE,,1794,LOST DEPOSIT,INDEPENDENT,RICHARD FREDERICK AK. WELLIAM,MALE,,503,LOST DEPOSIT,INDEPENDENT,JONATHAN SAONG AK MAMAT,MALE,,329,LOST DEPOSIT,,,,,,
P.153,SARAWAK,P.153,BARAM,,BN - SNAP,18921,3072,54.74,10357,,397,9960,SNAP,LUHAT WAN,MALE,,5905,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,GABRIEL UKING KAWIT,MALE,,2833,,INDEPENDENT,KHO THIEN SENG,MALE,,1222,LOST DEPOSIT,,,,,,,,,,,,
P.154,SARAWAK,P.154,BUKIT MAS,Y,BN - PBB,18356,,,,,,,PBB,MUTANG TAGAL,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
