UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.21,KELANTAN,P.21,RANTAU PANJANG,,PAS,28493,417,79.14,22548,,675,21873,UMNO,HUSSEIN AHMAD,MALE,,10728,,,,,,,,PAS,HASSAN BIN HAJI MOHAMED,MALE,,11145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22,KELANTAN,P.22,NILAM PURI,,BN - UMNO,35958,1139,82.55,29683,,764,28919,UMNO,MOHAMED HAJI ALI,MALE,,15029,,,,,,,,PAS,DATUK HJ. MOHD. ASRI BIN HJ. MUDA,MALE,59,13890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23,KELANTAN,P.23,TANAH MERAH,,BN - UMNO,31047,3550,84.18,26136,,668,25468,UMNO,HUSSEIN BIN MAHMOOD,MALE,,14509,,,,,,,,PAS,HANAFI BIN HAJI DAUD,MALE,,10959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24,KELANTAN,P.24,MACHANG,,BN - UMNO,29441,2600,82.89,24403,,555,23848,UMNO,MOHD. KASSIM @ YAHYA BIN AHMAD,MALE,,13224,,,,,,,,PAS,YAACOB BIN HAJI YUSOFF,MALE,,10624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.25,KELANTAN,P.25,PASIR PUTEH,,BN - UMNO,34084,3121,80.36,27389,,474,26915,UMNO,WAN AHMAD NAJIB @ WAN MOHD. NAJIB BIN WAN MOHAMAD,MALE,,14844,,,,,,,,PAS,ISMAIL BIN HJ. CHE IBRAHIM,MALE,,11723,,,,,,,,,,,,,,INDEPENDENT,MOHD. NOOR B. MOHAMED,MALE,,348,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.26,KELANTAN,P.26,KUALA KERAI,,BN - UMNO,24445,2092,82.89,20262,,562,19700,UMNO,NIK HUSSAIN BIN ABDUL RAHMAN,MALE,,10896,,,,,,,,PAS,MOHD. ZAHARI AWANG,MALE,,8804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27,KELANTAN,P.27,ULU KELANTAN,,BN - UMNO,32350,5763,80.68,26100,,717,25383,UMNO,TENGKU RAZALEIGH BIN TENGKU MOHD. HAMZAH,MALE,45,15573,,,,,,,,PAS,HAJI HASSAN BIN MAT SAMAN,MALE,,9810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28,TRENGGANU,P.28,BESUT,,BN - UMNO,36741,4001,83.34,30619,,1114,29505,UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN,MALE,,16753,,,,,,,,PAS,CHE MAN BIN CHE MUD,MALE,,12752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29,TRENGGANU,P.29,ULU NERUS,,BN - UMNO,31612,6693,80.07,25312,,1113,24199,UMNO,MAMAT ABD. RAHMAN,MALE,,15446,,,,,,,,PAS,LUKMAN BIN ABDUL KADIR,MALE,,8753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30,TRENGGANU,P.30,ULU TRENGGANU,,BN - UMNO,28983,2442,83.9,24318,,1218,23100,UMNO,ALIAS MD. ALI,MALE,,12771,,,,,,,,PAS,AHMAD BIN AWANG,MALE,,10329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31,TRENGGANU,P.31,KUALA NERUS,,BN - UMNO,33269,1368,81.49,27110,,1109,26001,UMNO,IBRAHIM BIN HASSAN,MALE,,13325,,,,,,,,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,38,11957,,,,,,,,,,,,,,INDEPENDENT,MOHAMAD BIN MAHMUD,MALE,,719,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.32,TRENGGANU,P.32,KUALA TRENGGANU,,BN - UMNO,43956,5467,77.21,33938,,1084,32854,UMNO,ABDUL MANAN BIN OTHMAN,MALE,,18545,,,,,,,,PAS,WAN ABD. MUTALIB @ WAN MUSA BIN EMBONG,MALE,,13078,,PSRM,SYED SHAFIE BIN TUAN BAHARU,MALE,,1231,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33,TRENGGANU,P.33,DUNGUN,,BN - UMNO,31064,3275,79.8,24789,,833,23956,UMNO,AWANG BIN JABAR,MALE,,13447,,,,,,,,PAS,ABDUL HAJI HJ. AWANG,MALE,35,10172,,PSRM,ABDUL HAMED BIN EMBONG,MALE,,337,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34,TRENGGANU,P.34,KEMAMAN,,BN - UMNO,36467,6632,76.16,27772,,1240,26532,UMNO,ISMAIL @ MANSOR SAID,MALE,,16582,,,,,,,,PAS,AHMAD SUBKII BIN HJ. LATIB @ AHMAD SUBKI BIN HJ. ABD. LATIF,MALE,,9950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35,PULAU PINANG,P.35,KEPALA BATAS,,BN - UMNO,31481,12644,80.29,25277,,814,24463,UMNO,ABDULLAH BIN HAJI AHMAD,MALE,43,16759,,DAP,KHOO SOO HOE,MALE,,3589,,PAS,MOHAMAD BIN SABU,MALE,28,4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.36,PULAU PINANG,P.36,MATA KUCHING,,BN - MCA,57635,12156,77.47,44647,,1187,43460,MCA,DR LING LIONG SIK @ LIM LEONG SEEK,MALE,39,26995,,DAP,GOH SIGN KHOON,MALE,,14839,,,,,,,,,,,,,,,,,,,,INDEPENDENT,RAJA AHMED NARUDIN @ RAJA MOHAMAD BIN RAJA SHAHABUDIN,MALE,,1626,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.37,PULAU PINANG,P.37,PERMATANG PAUH,,BN - UMNO,32378,14352,79.95,25885,,714,25171,UMNO,ANWAR BIN IBRAHIM,MALE,35,18849,,DAP,TAN AH HUAT,MALE,22,1825,LOST DEPOSIT,PAS,HAJI ZABIDI BIN HJ. ALI,MALE,,4497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38,PULAU PINANG,P.38,BUKIT MERTAJAM,,BN - MCA,53324,4720,76.61,40851,,1119,39732,MCA,SEOW HUN KHIM @ SEOW HUNG CHUAN,MALE,,22226,,DAP,KHOO SIM GEOK @ KHOO CHIN TOW,MALE,,17506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39,PULAU PINANG,P.39,NIBONG TEBAL,,BN - GERAKAN,35995,10025,77.55,27914,,1427,26487,GERAKAN,GOH CHENG TEIK @ GOH KEAT LIM,MALE,38,18256,,DAP,TAN YAM SOON,MALE,,8231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.40,PULAU PINANG,P.40,BALIK PULAU,,BN - UMNO,52485,5935,74.34,39016,,1193,37823,UMNO,SAMSURY BIN MUHAMAD SALEH @ SHAMSURI BIN MD. SALEH,MALE,,21879,,,,,,,,,,,,,,PSRM,KASSIM @ OSMAN AHMAD,MALE,,15944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.41,PULAU PINANG,P.41,BUKIT BENDERA,,DAP,67261,4791,76.29,51314,,1225,50089,MCA,TAN KOON TEIK,MALE,,22649,,DAP,GOI HOCK SENG @ GOOI HOCK SENG,MALE,,27440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42,PULAU PINANG,P.42,TANJONG,,BN - GERAKAN,58735,834,77.16,45317,,899,44418,GERAKAN,DR KOH TSU KOON,MALE,33,22394,,DAP,CHIAN HENG KAI @ CHIN SOO HA,MALE,,21560,,,,,,,,SDP,YEAP GHIM GUAN,MALE,42,464,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.43,PULAU PINANG,P.43,JELUTONG,,DAP,71093,5496,75.77,53870,,1168,52702,GERAKAN,OOI EAN KWONG,MALE,,23603,,DAP,KARPAL SINGH A/L RAM SINGH,MALE,42,29099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.44,PERAK,P.44,GERIK,,BN - UMNO,25509,8153,75.65,19298,,741,18557,UMNO,MOHD. TAJOL ROSLI BIN MOHD. GHAZALI,MALE,38,13355,,,,,,,,PAS,IBRAHIM BIN ARIFFIN,MALE,,5202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.45,PERAK,P.45,LARUT,,BN - UMNO,25253,8692,75.34,19026,,558,18468,UMNO,KAMARUDDIN BIN MAT ISA,MALE,,13580,,,,,,,,PAS,AHMAD BIN YUSOH,MALE,,4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.46,PERAK,P.46,PARIT BUNTAR,,BN - UMNO,38219,5266,76.46,29223,,973,28250,UMNO,ABDUL RAHMAN BIN SULIMAN,MALE,,16758,,,,,,,,PAS,HJ. AHMAD HASAN SALAHUDDIN BIN HJ. MOHD. KHALIL,MALE,,11492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47,PERAK,P.47,BAGAN SERAI,,BN - UMNO,36338,6443,74.32,27007,,1148,25859,UMNO,ZAINAL ABIDIN BIN ZIN,MALE,,16151,,,,,,,,PAS,ADBUL KADER KAHAR,MALE,,9708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
