UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.11_N.18,KEDAH,P.11,JERAI,N.18,YAN,BN - UMNO,,20357,4520,67.27,13695,421,13274,UMNO,ABDULLAH BIN HAJI ISMAIL,MALE,,8897,,,,,,,,PAS,HAJI ABDUL RAHMAN BIN DARUS,MALE,,4377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.19,KEDAH,P.12,KUALA MUDA,N.19,JENIANG,BN - UMNO,,19215,7063,76.09,14620,365,14255,UMNO,ZAINOL ABIDIN BIN JOHARI,MALE,,10659,,,,,,,,PAS,MD. JAAFAR BIN LATEH,MALE,,3596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.20,KEDAH,P.12,KUALA MUDA,N.20,MERBOK,BN - UMNO,,20595,7810,77.64,15990,290,15700,UMNO,HASHIM BIN HAJI OSMAN,MALE,,11755,,,,,,,,PAS,SHOIB BIN MUSTAFA,MALE,,3945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_N.21,KEDAH,P.13,SUNGAI PETANI,N.21,TIKAM BATU,BN - GERAKAN,,40398,10241,75.3,30421,570,29851,GERAKAN,ONG AH YONG @ ONG CHOW SONG,MALE,,17620,,DAP,CHONG AH LEK @ CHONG KOK HEONG,MALE,,4658,,PAS,BAKAR BIN HAJI MAHMUD,MALE,,7379,,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN MAN,MALE,,194,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.13_N.22,KEDAH,P.13,SUNGAI PETANI,N.22,KUALA KETIL,BN - MIC,,15695,4127,75.76,11890,217,11673,MIC,SUBRAMANIAM A/L SUNDRAM,MALE,,7342,,DAP,KARUPPAIAH A/L RAMASAMY,MALE,,930,LOST DEPOSIT,PAS,AHMAD KHASASI BIN. L. MAHAMUD,MALE,,3215,,,,,,,,,,,,,,INDEPENDENT,NADARAJU A/L APARU,MALE,,186,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.14_N.23,KEDAH,P.14,PADANG SERAI,N.23,LUNAS,BN - MCA,,21513,8622,77.76,16728,423,16305,MCA,HONG TOK HIANG @ FANG CHOK SEONG,MALE,,12193,,,,,,,,PAS,KHATIB SHORBAINI BIN HAJI HASSAN,MALE,,3571,,,,,,,,,,,,,,INDEPENDENT,RAMLEY BIN ISMAIL,MALE,,541,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.14_N.24,KEDAH,P.14,PADANG SERAI,N.24,MERBAU PULAS,BN - UMNO,,12299,3931,76.05,9354,219,9135,UMNO,MAHMUD BIN MD. ZAIN,MALE,,6533,,,,,,,,PAS,ABDUL MUTALIB @ ABD. TALIB BIN ALI,MALE,,2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_N.25,KEDAH,P.15,KULIM-BANDAR BAHARU,N.25,KULIM,BN - MCA,,19543,8274,73.92,14446,284,14162,MCA,YONG PAU CHAK,MALE,,10247,,DAP,LEE CHUAN SAM @ LEE CHUAN SUN,MALE,,1973,,PAS,MD. YUSOF BIN HAJI MOHAMAD,MALE,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_N.26,KEDAH,P.15,KULIM-BANDAR BAHARU,N.26,SERDANG,BN - UMNO,,16856,4016,76.76,12938,352,12586,UMNO,ABDUL MAJID BIN ITAM,MALE,,8301,,,,,,,,PAS,MOHAMAD SALLEH BIN HAJI MOHAMAD,MALE,,4285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.16_N.1,KELANTAN,P.16,TUMPAT,N.1,SIMPANGAN,BN - BERJASA,,12713,564,75.64,9616,232,9384,BERJASA,TAHIR BIN ABDUL AZIZ,MALE,,4974,,,,,,,,PAS,NIK ABDUL RAHMAN BIN NIK MOHAMED,MALE,,4410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
