UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,LABOUR,LABOUR CANDIDATE,LABOUR CANDIDATE GENDER,LABOUR CANDIDATE AGE,LABOUR CANDIDATE VOTE,NEGARA,NEGARA CANDIDATE,NEGARA CANDIDATE GENDER,NEGARA CANDIDATE AGE,NEGARA CANDIDATE VOTE,NAP,NAP CANDIDATE,NAP CANDIDATE GENDER,NAP CANDIDATE AGE,NAP CANDIDATE VOTE,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PML,PML CANDIDATE,PML CANDIDATE GENDER,PML CANDIDATE AGE,PML CANDIDATE VOTE,INDEPENDENT,INDEPENDENT CANDIDATE,INDEPENDENT CANDIDATE GENDER,INDEPENDENT CANDIDATE AGE,INDEPENDENT VOTE,INDEPENDENT,INDEPENDENT CANDIDATE,INDEPENDENT CANDIDATE GENDER,INDEPENDENT CANDIDATE AGE,INDEPENDENT VOTE
29,PAHANG,,PAHANG TIMOR,,22291,15429,83.15%,18536,,439,18097,UMNO,ABDUL RAHMAN BIN HAJI TALIB,MALE,39,16763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT*,SHEIK KADIR BIN SHEIK OMAR,MALE,30,1334,,,,,
30,JOHOR,,JOHORE TIMOR,,14155,10450,82.86%,11729,,326,11403,UMNO,DR. ISMAIL BIN DATO ABDUL RAHMAN,MALE,40,10800,,,,,,,,,,,NEGARA*,JAAFAR BIN HAJI ALI,MALE,N/A,350,,,,,,,,,,,,,,,,INDEPENDENT*,HAJI ABDULLAH BIN HAJI TAIB,MALE,N/A,253,,,,,
31,JOHOR,,JOHORE BAHRU,,15042,5943,77.62%,11675,,128,11547,UMNO,SULEIMAN BIN DATO ADUL RAHMAN,MALE,43,8745,,,,,,,,,,,NEGARA,DATO ONN BIN JAAFAR,MALE,60,2802,,,,,,,,,,,,,,,,,,,,,,,,,
32,JOHOR,,JOHORE SELATAN,,29090,19263,83.78%,24372,,473,23899,MCA,DR. L.H. TAN,N/A,N/A,21581,,,,,,,,,,,NEGARA,KASSIM BIN AWANG CHIK,MALE,N/A,2318,,,,,,,,,,,,,,,,,,,,,,,,,
33,JOHOR,,JOHORE TENGAH,,11737,6032,71.73%,8419,,251,8168,MCA,TEO CHZE CHONG,MALE,N/A,7100,,,,,,,,,,,NEGARA,HAJI AWANG BIN HAJI ABDUL MALEK,MALE,N/A,1068,,,,,,,,,,,,,,,,,,,,,,,,,
34,JOHOR,,BATU PAHAT,,27323,16251,80.44%,21978,,293,21685,MIC,S. CHELVASINGAM MACINTYRE,MALE,N/A,18968,,,,,,,,,,,NEGARA,DATO HAJI SYED ABDUL KADIR BIN MOHAMED,MALE,N/A,2717,,,,,,,,,,,,,,,,,,,,,,,,,
35,JOHOR,,MUAR SELATAN,,34321,19472,81.91%,28113,,425,27688,MCA,TAN SUAN KOK,MALE,N/A,23580,,,,,,,,,,,NEGARA,DATO' MAHMUD BIN MD. SHAH,MALE,N/A,4108,,,,,,,,,,,,,,,,,,,,,,,,,
36,JOHOR,,MUAR UTARA,,29272,16179,82.09%,24029,,604,23425,UMNO,HAJI HASSAN BIN HAJI YUNOS,MALE,N/A,19802,,,,,,,,,,,NEGARA,HAJI MOHAMED NOR BIN A. HAMID,MALE,N/A,3623,,,,,,,,,,,,,,,,,,,,,,,,,
37,JOHOR,,SEGAMAT,,17482,8625,79.62%,13919,,400,13519,UMNO,SARDON BIN JUBIR,MALE,38,11072,,,,,,,,,,,NEGARA,RAZALI BIN ABDUL MANAP,MALE,N/A,2447,,,,,,,,,,,,,,,,,,,,,,,,,
38,KEDAH,,ALOR STAR,,35261,26113,85.54%,30162,,481,29681,MCA,LEE THEAN HIN,MALE,N/A,27897,,,,,,,,,,,NEGARA*,HAJI SALIM BIN HAJI MOHD. REJAB,MALE,N/A,1784,,,,,,,,,,,,,,,,,,,,,,,,,
39,KEDAH,,KOTA STAR,,34043,25189,88.56%,30149,,624,29525,UMNO,TUNKU KASSIM IBNI ALMARHUM SULTAN ABDUL HAMID,MALE,61,27357,,,,,,,,,,,NEGARA*,HAJI REJAB BIN HAJI DARUS,MALE,N/A,2168,,,,,,,,,,,,,,,,,,,,,,,,,
40,KEDAH,,KEDAH UTARA,,33966,23966,85.80%,29144,,713,28431,UMNO,SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,30,25544,,,,,,,,,,,NEGARA*,HAJI LAIDIN BIN HAJI ABDUL MANAN,MALE,N/A,1309,,,,,,,,,,,,,,,,INDEPENDENT*,HAJI ABDULLAH BIN HAJI ABBAS,MALE,N/A,1578,,,,,
41,KEDAH,,KEDAH TENGAH,,37176,29646,88.90%,33050,,542,32508,UMNO,MD. KHIR BIN JOHARI,MALE,34,31077,,,,,,,,,,,NEGARA*,PUTEH BIN NAPA,MALE,N/A,1431,,,,,,,,,,,,,,,,,,,,,,,,,
42,KEDAH,,SUNGEI MUDA,,27426,20987,87.23%,23924,,459,23465,UMNO,TUNKU ABDUL RAHMAN,MALE,52,22226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT*,SYED JAN ALJEFFRI,MALE,N/A,1239,,,,,
43,KEDAH,,KEDAH SELATAN,,25917,19487,88.73%,22995,,382,22613,MCA,LIM TENG KWANG,MALE,N/A,21050,PMIP*,M. SALEH BIN HAJI SHAFIE,MALE,N/A,1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,KELANTAN,,KELANTAN SELATAN,,39084,14571,86.11%,33657,,1136,32521,UMNO,ABDUL KHALID BIN AWANG OSMAN,MALE,30,21746,PMIP*,HAJI MOHAMED NOOR BIN HAJI YUSOFF,MALE,40,3600,,,,,,NEGARA,DATO' NIK AHMED KAMIL BIN MAHMOOD,MALE,45,7175,,,,,,,,,,,,,,,,,,,,,,,,,
45,KELANTAN,,KELANTAN TIMOR,,46221,26935,84.72%,39159,,1011,38148,UMNO,NIK HASSAN BIN HAJI YAHYA,MALE,29,30954,PMIP*,MOHD. ASRI BIN HAJI MUDA,MALE,32,2292,,,,,,NEGARA*,DATO' NIK AHMED BIN HAJI NIK MAHMOOD,MALE,N/A,4019,,,,,,,,,,,,,,,,INDEPENDENT*,MOHAMED BIN IBRAHIM,MALE,35,883,,,,,
46,KELANTAN,,PASIR MAS,,34779,13456,84.67%,29449,,979,28470,UMNO,TENGKU AHMAD BIN TENGKU ABDUL GHAFFAR,MALE,47,20963,PMIP,HAJI MOKHTAR BIN HAJI AHMED,MALE,45,7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KELANTAN,,KELANTAN UTARA,,42510,22133,84.83%,36060,,1337,34723,UMNO,TENGKU INDRA PETRA BIN  SULTAN IBRAHIM,MALE,40,28428,,,,,,,,,,,NEGARA,DATO' NIK HUSSEIN BIN NIK ZAINAL,MALE,47,6295,,,,,,,,,,,,,,,,,,,,,,,,,
48,KELANTAN,,KELANTAN TENGAH,,43149,25452,79.42%,34270,,1003,33267,UMNO,ABDUL HAMID BIN MAHMUD,MALE,45,28422,,,,,,,,,,,NEGARA*,TENGKU ANNUAR ZAINAL BIN TENGKU ZAINAL ABIDIN,MALE,29,2970,,,,,,,,,,,,,,,,INDEPENDENT*,DATO NIK MOHAMED BIN ABDUL RAHMAN,MALE,42,1154,INDEPENDENT*,IDRIS BIN HAJI MOHAMED,MALE,40,721
49,TERENGGANU,,TRENGGANU UTARA,,32482,19175,80.56%,26166,,1259,24907,UMNO,IBRAHIM FIKRI BIN MOHAMED,MALE,N/A,22041,,,,,,,,,,,NEGARA*,MOHD. SALLEH BIN AHMAD,MALE,N/A,2866,,,,,,,,,,,,,,,,,,,,,,,,,
50,TERENGGANU,,TRENGGANU TENGAH,,33719,14292,73.70%,24851,,1067,23784,UMNO,ENGKU MUHSEIN BIN ABDUL KADIR,MALE,N/A,19038,,,,,,,,,,,NEGARA,SULAIMAN BIN ALI,MALE,N/A,4746,,,,,,,,,,,,,,,,,,,,,,,,,
51,TERENGGANU,,TRENGGANU SELATAN,,23831,13717,82.51%,19663,,690,18973,UMNO,WAN YAHYA BIN HAJI WAN MOHD.,MALE,N/A,16345,,,,,,,,,,,NEGARA,IBRAHIM BIN MATNOH,MALE,N/A,2628,,,,,,,,,,,,,,,,,,,,,,,,,
52,PERLIS,,PERLIS,,30936,8955,87.84%,27173,,590,26583,UMNO,SHEIKH AHMAD BIN MOHD. HASHIM,MALE,60,17769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MATT BIN HAJI KASSIM,MALE,58,8814,,,,,
