UNIQUE CODE (1969),STATE (1969),PARLIAMENTARY CONSTITUENCY CODE (1969),PARLIAMENTARY CONSTITUENCY NAME (1969),UNIQUE CODE (1974),STATE (1974),PARLIAMENTARY CONSTITUENCY CODE (1974),PARLIAMENTARY CONSTITUENCY NAME (1974),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P. 26,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,P.29,TRENGGANU,P.29,ULU NERUS,Y,,Boundary Changed
P. 27,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,P.32,TRENGGANU,P.32,KUALA TRENGGANU,Y,,Boundary Changed
P. 28,TRENGGANU,P. 28,DUNGUN,P.33,TRENGGANU,P.33,DUNGUN,,,Boundary Changed
P. 29,TRENGGANU,P. 29,KEMAMAN,P.34,TRENGGANU,P.34,KEMAMAN,,,Boundary Changed
P. 30,TRENGGANU,P. 30,TRENGGANU TENGAH,P.30,TRENGGANU,P.30,ULU TRENGGANU,Y,,Boundary Changed
,,,,P.31,TRENGGANU,P.31,KUALA NERUS,,Y,Originated from Kuala Trengganu Utara
P. 31,PENANG,P. 31,BAGAN,P.36,PULAU PINANG,P.36,MATA KUCHING,Y,,Boundary Changed
P. 32,PENANG,P. 32,SEBERANG TENGAH,P.38,PULAU PINANG,P.38,BUKIT MERTAJAM,Y,,Boundary Changed
P. 33,PENANG,P. 33,SEBERANG SELATAN,P.39,PULAU PINANG,P.39,NIBONG TEBAL,Y,,
P. 34,PENANG,P. 34,PENANG UTARA,P.41,PULAU PINANG,P.41,BUKIT BENDERA,Y,,Boundary Changed
P. 35,PENANG,P. 35,PENANG SELATAN,P.40,PULAU PINANG,P.40,BALIK PULAU,Y,,Boundary Changed
P. 36,PENANG,P. 36,TANJONG,P.42,PULAU PINANG,P.42,TANJONG,,,Boundary Changed
P. 37,PENANG,P. 37,DATO KRAMAT,P.43,PULAU PINANG,P.43,JELUTONG,Y,,Boundary Changed
P. 38,PENANG,P. 38,SEBERANG UTARA,P.35,PULAU PINANG,P.35,KEPALA BATAS,Y,,Boundary Changed
,,,,P.37,PULAU PINANG,P.37,PERMATANG PAUH,,Y,Originated from Seberang Utara and Seberang Tengah
P. 39,PERAK,P. 39,ULU PERAK,P.44,PERAK,P.44,GERIK,Y,,Boundary Changed
P. 40,PERAK,P. 40,LARUT UTARA,P.45,PERAK,P.45,LARUT,Y,,Boundary Changed
P. 41,PERAK,P. 41,KRIAN LAUT,P.46,PERAK,P.46,PARIT BUNTAR,Y,,
P. 42,PERAK,P. 42,KRIAN DARAT,P.47,PERAK,P.47,BAGAN SERAI,Y,,
P. 43,PERAK,P. 43,LARUT SELATAN,P.50,PERAK,P.50,MATANG,Y,,Boundary Changed
P. 44,PERAK,P. 44,HILIR PERAK,P.61,PERAK,P.61,HILIR PERAK,,,Boundary Changed
P. 45,PERAK,P. 45,KUALA KANGSAR,P.52,PERAK,P.52,KUALA KANGSAR,,,Boundary Changed
P. 46,PERAK,P. 46,SUNGEI SIPUT,P.48,PERAK,P.48,SUNGAI SIPUT,Y,,Boundary Changed
P. 47,PERAK,P. 47,PARIT,P.57,PERAK,P.57,PARIT,,,Boundary Changed
P. 48,PERAK,P. 48,BRUAS,P.56,PERAK,P.56,BERUAS,Y,,Boundary Changed
P. 49,PERAK,P. 49,SITIAWAN,P.60,PERAK,P.60,LUMUT,Y,,
P. 50,PERAK,P. 50,IPOH,P.54,PERAK,P.54,IPOH,,,Boundary Changed
P. 51,PERAK,P. 51,MENGLEMBU,P.55,PERAK,P.55,MENGLEMBU,,,Boundary Changed
P. 52,PERAK,P. 52,ULU KINTA,P.53,PERAK,P.53,KINTA,Y,,
P. 53,PERAK,P. 53,BATU GAJAH,P.58,PERAK,P.58,BATU GAJAH,,,Boundary Changed
P. 54,PERAK,P. 54,KAMPAR,,,,,,,"Constituency was abolished, demoted to a DUN"
P. 55,PERAK,P. 55,TANJONG MALIM,P.63,PERAK,P.63,TANJONG MALIM,,,
P. 56,PERAK,P. 56,TELOK ANSON,P.62,PERAK,P.62,TELOK ANSON,,,Boundary Changed
P. 57,PERAK,P. 57,BAGAN DATOH,P.64,PERAK,P.64,BAGAN DATOK,Y,,
P. 58,PERAK,P. 58,BATANG PADANG,P.59,PERAK,P.59,BATANG PADANG,,,Boundary Changed
,,,,P.49,PERAK,P.49,TAIPING,,Y,Originated from Larut Utara and Larut Selatan
,,,,P.51,PERAK,P.51,PADANG RENGAS,,Y,Originated from Ulu Perak and Kuala Kangsar
P. 59,PAHANG,P. 59,RAUB,P.68,PAHANG,P.68,RAUB,,,Boundary Changed
P. 60,PAHANG,P. 60,BENTONG,P.70,PAHANG,P.70,BENTONG,,,Boundary Changed
P. 61,PAHANG,P. 61,KUANTAN,P.67,PAHANG,P.67,KUANTAN,,,Boundary Changed
P. 62,PAHANG,P. 62,PEKAN,P.71,PAHANG,P.71,PEKAN,,,Boundary Changed
P. 63,PAHANG,P. 63,TEMERLOH,P.72,PAHANG,P.72,TEMERLOH,,,Boundary Changed
P. 64,PAHANG,P. 64,LIPIS,P.65,PAHANG,P.65,LIPIS,,,Boundary Changed
,,,,P.69,PAHANG,P.69,MARAN,,Y,"Originated from Kuantan, Temerloh, Pekan"
,,,,P.66,PAHANG,P.66,JERANTUT,,Y,Originated from Lipis and Temerloh
P. 65,SELANGOR,P. 65,KUALA SELANGOR,P.76,SELANGOR,P.76,KUALA SELANGOR,,,Boundary Changed
P. 66,SELANGOR,P. 66,BATU,,,,,,,Constituency was abolished
P. 67,SELANGOR,P. 67,KAPAR,,,,,,,"Constituency was abolished, demoted to a DUN"
P. 68,SELANGOR,P. 68,RAWANG,,,,,,,"Constituency was abolished, demoted to a DUN"
P. 69,SELANGOR,P. 69,LANGAT,P.78,SELANGOR,P.78,ULU LANGAT,Y,,Boundary Changed
P. 70,SELANGOR,P. 70,SETAPAK,,,,,,,Shifted to Kuala Lumpur
P. 71,SELANGOR,P. 71,BUNGSAR,,,,,,,Constituency was abolished
P. 72,SELANGOR,P. 72,BUKIT BINTANG,,,,,,,Became Kuala Lumpur Bandar (Kuala Lumpur)
P. 73,SELANGOR,P. 73,DAMANSARA,,,,,,,Constituency was abolished
P. 74,SELANGOR,P. 74,KLANG,P.79,SELANGOR,P.79,PELABOHAN KELANG,Y,,Boundary Changed
P. 75,SELANGOR,P. 75,KUALA LANGAT,P.82,SELANGOR,P.82,KUALA LANGAT,,,Boundary Changed
P. 76,SELANGOR,P. 76,SEPANG,P.83,SELANGOR,P.83,SEPANG,,,Boundary Changed
P. 77,SELANGOR,P. 77,SABAK BERNAM,P.73,SELANGOR,P.73,SABAK BERNAM,,,Boundary Changed
P. 78,SELANGOR,P. 78,ULU SELANGOR,P.75,SELANGOR,P.75,ULU SELANGOR,,,Boundary Changed
,,,,P.74,SELANGOR,P.74,TANJONG KARANG,,Y,Originated from Sabak Bernam dan Kuala Selangor
,,,,P.77,SELANGOR,P.77,SELAYANG,,Y,"Originated from Rawang, Batu and Setapak (Selangor)"
,,,,P.80,SELANGOR,P.80,SHAH ALAM,,Y,Originated from Damansara (previously Selangor) and Klang
,,,,P.81,SELANGOR,P.81,PETALING,,Y,Originated from Damansara (previously Selangor)
,,,,P.84,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.84,KEPONG,,Y,Originated from area under Batu
,,,,P.85,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.85,SETAPAK,,Y,Originated from area under Setapak (previously in Selangor)
,,,,P.86,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.86,DAMANSARA,,Y,Originated from area under Batu and Bungsar (previously in Selangor)
,,,,P.87,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.87,KUALA LUMPUR BANDAR,,Y,Previously known as Bukit Bintang (previously in Selangor)
,,,,P.88,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.88,SUNGAI BESI,,Y,"Originated from Damansara (previously Selangor), Bungsar (previously in Selangor) and Bukit Bintang (previously in Selangor)"
P. 79,NEGRI SEMBILAN,P. 79,KUALA PILAH,P.92,NEGERI SEMBILAN,P.92,KUALA PILAH,,,Boundary Changed
P. 80,NEGRI SEMBILAN,P. 80,SEREMBAN TIMOR,P.91,NEGERI SEMBILAN,P.91,SEREMBAN,Y,,Boundary Changed
P. 81,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,P.94,NEGERI SEMBILAN,P.94,TAMPIN,Y,,Boundary Changed
P. 82,NEGRI SEMBILAN,P. 82,PORT DICKSON,P.93,NEGERI SEMBILAN,P.93,TELOK KEMANG,Y,,Boundary Changed
P. 83,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,P.89,NEGERI SEMBILAN,P.89,JELEBU,Y,,Boundary Changed
P. 84,NEGRI SEMBILAN,P. 84,SEREMBAN BARAT,P.90,NEGERI SEMBILAN,P.90,MANTIN,Y,,Boundary Changed
P. 85,MALACCA,P. 85,MALACCA TENGAH,P.97,MELAKA,P.97,BATU BERENDAM,Y,,Boundary Changed
P. 86,MALACCA,P. 86,BANDAR MALACCA,P.98,MELAKA,P.98,KOTA MELAKA,Y,,Boundary Changed
P. 87,MALACCA,P. 87,MALACCA UTARA,P.95,MELAKA,P.95,ALOR GAJAH,Y,,Boundary Changed
P. 88,MALACCA,P. 88,MALACCA SELATAN,P.96,MELAKA,P.96,JASIN,Y,,Boundary Changed
P. 89,JOHORE,P. 89,MUAR DALAM,P.104,JOHOR,P.104,PAGOH,Y,,Boundary Changed
P. 90,JOHORE,P. 90,SEGAMAT SELATAN,P.99,JOHOR,P.99,LABIS,Y,,Boundary Changed
P. 91,JOHORE,P. 91,MUAR PANTAI,P.106,JOHOR,P.106,MUAR,Y,,Boundary Changed
P. 92,JOHORE,P. 92,MUAR SELATAN,P.110,JOHOR,P.110,SEMERAH,Y,,Boundary Changed
P. 93,JOHORE,P. 93,BATU PAHAT,P.111,JOHOR,P.111,BATU PAHAT,Y,,
P. 94,JOHORE,P. 94,BATU PAHAT DALAM,,,,,,,Constituency Abolished
P. 95,JOHORE,P. 95,KLUANG UTARA,P.101,JOHOR,P.101,KELUANG,Y,,
P. 96,JOHORE,P. 96,JOHORE TENGGARA,P.108,JOHOR,P.108,PANTI,Y,,Boundary Changed
P. 97,JOHORE,P. 97,PONTIAN UTARA,,,,,,,Constituency Abolished
P. 98,JOHORE,P. 98,PONTIAN SELATAN,P.112,JOHOR,P.112,PONTIAN,Y,,Boundary Changed
P. 99,JOHORE,P. 99,KLUANG SELATAN,P.107,JOHOR,P.107,RENGGAM,Y,,Boundary Changed
P. 100,JOHORE,P. 100,JOHORE BAHRU TIMOR,P.114,JOHOR,P.114,JOHOR BAHRU,Y,,Boundary Changed
P. 101,JOHORE,P. 101,JOHORE BAHRU BARAT,P.113,JOHOR,P.113,PULAI,Y,,
P. 102,JOHORE,P. 102,JOHORE TIMOR,P.102,JOHOR,P.102,TENGGAROH,Y,,Boundary Changed
P. 103,JOHORE,P. 103,SEGAMAT UTARA,P.100,JOHOR,P.100,SEGAMAT,Y,,Boundary Changed
P. 104,JOHORE,P. 104,MUAR UTARA,P.103,JOHOR,P.103,LEDANG,Y,,Boundary Changed
,,,,P.109,JOHOR,P.109,SRI GADING,,Y,"Originated from Batu Pahat Dalam, Pontian Utara, Kluang Utara and Kluang Selatan"
,,,,P.105,JOHOR,P.105,AYER HITAM,,Y,"Originated from Batu Pahat Dalam, Pontian Utara, Kluang Utara and Muar Selatan"
