UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PSRM,PSRM CANDIDATE,PSRM CANDIDATE SEX,PSRM CANDIDATE AGE,PSRM VOTE,PSRM CANDIDATE LOST DEPOSIT,PEKEMAS,PEKEMAS CANDIDATE,PEKEMAS CANDIDATE SEX,PEKEMAS CANDIDATE AGE,PEKEMAS VOTE,PEKEMAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,K.I.T.A,K.I.T.A CANDIDATE,K.I.T.A CANDIDATE SEX,K.I.T.A CANDIDATE AGE,K.I.T.A VOTE,K.I.T.A CANDIDATE LOST DEPOSIT,I.P.P.P,I.P.P.P. CANDIDATE,I.P.P.P. CANDIDATE SEX,I.P.P.P. CANDIDATE AGE,I.P.P.P VOTE,I.P.P.P CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.36_N.5,PULAU PINANG,P.36,MATA KUCHING,N.5,BAGAN JERMAL,PEKEMAS,,11347,1531,83.81,9510,303,9207,MCA,PHEE JOO TEIK,MALE,,3301,,PSRM,OOI CHIN TONG,MALE,,214,LOST DEPOSIT,PEKEMAS,ONG YI HOW,MALE,,4832,,DAP,GOH LIM EAM,MALE,,675,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,LOH PHAN KOOI,MALE,,185,LOST DEPOSIT,,,,,,,,,,,,
P.36_N.6,PULAU PINANG,P.36,MATA KUCHING,N.6,BAGAN DALAM,BN - MIC,,11761,1609,81.38,9571,435,9136,MIC,T. SUBBIAH,MALE,,4494,,PSRM,CHOO GUAN TEIK,MALE,,219,LOST DEPOSIT,PEKEMAS,S. K. KALANGIYAM,MALE,,1474,,DAP,PEH MIN SIN,MALE,,2885,,KITA,V. APAROO S/O VEERIAYAH,MALE,,64,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.7,PULAU PINANG,P.37,PERMATANG PAUH,N.7,SUNGAI DUA,BN - PAS,,6967,3137,79.73,5555,257,5298,PAS,HAJI ZABIDI BIN HAJI ALI,MALE,,3893,,PSRM,MAT SAAD BIN AHMAD,MALE,,649,LOST DEPOSIT,PEKEMAS,SAMSIAH BT. ABBAS,FEMALE,26,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.8,PULAU PINANG,P.37,PERMATANG PAUH,N.8,KUBANG SEMANG,BN - UMNO,,7754,3767,82.55,6401,281,6120,UMNO,HAJI MOHAMED NOR B. HAJI BAKAR,MALE,,4635,,,,,,,,PEKEMAS,ABU BAKAR B. MUNIR,MALE,,370,LOST DEPOSIT,DAP,ABU BAKAR B. DIN,MALE,,868,,KITA,JAFFAR BIN AHMAD,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_N.9,PULAU PINANG,P.37,PERMATANG PAUH,N.9,PENANTI,BN - UMNO,,7942,3169,76.43,6070,336,5734,UMNO,ABDULLAH MOHAMED @ MAHMUD,MALE,,3997,,PSRM,PAHARUDDIN BIN IBRAHIM,MALE,,605,LOST DEPOSIT,PEKEMAS,ISMAIL HELMY,MALE,,304,LOST DEPOSIT,,,,,,,KITA,TAN TAI KHIM,MALE,,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.10,PULAU PINANG,P.38,BUKIT MERTAJAM,N.10,BUKIT TENGAH,BN - GERAKAN,,8290,1662,78.49,6507,449,6058,GERAKAN,DATUK HARUN BIN SIRAT,MALE,,2961,,PSRM,SIM MAN LEE,MALE,,400,LOST DEPOSIT,PEKEMAS,ONG CHIN SIONG,MALE,,1058,,DAP,NG CHAY TET,MALE,,1299,,KITA,KANNON S/O KUJAMBU @ KANNAN S/O KUJAMBOO,MALE,,340,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_N.11,PULAU PINANG,P.38,BUKIT MERTAJAM,N.11,PEKAN BUKIT MERTAJAM,DAP,,13345,327,81.27,10845,558,10287,GERAKAN,OOH CHOOI CHENG,MALE,,4327,,PSRM,ONG CHENG PIAW,MALE,,466,LOST DEPOSIT,PEKEMAS,MICHALE TAN KOK HAW,MALE,,577,LOST DEPOSIT,DAP,OH TECK AUN,MALE,,4654,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BICYCLE,LIM ENG LENG,MALE,,128,LOST DEPOSIT,INDEPENDENT - KEY,GOIK AH KIM,MALE,,135,LOST DEPOSIT,,,,,,
P.38_N.12,PULAU PINANG,P.38,BUKIT MERTAJAM,N.12,MACHANG BUBOK,BN - GERAKAN,,8386,1193,81.05,6797,397,6400,GERAKAN,LIM HENG TEE,MALE,,3198,,PSRM,OTHMAN BIN TAIB,MALE,,435,LOST DEPOSIT,PEKEMAS,MOHD. NOOR BIN OTHAM,MALE,,322,LOST DEPOSIT,DAP,SHAIK ADAM,MALE,,2005,,KITA,SYED HAJI ABDULLAH BIN SYED MUHAMAD,MALE,,440,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.13,PULAU PINANG,P.39,NIBONG TEBAL,N.13,BUKIT TAMBUN,DAP,,7017,130,83.17,5836,296,5540,GERAKAN,TEOH KOOI SNEAH,MALE,,2237,,,,,,,,PEKEMAS,V. VEERAPEN,MALE,,936,,DAP,NG SWEE CHING,MALE,,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.39_N.14,PULAU PINANG,P.39,NIBONG TEBAL,N.14,SUNGAI BAKAP,BN - GERAKAN,,8344,1893,80.79,6741,393,6348,GERAKAN,S.P. CHELLIAH,MALE,,3350,,PSRM,TAN CHENG TENG,MALE,,846,,PEKEMAS,NOOR SHAARI,MALE,,695,LOST DEPOSIT,DAP,KHAW TEIK HOCK,MALE,,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
