UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.30_N.11,TRENGGANU,P.30,ULU TRENGGANU,N.11,TANGGOL,BN - UMNO,HAJI SALLEH BIN ISMAIL,MALE,,
P.30_N.12,TRENGGANU,P.30,ULU TRENGGANU,N.12,KUALA BRANG,BN - PAS,HAJI ABDUL RASHID BIN SU,MALE,,
P.31_N.13,TRENGGANU,P.31,KUALA NERUS,N.13,JERAM,BN - PAS,USTAZ AWANG BIN ABU BAKAR,MALE,31,
P.31_N.14,TRENGGANU,P.31,KUALA NERUS,N.14,BUKIT TUNGGAL,BN - UMNO,USTAZ HAJI ABDUL RAHMAN BIN AWANG,MALE,,
P.31_N.15,TRENGGANU,P.31,KUALA NERUS,N.15,MANIR,BN - UMNO,ISMAIL BIN YUSOF,MALE,,
P.31_N.16,TRENGGANU,P.31,KUALA NERUS,N.16,BUKIT PAYONG,BN - PAS,HJ. MUKHTAR BIN HAJI MOHD.,MALE,,
P.32_N.17,TRENGGANU,P.32,KUALA TRENGGANU,N.17,BANDAR,BN - MCA,TOH SENG CHONG,MALE,,
P.32_N.18,TRENGGANU,P.32,KUALA TRENGGANU,N.18,LADANG,BN - UMNO,ABU BAKAR BIN DAUD,MALE,,
P.32_N.19,TRENGGANU,P.32,KUALA TRENGGANU,N.19,WAKAF MEMPELAM,BN - PAS,MOHAMED HARUN BIN JUSOH,MALE,,
P.32_N.20,TRENGGANU,P.32,KUALA TRENGGANU,N.20,BATU BUROK,INDEPENDENT,HARUN @ ABDUL RAHMAN BIN MOHAMAD,MALE,,
P.33_N.21,TRENGGANU,P.33,DUNGUN,N.21,MARANG,BN - PAS,USTAZ KASSIM BIN AHMAD,MALE,37,
P.33_N.22,TRENGGANU,P.33,DUNGUN,N.22,MERCHANG,BN - UMNO,MOHAMED ADIB BIN OMAR,MALE,,
P.33_N.23,TRENGGANU,P.33,DUNGUN,N.23,SURA,BN - PAS,USTAZ OMAR SHUKRI,MALE,,
P.33_N.24,TRENGGANU,P.33,DUNGUN,N.24,JERANGAU,BN - PAS,CHE MUDA B. YUSOFF,MALE,,
P.34_N.25,TRENGGANU,P.34,KEMAMAN,N.25,PAKA,BN - UMNO,USTAZ PAK HITAM,MALE,,
P.34_N.26,TRENGGANU,P.34,KEMAMAN,N.26,KEMASIK,BN - UMNO,WAN ADNAN BIN ISMAIL,MALE,37,
