UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE SEX,USNO CANDIDATE AGE,USNO VOTE,USNO CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 141_N. 21,SABAH,P. 141,KINABATANGAN,N. 21,SEKONG,USNO,,6314,464,69.72,4402,55,4347,BERJAYA,MUSA JALA,MALE,,1102,,USNO,PITTING BIN HAJI MOHD. ALI,MALE,,1830,,PBS,NAHALAN BIN HAJI DAMSAL,MALE,,1366,,,,,,,,,,,,,,BERSIH,LIEW CHUNG FATT,MALE,,49,LOST DEPOSIT,,,,,,,,,,,,
P. 141_N. 22,SABAH,P. 141,KINABATANGAN,N. 22,SUKAU,USNO,,5792,47,52.23,3025,98,2927,BERJAYA,KOLNAH BTE SAHIH,FEMALE,,1166,,USNO,SAMAN B. HJ. GULAM,MALE,,1213,,PBS,MURNI B. KAMRUN @ ANDIE B. KAMARUN,MALE,,181,LOST DEPOSIT,BERSEPADU,GHANI B. MEDEH,MALE,,88,LOST DEPOSIT,,,,,,,BERSIH,JUHAR B. MAHIRUDDIN,MALE,,268,LOST DEPOSIT,INDEPENDENT,AMRAN B. TUNGGOR,MALE,,11,LOST DEPOSIT,,,,,,
P. 141_N. 23,SABAH,P. 141,KINABATANGAN,N. 23,KUAMUT,BN - BERJAYA,,4724,179,53.43,2524,85,2439,BERJAYA,ABDUL MALEK CHUA,MALE,,1066,,USNO,MOHD. KALBANI BIN HAJI KALBIN,MALE,,336,,PBS,JOSEPH SITIN SAANG,MALE,,887,,BERSEPADU,AMIR ALI BIN MOHD. DAMIT,MALE,,42,LOST DEPOSIT,,,,,,,BERSIH,HAMID BIN JAN,MALE,,93,LOST DEPOSIT,INDEPENDENT,MANAP BIN OMBOI,MALE,,15,LOST DEPOSIT,,,,,,
P. 142_N. 24,SABAH,P. 142,KENINGAU,N. 24,TAMBUNAN,PBS,,6111,3487,79.73,4872,92,4780,BERJAYA,MARTIN M. IDANG,MALE,,617,,,,,,,,PBS,DATUK JOSEPH PAIRIN KITINGAN,MALE,,4104,,BERSEPADU,GABRIEL IGIL,MALE,,59,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 142_N. 25,SABAH,P. 142,KENINGAU,N. 25,BINGKOR,PBS,,7663,2247,81.39,6237,117,6120,BERJAYA,AYUB AMAN,MALE,,1165,,USNO,SAIRIN KARNO,MALE,,1325,,PBS,THOMAS ANGGAN,MALE,,3572,,BERSEPADU,VINCENT MARUKAU ANJAK,MALE,,58,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 143_N. 26,SABAH,P. 143,PENAMPANG,N. 26,MOYOG,PASOK,,7948,4135,76.51,6081,82,5999,BERJAYA,CONRAD MOJUNTIN,MALE,,932,,,,,,,,,,,,,,,,,,,,PASOK,IGNATIUS STEPHEN MALANJUM,MALE,,5067,,,,,,,,,,,,,,,,,,,
P. 143_N. 27,SABAH,P. 143,PENAMPANG,N. 27,INANAM,PBS,,9201,1421,76.89,7075,96,6979,BERJAYA,MARCEL LEIKING,MALE,,2042,,USNO,MANSUR BIN AHBIDIN @ MANSUR BIDIN,MALE,,1394,,PBS,STEVEN K. KUTAI,MALE,,3463,,,,,,,,PASOK,EDWARD SINSUA,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 144_N. 28,SABAH,P. 144,GAYA,N. 28,LIKAS,PBS,,11426,271,73.01,8342,119,8223,BERJAYA,CHIN KOK KONG,MALE,,3097,,USNO,SAIDON BIN HAJI KADIS,MALE,,1529,,PBS,YONG TECK LEE,MALE,,3368,,,,,,,,,,,,,,BERSIH,ANGKOH BIN ADAN @ AWANG SHAH,MALE,,34,LOST DEPOSIT,INDEPENDENT,LIM TING YEE,MALE,,195,LOST DEPOSIT,,,,,,
P. 144_N. 29,SABAH,P. 144,GAYA,N. 29,API-API,PBS,,13249,703,74.79,9909,78,9831,BERJAYA,DATUK LIM GUAN SING,MALE,,4564,,,,,,,,PBS,CHAU TET ON,MALE,,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 145_N. 30,SABAH,P. 145,TANJONG ARU,N. 30,SEMBULAN,PBS,,10320,1080,70.82,7309,48,7261,BERJAYA,PAUL WONG,MALE,,2195,,USNO,IBRAHIM BIN DERMAT,MALE,,1741,,PBS,FRANCIS LIONG CHE KIONG,MALE,,3275,,BERSEPADU,RASIN BIN WANG,MALE,,50,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
