UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.047_N.21,PULAU PINANG,P.047,NIBONG TEBAL,N.21,SUNGAI ACHEH,PH - PKR,20018,416,85.95,17205,221,45,16939,UMNO,DATO MAHMUD ZAKARIA,MALE,70,7070,,PKR,ZULKIFLI BIN IBRAHIM,MALE,38,7486,,PAS,NOR ZAMRI BIN LATIFF,MALE,,2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.048_N.22,PULAU PINANG,P.048,BUKIT BENDERA,N.22,TANJONG BUNGA,PH - DAP,21768,9343,80.72,17571,163,65,17343,GERAKAN,TENG CHANG YEOW,MALE,54,3902,,DAP,ZAIRIL KHIR JOHARI,MALE,36,13245,,,,,,,,PRM,CHUA CHEONG WEE,MALE,49,122,LOST DEPOSIT,MUP,MARVIN LEE ZHENG YONG,MALE,,74,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048_N.23,PULAU PINANG,P.048,BUKIT BENDERA,N.23,AIR PUTIH,PH - DAP,13509,7958,81.96,11072,88,48,10936,MCA,TANG HEAP SENG,MALE,61,1404,,DAP,LIM GUAN ENG,MALE,58,9362,,PCM,MANIKANDAN A/L RAMAYAH,MALE,,83,LOST DEPOSIT,,,,,,,MUP,TAN GIN THEAM,MALE,48,87,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048_N.24,PULAU PINANG,P.048,BUKIT BENDERA,N.24,KEBUN BUNGA,PH - PKR,21369,12597,81.53,17422,165,42,17215,GERAKAN,OOI ZHI YI,MALE,34,2254,,PKR,JASON ONG KHAN LEE,MALE,43,14851,,,,,,,,,,,,,,MUP,WU KAI MIN,MALE,,110,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048_N.25,PULAU PINANG,P.048,BUKIT BENDERA,N.25,PULAU TIKUS,PH - DAP,18423,9245,78.05,14379,138,53,14188,GERAKAN,JASON LOO JIEH SHENG,MALE,,2434,,DAP,LEE CHUN KIT,MALE,36,11679,,,,,,,,,,,,,,MUP,WEE KEAN WAI,MALE,,75,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.049_N.26,PULAU PINANG,P.049,TANJONG,N.26,PADANG KOTA,PH - DAP,14476,7808,75.72,10961,130,12,10819,GERAKAN,H'NG KHOON LENG,MALE,54,1470,,DAP,CHOW KON YEOW,MALE,60,9278,,,,,,,,,,,,,,MUP,GOH SAIK WEI,MALE,,71,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.049_N.27,PULAU PINANG,P.049,TANJONG,N.27,PENGKALAN KOTA,PH - DAP,20069,13390,85.27,17112,166,25,16921,MCA,LIM SWEE BOK,MALE,37,1647,LOST DEPOSIT,DAP,GOOI ZI SEN,MALE,31,15037,,,,,,,,PRM,CHEW SENG TUNG,MALE,35,68,LOST DEPOSIT,MUP,KOAY TENG LYE,MALE,,82,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,RAGINDRAN A/L SIVASAMY,MALE,,87,LOST DEPOSIT,,,,,,
P.049_N.28,PULAU PINANG,P.049,TANJONG,N.28,KOMTAR,PH - DAP,15041,8363,80.17,12059,98,13,11948,MCA,TAN HING TEIK,MALE,37,1750,,DAP,TEH LAI HENG,MALE,38,10113,,,,,,,,,,,,,,MUP,ONG CHUN JIET,MALE,,85,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.050_N.29,PULAU PINANG,P.050,JELUTONG,N.29,DATOK KERAMAT,PH - DAP,22630,9561,81.77,18504,216,67,18221,GERAKAN,LEE BOON TEN,MALE,,4151,,DAP,JAGDEEP SINGH DEO A/L KARPAL SINGH,MALE,47,13712,,,,,,,,,,,,,,MUP,LIM BOO CHANG,MALE,62,194,LOST DEPOSIT,PFP,NICHOLAS DIANE,MALE,,18,LOST DEPOSIT,INDEPENDENT - AEROPLANE,MUHAMMAD MAJNUN BIN ABDUL WAHAB,MALE,,146,LOST DEPOSIT,,,,,,
P.050_N.30,PULAU PINANG,P.050,JELUTONG,N.30,SUNGAI PINANG,PH - DAP,26917,10388,84.35,22704,291,81,22332,GERAKAN,NG FOOK ON,MALE,,4974,,DAP,LIM SIEW KHIM,FEMALE,48,15362,,PAS,YACOOB BIN OMAR,MALE,,1575,LOST DEPOSIT,PSM,TEH YEE CHEU,MALE,60,223,LOST DEPOSIT,MUP,TAN SIM BEE,FEMALE,,79,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,YACOOB,MALE,24,119,LOST DEPOSIT,,,,,,
P.050_N.31,PULAU PINANG,P.050,JELUTONG,N.31,BATU LANCANG,PH - DAP,27444,18208,85.16,23370,161,48,23161,GERAKAN,KOO PEI CHEE,MALE,32,2407,LOST DEPOSIT,DAP,ONG AH TEONG,MALE,48,20615,,,,,,,,,,,,,,MUP,KEE LEAN EE,FEMALE,,139,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.051_N.32,PULAU PINANG,P.051,BUKIT GELUGOR,N.32,SERI DELIMA,PH - DAP,25232,13211,80.39,20285,141,90,20054,MCA,KHOO KAY TEONG,MALE,59,3342,,DAP,SYERLEENA ABDUL RASHID,FEMALE,38,16553,,,,,,,,,,,,,,MUP,TAN YANG YUNG,MALE,,159,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.051_N.33,PULAU PINANG,P.051,BUKIT GELUGOR,N.33,AIR ITAM,PH - DAP,19622,9541,81.48,15988,151,54,15783,GERAKAN,TAN KAH LEONG,MALE,,3047,,DAP,JOSEPH NG SOON SIANG,MALE,39,12588,,,,,,,,,,,,,,MUP,KANG TEIK WOI,MALE,,148,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.051_N.34,PULAU PINANG,P.051,BUKIT GELUGOR,N.34,PAYA TERUBONG,PH - DAP,46741,31189,85.97,40185,235,88,39862,MCA,WONG CHIN CHONG,MALE,44,4126,LOST DEPOSIT,DAP,YEOH SOON HIN,MALE,41,35315,,,,,,,,,,,,,,MUP,KUAN AUN WAN,MALE,,421,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.052_N.35,PULAU PINANG,P.052,BAYAN BARU,N.35,BATU UBAN,PH - PKR,31924,17273,83.08,26523,235,79,26209,GERAKAN,HNG CHEE WEY,MALE,,3806,,PKR,A. KUMARESAN,MALE,31,21079,,PAS,VIKNESWARAN A/L MUNIANDY,MALE,38,1176,LOST DEPOSIT,,,,,,,MUP,TEOH KOK SIANG,MALE,,116,LOST DEPOSIT,PFP,TEOH KEAN LIANG,MALE,,32,LOST DEPOSIT,,,,,,,,,,,,
P.052_N.36,PULAU PINANG,P.052,BAYAN BARU,N.36,PANTAI JEREJAK,PH - PKR,23646,10716,81.68,19315,150,86,19079,GERAKAN,OH TONG KEONG,MALE,50,3298,,PKR,DATO SAIFUDDIN NASUTION,MALE,55,14014,,PAS,MOHD FARHAN BIN YUSRI,MALE,36,1670,LOST DEPOSIT,,,,,,,MUP,DAVID YIM BOON LEONG,MALE,,97,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.052_N.37,PULAU PINANG,P.052,BAYAN BARU,N.37,BATU MAUNG,PH - PKR,35210,8317,85.33,30046,352,98,29596,UMNO,LIAKAT ALI BIN MOHAMED ALI,MALE,55,9063,,PKR,DATO' HJ ABDUL HALIM HUSSAIN,MALE,,17380,,PAS,SAIFUL LIZAN BIN MD YUSOFF,MALE,51,3153,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.053_N.38,PULAU PINANG,P.053,BALIK PULAU,N.38,BAYAN LEPAS,PH - PAN,26570,5245,85.13,22618,275,83,22260,UMNO,CIKGU RUSLI HASHIM,MALE,59,7259,,PAN,AZRUL MAHATHIR BIN AZIZ,MALE,42,12504,,PAS,ZARINA SHINTA MADAR,FEMALE,,2497,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.053_N.39,PULAU PINANG,P.053,BALIK PULAU,N.39,PULAU BETONG,PH - PKR,18177,1596,86.48,15719,220,36,15463,UMNO,DATUK SR DR MUHAMAD FARID BIN SAAD,MALE,55,6079,,PKR,HAJI TUAH ISMAIL,MALE,52,7675,,PAS,CIKGU MOHD TAUFIK,MALE,,1645,LOST DEPOSIT,PRM,YEOH CHENG HUAT,MALE,,64,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.053_N.40,PULAU PINANG,P.053,BALIK PULAU,N.40,TELOK BAHANG,PH - PPBM,14339,425,85.3,12231,179,44,12008,UMNO,SHAH HEADAN AYOOB HUSSAIN SHAH,MALE,54,5057,,PPBM,ZOLKIFLY B. MD LAZIM,MALE,53,5482,,PAS,MOHD ALI BIN OTHMAN,MALE,,1469,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
