UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.102_N.25,P.102,BANGI,N.25,KAJANG,PH - PKR,62170,30755,88.62,55094,164,375,54555,MCA,TEH YEOW MENG,MALE,47,7097,,PKR,HEE LOY SIAN,MALE,48,39055,,PAS,ZAITON BINTI AHMAD,FEMALE,59,8300,,PRM,DENNIS WAN,MALE,,103,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.102_N.26,P.102,BANGI,N.26,SUNGAI RAMAL,PH - PAN,54961,10630,88.02,48375,95,356,47924,UMNO,ABDUL RAHIM BIN MOHD AMIN,MALE,57,9372,,PAN,HJ. MAZWAN JOHAR,MALE,50,24591,,PAS,USTAZ NUSHI DATO MAHFODZ,MALE,43,13961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102_N.27,P.102,BANGI,N.27,BALAKONG,PH - DAP,61659,35538,88.20,54384,226,286,53872,MCA,IR LIM CHIN WAH,MALE,57,5874,LOST DEPOSIT,DAP,NG TIEN CHEE (EDDIE),MALE,40,41768,,PAS,MOHAMAD IBRAHIM GHAZALI,MALE,53,6230,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_N.28,P.103,PUCHONG,N.28,SERI KEMBANGAN,PH - DAP,43611,31145,89.47,39019,581,265,38173,MCA,CHANG TOONG WOH,MALE,41,3514,LOST DEPOSIT,DAP,EAN YONG HIAN WAH,MALE,39,34659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_N.29,P.103,PUCHONG,N.29,SERI SERDANG,PH - PAN,52826,14363,87.18,46054,334,355,45365,UMNO,MOHAMAD SATIM BIN DIMAN,MALE,62,12725,,PAN,DR MARIAH MAHMUD,FEMALE,60,27088,,PAS,HJH. NOOR HANIM ISMAIL,FEMALE,56,5552,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_N.30,P.104,SUBANG,N.30,KINRARA,PH - DAP,72399,45212,87.76,63536,231,371,62934,MCA,CHIEW KAI HENG,MALE,49,6995,LOST DEPOSIT,DAP,NG SZE HAN,MALE,47,52207,,IKATAN,DATO JONATHAN LIM YING RAN,MALE,35,3732,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_N.31,P.104,SUBANG,N.31,SUBANG JAYA,PH - DAP,74023,48272,85.56,63332,336,332,62664,MCA,MEJAR (B) CHONG AH WATT,MALE,66,7082,LOST DEPOSIT,DAP,MICHELLE NG MEI SZE,FEMALE,28,55354,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,TOH SIN WAH,MALE,55,228,LOST DEPOSIT,,,,,,
P.105_N.32,P.105,PETALING JAYA,N.32,SERI SETIA,PH - PKR,52650,19372,84.44,44457,138,411,43908,UMNO,DATUK HAJI YUSOFF HM HANIFF,MALE,,9878,,PKR,DR. SHAHARUDDIN B. BADARUDDIN,MALE,56,29250,,PAS,MOHD GHAZALI BIN DAUD,MALE,63,4563,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DR. S. VIGNES,MALE,,217,LOST DEPOSIT,,,,,,
P.105_N.33,P.105,PETALING JAYA,N.33,TAMAN MEDAN,PH - PKR,44731,10940,85.12,38077,113,390,37574,UMNO,ABDUL MUTALIF BIN ABDUL RAHIM,MALE,47,10772,,PKR,USTAZ SYAMSUL FIRDAUS,MALE,45,21712,,PAS,ARIFFIN BIN MAHAIYUDDIN,MALE,,5090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.105_N.34,P.105,PETALING JAYA,N.34,BUKIT GASING,PH - DAP,43539,25835,78.27,34080,106,187,33787,GERAKAN,CHAI KO THING,MALE,46,3531,LOST DEPOSIT,DAP,RAJIV RISHYAKARAN,MALE,37,29366,,IKATAN,DAVID SEW KAH HENG,MALE,45,890,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106_N.35,P.106,DAMANSARA,N.35,KAMPUNG TUNKU,PH - DAP,48601,30444,79.88,38821,107,204,38510,MCA,TAN GIM TUAN,MALE,49,4033,LOST DEPOSIT,DAP,LIM YI WEI,FEMALE,29,34477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106_N.36,P.106,DAMANSARA,N.36,BANDAR UTAMA,PH - DAP,51504,34769,83.65,43084,198,165,42721,MCA,CH'NG SOO CHAU,MALE,60,3882,LOST DEPOSIT,DAP,JAMALIAH BINTI JAMALUDDIN,FEMALE,29,38651,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,PETER CHONG,MALE,55,188,LOST DEPOSIT,,,,,,
