PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING-PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.128,SEREMBAN,N.11,LOBAK,PH - DAP,19101,11782,81.69,15604,39,152,15795,MCA,LIM KOK KIAN,MALE,53,1865,LOST DEPOSIT,DAP,CHEW SEH YONG,MALE,56,13647,,,,,,,,PAP,BALAMURUGAN A/L SANMUGAM,MALE,,92,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.128,SEREMBAN,N.12,TEMIANG,PH - DAP,11184,3063,81.31,9094,20,120,9234,MCA,SIOW KOI VOON,MALE,48,2831,,DAP,NG CHIN TSAI,MALE,40,5894,,PAS,YAU CON SENG,MALE,,369,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,SEREMBAN,N.13,SIKAMAT,PH - PKR,20799,3413,84.61,17597,125,136,17858,UMNO,SYAMSUL DEBAT,MALE,41,6419,,PKR,AMINUDDIN HARUN,MALE,51,9832,,PAS,HAJI RAHIM BIN YUSOF,MALE,64,1331,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOUSE,BUJANG BIN ABU,MALE,,15,LOST DEPOSIT,,,,,,
P.128,SEREMBAN,N.14,AMPANGAN,PH - PKR,15791,1360,83.75,13225,52,166,13443,UMNO,HJ. ABU UBAIDAH,MALE,66,5441,,PKR,DR. MOHAMAD RAFIE BIN AB MALEK,MALE,54,6801,,PAS,MUSTAFFA BIN DAHARUN,MALE,60,983,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,KUALA PILAH,N.15,JUASSEH,BN - UMNO,10091,692,81.50,8224,29,135,8388,UMNO,DATO HJ ISMAIL LASIM,MALE,59,4146,,PKR,ROSLI BIN OMAR,MALE,57,3454,,PAS,HASSAN BIN MOHAMED,MALE,54,624,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,KUALA PILAH,N.16,SERI MENANTI,BN - UMNO,8154,595,81.73,6664,23,113,6800,UMNO,DATO ABD SAMAD BIN IBRAHIM,MALE,54,3362,,PPBM,JAMALI BIN SALAM,MALE,65,2767,,PAS,HJ. RAFIEI,MALE,65,535,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,KUALA PILAH,N.17,SENALING,BN - UMNO,8076,972,80.96,6538,33,107,6678,UMNO,DATO HJ ADNAN BIN ABU HASSAN,MALE,48,3456,,PAN,HAJI RAIS BASIRON,MALE,,2484,,PAS,FAZILAH ABU SAMAH,FEMALE,64,598,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,KUALA PILAH,N.18,PILAH,PH - PKR,13589,1806,80.16,10893,54,194,11141,UMNO,DATO NORHAYATI BINTI OMAR,FEMALE,57,3837,,PKR,MOHAMAD NAZARUDDIN BIN SABTU,MALE,62,5643,,PAS,HAJI FADZIL,MALE,49,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,KUALA PILAH,N.19,JOHOL,BN - UMNO,9891,965,80.05,7918,2,230,8150,UMNO,HJ SAIFUL YAZAN BIN SULAIMAN,MALE,52,3907,,PAN,ZULKEFLY OMAR,MALE,54,2942,,PAS,HAJI KAMARUDIN TAHIR,MALE,70,1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130,RASAH,N.20,LABU,PH - PKR,17808,882,82.44,14681,59,266,15006,UMNO,HASIM BIN RUSDI,MALE,60,5830,,PKR,ISMAIL BIN AHMAD,MALE,62,6712,,PAS,USTAZ KHAIRIL ANUAR WAFA,MALE,41,2093,,PAP,DAVID DASS ASEERPATHAM,MALE,,46,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.130,RASAH,N.21,BUKIT KEPAYANG,PH - DAP,26610,14924,84.22,22412,77,196,22685,GERAKAN,MAK KAH KEONG,MALE,33,3744,,DAP,NICOLE TAN LEE KOON,FEMALE,47,18668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130,RASAH,N.22,RAHANG,PH - DAP,17084,6560,79.27,13542,15,264,13821,MCA,YAP SIOK MOY,FEMALE,53,3458,,DAP,MARY JOSEPHINE PRITTAM SINGH,FEMALE,69,10018,,,,,,,,PAP,SARASWATHY A/P PARAGAZUM,FEMALE,,66,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.130,RASAH,N.23,MAMBAU,PH - DAP,20771,12389,84.42,17534,62,156,17752,MCA,DAFNEY HO,FEMALE,40,2522,,DAP,YAP YEW WENG,MALE,55,14911,,,,,,,,PAP,T. PARIMALA DEVI,FEMALE,,101,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.130,RASAH,N.24,SEREMBAN JAYA,PH - DAP,20565,10507,83.21,17112,96,168,17376,GERAKAN,CHOONG VEE HING,MALE,,3253,,DAP,P.GUNA,MALE,59,13760,,,,,,,,PAP,SAGAYA RAJAN A/L XAVIER,MALE,,99,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.131,REMBAU,N.25,PAROI,PH - PKR,36213,4841,84.87,30734,173,273,31180,UMNO,MOHD GHAZALI BIN ABD WAHID,MALE,,11197,,PAN,HAJI TAUFEK,MALE,50,16038,,PAS,MASITA BINTI MOHAMED ALI,FEMALE,55,3499,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131,REMBAU,N.26,CHEMBONG,BN - UMNO,18116,4427,82.90,15019,98,213,15330,UMNO,ZAIFULBAHRI BIN IDRIS,MALE,51,9079,,PPBM,AZIZAN MARZUKI,MALE,64,4652,,PAS,USTAZ ROSMIN ADAM,MALE,49,1288,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131,REMBAU,N.27,RANTAU,BN - UMNO,20472,,,,,,,UMNO,MOHAMAD BIN HAJI HASAN,MALE,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.131,REMBAU,N.28,KOTA,BN - UMNO,13564,2969,81.66,11076,71,169,11316,UMNO,AWALUDIN BIN SAID,MALE,58,6356,,PAN,SAHRIZAL MASRUDIN,MALE,,3387,,PAS,HAJI ISHAK BIN OMAR,MALE,58,1333,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,PORT DICKSON,N.29,CHUAH,PH - PKR,12083,3201,83.76,10121,19,165,10305,MCA,DATO SRI KING LIM,MALE,39,3460,,PKR,MICHAEL YEK DIEW CHING,MALE,59,6661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,PORT DICKSON,N.30,LUKUT,PH - DAP,17298,8405,83.78,14493,29,167,14689,MCA,YEONG KUN YOU,MALE,39,3044,,DAP,CHOO KEN HWA,MALE,41,11449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,PORT DICKSON,N.31,BAGAN PINANG,BN - UMNO,15821,1935,78.11,12357,143,267,12767,UMNO,TUN HAIRUDIN BIN ABU BAKAR @ DON,MALE,60,7146,,PKR,MOHD IBRAHIM KHAN,MALE,,5211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,PORT DICKSON,N.32,LINGGI,BN - UMNO,15588,623,80.27,12513,47,298,12858,UMNO,DATO' HJ. ABDUL RAHMAN MOHD REDZA,MALE,45,6072,,PKR,RUSLI BIN ABDULLAH,MALE,,5449,,PAS,RIZAL ISHAK,MALE,46,992,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,PORT DICKSON,N.33,SRI TANJUNG,PH - PKR,14422,4030,81.56,11763,30,159,11952,MIC,THINALAN T RAJAGOPALU,MALE,39,3336,,PKR,M.RAVI,MALE,51,7366,,PAS,HAJI KAMAROL RIDZUAN,MALE,51,1061,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133,TAMPIN,N.34,GEMAS,BN - UMNO,22318,4772,78.62,17546,91,283,17920,UMNO,ABD RAZAK BIN AB SAID,MALE,53,9853,,PKR,HAJI BAHARUDDIN ARIF BIN HAJI SIRI,MALE,,5081,,PAS,MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),MALE,52,2612,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133,TAMPIN,N.35,GEMENCHEH,BN - UMNO,18705,351,78.57,14697,71,249,15017,UMNO,MOHD ISAM BIN MOHD ISA,MALE,49,6963,,PPBM,SAIFUL ADLY BIN ABD WAHAB,MALE,40,6612,,PAS,ISHAK BIN MAASIN,MALE,56,1122,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133,TAMPIN,N.36,REPAH,PH - DAP,19742,4758,82.74,16335,56,189,16580,MCA,KOH KIM SWEE,MALE,47,4810,,DAP,VEERAPAN A/L SUPERAMANIAM,MALE,43,9568,,PAS,HJ.RAZAK,MALE,58,1957,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
