UNIQUE CODE (2013),STATE (2013),PARLIAMENTARY CONSTITUENCY CODE (2013),PARLIAMENTARY CONSTITUENCY NAME (2013),UNIQUE CODE (2018),STATE (2018),PARLIAMENTARY CONSTITUENCY CODE (2018),PARLIAMENTARY CONSTITUENCY NAME (2018),PARLIAMENTARY CONSTITUENCY NAME CHANGE,NOTES
P.024,KELANTAN,P.024,KUBANG KERIAN,P. 024,KELANTAN,P. 024,KUBANG KERIAN,,Boundary has changed
P.025,KELANTAN,P.025,BACHOK,P. 025,KELANTAN,P. 025,BACHOK,,
P.026,KELANTAN,P.026,KETEREH,P. 026,KELANTAN,P. 026,KETEREH,,Boundary has changed
P.027,KELANTAN,P.027,TANAH MERAH,P. 027,KELANTAN,P. 027,TANAH MERAH,,Boundary has changed
P.028,KELANTAN,P.028,PASIR PUTEH,P. 028,KELANTAN,P. 028,PASIR PUTEH,,
P.029,KELANTAN,P.029,MACHANG,P. 029,KELANTAN,P. 029,MACHANG,,
P.030,KELANTAN,P.030,JELI,P. 030,KELANTAN,P. 030,JELI,,Boundary has changed
P.031,KELANTAN,P.031,KUALA KRAI,P. 031,KELANTAN,P. 031,KUALA KRAI,,
P.032,KELANTAN,P.032,GUA MUSANG,P. 032,KELANTAN,P. 032,GUA MUSANG,,
P.033,TERENGGANU,P.033,BESUT,P. 033,TERENGGANU,P. 033,BESUT,,
P.034,TERENGGANU,P.034,SETIU,P. 034,TERENGGANU,P. 034,SETIU,,Boundary has changed
P.035,TERENGGANU,P.035,KUALA NERUS,P. 035,TERENGGANU,P. 035,KUALA NERUS,,Boundary has changed
P.036,TERENGGANU,P.036,KUALA TERENGGANU,P. 036,TERENGGANU,P. 036,KUALA TERENGGANU,,
P.037,TERENGGANU,P.037,MARANG,P. 037,TERENGGANU,P. 037,MARANG,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,P. 038,TERENGGANU,P. 038,HULU TERENGGANU,,
P.039,TERENGGANU,P.039,DUNGUN,P. 039,TERENGGANU,P. 039,DUNGUN,,
P.040,TERENGGANU,P.040,KEMAMAN,P. 040,TERENGGANU,P. 040,KEMAMAN,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,P. 041,PULAU PINANG,P. 041,KEPALA BATAS,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,P. 042,PULAU PINANG,P. 042,TASEK GELUGOR,,
P.043,PULAU PINANG,P.043,BAGAN,P. 043,PULAU PINANG,P. 043,BAGAN,,
P.044,PULAU PINANG,P.044,PERMATANG PAUH,P. 044,PULAU PINANG,P. 044,PERMATANG PAUH,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,P. 045,PULAU PINANG,P. 045,BUKIT MERTAJAM,,
P.046,PULAU PINANG,P.046,BATU KAWAN,P. 046,PULAU PINANG,P. 046,BATU KAWAN,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,P. 047,PULAU PINANG,P. 047,NIBONG TEBAL,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,P. 048,PULAU PINANG,P. 048,BUKIT BENDERA,,
P.049,PULAU PINANG,P.049,TANJONG,P. 049,PULAU PINANG,P. 049,TANJONG,,
P.050,PULAU PINANG,P.050,JELUTONG,P. 050,PULAU PINANG,P. 050,JELUTONG,,
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,P. 051,PULAU PINANG,P. 051,BUKIT GELUGOR,,
P.052,PULAU PINANG,P.052,BAYAN BARU,P. 052,PULAU PINANG,P. 052,BAYAN BARU,,
P.053,PULAU PINANG,P.053,BALIK PULAU,P. 053,PULAU PINANG,P. 053,BALIK PULAU,,
P.054,PERAK,P.054,GERIK,P. 054,PERAK,P. 054,GERIK,,
P.055,PERAK,P.055,LENGGONG,P. 055,PERAK,P. 055,LENGGONG,,
P.056,PERAK,P.056,LARUT,P. 056,PERAK,P. 056,LARUT,,
P.057,PERAK,P.057,PARIT BUNTAR,P. 057,PERAK,P. 057,PARIT BUNTAR,,
P.058,PERAK,P.058,BAGAN SERAI,P. 058,PERAK,P. 058,BAGAN SERAI,,
P.059,PERAK,P.059,BUKIT GANTANG,P. 059,PERAK,P. 059,BUKIT GANTANG,,Boundary has changed
P.060,PERAK,P.060,TAIPING,P. 060,PERAK,P. 060,TAIPING,,Boundary has changed
P.061,PERAK,P.061,PADANG RENGAS,P. 061,PERAK,P. 061,PADANG RENGAS,,
P.062,PERAK,P.062,SUNGAI SIPUT,P. 062,PERAK,P. 062,SUNGAI SIPUT,,
P.063,PERAK,P.063,TAMBUN,P. 063,PERAK,P. 063,TAMBUN,,Boundary has changed
P.064,PERAK,P.064,IPOH TIMOR,P. 064,PERAK,P. 064,IPOH TIMOR,,Boundary has changed
P.065,PERAK,P.065,IPOH BARAT,P. 065,PERAK,P. 065,IPOH BARAT,,Boundary has changed
P.066,PERAK,P.066,BATU GAJAH,P. 066,PERAK,P. 066,BATU GAJAH,,Boundary has changed
P.067,PERAK,P.067,KUALA KANGSAR,P. 067,PERAK,P. 067,KUALA KANGSAR,,
P.068,PERAK,P.068,BERUAS,P. 068,PERAK,P. 068,BERUAS,,Boundary has changed
P.069,PERAK,P.069,PARIT,P. 069,PERAK,P. 069,PARIT,,
P.070,PERAK,P.070,KAMPAR,P. 070,PERAK,P. 070,KAMPAR,,Boundary has changed
P.071,PERAK,P.071,GOPENG,P. 071,PERAK,P. 071,GOPENG,,Boundary has changed
P.072,PERAK,P.072,TAPAH,P. 072,PERAK,P. 072,TAPAH,,Boundary has changed
P.073,PERAK,P.073,PASIR SALAK,P. 073,PERAK,P. 073,PASIR SALAK,,
P.074,PERAK,P.074,LUMUT,P. 074,PERAK,P. 074,LUMUT,,Boundary has changed
P.075,PERAK,P.075,BAGAN DATOK,P. 075,PERAK,P. 075,BAGAN DATUK,YES,
P.076,PERAK,P.076,TELOK INTAN,P. 076,PERAK,P. 076,TELUK INTAN,YES,
P.077,PERAK,P.077,TANJONG MALIM,P. 077,PERAK,P. 077,TANJONG MALIM,,
P.078,PAHANG,P.078,CAMERON HIGHLANDS,P. 078,PAHANG,P. 078,CAMERON HIGHLANDS,,
P.079,PAHANG,P.079,LIPIS,P. 079,PAHANG,P. 079,LIPIS,,
P.080,PAHANG,P.080,RAUB,P. 080,PAHANG,P. 080,RAUB,,
P.081,PAHANG,P.081,JERANTUT,P. 081,PAHANG,P. 081,JERANTUT,,
P.082,PAHANG,P.082,INDERA MAHKOTA,P. 082,PAHANG,P. 082,INDERA MAHKOTA,,
P.083,PAHANG,P.083,KUANTAN,P. 083,PAHANG,P. 083,KUANTAN,,
P.084,PAHANG,P.084,PAYA BESAR,P. 084,PAHANG,P. 084,PAYA BESAR,,
P.085,PAHANG,P.085,PEKAN,P. 085,PAHANG,P. 085,PEKAN,,
P.086,PAHANG,P.086,MARAN,P. 086,PAHANG,P. 086,MARAN,,
P.087,PAHANG,P.087,KUALA KRAU,P. 087,PAHANG,P. 087,KUALA KRAU,,
P.088,PAHANG,P.088,TEMERLOH,P. 088,PAHANG,P. 088,TEMERLOH,,
P.089,PAHANG,P.089,BENTONG,P. 089,PAHANG,P. 089,BENTONG,,
P.090,PAHANG,P.090,BERA,P. 090,PAHANG,P. 090,BERA,,
P.091,PAHANG,P.091,ROMPIN,P. 091,PAHANG,P. 091,ROMPIN,,
P.092,SELANGOR,P.092,SABAK BERNAM,P. 092,SELANGOR,P. 092,SABAK BERNAM,,
P.093,SELANGOR,P.093,SUNGAI BESAR,P. 093,SELANGOR,P. 093,SUNGAI BESAR,,
P.094,SELANGOR,P.094,HULU SELANGOR,P. 094,SELANGOR,P. 094,HULU SELANGOR,,
P.095,SELANGOR,P.095,TANJONG KARANG,P. 095,SELANGOR,P. 095,TANJONG KARANG,,Boundary has changed
P.096,SELANGOR,P.096,KUALA SELANGOR,P. 096,SELANGOR,P. 096,KUALA SELANGOR,,Boundary has changed
P.097,SELANGOR,P.097,SELAYANG,P. 097,SELANGOR,P. 097,SELAYANG,,Boundary has changed
P.098,SELANGOR,P.098,GOMBAK,P. 098,SELANGOR,P. 098,GOMBAK,,Boundary has changed
P.099,SELANGOR,P.099,AMPANG,P. 099,SELANGOR,P. 099,AMPANG,,Boundary has changed
P.100,SELANGOR,P.100,PANDAN,P. 100,SELANGOR,P. 100,PANDAN,,Boundary has changed
P.101,SELANGOR,P.101,HULU LANGAT,P. 101,SELANGOR,P. 101,HULU LANGAT,,Boundary has changed
P.102,SELANGOR,P.102,SERDANG,P. 102,SELANGOR,P. 102,BANGI,YES,Boundary has changed
P.103,SELANGOR,P.103,PUCHONG,P. 103,SELANGOR,P. 103,PUCHONG,,Boundary has changed
P.104,SELANGOR,P.104,KELANA JAYA,P. 104,SELANGOR,P. 104,SUBANG,YES,Boundary has changed
P.105,SELANGOR,P.105,PETALING JAYA SELATAN,P. 105,SELANGOR,P. 105,PETALING JAYA,YES,Boundary has changed
P.106,SELANGOR,P.106,PETALING JAYA UTARA,P. 106,SELANGOR,P. 106,DAMANSARA,YES,Boundary has changed
P.107,SELANGOR,P.107,SUBANG,P. 107,SELANGOR,P. 107,SUNGAI BULOH,YES,Boundary has changed
P.108,SELANGOR,P.108,SHAH ALAM,P. 108,SELANGOR,P. 108,SHAH ALAM,,Boundary has changed
P.109,SELANGOR,P.109,KAPAR,P. 109,SELANGOR,P. 109,KAPAR,,Boundary has changed
P.110,SELANGOR,P.110,KLANG,P. 110,SELANGOR,P. 110,KLANG,,Boundary has changed
P.111,SELANGOR,P.111,KOTA RAJA,P. 111,SELANGOR,P. 111,KOTA RAJA,,Boundary has changed
P.112,SELANGOR,P.112,KUALA LANGAT,P. 112,SELANGOR,P. 112,KUALA LANGAT,,
P.113,SELANGOR,P.113,SEPANG,P. 113,SELANGOR,P. 113,SEPANG,,
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,,Boundary has changed
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,,Boundary has changed
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,,Boundary has changed
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,,Boundary has changed
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,P. 118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 118,SETIAWANGSA,,Boundary has changed
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,P. 119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 119,TITIWANGSA,,
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,P. 120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 120,BUKIT BINTANG,,Boundary has changed
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,P. 121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 121,LEMBAH PANTAI,,Boundary has changed
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,P. 122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 122,SEPUTEH,,Boundary has changed
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,P. 123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 123,CHERAS,,Boundary has changed
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,P. 124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 124,BANDAR TUN RAZAK,,Boundary has changed
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,P. 125,WILAYAH PERSEKUTUAN PUTRAJAYA,P. 125,PUTRAJAYA,,
P.126,NEGERI SEMBILAN,P.126,JELEBU,P. 126,NEGERI SEMBILAN,P. 126,JELEBU,,
P.127,NEGERI SEMBILAN,P.127,JEMPOL,P. 127,NEGERI SEMBILAN,P. 127,JEMPOL,,
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,P. 128,NEGERI SEMBILAN,P. 128,SEREMBAN,,Boundary has changed
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,P. 129,NEGERI SEMBILAN,P. 129,KUALA PILAH,,
P.130,NEGERI SEMBILAN,P.130,RASAH,P. 130,NEGERI SEMBILAN,P. 130,RASAH,,Boundary has changed
P.131,NEGERI SEMBILAN,P.131,REMBAU,P. 131,NEGERI SEMBILAN,P. 131,REMBAU,,
P.132,NEGERI SEMBILAN,P.132,TELOK KEMANG,P. 132,NEGERI SEMBILAN,P. 132,PORT DICKSON,YES,
P.133,NEGERI SEMBILAN,P.133,TAMPIN,P. 133,NEGERI SEMBILAN,P. 133,TAMPIN,,
P.134,MELAKA,P.134,MASJID TANAH,P. 134,MELAKA,P. 134,MASJID TANAH,,
P.135,MELAKA,P.135,ALOR GAJAH,P. 135,MELAKA,P. 135,ALOR GAJAH,,
P.136,MELAKA,P.136,TANGGA BATU,P. 136,MELAKA,P. 136,TANGGA BATU,,Boundary has changed
P.137,MELAKA,P.137,BUKIT KATIL,P. 137,MELAKA,P. 137,HANG TUAH JAYA,YES,Boundary has changed
P.138,MELAKA,P.138,KOTA MELAKA,P. 138,MELAKA,P. 138,KOTA MELAKA,,Boundary has changed
P.139,MELAKA,P.139,JASIN,P. 139,MELAKA,P. 139,JASIN,,
P.140,JOHOR,P.140,SEGAMAT,P. 140,JOHOR,P. 140,SEGAMAT,,
P.141,JOHOR,P.141,SEKIJANG,P. 141,JOHOR,P. 141,SEKIJANG,,
P.142,JOHOR,P.142,LABIS,P. 142,JOHOR,P. 142,LABIS,,
P.143,JOHOR,P.143,PAGOH,P. 143,JOHOR,P. 143,PAGOH,,Boundary has changed
P.144,JOHOR,P.144,LEDANG,P. 144,JOHOR,P. 144,LEDANG,,
P.145,JOHOR,P.145,BAKRI,P. 145,JOHOR,P. 145,BAKRI,,Boundary has changed
P.146,JOHOR,P.146,MUAR,P. 146,JOHOR,P. 146,MUAR,,Boundary has changed
P.147,JOHOR,P.147,PARIT SULONG,P. 147,JOHOR,P. 147,PARIT SULONG,,
P.148,JOHOR,P.148,AYER HITAM,P. 148,JOHOR,P. 148,AYER HITAM,,Boundary has changed
P.149,JOHOR,P.149,SRI GADING,P. 149,JOHOR,P. 149,SRI GADING,,Boundary has changed
P.150,JOHOR,P.150,BATU PAHAT,P. 150,JOHOR,P. 150,BATU PAHAT,,
P.151,JOHOR,P.151,SIMPANG RENGGAM,P. 151,JOHOR,P. 151,SIMPANG RENGGAM,,
P.152,JOHOR,P.152,KLUANG,P. 152,JOHOR,P. 152,KLUANG,,
P.153,JOHOR,P.153,SEMBRONG,P. 153,JOHOR,P. 153,SEMBRONG,,
P.154,JOHOR,P.154,MERSING,P. 154,JOHOR,P. 154,MERSING,,
P.155,JOHOR,P.155,TENGGARA,P. 155,JOHOR,P. 155,TENGGARA,,
P.156,JOHOR,P.156,KOTA TINGGI,P. 156,JOHOR,P. 156,KOTA TINGGI,,
P.157,JOHOR,P.157,PENGERANG,P. 157,JOHOR,P. 157,PENGERANG,,
P.158,JOHOR,P.158,TEBRAU,P. 158,JOHOR,P. 158,TEBRAU,,
P.159,JOHOR,P.159,PASIR GUDANG,P. 159,JOHOR,P. 159,PASIR GUDANG,,
P.160,JOHOR,P.160,JOHOR BAHRU,P. 160,JOHOR,P. 160,JOHOR BAHRU,,Boundary has changed
P.161,JOHOR,P.161,PULAI,P. 161,JOHOR,P. 161,PULAI,,Boundary has changed
P.162,JOHOR,P.162,GELANG PATAH,P. 162,JOHOR,P. 162,ISKANDAR PUTERI,YES,Boundary has changed
P.163,JOHOR,P.163,KULAI,P. 163,JOHOR,P. 163,KULAI,,Boundary has changed
P.164,JOHOR,P.164,PONTIAN,P. 164,JOHOR,P. 164,PONTIAN,,Boundary has changed
P.165,JOHOR,P.165,TANJONG PIAI,P. 165,JOHOR,P. 165,TANJUNG PIAI,YES,Boundary has changed
P.166,WILAYAH PERSEKUTUAN LABUAN,P.166,LABUAN,P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,,
