UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT(%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE
P.081_N.11,P.081,JERANTUT,N.11,PULAU TAWAR,BN - UMNO,,23248,587,80.35,18679,106,295,18278,UMNO,DATO' NAZRI NGAH,MALE,60,8446,DR JAMALUDDIN HJ ABD RAHIM,MALE,52,1973,USTAZ AHMAD NAAWI,MALE,63,7859,,,,,,,,,,,,,,,,,,,,
P.082_N.12,P.082,INDERA MAHKOTA,N.12,BESERAH,GS - PAS,,38721,1305,83.63,32384,148,331,31905,UMNO,DATO' SUHAIMI SULONG,MALE,48,8732,HAJI ZULKIFLI MOHAMED,MALE,45,10934,ANDANSURA RABU,MALE,52,12239,,,,,,,,,,,,,,,,,,,,
P.082_N.13,P.082,INDERA MAHKOTA,N.13,SEMAMBU,PH - PKR,,38487,5511,83.70,32215,114,307,31794,MCA,QUEK TAI SEONG,MALE,39,7323,LEE CHEAN CHUNG,MALE,37,14991,MOHD YUSOF HASHIM,MALE,47,9480,,,,,,,,,,,,,,,,,,,,
P.083_N.14,P.083,KUANTAN,N.14,TERUNTUM,PH - PKR,,24746,7725,81.66,20207,276,163,19768,MCA,TEE CHOON SER @ MISTY,FEMALE,37,4502,SIM CHON SIANG,MALE,53,12227,HAJJAH AZIZAH BINTI MOHD ALI,FEMALE,66,3039,,,,,,,,,,,,,,,,,,,,
P.083_N.15,P.083,KUANTAN,N.15,TANJUNG LUMPUR,GS - PAS,,25120,1339,83.98,21097,102,316,20679,UMNO,T. ZULKIFLY BIN T. AHMAD,MALE,,6859,HAJAH SABRINA MD YUSOFF,FEMALE,52,5622,USTAZ ROSLI BIN ABDUL JABAR,MALE,52,8198,,,,,,,,,,,,,,,,,,,,
P.083_N.16,P.083,KUANTAN,N.16,INDERAPURA,BN - UMNO,,12830,2165,86.15,11053,51,225,10777,UMNO,DATO' SRI HAJI SHAFIK FAUZAN BIN SHARIF,MALE,53,5568,HAJI FAKHRUL ANUAR BIN ZULKAWI,MALE,49,1806,DR. WAN MASERI BINTI WAN MOHD,FEMALE,54,3403,,,,,,,,,,,,,,,,,,,,
P.084_N.17,P.084,PAYA BESAR,N.17,SUNGAI LEMBING,BN - UMNO,,14729,1968,80.40,11842,70,181,11591,UMNO,DATO' HJ MD SOHAIMI BIN HJ MOHAMED SHAH,MALE,61,5436,FAUZI BIN ABDUL RAHMAN,MALE,72,2687,USTAZ MOHAMAD HAZMI DIBOK,MALE,41,3468,,,,,,,,,,,,,,,,,,,,
P.084_N.18,P.084,PAYA BESAR,N.18,LEPAR,BN - UMNO,,17582,2779,79.99,14063,35,238,13790,UMNO,ABD RAHIM BIN MUDA,MALE,53,6500,NUR ADDIN IBRAHIM,MALE,33,3721,MOHD NOR HISAM BIN MUHAMMAD,MALE,33,3569,,,,,,,,,,,,,,,,,,,,
P.084_N.19,P.084,PAYA BESAR,N.19,PANCHING,GS - PAS,,22824,135,83.43,19041,103,255,18683,UMNO,DATO' HJ. MOHD ZAILI BIN HJ. BESAR,MALE,52,7008,KAMARZAMAN MOHAMED YUNUS,MALE,62,4490,USTAZ MOHD TARMIZI YAHAYA,MALE,43,7143,,,,,,,,,,,,,INDEPENDENT - RING,BENZIN,MALE,57,42,,,
P.085_N.20,P.085,PEKAN,N.20,PULAU MANIS,BN - UMNO,,20389,2334,81.95,16709,69,309,16331,UMNO,DATO' KHAIRUDDIN BIN MAHMUD,MALE,66,8282,ABU BAKAR BIN LEBAI SUDIN,MALE,77,2101,KAPT (B) ZAINUDDIN BIN NOH,MALE,58,5948,,,,,,,,,,,,,,,,,,,,
P.085_N.21,P.085,PEKAN,N.21,PERAMU JAYA,BN - UMNO,,32291,7182,83.10,26834,103,403,26328,UMNO,DATO' SRI SH MOHMED PUZI,MALE,61,15433,DATO HJ SALIM BIN HJ ABD MAJID,MALE,59,2644,USTAZ ABU KASSIM,MALE,65,8251,,,,,,,,,,,,,,,,,,,,
