UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.154_N.33,JOHOR,P.154,MERSING,N.33,TENGGAROH,BN - MIC,28638,5765,80.4,23025,79,550,22396,MIC,RAVEN KUMAR KRISHNASAMY,MALE,36,12309,,PKR,RAHAMIZON BINTI ABDUL GHANI,FEMALE,45,6544,,PAS,A. RAHMAN BIN A. HAMID,MALE,65,3543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.155_N.34,JOHOR,P.155,TENGGARA,N.34,PANTI,BN - UMNO,25751,3424,84.58,21779,66,248,21465,UMNO,HAHASRIN BIN HASHIM,MALE,42,11409,,PPBM,INTAN JAWAHIR,FEMALE,41,7985,,PAS,LT. KOLONEL (B) NAZARI,MALE,57,2071,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.155_N.35,JOHOR,P.155,TENGGARA,N.35,PASIR RAJA,BN - UMNO,18998,1847,84.28,16012,0,398,15614,UMNO,RASHIDAH BINTI ISMAIL,FEMALE,,8055,,PAN,ABRARY RAMLY,MALE,,6208,,PAS,BAHRIN BIN ALIAS,MALE,49,1351,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156_N.36,JOHOR,P.156,KOTA TINGGI,N.36,SEDILI,BN - UMNO,21456,9168,84.65,18162,181,335,17646,UMNO,RASMAN BIN ITHNAIN,MALE,41,13407,,PKR,ABD RAZAK BIN ESA,MALE,,4239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156_N.37,JOHOR,P.156,KOTA TINGGI,N.37,JOHOR LAMA,BN - UMNO,25221,5807,84.28,21256,230,336,20690,UMNO,HJ ROSLELI BIN JAHARI,MALE,54,12532,,PKR,NOR ASHIDAH BINTI IBRAHIM,FEMALE,,6725,,PAS,SITI ZAHARAH OTHMAN,FEMALE,51,1433,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157_N.38,JOHOR,P.157,PENGERANG,N.38,PENAWAR,BN - UMNO,21490,7134,84.32,18121,340,255,17526,UMNO,DATO' SHARIFAH AZIZAH ALSHAHAB,FEMALE,58,12330,,PAN,AHMAD KAMAH BIN NOR,MALE,,5196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157_N.39,JOHOR,P.157,PENGERANG,N.39,TANJUNG SURAT,BN - UMNO,18989,4522,81.41,15459,450,303,14706,UMNO,DATO' SYED SIS BIN A RAHMAN,MALE,65,9614,,PKR,ZAMIL NAJWAH BIN ARBAIN,MALE,44,5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.158_N.40,JOHOR,P.158,TEBRAU,N.40,TIRAM,PH - PKR,60686,8098,84.42,51234,85,735,50414,UMNO,DATUK MAULIZAN BUJANG,MALE,55,18475,,PKR,S GOPALAKRISHNAN,MALE,56,26573,,PAS,AZMAN BIN ATMIN,MALE,40,5366,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.158_N.41,JOHOR,P.158,TEBRAU,N.41,PUTERI WANGSA,PH - PPBM,62347,24959,86.91,54188,197,546,53445,UMNO,ABD AZIZ BIN TOHAK,MALE,55,12586,,PPBM,HJ MAZLAN BIN BUJANG,MALE,53,37545,,PAS,USTAZ ABDULLAH HUSIN,MALE,49,2654,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - MOTORCYCLE,LIM YAK HONG,MALE,62,544,LOST DEPOSIT,INDEPENDENT - KEY,TING CHOON CHAI,MALE,,116,LOST DEPOSIT
P.159_N.42,JOHOR,P.159,PASIR GUDANG,N.42,JOHOR JAYA,PH - DAP,61079,15565,86.19,52645,222,699,51724,MCA,TAN CHER PUK,MALE,47,16777,,DAP,LIOW CAI TUNG,FEMALE,32,32342,,PAS,KUMUTHA A/P RAHMAN,FEMALE,39,2605,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.159_N.43,JOHOR,P.159,PASIR GUDANG,N.43,PERMAS,PH - PPBM,63093,8746,85.48,53929,96,699,53134,UMNO,MOHAMED KHALED NORDIN,MALE,60,20047,,PPBM,CHE ZAKARIA BIN MOHD SALLEH,MALE,57,28793,,PAS,AB. AZIZ BIN ABDULLAH,MALE,49,4181,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ROHANI BINTI YAACOB,FEMALE,34,113,LOST DEPOSIT,,,,,,
P.160_N.44,JOHOR,P.160,JOHOR BAHRU,N.44,LARKIN,PH - PPBM,55858,8590,81.17,45341,179,495,44667,UMNO,DATUK YAHYA JA'AFAR,MALE,55,16422,,PPBM,MOHD IZHAR BIN AHMAD,MALE,63,25012,,PAS,ZAKIAH BINTI TUKIRIN,FEMALE,55,3233,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.160_N.45,JOHOR,P.160,JOHOR BAHRU,N.45,STULANG,PH - DAP,45551,12470,79.7,36302,90,678,35534,MCA,ANG BOON HENG,MALE,53,11532,,DAP,ANDREW CHEN KAH ENG,MALE,43,24002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.161_N.46,JOHOR,P.161,PULAI,N.46,PERLING,PH - DAP,62895,19533,83.03,52222,157,524,51541,MCA,WONG YOU FONG,FEMALE,47,13059,,DAP,CHEO YEE HOW,MALE,34,32592,,PAS,UST. MUHAMAD NAZRIN BIN IHSAN,MALE,29,5890,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.161_N.47,JOHOR,P.161,PULAI,N.47,KEMPAS,PH - PPBM,43373,9178,82.73,35883,116,350,35417,UMNO,DATUK RAMLEE BIN BOHANI,MALE,56,11959,,PPBM,OSMAN BIN SAPIAN,MALE,67,21137,,PAS,DZULKIFLI BIN SULEIMAN,MALE,54,2321,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.162_N.48,JOHOR,P.162,ISKANDAR PUTERI,N.48,SKUDAI,PH - DAP,70928,35126,85.21,60440,122,726,59592,MIC,S KANAN,MALE,54,12233,,DAP,TAN HONG PIN,MALE,37,47359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.162_N.49,JOHOR,P.162,ISKANDAR PUTERI,N.49,KOTA ISKANDAR,PH - PAN,67371,14543,86.59,58335,82,920,57333,UMNO,MOHD KHAIRI BIN A MALIK,MALE,52,18912,,PAN,DZULKEFLY AHMAD,MALE,53,33455,,PAS,HJ SALLEHUDDIN BIN MOHD DAHIRAN,MALE,51,4966,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N.50,JOHOR,P.163,KULAI,N.50,BUKIT PERMAI,PH - PPBM,24275,2531,87.24,21178,43,278,20857,UMNO,ALI MAZAT BIN SALLEH,MALE,47,8467,,PPBM,TOSRIN BIN JARVANTHI,MALE,68,10998,,PAS,ABD AZIZ BIN JA'AFAR,MALE,51,1392,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N.51,JOHOR,P.163,KULAI,N.51,BUKIT BATU,PH - PKR,30216,10057,87.37,26400,53,306,26041,GERAKAN,TEO LEE HO,MALE,,7048,,PKR,JIMMY PUAH WEE TSE,MALE,42,17105,,PAS,USTAZ JUWAHIR BIN AMIN,MALE,37,1888,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163_N.52,JOHOR,P.163,KULAI,N.52,SENAI,PH - DAP,44656,18902,85.6,38225,96,483,37646,MCA,SHEN POH KUAN,MALE,41,9372,,DAP,TEE BOON TSONG,MALE,39,28274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164_N.53,JOHOR,P.164,PONTIAN,N.53,BENUT,BN - UMNO,20894,4447,84.95,17750,289,358,17103,UMNO,DATUK IR.HASNI BIN MOHAMMAD,MALE,59,9480,,PPBM,ZULKIFLY BIN TASREP,MALE,52,5033,,PAS,MOHD FIRDAUS BIN JAFFAR,MALE,36,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164_N.54,JOHOR,P.164,PONTIAN,N.54,PULAI SEBATANG,PH - PAN,34676,3395,83.92,29100,130,376,28594,MCA,DATUK TEE SIEW KIONG,MALE,54,11112,,PAN,TAQIUDDIN CHEMAN,MALE,30,14507,,PAS,DR BAHAROM MOHAMAD,MALE,62,2975,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165_N.55,JOHOR,P.165,TANJUNG PIAI,N.55,PEKAN NANAS,PH - DAP,26608,1308,86.43,22997,39,554,22404,MCA,TAN ENG MENG,MALE,56,10548,,DAP,YEO TUNG SIONG,MALE,39,11856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165_N.56,JOHOR,P.165,TANJUNG PIAI,N.56,KUKUP,BN - UMNO,26920,862,84.93,22863,37,422,22404,UMNO,DATUK MD OTHMAN YUSOF 'TOK MOY',MALE,60,11113,,PAN,SUHAIZAN KAYAT,MALE,45,10251,,PAS,DR KARIM BIN DERAMAN,MALE,60,1040,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
