UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,11200,77.58,14.63,5.76,0,0.25,0.13,1.65,96.5,0.01,3.11,0.38,18.8,23.5,18,18.7,12.2,6.5,2,0.4,50.0,50.0,SEMI URBAN
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,10535,83.76,4.45,0.68,0.02,0.06,0.08,10.95,99.36,0,0,0.64,17.4,23.4,19.5,18.2,12.7,6,2.4,0.4,48.1,51.9,SEMI URBAN
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,9233,97.36,2.04,0.38,0.01,0.04,0.04,0.13,99.98,0.02,0,0,16.9,22.4,19.8,18.7,12.7,6.7,2.4,0.4,47.4,52.6,RURAL
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,8547,90.62,8.82,0.33,0,0.04,0.02,0.18,99.64,0.01,0.35,0,17.6,23.4,18.5,18.1,13.3,6.7,2,0.3,48.8,51.2,RURAL
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,8672,92.2,7.39,0.15,0,0.03,0.03,0.18,100,0,0,0,15.3,21.7,20.4,19,14.2,6.7,2.2,0.4,48.8,51.2,RURAL
P.004_N.01,KEDAH,P.004,LANGKAWI,N.01,AYER HANGAT,21297,95.04,1.38,2.9,0,0.2,0.16,0.32,97.32,0,2.68,0,19.1,26.5,22.1,16.3,10.1,4.2,1.6,0.2,50.8,49.2,SEMI URBAN
P.004_N.02,KEDAH,P.004,LANGKAWI,N.02,KUAH,21400,85.72,11.61,1.9,0,0.18,0.19,0.4,95.23,0.01,2.07,2.68,17.9,25.4,23.2,18.3,9.9,3.7,1.4,0.2,51.6,48.4,SEMI URBAN
P.005_N.03,KEDAH,P.005,JERLUN,N.03,KOTA SIPUTEH,23544,92.06,6.68,0.11,0,0.02,0.02,1.12,99.86,0.01,0.13,0,15.7,23.9,19.7,18.1,12.9,7,2.3,0.4,49.1,50.9,RURAL
P.005_N.04,KEDAH,P.005,JERLUN,N.04,AYER HITAM,30588,90.59,7.06,0.09,0,0.04,0.03,0.21,99.91,0.01,0.08,0,15.6,22.8,19.9,18.5,13.6,6.8,2.4,0.3,48.9,51.1,RURAL
P.006_N.05,KEDAH,P.006,KUBANG PASU,N.05,BUKIT KAYU HITAM,32614,89.31,7.01,2.09,0.01,0.33,0.3,0.95,95.69,0.01,0.63,3.68,17.5,24.5,19.7,17,13.2,6,1.9,0.3,49.6,50.4,SEMI URBAN
P.006_N.06,KEDAH,P.006,KUBANG PASU,N.06,JITRA,41267,84.26,9.73,4.55,0,0.06,0.08,1.32,96.94,0.04,0.93,2.09,20.2,25.2,17.8,17.6,12.2,5.1,1.6,0.3,48.8,51.2,SEMI URBAN
P.007_N.07,KEDAH,P.007,PADANG TERAP,N.07,KUALA NERANG,24094,97.07,1.56,0.2,0,0.04,0.05,1.08,99.08,0.01,0.91,0,20,25.1,19,17.4,11.2,5,1.9,0.2,49.4,50.6,RURAL
P.007_N.08,KEDAH,P.007,PADANG TERAP,N.08,PEDU,22550,86.89,0.96,0.13,0,0.02,0.02,11.98,99.86,0.01,0.13,0,19.9,25.5,20.2,16.2,10.1,0,1.9,0.2,49.0,51.0,RURAL
P.008_N.09,KEDAH,P.008,POKOK SENA,N.09,BUKIT LADA,30002,90.09,7.12,2.1,0,0.04,0.03,0.61,99.96,0,0.04,0,17.4,24.3,19.8,17.3,12.1,6.6,2.3,0.3,49.0,51.0,SEMI URBAN
P.008_N.10,KEDAH,P.008,POKOK SENA,N.10,BUKIT PINANG,29041,93.28,5.25,0.94,0.01,0.12,0.2,0.2,91.93,0.01,0.1,7.96,19,24.6,18.3,17.1,12,6.4,2.2,0.3,49.9,50.1,SEMI URBAN
P.008_N.11,KEDAH,P.008,POKOK SENA,N.11,DERGA,27849,59.8,35.06,4.39,0,0.03,0.14,0.57,96.6,0.06,3.34,0,17.1,24,17,18.3,14,7.2,2.1,0.3,48.4,51.6,URBAN
P.009_N.12,KEDAH,P.009,ALOR STAR,N.12,SUKA MENANTI,31305,73.63,21.96,4.08,0,0.05,0.04,0.24,99.96,0.04,0,0,17.6,24.8,18.1,17.4,13,6.7,2,0.3,47.2,52.8,URBAN
P.009_N.13,KEDAH,P.009,ALOR STAR,N.13,KOTA DARUL AMAN,21835,32.67,60.06,6.49,0,0.07,0.26,0.44,96.78,0.03,3.19,0,8.8,16.7,16.1,22.1,20.4,10.6,3.9,1.4,49.8,50.2,URBAN
P.009_N.14,KEDAH,P.009,ALOR STAR,N.14,ALOR MENGKUDU,27132,76.85,20.16,2.52,0,0.03,0.03,0.39,99.98,0.02,0,0,18.6,23.6,18.8,18,12.9,5.8,1.9,0.3,48.5,51.5,SEMI URBAN
P.010_N.15,KEDAH,P.010,KUALA KEDAH,N.15,ANAK BUKIT,28223,88.83,9.58,1.24,0,0.02,0.03,0.3,99.88,0.01,0.11,0,15.8,23.3,19.8,18.9,13.3,6.2,2.4,0.4,47.9,52.1,SEMI URBAN
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,36253,72.25,26.42,0.89,0,0.03,0.02,0.39,99.91,0.02,0.07,0,17.2,25.3,19.3,17.4,12.9,5.8,1.9,0.3,49.0,51.0,SEMI URBAN
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,33277,75.87,22.6,1.25,0,0.03,0.05,0.2,99.95,0.02,0.04,0,16.1,24.5,19.8,18,13.6,5.8,2,0.3,48.6,51.4,SEMI URBAN
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,36366,91.42,8.09,0.2,0.01,0.04,0.04,0.21,99.52,0.01,0.48,0,17,23.6,20.4,17.7,12.5,6.3,2.2,0.3,47.9,52.1,SEMI URBAN
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,38501,86.24,2.22,0.85,0.01,0.02,0.02,10.64,99.94,0,0.06,0,18.9,23.6,20.1,17.4,11.5,5.8,2.4,0.3,48.5,51.6,RURAL
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,28800,93.7,6.03,0.07,0,0.01,0.02,0.16,99.99,0.01,0,0,16.4,22.2,21.8,18.1,12.3,6.3,2.4,0.3,48.0,52.0,RURAL
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,22646,89.31,9.71,0.78,0,0.04,0.04,0.11,99.27,0.03,0.7,0,18.1,23.1,19.8,18.2,12.3,5.9,2.2,0.5,48.2,51.8,SEMI URBAN
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,28530,59.31,24.23,15.89,0,0.02,0.06,0.48,99.52,0.01,0.25,0.23,16.4,23.2,20.6,18.3,12.9,6,2.1,0.4,49.1,50.9,SEMI URBAN
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,22744,93.32,1.65,0.21,0,0.07,0.02,4.73,99.21,0,0.79,0,20.2,24.6,20.6,16.4,10.6,5.4,1.9,0.4,48.9,51.1,RURAL
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,27641,92.7,1.3,0.13,0.01,0.03,0.04,5.79,99.96,0.01,0.04,0,19.1,26.2,20.8,15,12,0,1.7,0.2,48.7,51.3,RURAL
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,48367,58.56,17.35,23.35,0.01,0.06,0.05,0.61,99.08,0.04,0.88,0,18.3,24.8,20,19,12.6,3.9,1.3,0.2,48.4,51.6,URBAN
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,39415,80.86,12.26,5.5,0.02,0.29,0.8,0.27,86.68,0.02,0.11,13.19,18.1,29.1,19.9,15.1,10.7,5.1,1.7,0.3,50.1,49.9,SEMI URBAN
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,36810,92.02,5.84,1.93,0.01,0.02,0.05,0.14,99.88,0.01,0.11,0,20.2,22.8,20.7,18.6,10.7,4.9,1.8,0.3,48.1,51.9,SEMI URBAN
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,38991,46.62,39.02,13.9,0.01,0.05,0.04,0.36,99.67,0.03,0.3,0,17,22.9,18.6,20.2,13.5,5.5,1.8,0.5,47.8,52.2,URBAN
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,36776,44.32,34.9,19.92,0.31,0.04,0.06,1.92,99.98,0.02,0,0,15.8,21.6,21.6,20.2,12.9,5.7,1.8,0.4,48.1,51.9,URBAN
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,38985,93.15,3.79,0.72,0.31,0.05,0.06,1.92,99.21,0.01,0.78,0,20.6,24,19.7,16.6,11.1,5.4,2.2,0.4,49.0,51.0,RURAL
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,34430,91.73,3.67,2.9,0,0.03,0.04,1.62,99.93,0,0.06,0,21.3,24.3,19.7,16.5,11.1,4.9,1.9,0.3,48.9,51.1,RURAL
