UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.010_N.16,KEDAH,P.010,KUALA KEDAH,N.16,KUBANG ROTAN,36253,72.25,26.42,0.89,0,0.03,0.02,0.65,,,,,14.0,26.0,20.2,17.5,13.6,6.3,2.2,0.3,,,SEMI URBAN
P.010_N.17,KEDAH,P.010,KUALA KEDAH,N.17,PENGKALAN KUNDOR,33277,75.87,22.6,1.25,0,0.03,0.05,0.43,,,,,13.1,25.4,20.1,17.9,14.5,6.5,2.2,0.3,,,SEMI URBAN
P.011_N.18,KEDAH,P.011,PENDANG,N.18,TOKAI,36366,91.42,8.09,0.2,0.01,0.04,0.04,0.36,,,,,14.5,24.0,20.7,18.3,13.0,6.8,2.3,0.4,,,SEMI URBAN
P.011_N.19,KEDAH,P.011,PENDANG,N.19,SUNGAI TIANG,38501,86.24,2.22,0.85,0.01,0.02,0.02,11.58,,,,,16.0,24.6,20.3,17.8,12.3,6.1,2.5,0.4,,,RURAL
P.012_N.20,KEDAH,P.012,JERAI,N.20,SUNGAI LIMAU,28800,93.7,6.03,0.07,0,0.01,0.02,0.19,,,,,13.7,22.8,21.8,18.9,13.0,6.8,2.6,0.4,,,RURAL
P.012_N.21,KEDAH,P.012,JERAI,N.21,GUAR CHEMPEDAK,22646,89.31,9.71,0.78,0,0.04,0.04,0.21,,,,,15.2,24.4,19.5,18.6,13.1,6.3,2.4,0.5,,,SEMI URBAN
P.012_N.22,KEDAH,P.012,JERAI,N.22,GURUN,28530,59.31,24.23,15.89,0,0.02,0.06,0.76,,,,,13.8,23.8,20.8,18.7,13.5,6.7,2.3,0.5,,,SEMI URBAN
P.013_N.23,KEDAH,P.013,SIK,N.23,BELANTEK,22744,93.32,1.65,0.21,0,0.07,0.02,5.01,,,,,17.0,25.7,20.8,17.0,11.4,5.6,2.1,0.7,,,RURAL
P.013_N.24,KEDAH,P.013,SIK,N.24,JENERI,27641,92.7,1.3,0.13,0.01,0.03,0.04,6.36,,,,,15.6,27.0,21.8,15.3,12.5,5.6,1.8,0.4,,,RURAL
P.014_N.25,KEDAH,P.014,MERBOK,N.25,BUKIT SELAMBAU,48367,58.56,17.35,23.35,0.01,0.06,0.05,0.88,,,,,16.1,25.5,20.2,18.7,13.5,4.4,1.4,0.2,,,URBAN
P.014_N.26,KEDAH,P.014,MERBOK,N.26,TANJONG DAWAI,39415,80.86,12.26,5.5,0.02,0.29,0.8,0.45,,,,,15.5,29.7,20.5,16.8,11.1,5.4,1.8,0.3,,,SEMI URBAN
P.015_N.27,KEDAH,P.015,SUNGAI PETANI,N.27,PANTAI MERDEKA,36810,92.02,5.84,1.93,0.01,0.02,0.05,0.33,,,,,18.0,24.0,20.0,19.3,11.3,5.2,1.8,0.3,,,SEMI URBAN
P.015_N.28,KEDAH,P.015,SUNGAI PETANI,N.28,BAKAR ARANG,38991,46.62,39.02,13.9,0.01,0.05,0.04,0.62,,,,,14.5,23.8,18.5,20.0,14.7,6.1,2.0,0.5,,,URBAN
P.015_N.29,KEDAH,P.015,SUNGAI PETANI,N.29,SIDAM,36776,44.32,34.9,19.92,0.31,0.04,0.06,0.98,,,,,14.0,21.7,21.5,20.4,13.7,6.2,2.1,0.4,,,URBAN
P.016_N.30,KEDAH,P.016,BALING,N.30,BAYU,38985,93.15,3.79,0.72,0.31,0.05,0.06,2.21,,,,,17.2,25.5,19.7,17.5,11.7,5.7,2.4,0.4,,,RURAL
P.016_N.31,KEDAH,P.016,BALING,N.31,KUPANG,34430,91.73,3.67,2.9,0,0.03,0.04,1.69,,,,,18.2,25.3,20.1,16.9,12.0,5.2,2.0,0.4,,,RURAL
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,33798,81.01,5.77,12.53,0,0.05,0.02,0.76,,,,,19.1,25.1,19.8,17.3,11.0,5.2,2.1,0.4,,,RURAL
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,34498,74.94,7.87,16.75,0,0.05,0.05,0.5,,,,,16.1,23.5,22.6,19.0,11.7,5.1,1.7,0.4,,,SEMI URBAN
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,50336,48.17,27.95,23.47,0,0.04,0.04,0.59,,,,,16.7,24.1,20.6,19.8,12.0,4.8,1.6,0.3,,,URBAN
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,38572,61.94,20.49,17.2,0.01,0.06,0.07,0.44,,,,,14.6,25.3,19.7,19.0,13.5,5.6,1.9,0.5,,,URBAN
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,28015,79.15,13.74,6.92,0,0.04,0.07,0.2,,,,,13.9,23.7,20.7,18.9,13.0,6.9,2.6,0.4,,,RURAL
