UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE VOTE,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE
P.023,KELANTAN,P.023,RANTAU PANJANG,GS - PAS,,66115,6150,75.08,49639,441,825,48373,UMNO,ABDULLAH BIN MAT YASIM,MALE,63,18431,,PAN,DR SHAH,MALE,46,5361,LOST DEPOSIT,PAS,KAK LAH,FEMALE,55,24581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.024,KELANTAN,P.024,KUBANG KERIAN,GS - PAS,,82018,19369,79.09,64867,704,735,63428,UMNO,DATO' SRI MUHAMMAD ABD GHANI,MALE,,16251,,PAN,DATO DR HALIM,MALE,58,11557,,PAS,USTAZ TUAN IBRAHIM,MALE,58,35620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.025,KELANTAN,P.025,BACHOK,GS - PAS,,92606,3292,82.01,75945,833,1148,73964,UMNO,DATUK AWANG,MALE,63,32896,,PPBM,HJ ZUL,MALE,,4880,LOST DEPOSIT,PAS,USTAZ NIK ABDUH,MALE,48,36188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.026,KELANTAN,P.026,KETEREH,BN - UMNO,,65238,4626,83.39,54404,516,781,53107,UMNO,TAN SRI ANNUAR MUSA,MALE,62,25467,,PPBM,DR RADZI JIDIN,MALE,41,6799,,PAS,USTAZ WAN,MALE,63,20841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.027,KELANTAN,P.027,TANAH MERAH,BN - UMNO,,73172,2929,81.45,59598,490,986,58122,UMNO,DATO' SRI HJ IKMAL HISHAM BIN ABDUL AZIZ,MALE,53,28152,,PKR,DR FAUZI,MALE,57,4747,LOST DEPOSIT,PAS,DATO' DR JOHARI MAT,MALE,62,25223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.028,KELANTAN,P.028,PASIR PUTEH,GS - PAS,,85411,1360,81.66,69745,672,923,68150,UMNO,DR. ASYRAF WAJDI DUSUKI,MALE,42,30947,,PPBM,DATUK KAMARUDIN (ABE DIN),MALE,70,4896,LOST DEPOSIT,PAS,USTAZ DR. NIK ZAWAWI,MALE,51,32307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.029,KELANTAN,P.029,MACHANG,BN - UMNO,,68387,2824,82.35,56320,496,801,55023,UMNO,DATUK JAZLAN,MALE,54,26076,,PPBM,DATO' SAZMI,MALE,54,5695,LOST DEPOSIT,PAS,ZULKIFLI MAMAT,MALE,,23252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.030,KELANTAN,P.030,JELI,BN - UMNO,,47470,6647,83.48,39627,466,400,38761,UMNO,DATO' PA,MALE,68,21665,,PPBM,AZRAN BIN DERAMAN,MALE,36,2078,LOST DEPOSIT,PAS,CIKGU MAT,MALE,,15018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.031,KELANTAN,P.031,KUALA KRAI,GS - PAS,,70348,7992,80,56278,430,861,54987,UMNO,DATO RAMZI,MALE,60,20911,,PAN,DR IR YAZID,MALE,61,5173,LOST DEPOSIT,PAS,USTAZ LATIFF,MALE,47,28903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.032,KELANTAN,P.032,GUA MUSANG,BN - UMNO,,52524,3913,78.45,41206,322,948,39936,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,81,19426,,PPBM,ABE NOR,MALE,,4997,,PAS,USTAZ ABDULLAH,MALE,,15513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.033,TERENGGANU,P.033,BESUT,BN - UMNO,,86627,4599,83.49,72323,485,903,70935,UMNO,IDRIS JUSOH,MALE,63,34335,,PPBM,DATO IR'. HAJI WAN NAZARI,MALE,,6864,LOST DEPOSIT,PAS,DR USTAZ RIDUAN MOHMAD NOR,MALE,47,29736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.034,TERENGGANU,P.034,SETIU,GS - PAS,,86247,2802,85.42,73673,451,1244,71978,UMNO,DATO' HAJI MOHD JIDIN BIN SHAFEE,MALE,63,32218,,PPBM,DATO' DR MOHD FAUDZI BIN MUSA,MALE,,4740,LOST DEPOSIT,PAS,USTAZ ZUKIRNAIN AB KADIR,MALE,49,35020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,GS - PAS,,83663,8447,87.51,73211,379,727,72105,UMNO,DR. TENGKU ASMADI,MALE,54,29527,,PAN,HAJI ABDULLAH,MALE,,4604,LOST DEPOSIT,PAS,USTAZ DATO' DR KHAIRUDDIN TAKIRI,MALE,45,37974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,GS - PAS,,103611,14773,84.73,87786,436,767,86583,UMNO,WAN NAWAWI BIN HAJI WAN ISMAIL,MALE,61,28215,,PAN,DATO RAJA BAHRIN,MALE,63,15380,,PAS,HAJI AMZAD HASHIM,MALE,48,42988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,GS - PAS,,104898,21954,87.75,92046,336,1028,90682,UMNO,MOHAMAD NOR BIN ENDOT,MALE,58,31795,,PAN,ZARAWI BIN SULONG,MALE,56,5138,LOST DEPOSIT,PAS,TUAN GURU HAJI ABDUL HADI AWANG,MALE,71,53749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,BN - UMNO,,73487,2868,86.31,63428,211,871,62346,UMNO,DATO' ROSOL BIN WAHID,MALE,54,30925,,PPBM,DATUK RAZALI IDRIS,MALE,52,3364,LOST DEPOSIT,PAS,HAJI MUHYIDIN ABDUL RASHID,MALE,,28057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,TERENGGANU,P.039,DUNGUN,GS - PAS,,90506,13119,84.75,76706,406,886,75414,UMNO,DATO DIN,MALE,57,27731,,PKR,HJ. ABD RAHMAN YUSOF,MALE,61,6833,LOST DEPOSIT,PAS,USTAZ WAN HASSAN MOHD RAMLI,MALE,61,40850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,GS - PAS,,107593,2163,85.51,92007,377,1126,90504,UMNO,AHMAD SHABERY CHEEK,MALE,60,37715,,PKR,MOHD. HUZAIFAH MD. SUHAIMI,MALE,,12911,,PAS,USTAZ ALIAS ABD HAMID,MALE,,39878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,BN - UMNO,,60523,4736,87.78,53127,110,715,52302,UMNO,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,45,22459,,PAN,DR. ZAIDI BIN ZAKARIA,MALE,48,17723,,PAS,SITI MASTURA BINTI MUHAMMAD,FEMALE,29,12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,BN - UMNO,,60850,81,86.92,52890,297,689,51904,UMNO,DATUK SHABUDIN YAHAYA,MALE,52,18547,,PPBM,HJ MARZUKI BIN YAHYA,MALE,47,18466,,PAS,RIZAL HAFIZ BIN RUSLAN,MALE,42,14891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.043,PULAU PINANG,P.043,BAGAN,PH - DAP,,71583,43902,84.72,60642,92,463,60087,MCA,LEE BENG SENG,MALE,37,7751,,DAP,LIM GUAN ENG,MALE,57,51653,,,,,,,,,,,,,,,,,,,,,,,MUP,KOAY XING BOON,MALE,36,181,PCM,HUAN CHENG GUAN @ MEJAR HUAN,MALE,57,502,,,,,,,,,,,,,
P.044,PULAU PINANG,P.044,PERMATANG PAUH,PH - PKR,,81789,15668,86.42,70686,200,658,69828,UMNO,MOHD ZAIDI MOHD SAID,MALE,49,19866,,PKR,NURUL IZZAH ANWAR,FEMALE,37,35534,,PAS,USTAZ AFNAN HAMMI B DATO’ TAIB AZAMUDDEN,MALE,36,14428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,PH - DAP,,88998,52877,85.37,75977,177,1109,74691,MCA,GUI GUAT LYE,MALE,65,10907,,DAP,SIM CHEE KEONG,MALE,36,63784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,PULAU PINANG,P.046,BATU KAWAN,PH - DAP,,65394,33553,84.84,55479,99,675,54705,GERAKAN,JAYANTHI DEVI BALAGURU,FEMALE,56,9130,,DAP,KASTHURIRAANI PATTO,FEMALE,38,42683,,PAS,JAY KUMAR,MALE,38,2636,LOST DEPOSIT,,,,,,,,,,,,,,,,PFP,OOI KHAR GIAP,MALE,50,256,,,,,,,,,,,,,,,,,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,PH - PKR,,73383,15817,86.12,63199,160,860,62179,UMNO,DATO IR DR SHAIK HUSSEIN BIN MYDIN,MALE,44,19578,,PKR,DATO MANSOR OTHMAN,MALE,68,35395,,PAS,MOHD HELMI BIN HARUN,MALE,46,6875,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,TAN TEE BENG,MALE,46,331,,,,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,PH - DAP,,75069,40731,80.5,60429,211,512,59706,GERAKAN,ANDY YONG KIM SENG,MALE,46,9318,,DAP,WONG HON WAI,MALE,45,50049,,,,,,,,,,,,,,,,,,,,,,,MUP,TAN GIM THEAM,MALE,48,339,,,,,,,,,,,,,,,,,,
P.049,PULAU PINANG,P.049,TANJONG,PH - DAP,,49586,29599,80.93,40130,56,347,39727,GERAKAN,NG SIEW LAI,FEMALE,57,5064,,DAP,CHOW KON YEOW,MALE,59,34663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050,PULAU PINANG,P.050,JELUTONG,PH - DAP,,76991,38171,83.89,64584,198,720,63666,GERAKAN,BALJIT SINGH,MALE,52,12529,,DAP,SANISVARA NETHAJI RAYER A/L RAJAJI,MALE,47,50700,,,,,,,,,,,,,,,,,,,,,,,MUP,TAN SIM BEE,FEMALE,37,437,,,,,,,,,,,,,,,,,,
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,PH - DAP,,91595,55951,83.51,76489,256,528,75705,MCA,LOW JOO HIAP,MALE,45,9671,,DAP,RAMKARPAL SINGH A/L KARPAL SINGH,MALE,42,65622,,,,,,,,,,,,,,,,,,,,,,,MUP,LAI XUE CHING,FEMALE,34,412,,,,,,,,,,,,,,,,,,
P.052,PULAU PINANG,P.052,BAYAN BARU,PH - PKR,,90780,37751,83.59,75884,273,762,74849,MCA,CHUAH SENG GUAN,MALE,36,13804,,PKR,SIM TZE TZIN,MALE,42,51555,,PAS,ISZUREE BIN IBRAHIM,MALE,51,8757,LOST DEPOSIT,,,,,,,,,,,,,,,,MUP,DAVID YIM BOON LEONG,MALE,46,733,,,,,,,,,,,,,,,,,,
P.053,PULAU PINANG,P.053,BALIK PULAU,PH - PKR,,59086,6464,85.58,50564,157,631,49776,UMNO,DATO’ SERI DR HILMI HAJI YAHAYA,MALE,69,19007,,PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK,MALE,53,25471,,PAS,MUHAMMAD IMRAN BIN MUHAMMAD SA’AD,MALE,49,5298,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054,PERAK,P.054,GERIK,BN - UMNO,,35903,5528,78.08,28032,126,595,27311,UMNO,DATO HASBULLAH OSMAN,MALE,61,13243,,PPBM,IBRAHIM HANAFIAH,MALE,62,6353,,PAS,USTAZ DAHALAN,MALE,58,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055,PERAK,P.055,LENGGONG,BN - UMNO,,29752,5773,79.72,23719,109,405,23205,UMNO,DR SHAMSUL ANUAR NASARAH,MALE,51,12523,,PPBM,AMIRUL FAIRUZZEEN,MALE,36,3932,,PAS,USTAZ MUJAHID IR FADZIL,MALE,32,6750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,PERAK,P.056,LARUT,BN - UMNO,,49453,4486,81.84,40470,128,722,39620,UMNO,DATO SERI HAMZAH ZAINUDIN,MALE,61,18184,,PPBM,DATO KHAIRIL ANUAR,MALE,56,7738,,PAS,CIKGU HAJI ABU HUSIN,MALE,65,13698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057,PERAK,P.057,PARIT BUNTAR,PH - PAN,,51860,3098,83.58,43347,91,536,42720,UMNO,ABDUL PUHAT BIN MAT NAYAN,MALE,60,13655,,PAN,DATO’ DR MUJAHID RAWA,MALE,54,16753,,PAS,AHMAD AZHAR HAJI SHARIN,MALE,50,12312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058,PERAK,P.058,BAGAN SERAI,BN - UMNO,,59293,172,81.6,48381,261,865,47255,UMNO,DATO DR NOOR AZMI BIN GHAZALI,MALE,57,17220,,PPBM,ADAM BIN ASMUNI,MALE,33,12987,,PAS,USTAZAH ROHAYA BINTI BAKAR,FEMALE,58,17048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059,PERAK,P.059,BUKIT GANTANG,BN - UMNO,,69873,4089,82.82,57867,243,761,56863,UMNO,SYED HUSSIN BIN HAFIZ SYED ABDUL FASAL,MALE,58,22450,,PPBM,DATO HJ KHADRI KHALID,MALE,64,18361,,PAS,USTAZ IDRIS AHMAD,MALE,55,16052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.060,PERAK,P.060,TAIPING,PH - DAP,,90729,27384,78.58,71297,462,1092,69743,GERAKAN,TAN KENG LIANG,MALE,41,15613,,DAP,TEH KOK LIM,MALE,48,42997,,PAS,IBRAHIM ISMAIL,MALE,53,11133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.061,PERAK,P.061,PADANG RENGAS,BN - UMNO,,30996,2548,82.91,25698,102,315,25281,UMNO,DATO’ SERI MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,MALE,64,10491,,PKR,EJAZI YAHAYA,MALE,56,7943,,PAS,MOHAMAD AZALAN,MALE,57,6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.062,PERAK,P.062,SUNGAI SIPUT,PH - PKR,,55002,5607,79.38,43662,122,814,42726,MIC,S K DEVAMANY,MALE,61,15210,,PKR,S KESAVAN,MALE,45,20817,,PAS,DR ISHAK IBRAHIM,MALE,47,5194,LOST DEPOSIT,,,,,,,,,,,,,,,,PSM,DR KUMAR,MALE,64,1505,,,,,,,,,,,,,,,,,,
P.063,PERAK,P.063,TAMBUN,PH - PPBM,,107763,5320,82.51,88920,1010,960,86950,UMNO,DATO’ SERI AHMAD HUSNI HANADZLAH,MALE,66,33341,,PPBM,AHMAD FAIZAL DATO’ AZUMU,MALE,48,38661,,PAS,USTAZ IBRAHIM ZAKARIA,MALE,48,14948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
