UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),UNIQUE CODE (1962),PARLIAMENTARY CONSTITUENCY CODE (1962),PARLIAMENTARY CONSTITUENCY NAME (1962),STATE CONSTITUENCY CODE (1962),STATE CONSTITUENCY NAME (1962),DUN NAME CHANGE (1962),NOTES
P.40_NO. 16,SELANGOR,P.40,KUALA SELANGOR,NO. 16,KUALA SELANGOR PEKAN,P.65_S.2,P.65,KUALA SELANGOR,S.2,KUALA SELANGOR PEKAN,,
P.41_NO. 17,SELANGOR,P.41,LANGAT,NO. 17,KAJANG,P.69_S.9,P.69,LANGAT,S.9,KAJANG,,
P.41_NO. 18,SELANGOR,P.41,LANGAT,NO. 18,SEMENYIH,P.69_S.10,P.69,LANGAT,S.10,SEMENYIH,,
P.42_NO. 19,SELANGOR,P.42,SEPANG,NO. 19,DENGKIL,P.76_S.23,P.76,SEPANG,S.23,DENGKIL,,
P.42_NO. 20,SELANGOR,P.42,SEPANG,NO. 20,SUNGEI RAWANG,P.76_S.24,P.76,SEPANG,S.24,SUNGEI RAWANG,,
P.43_NO. 21,SELANGOR,P.43,KLANG,NO. 21,PORT SWETTENHAM,P.74_S.19,P.74,KLANG,S.19,PORT SWETTENHAM,,
P.43_NO. 22,SELANGOR,P.43,KLANG,NO. 22,KAMPONG JAWA,P.74_S.20,P.74,KLANG,S.20,KAMPONG JAWA,,
P.44_NO. 23,SELANGOR,P.44,KUALA LANGAT,NO. 23,TELOK DATOH,P.75_S.21,P.75,KUALA LANGAT,S.21,TELOK DATOH,,
P.44_NO. 24,SELANGOR,P.44,KUALA LANGAT,NO. 24,MORIB,P.75_S.22,P.75,KUALA LANGAT,S.22,MORIB,,
P.45_NO. 25,SELANGOR,P.45,KAPAR,NO. 25,JERAM,P.67_S.5,P.67,KAPAR,S.5,JERAM,,
P.45_NO. 26,SELANGOR,P.45,KAPAR,NO. 26,SEMENTA,P.67_S.6,P.67,KAPAR,S.6,SEMENTA,,
P.46_NO. 27,SELANGOR,P.46,DAMANSARA,NO. 27,SERDANG,P.73_S.17,P.73,DAMANSARA,S.17,SERDANG,,
P.46_NO. 28,SELANGOR,P.46,DAMANSARA,NO. 28,BUKIT RAJA,P.73_S.18,P.73,DAMANSARA,S.18,BUKIT RAJA,,
P.47_NO. 1,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 1,KUALA KLAWANG,P.83_S.17,P.83,JELEBU-JEMPOL,S.17,KUALA KLAWANG,,
P.47_NO. 2,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 2,PERTANG,P.83_S.18,P.83,JELEBU-JEMPOL,S.18,PERTANG,,
P.47_NO. 3,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 3,BAHAU,P.83_S.19,P.83,JELEBU-JEMPOL,S.19,BAHAU,,
P.47_NO. 4,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 4,ROMPIN,P.83_S.20,P.83,JELEBU-JEMPOL,S.20,ROMPIN,,
P.47_NO. 5,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 5,JEMPOL,P.83_S.21,P.83,JELEBU-JEMPOL,S.21,JEMPOL,,
P.48_NO. 6,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 6,SRI MENANTI,P.79_S.1,P.79,KUALA PILAH,S.1,SRI MENANTI,,
P.48_NO. 7,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 7,JOHOL,P.79_S.2,P.79,KUALA PILAH,S.2,JOHOL,,
P.48_NO. 8,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 8,ULU MUAR,P.79_S.3,P.79,KUALA PILAH,S.3,ULU MUAR,,
P.48_NO. 9,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 9,PILAH,P.79_S.4,P.79,KUALA PILAH,S.4,PILAH,,
P.49_NO. 10,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 10,JIMAH,P.82_S.12,P.82,PORT DICKSON,S.12,JIMAH,,
