UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE SEX,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.45,PERAK,P.45,KUALA KANGSAR,,ALLIANCE - UMNO,29714,6170,78.32%,23273,,863,22410,UMNO,DR. HAJI MEGAT KHAS,MALE,,11309,,PRM,HAJI FATHIL BIN HAJI KHALID,MALE,,3028,,PMIP,A. ZAWAWI,MALE,,5139,,UDP,SYED OSMAN JAMALULLAIL,MALE,,725,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - BALL,DR. S. UNDERWOOD,MALE,,2209,LOST DEPOSIT,,,,,,
P.46,PERAK,P.46,SUNGEI SIPUT,,ALLIANCE - MIC,17791,5933,81.03%,14416,,639,13777,MIC,DATO' V. T. SAMBANTHAN,MALE,45,9855,,,,,,,,,,,,,,,,,,,,PPP,V. RAMAIH,MALE,,3922,,,,,,,,,,,,,,,,,,,
P.47,PERAK,P.47,PARIT,,ALLIANCE - UMNO,22296,5505,81.31%,18128,,433,17695,UMNO,HUSSEIN BIN MOHD NOORDIN,MALE,,10571,,,,,,,,PMIP,DATO' RAJA M. HANIFAH,MALE,,5066,,UDP,DATO' ZAINAL ABIDIN BIN HAJI ABBAS,MALE,,1138,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TORCH,HAJI MOHAMED BIN HJ. SULAIMAN,MALE,,920,LOST DEPOSIT,,,,,,
P.48,PERAK,P.48,BRUAS,,ALLIANCE - MCA,26270,3868,79.40%,20858,,1002,19856,MCA,YEOH TAT BENG,MALE,,10587,,,,,,,,,,,,,,UDP,LOI KIEW HANG,MALE,,6719,,,,,,,,,,,,,,INDEPENDENT - SAW,PACHIK BIN AHMAD,MALE,,2550,,,,,,,
P.49,PERAK,P.49,SITIAWAN,,ALLIANCE - MCA,23877,3837,80.08%,19120,,685,18435,MCA,KAM WOON WAH,MALE,,11136,,,,,,,,,,,,,,UDP,TOO JOON HING,MALE,,7299,,,,,,,,,,,,,,,,,,,,,,,,,
P.50,PERAK,P.50,IPOH,,PPP,33261,4903,77.59%,25808,,831,24977,MCA,CHEAH CHUN CHING,MALE,,8897,,LPM,WONG KIM THIM,MALE,,2280,LOST DEPOSIT,,,,,,,,,,,,,PPP,D.R. SEENIVASAGAM,MALE,44,13800,,,,,,,,,,,,,,,,,,,
P.51,PERAK,P.51,MENGLEMBU,,PPP,45994,9121,78.68%,36187,,1117,35070,MCA,LIM ENG CHANG,MALE,,11246,,PRM,YUNUS BIN MD. ISA,MALE,,3457,LOST DEPOSIT,,,,,,,,,,,,,PPP,S.P. SEENIVASAGAM,MALE,47,20367,,,,,,,,,,,,,,,,,,,
P.52,PERAK,P.52,ULU KINTA,,ALLIANCE - MCA,19729,1006,83.30%,16435,,567,15868,MCA,CHIM FOON,MALE,,7351,,LPM,LOW SIN YEAN,,,2172,,,,,,,,,,,,,,PPP,CHAN SWEE HO,MALE,,6345,,,,,,,,,,,,,,,,,,,
P.53,PERAK,P.53,BATU GAJAH,,ALLIANCE - MCA,23723,716,83.77%,19873,,903,18970,MCA,NG FAH YAM,MALE,,9843,,,,,,,,,,,,,,,,,,,,PPP,KHONG KOK YAT,MALE,,9127,,,,,,,,,,,,,,,,,,,
P.54,PERAK,P.54,KAMPAR,,ALLIANCE - MCA,34215,3607,81.39%,27846,,1122,26724,MCA,TOH THEAM HOCK,MALE,,12964,,LPM,KHOR KIM YONG,MALE,,4403,,,,,,,,,,,,,,PPP,CHAN YOON ONN,MALE,,9357,,,,,,,,,,,,,,,,,,,
P.55,PERAK,P.55,TANJONG MALIM,,ALLIANCE - MCA,20849,7316,78.28%,16320,,856,15464,MCA,LEE SECK FUN,MALE,,9983,,PRM,OMAR BIN NORDIN,MALE,,2328,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CHAIR,TAN BOON JIN,MALE,,2667,,INDEPENDENT - HIBISCUS,ABDUL RAHMAN B. HAJI ABDUL WAHAB,MALE,,486,LOST DEPOSIT
P.56,PERAK,P.56,TELOK ANSON,,ALLIANCE - MCA,29130,3047,78.17%,22772,,1317,21455,MCA,DR NGAM KAM POH,MALE,,12251,,LPM,CHAI KAI WOOI,MALE,,9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57,PERAK,P.57,BAGAN DATOH,,ALLIANCE - UMNO,22766,7894,77.29%,17595,,1039,16556,UMNO,SULAIMAN BIN BULON,MALE,43,12225,,,,,,,,PMIP,IBRAHIM DAHALAN,MALE,,4331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.58,PERAK,P.58,BATANG PADANG,,ALLIANCE - UMNO,17603,4415,80.88%,14237,,899,13338,UMNO,ABDUL HAMID KHAN,MALE,64,7827,,,,,,,,,,,,,,,,,,,,PPP,S.A. LINGAM,MALE,,3412,,,,,,,,INDEPENDENT - SAW,LOH JEE ME @ JIMMY,MALE,,2099,,,,,,,
P.59,PAHANG,P.59,RAUB,,ALLIANCE - UMNO,21590,6336,80.11%,17296,,968,16328,UMNO,HUSSEIN BIN TO' MUDA HASSAN,MALE,,11332,,PRM,ABU BAKAR BIN RESAT,MALE,,4996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.60,PAHANG,P.60,BENTONG,,ALLIANCE - MCA,25182,6146,80.87%,20364,,846,19518,MCA,CHAN SIANG SUN,MALE,31,12832,,LPM,PHOON CHEE KAI,MALE,,6686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.61,PAHANG,P.61,KUANTAN,,ALLIANCE - UMNO,21889,7739,73.64%,16118,,710,15408,UMNO,A RAHMAN B HJ TALIB,MALE,48,10696,,PRM,MOHD KAMEIL BIN TO'MUDA HJ. IBRAHIM,MALE,,2957,,PMIP,JAMAHIR BIN IDRIS,MALE,,1755,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.62,PAHANG,P.62,PEKAN,,ALLIANCE - UMNO,18486,10147,76.63%,14165,,596,13569,UMNO,TUN HAJI ABDUL RAZAK BIN DATO' HUSSEIN,MALE,42,11858,,,,,,,,PMIP,A. HAMID B A.HITAM,MALE,,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.63,PAHANG,P.63,TEMERLOH,,ALLIANCE - UMNO,26899,7954,78.20%,21035,,1017,20018,UMNO,MUHAMAD YUSOF BIN MAHMUD,MALE,,12311,,PRM,JAAFAR BIN HUSSIN,MALE,,4357,,PMIP,DATO' ABU SAMAH,MALE,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.64,PAHANG,P.64,LIPIS,,ALLIANCE - UMNO,27546,10873,76.00%,20936,,1221,19715,UMNO,ABDUL RAZAK BIN HAJI HUSAIN,MALE,,15294,,,,,,,,PMIP,NIK AHMAD BIN NIK MAN,MALE,,4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.65,SELANGOR,P.65,KUALA SELANGOR,,ALLIANCE - UMNO,24882,7249,70.14%,17452,,1333,16119,UMNO,RAJA ROME BIN RAJA MAAMOR,MALE,,11684,,NCP,DATUK KAMPO RADJO,MALE,42,4435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.66,SELANGOR,P.66,BATU,,SF - LPM,32297,348,72.38%,23378,,1023,22355,MCA,YAP CHIN KWEE,MALE,29,9774,,LPM,DR. TAN CHEE KHOON,MALE,,10122,,,,,,,,,,,,,,,,,,,,PAP,TOO CHEE CHEONG,MALE,,2459,LOST DEPOSIT,,,,,,,,,,,,
P.67,SELANGOR,P.67,KAPAR,,ALLIANCE - UMNO,22730,5108,78.90%,17933,,979,16954,UMNO,HAMZAH ALANG,MALE,,9937,,NCP,ZAILANI SULAIMAN,MALE,,4829,,PMIP,AWANG ANSARI BIN AHMAD,MALE,,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.68,SELANGOR,P.68,RAWANG,,ALLIANCE - UMNO,19951,5146,77.10%,15383,,659,14724,UMNO,TUNKU ABDULLAH,MALE,,9935,,LPM,LEE CHI KIT,MALE,,4789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.69,SELANGOR,P.69,LANGAT,,ALLIANCE - UMNO,19403,6015,80.31%,15582,,1047,14535,UMNO,HAJI ZAKARIA BIN HAJI MOHD. TAIB,MALE,,10275,,PRM,MOHD. BOESTAMAM,MALE,,4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.70,SELANGOR,P.70,SETAPAK,,ALLIANCE - MCA,37034,4404,68.22%,25265,,871,24394,MCA,S. Y. CHAN,MALE,,12292,,PRM,TAJUDDIN KAHAR,MALE,,7888,,,,,,,,,,,,,,,,,,,,PAP,K.V. THAVER,MALE,,4214,,,,,,,,,,,,,
P.71,SELANGOR,P.71,BUNGSAR,,PAP,58261,808,67.72%,39453,,1293,38160,MCA,KOH POOI KEE,MALE,,9761,,LPM,V. DAVID,MALE,,12686,,,,,,,,,,,,,,PPP,CHEW CHOO SOOT,MALE,,2219,LOST DEPOSIT,PAP,DEVAN NAIR,MALE,41,13494,,,,,,,,,,,,,
P.72,SELANGOR,P.72,BUKIT BINTANG,,ALLIANCE - MCA,33636,2440,65.70%,22100,,676,21424,MCA,TAN TOH HOONG,MALE,,9107,,LPM,ISHAK BIN HAJI MOHAMAD,MALE,,5000,,PMIP,ABD. AZIZ BIN ISMAIL,MALE,,650,LOST DEPOSIT,,,,,,,,,,,,,PAP,WONG LIM KEN,MALE,,6667,,,,,,,,,,,,,
P.73,SELANGOR,P.73,DAMANSARA,,ALLIANCE - MCA,30056,546,72.52%,21797,,856,20941,MCA,CHEN WING SUM,MALE,32,9148,,LPM,TAN KAI HEE,MALE,,8602,,,,,,,,,,,,,,,,,,,,PAP,LAM KHUAN KIT,MALE,,3191,,,,,,,,,,,,,
P.74,SELANGOR,P.74,KLANG,,ALLIANCE - MIC,30158,6099,76.21%,22984,,1029,21955,MIC,V. MANICKAVASAGAM,MALE,38,14027,,LPM,S. S. NAYAGAM,MALE,,7928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.75,SELANGOR,P.75,KUALA LANGAT,,ALLIANCE - UMNO,21105,3797,80.16%,16918,,1035,15883,UMNO,TAHIR MAJID,MALE,,9840,,NCP,AZIZ ISHAK,MALE,50,6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.76,SELANGOR,P.76,SEPANG,,ALLIANCE - MCA,18581,4009,83.41%,15499,,632,14867,MCA,LEE SIOK YEW,MALE,40,9438,,LPM,LIM TUAN SIONG,MALE,,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.77,SELANGOR,P.77,SABAK BERNAM,,ALLIANCE - UMNO,22367,7682,73.74%,16493,,1431,15062,UMNO,DATO' HAJI MUSTAFA BIN HAJI ABDUL JABAR,MALE,,11372,,,,,,,,PMIP,ARRIFIN BIN AYOB,MALE,,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.78,SELANGOR,P.78,ULU SELANGOR,,ALLIANCE - MCA,17750,5213,80.72%,14328,,717,13611,MCA,KHAW KAI-BOH,MALE,48,9412,,PRM,NAZAR NONG,MALE,,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.79,NEGRI SEMBILAN,P.79,KUALA PILAH,,ALLIANCE - UMNO,26135,11374,82.35%,21522,,1282,20240,UMNO,BAHAMAN BIN SAMSUDIN,MALE,58,14842,,PRM,JAALAM BIN OTHMAN,MALE,,3468,,,,,,,,UDP,AHMAD JONES,MALE,,1930,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.80,NEGRI SEMBILAN,P.80,SEREMBAN TIMOR,,ALLIANCE - MCA,29004,4194,77.40%,22450,,642,21808,MCA,QUEK KAI DONG,MALE,,9604,,LPM,LIM KEE SAI,MALE,,5124,,,,,,,,UDP,WONG LUNKING,MALE,,1670,LOST DEPOSIT,,,,,,,PAP,LAU KIT SUN,MALE,,5410,,,,,,,,,,,,,
P.81,NEGRI SEMBILAN,P.81,REMBAU-TAMPIN,,ALLIANCE - UMNO,22987,8254,82.10%,18872,,759,18113,UMNO,HAJI REDZA BIN HJ. MOHD SAID,MALE,,11837,,PRM,ADBUL RAHMAN BIN HAJI MOHAMED,MALE,,3583,,,,,,,,UDP,BABA B. LUDEK,MALE,,2693,,,,,,,,,,,,,,,,,,,,,,,,,
P.82,NEGRI SEMBILAN,P.82,PORT DICKSON,,ALLIANCE - MIC,22083,5737,78.12%,17251,,1219,16032,MIC,T. MAHIMA S/O KARAM SINGH,MALE,58,7911,,LPM,MURIGASU @ MURUGAN S/O RAMASAMY,MALE,,2020,,,,,,,,UDP,NG HUP CHWEE,MALE,,2174,,PPP,IRBAHIM BIN AHMAD,MALE,,1349,LOST DEPOSIT,,,,,,,INDEPENDENT - BOTTLE,NADCHATIRAM SARASWATHY DEVI,FEMALE,,2074,,INDEPENDENT - SHOE,ONG BOON HONG,MALE,,504,LOST DEPOSIT
P.83,NEGRI SEMBILAN,P.83,JELEBU-JEMPOL,,ALLIANCE - UMNO,27147,8897,81.26%,22060,,946,21114,UMNO,MOHAMED IDRIS BIN MATSIL,MALE,,14498,,LPM,TAN BENG SOO,MALE,,5601,,,,,,,,UDP,ABDUL RAZAK BIN JUNID,MALE,,1015,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.84,NEGRI SEMBILAN,P.84,SEREMBAN BARAT,,ALLIANCE - MCA,24758,3475,78.99%,19556,,700,18856,MCA,SIOW LOONG HIN,MALE,,10163,,LPM,KOO ENG KUANG,MALE,,6688,,,,,,,,UDP,OH SIEW KHENG,MALE,,2005,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
