UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),NOTES
P. 12_S. 20,KEDAH,P. 12,SUNGEI PATANI,S. 20,SUNGEI PATANI LUAR,354.65,Computed using Tindak Malaysia's electoral boundary files
P. 13_S. 21,KEDAH,P. 13,KULIM UTARA,S. 21,SIDAM,251.70,Computed using Tindak Malaysia's electoral boundary files
P. 13_S. 22,KEDAH,P. 13,KULIM UTARA,S. 22,LUNAS,502.24,Computed using Tindak Malaysia's electoral boundary files
P. 14_S. 23,KEDAH,P. 14,KULIM - BANDAR BAHRU,S. 23,KULIM,397.64,Computed using Tindak Malaysia's electoral boundary files
P. 14_S. 24,KEDAH,P. 14,KULIM - BANDAR BAHRU,S. 24,BANDAR BAHRU,270.47,Computed using Tindak Malaysia's electoral boundary files
P. 15_S. 1,KELANTAN,P. 15,TUMPAT,S. 1,TUMPAT BARAT,70.73,Computed using Tindak Malaysia's electoral boundary files
P. 15_S. 2,KELANTAN,P. 15,TUMPAT,S. 2,TUMPAT TENGAH,51.94,Computed using Tindak Malaysia's electoral boundary files
P. 15_S. 3,KELANTAN,P. 15,TUMPAT,S. 3,TUMPAT TIMOR,43.96,Computed using Tindak Malaysia's electoral boundary files
P. 16_S. 4,KELANTAN,P. 16,KELANTAN HILIR,S. 4,KUALA KELANTAN,48.49,Computed using Tindak Malaysia's electoral boundary files
P. 16_S. 5,KELANTAN,P. 16,KELANTAN HILIR,S. 5,KOTA BHARU UTARA,34.47,Computed using Tindak Malaysia's electoral boundary files
P. 16_S. 6,KELANTAN,P. 16,KELANTAN HILIR,S. 6,KOTA BHARU PANTAI,50.00,Computed using Tindak Malaysia's electoral boundary files
P. 17_S. 7,KELANTAN,P. 17,PASIR MAS HILIR,S. 7,MERANTI,81.99,Computed using Tindak Malaysia's electoral boundary files
P. 17_S. 8,KELANTAN,P. 17,PASIR MAS HILIR,S. 8,TENDONG,58.61,Computed using Tindak Malaysia's electoral boundary files
P. 17_S. 9,KELANTAN,P. 17,PASIR MAS HILIR,S. 9,BANDAR PASIR MAS,38.10,Computed using Tindak Malaysia's electoral boundary files
P. 18_S. 10,KELANTAN,P. 18,KOTA BHARU HILIR,S. 10,BANDAR HILIR,5.14,Computed using Tindak Malaysia's electoral boundary files
P. 18_S. 11,KELANTAN,P. 18,KOTA BHARU HILIR,S. 11,BANDAR HULU,16.61,Computed using Tindak Malaysia's electoral boundary files
P. 18_S. 12,KELANTAN,P. 18,KOTA BHARU HILIR,S. 12,KOTA BHARU TENGAH,42.48,Computed using Tindak Malaysia's electoral boundary files
P. 19_S. 13,KELANTAN,P. 19,BACHOK,S. 13,BACHOK UTARA,78.55,Computed using Tindak Malaysia's electoral boundary files
P. 19_S. 14,KELANTAN,P. 19,BACHOK,S. 14,BACHOK TENGAH,51.85,Computed using Tindak Malaysia's electoral boundary files
P. 19_S. 15,KELANTAN,P. 19,BACHOK,S. 15,BACHOK SELATAN,152.00,Computed using Tindak Malaysia's electoral boundary files
P. 20_S. 16,KELANTAN,P. 20,KOTA BHARU HULU,S. 16,KOTA BHARU TIMOR,82.88,Computed using Tindak Malaysia's electoral boundary files
P. 20_S. 17,KELANTAN,P. 20,KOTA BHARU HULU,S. 17,KOTA BHARU BARAT,66.13,Computed using Tindak Malaysia's electoral boundary files
P. 20_S. 18,KELANTAN,P. 20,KOTA BHARU HULU,S. 18,KOTA BHARU SELATAN,97.85,Computed using Tindak Malaysia's electoral boundary files
P. 21_S. 19,KELANTAN,P. 21,PASIR MAS HULU,S. 19,RANTAU PANJANG,198.74,Computed using Tindak Malaysia's electoral boundary files
P. 21_S. 20,KELANTAN,P. 21,PASIR MAS HULU,S. 20,LEMAL,151.16,Computed using Tindak Malaysia's electoral boundary files
P. 21_S. 21,KELANTAN,P. 21,PASIR MAS HULU,S. 21,TOK UBAN,121.14,Computed using Tindak Malaysia's electoral boundary files
P. 22_S. 22,KELANTAN,P. 22,PASIR PUTEH,S. 22,PASIR PUTEH UTARA,112.44,Computed using Tindak Malaysia's electoral boundary files
P. 22_S. 23,KELANTAN,P. 22,PASIR PUTEH,S. 23,PASIR PUTEH TENGAH,119.78,Computed using Tindak Malaysia's electoral boundary files
P. 22_S. 24,KELANTAN,P. 22,PASIR PUTEH,S. 24,PASIR PUTEH TENGGARA,172.94,Computed using Tindak Malaysia's electoral boundary files
P. 23_S. 25,KELANTAN,P. 23,TANAH MERAH,S. 25,MACHANG UTARA,183.48,Computed using Tindak Malaysia's electoral boundary files
P. 23_S. 26,KELANTAN,P. 23,TANAH MERAH,S. 26,TANAH MERAH TIMOR,554.38,Computed using Tindak Malaysia's electoral boundary files
P. 23_S. 27,KELANTAN,P. 23,TANAH MERAH,S. 27,TANAH MERAH BARAT,967.98,Computed using Tindak Malaysia's electoral boundary files
P. 24_S. 28,KELANTAN,P. 24,ULU KELANTAN,S. 28,MACHANG SELATAN,336.91,Computed using Tindak Malaysia's electoral boundary files
P. 24_S. 29,KELANTAN,P. 24,ULU KELANTAN,S. 29,ULU KELANTAN TIMOR,4408.73,Computed using Tindak Malaysia's electoral boundary files
P. 24_S. 30,KELANTAN,P. 24,ULU KELANTAN,S. 30,ULU KELANTAN BARAT,6675.43,Computed using Tindak Malaysia's electoral boundary files
P. 25_S. 1,TRENGGANU,P. 25,BESUT,S. 1,KUALA BESUT,88.52,Computed using Tindak Malaysia's electoral boundary files
P. 25_S. 2,TRENGGANU,P. 25,BESUT,S. 2,KAMPONG RAJA,90.28,Computed using Tindak Malaysia's electoral boundary files
P. 25_S. 3,TRENGGANU,P. 25,BESUT,S. 3,ULU BESUT,840.49,Computed using Tindak Malaysia's electoral boundary files
P. 25_S. 4,TRENGGANU,P. 25,BESUT,S. 4,BESUT TENGAH,196.43,Computed using Tindak Malaysia's electoral boundary files
P. 25_S. 5,TRENGGANU,P. 25,BESUT,S. 5,SETIU,761.84,Computed using Tindak Malaysia's electoral boundary files
P. 26_S. 6,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,S. 6,BATU RAKIT,226.65,Computed using Tindak Malaysia's electoral boundary files
P. 26_S. 7,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,S. 7,KUALA NERUS,66.52,Computed using Tindak Malaysia's electoral boundary files
P. 26_S. 8,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,S. 8,JERAM,68.17,Computed using Tindak Malaysia's electoral boundary files
P. 26_S. 9,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,S. 9,LANGKAP,746.42,Computed using Tindak Malaysia's electoral boundary files
P. 27_S. 10,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,S. 10,BANDAR,8.71,Computed using Tindak Malaysia's electoral boundary files
P. 27_S. 11,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,S. 11,LADANG,8.51,Computed using Tindak Malaysia's electoral boundary files
P. 27_S. 12,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,S. 12,BUKIT BESAR,13.13,Computed using Tindak Malaysia's electoral boundary files
P. 27_S. 13,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,S. 13,BATU BUROK,29.56,Computed using Tindak Malaysia's electoral boundary files
P. 28_S. 14,TRENGGANU,P. 28,DUNGUN,S. 14,MARANG,579.67,Computed using Tindak Malaysia's electoral boundary files
P. 28_S. 15,TRENGGANU,P. 28,DUNGUN,S. 15,SURA,63.77,Computed using Tindak Malaysia's electoral boundary files
P. 28_S. 16,TRENGGANU,P. 28,DUNGUN,S. 16,ULU DUNGUN,680.33,Computed using Tindak Malaysia's electoral boundary files
P. 29_S. 17,TRENGGANU,P. 29,KEMAMAN,S. 17,PAKA KERTEH,2231.08,Computed using Tindak Malaysia's electoral boundary files
P. 29_S. 18,TRENGGANU,P. 29,KEMAMAN,S. 18,KEMAMAN UTARA,388.24,Computed using Tindak Malaysia's electoral boundary files
P. 29_S. 19,TRENGGANU,P. 29,KEMAMAN,S. 19,CHUKAI,6.29,Computed using Tindak Malaysia's electoral boundary files
P. 29_S. 20,TRENGGANU,P. 29,KEMAMAN,S. 20,KEMAMAN SELATAN,1889.23,Computed using Tindak Malaysia's electoral boundary files
P. 30_S. 21,TRENGGANU,P. 30,TRENGGANU TENGAH,S. 21,KUALA TRENGGANU TENGAH,47.62,Computed using Tindak Malaysia's electoral boundary files
P. 30_S. 22,TRENGGANU,P. 30,TRENGGANU TENGAH,S. 22,BINJAI,149.46,Computed using Tindak Malaysia's electoral boundary files
P. 30_S. 23,TRENGGANU,P. 30,TRENGGANU TENGAH,S. 23,ULU TRENGGANU TIMOR,273.84,Computed using Tindak Malaysia's electoral boundary files
P. 30_S. 24,TRENGGANU,P. 30,TRENGGANU TENGAH,S. 24,ULU TRENGGANU BARAT,3561.86,Computed using Tindak Malaysia's electoral boundary files
P. 31_S. 1,PENANG,P. 31,BAGAN,S. 1,BUTTERWORTH,7.63,Computed using Tindak Malaysia's electoral boundary files
P. 31_S. 2,PENANG,P. 31,BAGAN,S. 2,BAGAN AJAM,27.23,Computed using Tindak Malaysia's electoral boundary files
P. 32_S. 3,PENANG,P. 32,SEBERANG TENGAH,S. 3,PERMATANG PAUH,106.71,Computed using Tindak Malaysia's electoral boundary files
P. 32_S. 4,PENANG,P. 32,SEBERANG TENGAH,S. 4,BUKIT MERTAJAM,15.60,Computed using Tindak Malaysia's electoral boundary files
P. 32_S. 5,PENANG,P. 32,SEBERANG TENGAH,S. 5,ALMA,109.15,Computed using Tindak Malaysia's electoral boundary files
P. 33_S. 6,PENANG,P. 33,SEBERANG SELATAN,S. 6,SUNGEI BAKAP,156.88,Computed using Tindak Malaysia's electoral boundary files
P. 33_S. 7,PENANG,P. 33,SEBERANG SELATAN,S. 7,NIBONG TEBAL,83.55,Computed using Tindak Malaysia's electoral boundary files
P. 34_S. 8,PENANG,P. 34,PENANG UTARA,S. 8,KELAWAI,5.19,Computed using Tindak Malaysia's electoral boundary files
P. 34_S. 9,PENANG,P. 34,PENANG UTARA,S. 9,DHOBY GHAUT,8.50,Computed using Tindak Malaysia's electoral boundary files
P. 34_S. 10,PENANG,P. 34,PENANG UTARA,S. 10,TANJONG BUNGAH,87.11,Computed using Tindak Malaysia's electoral boundary files
P. 34_S. 11,PENANG,P. 34,PENANG UTARA,S. 11,AYER ITAM,34.97,Computed using Tindak Malaysia's electoral boundary files
P. 35_S. 12,PENANG,P. 35,PENANG SELATAN,S. 12,JELUTONG,3.80,Computed using Tindak Malaysia's electoral boundary files
P. 35_S. 13,PENANG,P. 35,PENANG SELATAN,S. 13,GLUGOR,40.38,Computed using Tindak Malaysia's electoral boundary files
P. 35_S. 14,PENANG,P. 35,PENANG SELATAN,S. 14,BALIK PULAU,47.37,Computed using Tindak Malaysia's electoral boundary files
P. 35_S. 15,PENANG,P. 35,PENANG SELATAN,S. 15,BAYAN LEPAS,58.04,Computed using Tindak Malaysia's electoral boundary files
P. 36_S. 16,PENANG,P. 36,TANJONG,S. 16,KOTA,0.87,Computed using Tindak Malaysia's electoral boundary files
P. 36_S. 17,PENANG,P. 36,TANJONG,S. 17,TANJONG TENGAH,0.56,Computed using Tindak Malaysia's electoral boundary files
P. 36_S. 18,PENANG,P. 36,TANJONG,S. 18,TANJONG UTARA,1.54,Computed using Tindak Malaysia's electoral boundary files
P. 37_S. 19,PENANG,P. 37,DATO KRAMAT,S. 19,TANJONG BARAT,0.95,Computed using Tindak Malaysia's electoral boundary files
P. 37_S. 20,PENANG,P. 37,DATO KRAMAT,S. 20,SUNGEI PINANG,1.86,Computed using Tindak Malaysia's electoral boundary files
P. 37_S. 21,PENANG,P. 37,DATO KRAMAT,S. 21,TANJONG SELATAN,0.54,Computed using Tindak Malaysia's electoral boundary files
P. 38_S. 22,PENANG,P. 38,SEBERANG UTARA,S. 22,MUDA,80.24,Computed using Tindak Malaysia's electoral boundary files
P. 38_S. 23,PENANG,P. 38,SEBERANG UTARA,S. 23,KEPALA BATAS,48.02,Computed using Tindak Malaysia's electoral boundary files
P. 38_S. 24,PENANG,P. 38,SEBERANG UTARA,S. 24,TASEK GLUGOR,104.57,Computed using Tindak Malaysia's electoral boundary files
P. 39_S. 1,PERAK,P. 39,ULU PERAK,S. 1,GRIK,5608.61,Computed using Tindak Malaysia's electoral boundary files
P. 39_S. 2,PERAK,P. 39,ULU PERAK,S. 2,LENGGONG,1118.34,Computed using Tindak Malaysia's electoral boundary files
P. 40_S. 3,PERAK,P. 40,LARUT UTARA,S. 3,SELAMA,743.79,Computed using Tindak Malaysia's electoral boundary files
P. 40_S. 4,PERAK,P. 40,LARUT UTARA,S. 4,LARUT,421.23,Computed using Tindak Malaysia's electoral boundary files
P. 41_S. 5,PERAK,P. 41,KRIAN LAUT,S. 5,PARIT BUNTAR,107.03,Computed using Tindak Malaysia's electoral boundary files
P. 41_S. 6,PERAK,P. 41,KRIAN LAUT,S. 6,KUALA KURAU,92.17,Computed using Tindak Malaysia's electoral boundary files
P. 42_S. 7,PERAK,P. 42,KRIAN DARAT,S. 7,BAGAN SERAI,211.12,Computed using Tindak Malaysia's electoral boundary files
P. 42_S. 8,PERAK,P. 42,KRIAN DARAT,S. 8,GUNONG SEMANGGOL,533.10,Computed using Tindak Malaysia's electoral boundary files
P. 43_S. 9,PERAK,P. 43,LARUT SELATAN,S. 9,TAIPING,59.13,Computed using Tindak Malaysia's electoral boundary files
P. 43_S. 10,PERAK,P. 43,LARUT SELATAN,S. 10,MATANG,420.56,Computed using Tindak Malaysia's electoral boundary files
P. 44_S. 11,PERAK,P. 44,HILIR PERAK,S. 11,SUNGEI MANIK,144.91,Computed using Tindak Malaysia's electoral boundary files
P. 44_S. 12,PERAK,P. 44,HILIR PERAK,S. 12,BANDAR,480.14,Computed using Tindak Malaysia's electoral boundary files
P. 45_S. 13,PERAK,P. 45,KUALA KANGSAR,S. 13,SENGGANG,486.31,Computed using Tindak Malaysia's electoral boundary files
P. 45_S. 14,PERAK,P. 45,KUALA KANGSAR,S. 14,PADANG RENGAS,377.54,Computed using Tindak Malaysia's electoral boundary files
P. 46_S. 15,PERAK,P. 46,SUNGEI SIPUT,S. 15,KARAI,1047.59,Computed using Tindak Malaysia's electoral boundary files
P. 46_S. 16,PERAK,P. 46,SUNGEI SIPUT,S. 16,JALONG,480.10,Computed using Tindak Malaysia's electoral boundary files
P. 47_S. 17,PERAK,P. 47,PARIT,S. 17,BLANJA,371.69,Computed using Tindak Malaysia's electoral boundary files
P. 47_S. 18,PERAK,P. 47,PARIT,S. 18,KAMPONG GAJAH,375.71,Computed using Tindak Malaysia's electoral boundary files
P. 48_S. 19,PERAK,P. 48,BRUAS,S. 19,PENGKALAN BHARU,631.05,Computed using Tindak Malaysia's electoral boundary files
P. 48_S. 20,PERAK,P. 48,BRUAS,S. 20,AYER TAWAR,473.90,Computed using Tindak Malaysia's electoral boundary files
P. 49_S. 21,PERAK,P. 49,SITIAWAN,S. 21,LEKIR,382.11,Computed using Tindak Malaysia's electoral boundary files
P. 49_S. 22,PERAK,P. 49,SITIAWAN,S. 22,LUMUT,202.95,Computed using Tindak Malaysia's electoral boundary files
P. 50_S. 23,PERAK,P. 50,IPOH,S. 23,PEKAN LAMA,22.35,Computed using Tindak Malaysia's electoral boundary files
P. 50_S. 24,PERAK,P. 50,IPOH,S. 24,PEKAN BHARU,16.34,Computed using Tindak Malaysia's electoral boundary files
P. 51_S. 25,PERAK,P. 51,MENGLEMBU,S. 25,PASIR PUTEH,28.44,Computed using Tindak Malaysia's electoral boundary files
P. 51_S. 26,PERAK,P. 51,MENGLEMBU,S. 26,KUALA PARI,15.48,Computed using Tindak Malaysia's electoral boundary files
P. 52_S. 27,PERAK,P. 52,ULU KINTA,S. 27,CHEMOR,322.75,Computed using Tindak Malaysia's electoral boundary files
P. 52_S. 28,PERAK,P. 52,ULU KINTA,S. 28,SUNGEI RAIA,539.10,Computed using Tindak Malaysia's electoral boundary files
P. 53_S. 29,PERAK,P. 53,BATU GAJAH,S. 29,TANJONG TUALANG,204.36,Computed using Tindak Malaysia's electoral boundary files
P. 53_S. 30,PERAK,P. 53,BATU GAJAH,S. 30,PUSING,146.30,Computed using Tindak Malaysia's electoral boundary files
P. 54_S. 31,PERAK,P. 54,KAMPAR,S. 31,GOPENG,409.10,Computed using Tindak Malaysia's electoral boundary files
P. 54_S. 32,PERAK,P. 54,KAMPAR,S. 32,KUALA DIPANG,265.91,Computed using Tindak Malaysia's electoral boundary files
P. 55_S. 33,PERAK,P. 55,TANJONG MALIM,S. 33,BIDOR,772.68,Computed using Tindak Malaysia's electoral boundary files
P. 55_S. 34,PERAK,P. 55,TANJONG MALIM,S. 34,SLIM,1082.19,Computed using Tindak Malaysia's electoral boundary files
P. 56_S. 35,PERAK,P. 56,TELOK ANSON,S. 35,BATAK RABIT,500.31,Computed using Tindak Malaysia's electoral boundary files
P. 56_S. 36,PERAK,P. 56,TELOK ANSON,S. 36,PASIR BEDAMAR,90.58,Computed using Tindak Malaysia's electoral boundary files
P. 57_S. 37,PERAK,P. 57,BAGAN DATOH,S. 37,RUNGKUP,300.04,Computed using Tindak Malaysia's electoral boundary files
P. 57_S. 38,PERAK,P. 57,BAGAN DATOH,S. 38,HUTAN MELINTANG,596.78,Computed using Tindak Malaysia's electoral boundary files
P. 58_S. 39,PERAK,P. 58,BATANG PADANG,S. 39,TAPAH ROAD,702.22,Computed using Tindak Malaysia's electoral boundary files
P. 58_S. 40,PERAK,P. 58,BATANG PADANG,S. 40,TAPAH,177.90,Computed using Tindak Malaysia's electoral boundary files
P. 59_S. 1,PAHANG,P. 59,RAUB,S. 1,CAMERON HIGHLANDS,696.29,Computed using Tindak Malaysia's electoral boundary files
P. 59_S. 2,PAHANG,P. 59,RAUB,S. 2,DONG,3326.39,Computed using Tindak Malaysia's electoral boundary files
P. 59_S. 3,PAHANG,P. 59,RAUB,S. 3,BANDAR RAUB,10.11,Computed using Tindak Malaysia's electoral boundary files
P. 59_S. 4,PAHANG,P. 59,RAUB,S. 4,TRAS,984.80,Computed using Tindak Malaysia's electoral boundary files
P. 60_S. 5,PAHANG,P. 60,BENTONG,S. 5,SABAI,1132.12,Computed using Tindak Malaysia's electoral boundary files
P. 60_S. 6,PAHANG,P. 60,BENTONG,S. 6,BANDAR BENTONG,264.66,Computed using Tindak Malaysia's electoral boundary files
P. 60_S. 7,PAHANG,P. 60,BENTONG,S. 7,BENUS,427.61,Computed using Tindak Malaysia's electoral boundary files
P. 60_S. 8,PAHANG,P. 60,BENTONG,S. 8,MENTAKAB,841.37,Computed using Tindak Malaysia's electoral boundary files
P. 61_S. 9,PAHANG,P. 61,KUANTAN,S. 9,TANAH PUTEH,11.40,Computed using Tindak Malaysia's electoral boundary files
P. 61_S. 10,PAHANG,P. 61,KUANTAN,S. 10,TELOK SISEK,49.87,Computed using Tindak Malaysia's electoral boundary files
P. 61_S. 11,PAHANG,P. 61,KUANTAN,S. 11,BESERAH,546.60,Computed using Tindak Malaysia's electoral boundary files
P. 61_S. 12,PAHANG,P. 61,KUANTAN,S. 12,ULU KUANTAN,2138.83,Computed using Tindak Malaysia's electoral boundary files
P. 62_S. 13,PAHANG,P. 62,PEKAN,S. 13,KUALA PAHANG,478.67,Computed using Tindak Malaysia's electoral boundary files
P. 62_S. 14,PAHANG,P. 62,PEKAN,S. 14,PAHANG TUA,2331.24,Computed using Tindak Malaysia's electoral boundary files
P. 62_S. 15,PAHANG,P. 62,PEKAN,S. 15,ROMPIN,7110.01,Computed using Tindak Malaysia's electoral boundary files
P. 63_S. 16,PAHANG,P. 63,TEMERLOH,S. 16,CHENOR,2949.30,Computed using Tindak Malaysia's electoral boundary files
P. 63_S. 17,PAHANG,P. 63,TEMERLOH,S. 17,TRIANG,535.71,Computed using Tindak Malaysia's electoral boundary files
P. 63_S. 18,PAHANG,P. 63,TEMERLOH,S. 18,KUALA SEMANTAN,293.28,Computed using Tindak Malaysia's electoral boundary files
P. 63_S. 19,PAHANG,P. 63,TEMERLOH,S. 19,JENDERAK,923.51,Computed using Tindak Malaysia's electoral boundary files
P. 63_S. 20,PAHANG,P. 63,TEMERLOH,S. 20,SANGGANG,262.91,Computed using Tindak Malaysia's electoral boundary files
P. 64_S. 21,PAHANG,P. 64,LIPIS,S. 21,JELAI,3996.21,Computed using Tindak Malaysia's electoral boundary files
P. 64_S. 22,PAHANG,P. 64,LIPIS,S. 22,KUALA LIPIS,279.47,Computed using Tindak Malaysia's electoral boundary files
P. 64_S. 23,PAHANG,P. 64,LIPIS,S. 23,TANJONG BESAR,902.82,Computed using Tindak Malaysia's electoral boundary files
P. 64_S. 24,PAHANG,P. 64,LIPIS,S. 24,JERANTUT,5532.16,Computed using Tindak Malaysia's electoral boundary files
P. 65_S. 1,SELANGOR,P. 65,KUALA SELANGOR,S. 1,TANJONG KARANG,699.99,Computed using Tindak Malaysia's electoral boundary files
P. 65_S. 2,SELANGOR,P. 65,KUALA SELANGOR,S. 2,KUALA SELANGOR PEKAN,406.11,Computed using Tindak Malaysia's electoral boundary files
P. 66_S. 3,SELANGOR,P. 66,BATU,S. 3,KEPONG,178.54,Computed using Tindak Malaysia's electoral boundary files
P. 66_S. 4,SELANGOR,P. 66,BATU,S. 4,PENCHALA,48.42,Computed using Tindak Malaysia's electoral boundary files
P. 67_S. 5,SELANGOR,P. 67,KAPAR,S. 5,JERAM,211.59,Computed using Tindak Malaysia's electoral boundary files
P. 67_S. 6,SELANGOR,P. 67,KAPAR,S. 6,SEMENTA,153.23,Computed using Tindak Malaysia's electoral boundary files
P. 68_S. 7,SELANGOR,P. 68,RAWANG,S. 7,SERENDAH,545.29,Computed using Tindak Malaysia's electoral boundary files
P. 68_S. 8,SELANGOR,P. 68,RAWANG,S. 8,KUANG,235.38,Computed using Tindak Malaysia's electoral boundary files
P. 69_S. 9,SELANGOR,P. 69,LANGAT,S. 9,KAJANG,395.11,Computed using Tindak Malaysia's electoral boundary files
P. 69_S. 10,SELANGOR,P. 69,LANGAT,S. 10,SEMENYIH,387.88,Computed using Tindak Malaysia's electoral boundary files
P. 70_S. 11,SELANGOR,P. 70,SETAPAK,S. 11,AMPANG,268.47,Computed using Tindak Malaysia's electoral boundary files
P. 70_S. 12,SELANGOR,P. 70,SETAPAK,S. 12,SENTUL,39.97,Computed using Tindak Malaysia's electoral boundary files
P. 71_S. 13,SELANGOR,P. 71,BUNGSAR,S. 13,PANTAI,44.66,Computed using Tindak Malaysia's electoral boundary files
P. 71_S. 14,SELANGOR,P. 71,BUNGSAR,S. 14,SALAK,17.45,Computed using Tindak Malaysia's electoral boundary files
P. 72_S. 15,SELANGOR,P. 72,BUKIT BINTANG,S. 15,BUKIT NANAS,13.03,Computed using Tindak Malaysia's electoral boundary files
P. 72_S. 16,SELANGOR,P. 72,BUKIT BINTANG,S. 16,KAMPONG BAHRU,5.98,Computed using Tindak Malaysia's electoral boundary files
P. 73_S. 17,SELANGOR,P. 73,DAMANSARA,S. 17,SERDANG,209.89,Computed using Tindak Malaysia's electoral boundary files
