UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE GENDER,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE GENDER,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE GENDER,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
,SELANGOR,,BUKIT BINTANG,,ALLIANCE - MCA,33636,2440,65.70%,22100,,676,21424,MCA,TAN TOH HOONG,MALE,,9107,,LPM,ISHAK BIN MOHAMMAD,MALE,,5000,,PMIP,ABDUL AZIZ BIN ISMAIL,MALE,,650,LOST DEPOSIT,,,,,,,,,,,,,PAP,WONG LIN KEN,MALE,,6667,,,,,,,,,,,,,
,SELANGOR,,DAMANSARA,,ALLIANCE - MCA,30056,546,72.52%,21797,,856,20941,MCA,MICHAEL CHEN WING SUM,MALE,32,9148,,LPM,TAN KAI HEE,MALE,,8602,,,,,,,,,,,,,,,,,,,,PAP,LAM KHUAN KIT,MALE,,3191,,,,,,,,,,,,,
,SELANGOR,,KLANG,,ALLIANCE - MIC,30158,6099,76.21%,22984,,1029,21955,MIC,V. MANICKAVASAGAM PILLAI,MALE,38,14027,,LPM,S. S. NAYAGAM,MALE,,7928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,KUALA LANGAT,,ALLIANCE - UMNO,21105,3797,80.16%,16918,,1035,15883,UMNO,MOHAMED TAHIR BIN ABDUL MAJID,MALE,,9840,,NCP,ABDUL AZIZ BIN ISHAK,MALE,50,6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,SEPANG,,ALLIANCE - MCA,18581,4009,83.41%,15499,,632,14867,MCA,LEE SIOK YEW,MALE,40,9438,,LPM,LIM TUAN SEONG,MALE,,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,SABAK BERNAM,,ALLIANCE - UMNO,22367,7682,73.74%,16493,,1431,15062,UMNO,MUSTAPHA BIN ABDUL JABAR,MALE,,11372,,,,,,,,PMIP,ARRIFIN BIN AYOB,MALE,,3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,,ULU SELANGOR,,ALLIANCE - MCA,17750,5213,80.72%,14328,,717,13611,MCA,KHAW KAI BOH,MALE,48,9412,,PRM,MOHAMED NAZAR BIN NONG,MALE,,4199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGERI SEMBILAN,,KUALA PILAH,,ALLIANCE - UMNO,26135,11374,82.35%,21522,,1282,20240,UMNO,BAHAMAN BIN SAMSUDIN,MALE,58,14842,,PRM,JA'ALAM BIN OTHMAN,MALE,,3468,,,,,,,,UDP,AHMAD BIN JONES,MALE,,1930,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,NEGERI SEMBILAN,,SEREMBAN TIMOR,,ALLIANCE - MCA,29004,4194,77.40%,22450,,642,21808,MCA,QUEK KAI DONG,MALE,,9604,,LPM,LIM KEE SAI,MALE,,5124,,,,,,,,UDP,FRANCIS KONG LUN KING,MALE,,1670,LOST DEPOSIT,,,,,,,PAP,LAU KIT SUN,MALE,,5410,,,,,,,,,,,,,
,NEGERI SEMBILAN,,REMBAU-TAMPIN,,ALLIANCE - UMNO,22987,8254,82.10%,18872,,759,18113,UMNO,REDZA BIN MOHAMED SAID,MALE,,11837,,PRM,ADBUL RAHMAN BIN MOHAMED,MALE,,3583,,,,,,,,UDP,BABA BIN LUDEK,MALE,,2693,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGERI SEMBILAN,,PORT DICKSON,,ALLIANCE - MIC,22083,5737,78.12%,17251,,1219,16032,MIC,MAHIMA SINGH THALIWAL KARAM SINGH,MALE,58,7911,,LPM,R. MURUGAN,MALE,,2020,,,,,,,,UDP,NG HUP CHWEE,MALE,,2174,,PPP,IRBAHIM BIN AHMAD,MALE,,1349,LOST DEPOSIT,,,,,,,INDEPENDENT,NADCHATIRAM SARASWATHY DEVI,FEMALE,,2074,,INDEPENDENT,ONG BOON HONG,MALE,,504,LOST DEPOSIT
,NEGERI SEMBILAN,,JELEBU-JEMPOL,,ALLIANCE - UMNO,27147,8897,81.26%,22060,,946,21114,UMNO,MOHAMED IDRIS BIN MATSIL,MALE,,14498,,LPM,TAN BENG SOO,MALE,,5601,,,,,,,,UDP,ABDUL RAZAK BIN JUNID,MALE,,1015,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,NEGERI SEMBILAN,,SEREMBAN BARAT,,ALLIANCE - MCA,24758,3475,78.99%,19556,,700,18856,MCA,SIOW LOONG HIN,MALE,,10163,,LPM,KOO ENG KHUAN,MALE,,6688,,,,,,,,UDP,OH SIEW KHENG,MALE,,2005,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,MELAKA,,MALACCA TENGAH,,ALLIANCE - MCA,30569,13327,84.29%,25766,,721,25045,MCA,TAN SIEW SIN,MALE,48,18568,,PRM,HASNUL BIN ABDUL HADI,MALE,,5241,,PMIP,MOHAMED KAMAL BIN SUDIN,MALE,,1236,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MELAKA,,BANDAR MALACCA,,ALLIANCE - MCA,33148,3131,85.60%,28375,,467,27908,MCA,TAN KEE GAK,MALE,,13789,,LPM,YEOH HO HUAT,MALE,,10658,,,,,,,,,,,,,,,,,,,,PAP,CHUA SIAN CHUN,MALE,,3461,LOST DEPOSIT,,,,,,,,,,,,
,MELAKA,,MALACCA UTARA,,ALLIANCE - UMNO,29443,12463,83.92%,24709,,865,23844,UMNO,ABDUL GHANI BIN ISHAK,MALE,,16892,,PRM,SULAIMAN BIN MOHAMED ATAS,MALE,,4429,,PMIP,MOHAMED YUSOF BIN SULONG,MALE,,2523,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MELAKA,,MALACCA SELATAN,,ALLIANCE - UMNO,32425,11499,83.08%,26938,,1139,25799,UMNO,ABDUL KARIM BIN ABU,MALE,,18649,,PRM,JA'AFAR BIN MOHD TAN,MALE,,7150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,MUAR DALAM,,ALLIANCE - UMNO,22723,12551,82.56%,18759,,540,18219,UMNO,AZIZ BIN ISHAK,MALE,,15385,,PRM,MOHAMMED DALI BIN OTHMAN,MALE,,2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,SEGAMAT SELATAN,,ALLIANCE - MCA,22678,6399,82.43%,18693,,763,17930,MCA,LEE SAN CHOON,MALE,29,11355,,LPM,CHIU SIU MENG,MALE,,4956,,,,,,,,UDP,TAN LUAN HONG,MALE,,1619,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,MUAR PANTAI,,ALLIANCE - MCA,30116,10441,77.02%,23196,,481,22715,MCA,SEAH TENG NGAIB,MALE,,16578,,LPM,LEE BOON PIN,MALE,,6137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,MUAR SELATAN,Y,ALLIANCE - UMNO,30123,,0.00%,0,,,0,UMNO,AWANG BIN HASSAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,BATU PAHAT,,ALLIANCE - MCA,25358,6858,82.91%,21024,,450,20574,MCA,SOH AH TECK,MALE,,12505,,LPM,NG JIN LAM,,,5647,,,,,,,,UDP,TAN SEOW KIEW,MALE,,2422,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,BATU PAHAT DALAM,,ALLIANCE - UMNO,28465,14169,79.89%,22741,,2460,20281,UMNO,SYED ESA BIN SYED ALWEE,MALE,,17225,,,,,,,,,,,,,,UDP,SAKRONI BIN AHMAD,MALE,,3056,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,KLUANG UTARA,,ALLIANCE - MCA,21731,2464,81.04%,17611,,523,17088,MCA,TIAH ENG BEE,MALE,,9138,,LPM,LEE AH LENG,,,6674,,,,,,,,,,,,,,,,,,,,PAP,LAI THA CHAI,MALE,,1276,LOST DEPOSIT,,,,,,,,,,,,
,JOHOR,,JOHORE TENGGARA,Y,ALLIANCE - UMNO,12854,,0.00%,0,,,0,UMNO,SYED JA'AFAR BIN HASAN ALBAR,MALE,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,PONTIAN UTARA,,ALLIANCE - UMNO,26098,13762,81.69%,21320,,2030,19290,UMNO,SARDON BIN JUBIR,MALE,47,16526,,,,,,,,PMIP,ABDUL JAMIL BIN SULEIMAN,MALE,,2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,PONTIAN SELATAN,,ALLIANCE - UMNO,24569,7849,82.36%,20234,,565,19669,UMNO,ALI BIN AHMAD,MALE,34,13759,,LPM,TAN TAI CHEE,,,5910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,KLUANG SELATAN,,ALLIANCE - MCA,23158,5492,81.88%,18961,,601,18360,MCA,CHAN CHONG WEN,MALE,,11926,,LPM,HON KIN SIONG,,,6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,JOHORE BAHRU TIMOR,,ALLIANCE - UMNO,24735,7257,78.46%,19406,,730,18676,UMNO,FATIMAH BINTI ABDUL MAJID,FEMALE,,12600,,LPM,TAN AH NGOH,FEMALE,26,5343,,,,,,,,,,,,,,,,,,,,PAP,MOHAMED NOOR BIN JETTEY,MALE,,733,LOST DEPOSIT,,,,,,,,,,,,
,JOHOR,,JOHORE BAHRU BARAT,,ALLIANCE - UMNO,22493,6926,77.91%,17525,,560,16965,UMNO,RAHMAT BIN DAUD,MALE,,11722,,LPM,LIM LEE KOON,,,4796,,,,,,,,,,,,,,,,,,,,PAP,LIANG TECK SUM,MALE,,447,LOST DEPOSIT,,,,,,,,,,,,
,JOHOR,,JOHORE TIMOR,,ALLIANCE - UMNO,14938,9422,80.31%,11996,,756,11240,UMNO,ISMAIL BIN ABDUL RAHMAN,MALE,49,10331,,,,,,,,PMIP,KHADIJAH BINTI MOHAMED SIDIK,FEMALE,,909,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,SEGAMAT UTARA,,ALLIANCE - UMNO,20273,4975,85.88%,17411,,549,16862,UMNO,ABDULLAH BIN MOHD SALLEH,MALE,,9646,,LPM,PANG LEE SENG,,,4671,,,,,,,,UDP,LIM MENG SEE,MALE,,2545,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHOR,,MUAR UTARA,,ALLIANCE - UMNO,27024,12841,79.80%,21566,,973,20593,UMNO,AHMAD BIN ARSHAD,MALE,,16717,,PRM,ABDUL HAMID BIN HASSAN,MALE,,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
