UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.20_NO. 15,PERAK,P.20,SITIAWAN,NO. 15,LEKIR,382.11,Computed using Tindak Malaysia's electoral boundary files
P.20_NO. 16,PERAK,P.20,SITIAWAN,NO. 16,LUMUT,202.95,Computed using Tindak Malaysia's electoral boundary files
P.21_NO. 17,PERAK,P.21,ULU PERAK,NO. 17,GRIK,5608.61,Computed using Tindak Malaysia's electoral boundary files
P.21_NO. 18,PERAK,P.21,ULU PERAK,NO. 18,LENGGONG,1118.34,Computed using Tindak Malaysia's electoral boundary files
P.22_NO. 19,PERAK,P.22,KUALA KANGSAR,NO. 19,SENGGANG,486.31,Computed using Tindak Malaysia's electoral boundary files
P.22_NO. 20,PERAK,P.22,KUALA KANGSAR,NO. 20,PADANG RENGAS,377.54,Computed using Tindak Malaysia's electoral boundary files
P.23_NO. 21,PERAK,P.23,PARIT,NO. 21,BLANJA,371.69,Computed using Tindak Malaysia's electoral boundary files
P.23_NO. 22,PERAK,P.23,PARIT,NO. 22,KAMPONG GAJAH,375.71,Computed using Tindak Malaysia's electoral boundary files
P.24_NO. 23,PERAK,P.24,HILIR PERAK,NO. 23,SUNGEI MANIK,144.91,Computed using Tindak Malaysia's electoral boundary files
P.24_NO. 24,PERAK,P.24,HILIR PERAK,NO. 24,BANDAR,480.14,Computed using Tindak Malaysia's electoral boundary files
P.25_NO. 25,PERAK,P.25,BAGAN DATOH,NO. 25,RUNGKUP,300.04,Computed using Tindak Malaysia's electoral boundary files
P.25_NO. 26,PERAK,P.25,BAGAN DATOH,NO. 26,HUTAN MELINTANG,596.78,Computed using Tindak Malaysia's electoral boundary files
P.26_NO. 27,PERAK,P.26,TELOK ANSON,NO. 27,BATAK RABIT,500.31,Computed using Tindak Malaysia's electoral boundary files
P.26_NO. 28,PERAK,P.26,TELOK ANSON,NO. 28,PASIR BEDAMAR,90.58,Computed using Tindak Malaysia's electoral boundary files
P.27_NO. 29,PERAK,P.27,IPOH,NO. 29,PEKAN LAMA,22.35,Computed using Tindak Malaysia's electoral boundary files
P.27_NO. 30,PERAK,P.27,IPOH,NO. 30,PEKAN BHARU,16.34,Computed using Tindak Malaysia's electoral boundary files
P.28_NO. 31,PERAK,P.28,MENGLEMBU,NO. 31,PASIR PUTEH,28.44,Computed using Tindak Malaysia's electoral boundary files
P.28_NO. 32,PERAK,P.28,MENGLEMBU,NO. 32,KUALA PARI,15.48,Computed using Tindak Malaysia's electoral boundary files
P.29_NO. 33,PERAK,P.29,SUNGEI SIPUT,NO. 33,KARAI,1047.59,Computed using Tindak Malaysia's electoral boundary files
P.29_NO. 34,PERAK,P.29,SUNGEI SIPUT,NO. 34,JALONG,480.1,Computed using Tindak Malaysia's electoral boundary files
P.30_NO. 35,PERAK,P.30,ULU KINTA,NO. 35,CHEMOR,322.75,Computed using Tindak Malaysia's electoral boundary files
P.30_NO. 36,PERAK,P.30,ULU KINTA,NO. 36,SUNGEI RAIA,539.1,Computed using Tindak Malaysia's electoral boundary files
P.31_NO. 37,PERAK,P.31,BATU GAJAH,NO. 37,TANJONG TUALANG,204.36,Computed using Tindak Malaysia's electoral boundary files
P.31_NO. 38,PERAK,P.31,BATU GAJAH,NO. 38,PUSING,146.3,Computed using Tindak Malaysia's electoral boundary files
P.32_NO. 39,PERAK,P.32,KAMPAR,NO. 39,GOPENG,409.1,Computed using Tindak Malaysia's electoral boundary files
P.32_NO. 40,PERAK,P.32,KAMPAR,NO. 40,KUALA DIPANG,265.91,Computed using Tindak Malaysia's electoral boundary files
P.33_NO. 1,SELANGOR,P.33,BATU,NO. 1,KEPONG,178.54,Computed using Tindak Malaysia's electoral boundary files
P.33_NO. 2,SELANGOR,P.33,BATU,NO. 2,PENCHALA,48.42,Computed using Tindak Malaysia's electoral boundary files
P.34_NO. 3,SELANGOR,P.34,BUNGSAR,NO. 3,PANTAI,44.66,Computed using Tindak Malaysia's electoral boundary files
P.34_NO. 4,SELANGOR,P.34,BUNGSAR,NO. 4,SALAK,17.45,Computed using Tindak Malaysia's electoral boundary files
P.35_NO. 5,SELANGOR,P.35,BUKIT BINTANG,NO. 5,BUKIT NANAS,13.03,Computed using Tindak Malaysia's electoral boundary files
P.35_NO. 6,SELANGOR,P.35,BUKIT BINTANG,NO. 6,KAMPONG BAHRU,5.98,Computed using Tindak Malaysia's electoral boundary files
P.36_NO. 7,SELANGOR,P.36,SETAPAK,NO. 7,AMPANG,268.47,Computed using Tindak Malaysia's electoral boundary files
P.36_NO. 8,SELANGOR,P.36,SETAPAK,NO. 8,SENTUL,39.97,Computed using Tindak Malaysia's electoral boundary files
P.37_NO. 9,SELANGOR,P.37,ULU SELANGOR,NO. 9,ULU BERNAM,944.36,Computed using Tindak Malaysia's electoral boundary files
P.37_NO. 10,SELANGOR,P.37,ULU SELANGOR,NO. 10,KUALA KUBU,613.99,Computed using Tindak Malaysia's electoral boundary files
P.38_NO. 11,SELANGOR,P.38,RAWANG,NO. 11,SERENDAH,545.29,Computed using Tindak Malaysia's electoral boundary files
P.38_NO. 12,SELANGOR,P.38,RAWANG,NO. 12,KUANG,235.38,Computed using Tindak Malaysia's electoral boundary files
P.39_NO. 13,SELANGOR,P.39,SABAK BERNAM,NO. 13,SABAK,255.05,Computed using Tindak Malaysia's electoral boundary files
P.39_NO. 14,SELANGOR,P.39,SABAK BERNAM,NO. 14,SUNGEI BESAR,482.05,Computed using Tindak Malaysia's electoral boundary files
P.40_NO. 15,SELANGOR,P.40,KUALA SELANGOR,NO. 15,TANJONG KARANG,699.99,Computed using Tindak Malaysia's electoral boundary files
P.40_NO. 16,SELANGOR,P.40,KUALA SELANGOR,NO. 16,KUALA SELANGOR PEKAN,406.11,Computed using Tindak Malaysia's electoral boundary files
P.41_NO. 17,SELANGOR,P.41,LANGAT,NO. 17,KAJANG,395.11,Computed using Tindak Malaysia's electoral boundary files
P.41_NO. 18,SELANGOR,P.41,LANGAT,NO. 18,SEMENYIH,387.88,Computed using Tindak Malaysia's electoral boundary files
P.42_NO. 19,SELANGOR,P.42,SEPANG,NO. 19,DENGKIL,455.65,Computed using Tindak Malaysia's electoral boundary files
P.42_NO. 20,SELANGOR,P.42,SEPANG,NO. 20,SUNGEI RAWANG,345.59,Computed using Tindak Malaysia's electoral boundary files
P.43_NO. 21,SELANGOR,P.43,KLANG,NO. 21,PORT SWETTENHAM,404.53,Computed using Tindak Malaysia's electoral boundary files
P.43_NO. 22,SELANGOR,P.43,KLANG,NO. 22,KAMPONG JAWA,175.08,Computed using Tindak Malaysia's electoral boundary files
P.44_NO. 23,SELANGOR,P.44,KUALA LANGAT,NO. 23,TELOK DATOH,309.9,Computed using Tindak Malaysia's electoral boundary files
P.44_NO. 24,SELANGOR,P.44,KUALA LANGAT,NO. 24,MORIB,212.12,Computed using Tindak Malaysia's electoral boundary files
P.45_NO. 25,SELANGOR,P.45,KAPAR,NO. 25,JERAM,211.59,Computed using Tindak Malaysia's electoral boundary files
P.45_NO. 26,SELANGOR,P.45,KAPAR,NO. 26,SEMENTA,153.23,Computed using Tindak Malaysia's electoral boundary files
P.46_NO. 27,SELANGOR,P.46,DAMANSARA,NO. 27,SERDANG,209.89,Computed using Tindak Malaysia's electoral boundary files
P.46_NO. 28,SELANGOR,P.46,DAMANSARA,NO. 28,BUKIT RAJA,189.03,Computed using Tindak Malaysia's electoral boundary files
P.47_NO. 1,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 1,KUALA KLAWANG,731.48,Computed using Tindak Malaysia's electoral boundary files
P.47_NO. 2,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 2,PERTANG,619.01,Computed using Tindak Malaysia's electoral boundary files
P.47_NO. 3,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 3,BAHAU,555.71,Computed using Tindak Malaysia's electoral boundary files
P.47_NO. 4,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 4,ROMPIN,939.54,Computed using Tindak Malaysia's electoral boundary files
P.47_NO. 5,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 5,JEMPOL,137.09,Computed using Tindak Malaysia's electoral boundary files
P.48_NO. 6,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 6,SRI MENANTI,312.8,Computed using Tindak Malaysia's electoral boundary files
P.48_NO. 7,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 7,JOHOL,326.78,Computed using Tindak Malaysia's electoral boundary files
P.48_NO. 8,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 8,ULU MUAR,206.31,Computed using Tindak Malaysia's electoral boundary files
P.48_NO. 9,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 9,PILAH,38.87,Computed using Tindak Malaysia's electoral boundary files
P.49_NO. 10,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 10,JIMAH,167.68,Computed using Tindak Malaysia's electoral boundary files
