UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,UNCONTESTED VICTORY,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.49_NO. 11,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 11,LUKUT,,ALLIANCE - MCA,1573,186,87.35%,1374,,40,1334,MCA,CHIN SEE YIN,MALE,,760,,LPM,G. K. KATHIRAVALU,MALE,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.49_NO. 12,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 12,SI-RUSA,,ALLIANCE - UMNO,4535,1866,78.21%,3547,,100,3447,UMNO,AWALUDIN BIN HAJI AHMAD,MALE,,2359,,,,,,,,PMIP,MOHD. SALLEH BIN HAJI AHMAD,MALE,,467,,,,,,,,NEGARA,HAJI MOHD. TAHIR BIN DATO' ABD. RAHMAN,MALE,,128,LOST DEPOSIT,INDEPENDENT,CHEW TOH SENG,MALE,,493,,,,,,,
P.49_NO. 13,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 13,PASIR PANJANG,,ALLIANCE - MIC,3811,796,84.52%,3221,,81,3140,MIC,M. MUTHUCUMARU,MALE,,1581,,,,,,,,PMIP,MOHD. MARZUKI BIN HAJI DIN,MALE,,263,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,MD. NOR BIN ABD. HAMID,MALE,,785,,INDEPENDENT,CHEAH YEN KWEE,MALE,,511,
P.49_NO. 14,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 14,LINGGI,,ALLIANCE - UMNO,2617,555,83.53%,2186,,55,2131,UMNO,DR. MOHAMED SAID,MALE,52,1193,,,,,,,,,,,,,,,,,,,,NEGARA,TENGKU SYED HARUN BIN TUNGKU HASSAN,MALE,,300,,INDEPENDENT,TEH SENG SUM,MALE,,638,,,,,,,
P.50_NO. 15,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 15,TERENTANG,,ALLIANCE - UMNO,4506,522,81.25%,3661,,76,3585,UMNO,SITI RAHMAH BINTI HJ.KASSIM,FEMALE,33,1617,,,,,,,,PMIP,FATIMAH BINTI HJ. BAHARI,FEMALE,,205,LOST DEPOSIT,,,,,,,NEGARA,ALIAS BIN ABD. RAHMAN,MALE,,1095,,INDEPENDENT,MOHD. NOOR BIN HAJI AHMAD,MALE,,668,,,,,,,
P.50_NO. 16,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 16,KOTA,,ALLIANCE - UMNO,5321,405,83.63%,4450,,75,4375,UMNO,MOHD. YUSOF BIN ABDULLAH,MALE,,2320,,,,,,,,PMIP,NOORDIN BIN ABDUL SAMAD,MALE,,140,LOST DEPOSIT,,,,,,,NEGARA,BABA BIN LUDEK,MALE,,1915,,,,,,,,,,,,,
P.50_NO. 17,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 17,TAMPIN,,ALLIANCE - UMNO,4760,1957,83.03%,3952,,76,3876,UMNO,MD. TAHA BIN ABD. TALIB,MALE,,2830,,LPM,CHONG SE HOCK,MALE,,873,,PMIP,ABDUL MANAP BIN HUSSIN,MALE,,173,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.50_NO. 18,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 18,GEMAS,,ALLIANCE - MCA,3984,540,82.76%,3297,,69,3228,MCA,FONG YEW WONG,MALE,,1742,,LPM,TAN KIM GEOK,MALE,,1202,,PMIP,DERAJI BIN YASSIN,MALE,,284,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.51_NO. 19,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 19,LENGGENG,,ALLIANCE - UMNO,5838,1382,80.46%,4697,,215,4482,UMNO,ABDUL JALIL BIN HAJI AMINUDIN,MALE,,2494,,PRM,MOHD. AMIN BIN RASHID,MALE,,1112,,PMIP,ISMAIL BIN TAMIN,MALE,,842,,,,,,,,,,,,,,INDEPENDENT,JOSEPH SIOW LOONG HIN,MALE,,34,,,,,,,
P.51_NO. 20,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 20,LABU,,SF - LPM,4067,874,84.95%,3455,,83,3372,UMNO,MOHD. YUSOF BIN LATEH,MALE,,1014,,LPM,S. SATHAPPAN,MALE,,1888,,PMIP,OTHMAN BIN MD. ATAS,MALE,,413,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,DATO' ABDUL JALIL BIN HAJI OSMAN,MALE,,57,,,,,,,
