UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.15_NO. 6,PERAK,P.15,BATANG PADANG,NO. 6,TAPAH,ALLIANCE - MCA,THUM YENG YONG,MALE,52,
P.16_NO. 7,PERAK,P.16,TANJONG MALIM,NO. 7,BIDOR,ALLIANCE - MIC,PONNUSAMY PILLAI S/O VYAYAPURI PILLAI,MALE,37,
P.16_NO. 8,PERAK,P.16,TANJONG MALIM,NO. 8,SLIM,ALLIANCE - UMNO,YANG ABDUL RASHID BIN ABD. WAHAB,MALE,52,
P.17_NO. 9,PERAK,P.17,LARUT UTARA,NO. 9,SELAMA,ALLIANCE - UMNO,HAJI HUSSIN BIN HAJI YAACOB,MALE,44,
P.17_NO. 10,PERAK,P.17,LARUT UTARA,NO. 10,LARUT,ALLIANCE - UMNO,KAMARUDDIN BIN MD. ISA,MALE,30,
P.18_NO. 11,PERAK,P.18,LARUT SELATAN,NO. 11,TAIPING,ALLIANCE - MCA,GOH CHOK SAM,MALE,,
P.18_NO. 12,PERAK,P.18,LARUT SELATAN,NO. 12,MATANG,ALLIANCE - UMNO,OTHMAN BIN WAN OMAR,MALE,,
P.19_NO. 13,PERAK,P.19,BRUAS,NO. 13,PENGKALAN BHARU,ALLIANCE - UMNO,HAJI ISHAK BIN HAJI MOHAMED,MALE,,
P.19_NO. 14,PERAK,P.19,BRUAS,NO. 14,AYER TAWAR,ALLIANCE - MCA,LEE KHING HOE,MALE,,
P.20_NO. 15,PERAK,P.20,SITIAWAN,NO. 15,LEKIR,ALLIANCE - MCA,WONG TING SENG,MALE,,
P.20_NO. 16,PERAK,P.20,SITIAWAN,NO. 16,LUMUT,ALLIANCE - MCA,LIEW WHY HONE,MALE,43,
P.21_NO. 17,PERAK,P.21,ULU PERAK,NO. 17,GRIK,ALLIANCE - UMNO,MOHAMED GHAZALI BIN HAJI JAWI,MALE,,
P.21_NO. 18,PERAK,P.21,ULU PERAK,NO. 18,LENGGONG,ALLIANCE - UMNO,AHMAD BIN SAID,MALE,,
