UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.8_NO. 23,PENANG,P.8,PENANG SELATAN,NO. 23,BALIK PULAU,ALLIANCE - UMNO,,5740,490,76.5,4391,58,4333,UMNO,HAJI HASSAN,MALE,60,1892,,LPM,TH'NG ANG WAH,MALE,,1039,,PMIP,OMAR BIN LONG,MALE,,1402,,,,,,,,,,,,,,,,,,,,,,,,,
P.8_NO. 24,PENANG,P.8,PENANG SELATAN,NO. 24,BAYAN LEPAS,ALLIANCE - UMNO,,8017,4321,79.82,6399,184,6215,UMNO,HAJI RIFAIE BIN HAJI SALLEH,MALE,55,5268,,,,,,,,PMIP,HAJI ABDUL AZIZ BIN HAJI NOOH,MALE,54,947,,,,,,,,,,,,,,,,,,,,,,,,,
P.9_NO. 1,MALACCA,P.9,BANDAR MALACCA,NO. 1,KOTA SELATAN,ALLIANCE - MCA,,6316,255,69.62,4397,43,4354,MCA,GOH JOON HOE,MALE,,2001,,LPM,LIEW SIAT YEE (MISS),FEMALE,,607,,,,,,,,,,,,,,M.P.,TAN KEE GAK,MALE,,1746,,,,,,,,,,,,,
P.9_NO. 2,MALACCA,P.9,BANDAR MALACCA,NO. 2,KOTA TENGAH,ALLIANCE - MCA,,3688,268,76.52,2822,29,2793,MCA,GOH CHEE YAN,MALE,54,1268,,LPM,CHUNG CHENG WAN,MALE,,1000,,,,,,,,,,,,,,M.P.,HASHIM BIN HAJI ABDUL GHANI,MALE,,525,,,,,,,,,,,,,
P.9_NO. 3,MALACCA,P.9,BANDAR MALACCA,NO. 3,KOTA BARAT,ALLIANCE - MCA,,4238,832,73.24,3104,51,3053,MCA,GOH KAY SENG,MALE,62,1589,,LPM,TEOH THIAM HOCK,MALE,,529,,,,,,,,,,,,,,M.P.,SIEW MUN FOOK,MALE,,757,,INDEPENDENT,TAMBY KADIR BIN ABU BAKAR,MALE,,178,LOST DEPOSIT,,,,,,
P.9_NO. 4,MALACCA,P.9,BANDAR MALACCA,NO. 4,KOTA UTARA,ALLIANCE - MCA,,3775,1050,69.46,2622,34,2588,MCA,TAN CHENG SWEE,MALE,38,1645,,PRM,KARIM BAKAR,MALE,37,348,,,,,,,,,,,,,,M.P.,DOSSAN FRANK CHRISTA,MALE,,595,,,,,,,,,,,,,
P.9_NO. 5,MALACCA,P.9,BANDAR MALACCA,NO. 5,KOTA TIMOR,ALLIANCE - MCA,,4323,24,73.44,3175,36,3139,MCA,LIM YEOW KOON,MALE,,1394,,LPM,TOO YENG JONG,MALE,,315,LOST DEPOSIT,,,,,,,,,,,,,M.P.,DE CRUZ JOHN LEON,MALE,,1370,,INDEPENDENT,AH JIOK,MALE,,60,LOST DEPOSIT,,,,,,
P.10_NO. 6,MALACCA,P.10,MALACCA TENGAH,NO. 6,TANJONG KLING,ALLIANCE - UMNO,,4748,2742,79.99,3798,46,3752,UMNO,ABDUL GHAFFAR BIN BABA,MALE,34,3247,,,,,,,,PMIP,MOHD. NOR BIN NOORDIN,MALE,,505,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_NO. 7,MALACCA,P.10,MALACCA TENGAH,NO. 7,BUKIT RAMBAI,ALLIANCE - UMNO,,4091,1654,73.19,2994,58,2936,UMNO,HASSAN BIN MANSOR,MALE,,2295,,,,,,,,PMIP,AZHARI BIN YUSOFF,MALE,,641,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_NO. 8,MALACCA,P.10,MALACCA TENGAH,NO. 8,BATU BERENDAM,ALLIANCE - UMNO,,4771,815,85.08,4059,60,3999,UMNO,MOHD. BIN H. ABD. RAHMAN,MALE,43,2407,,PRM,HASNUL BIN ABDUL HADI,MALE,,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_NO. 9,MALACCA,P.10,MALACCA TENGAH,NO. 9,SEMABOK,ALLIANCE - UMNO,,5009,1777,76.78,3846,59,3787,UMNO,BULAT BIN MOHAMED,MALE,,2782,,,,,,,,PMIP,OTHMAN BIN BUJANG,MALE,,1005,,,,,,,,,,,,,,,,,,,,,,,,,
P.10_NO. 10,MALACCA,P.10,MALACCA TENGAH,NO. 10,KANDANG,ALLIANCE - UMNO,,4876,1709,82.88,4041,56,3985,UMNO,TAWY BIN HJ. ABD. HAMID,MALE,,2847,,,,,,,,PMIP,HAJI MD. NOR BIN HJ. HASAN,MALE,,1138,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 11,MALACCA,P.11,MALACCA UTARA,NO. 11,SUNGEI BHARU,ALLIANCE - UMNO,,6002,1213,83.02,4983,62,4921,UMNO,TAMBY CHIK BIN ABD. KARIM,MALE,58,3067,,,,,,,,PMIP,H. KARIM BIN H. DALIB,MALE,,1854,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 12,MALACCA,P.11,MALACCA UTARA,NO. 12,RAMUAN CHINA,ALLIANCE - UMNO,,3982,955,85.06,3387,50,3337,UMNO,MOHD. SUDIN BIN ABD. RAHMAN,MALE,57,2146,,,,,,,,PMIP,ABD. KARIM BIN YUSOF,MALE,,1191,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 13,MALACCA,P.11,MALACCA UTARA,NO. 13,MASJID TANAH,ALLIANCE - UMNO,,4484,1611,78.23,3508,99,3409,UMNO,H. HASSAN BIN H. YA'AKUB,MALE,,2510,,,,,,,,PMIP,MOHD. YUSOF BIN ENJAH,MALE,,899,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 14,MALACCA,P.11,MALACCA UTARA,NO. 14,ALOR GAJAH,ALLIANCE - UMNO,,4487,2547,82.01,3680,77,3603,UMNO,HAJI TALIB KARIM,MALE,46,3075,,,,,,,,PMIP,NAAM BIN MUID,MALE,,528,,,,,,,,,,,,,,,,,,,,,,,,,
P.11_NO. 15,MALACCA,P.11,MALACCA UTARA,NO. 15,PULAU SEBANG,ALLIANCE - MCA,,3975,1231,78.24,3110,43,3067,MCA,YEOW KAY,MALE,,2149,,LPM,LAW HENG CHOI,MALE,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 16,MALACCA,P.12,MALACCA SELATAN,NO. 16,BATANG MALAKA,ALLIANCE - UMNO,,5840,911,79.81,4661,148,4513,UMNO,H. AB. MALEK BIN H. NONG,MALE,,2712,,PRM,MAMAT BIN BINTONG,MALE,,1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 17,MALACCA,P.12,MALACCA SELATAN,NO. 17,RIM,ALLIANCE - MCA,,5104,2875,84.52,4314,117,4197,MCA,TAN NAI KWI,MALE,,3536,,,,,,,,PMIP,H. MD. NOR BIN H. A. LATIF,MALE,,661,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 18,MALACCA,P.12,MALACCA SELATAN,NO. 18,JASIN,ALLIANCE - UMNO,,5202,2138,76.95,4003,107,3896,UMNO,NOORDIN BIN SA'AD,MALE,,3017,,,,,,,,PMIP,ABDUL LATIF BIN IDRIS,MALE,,879,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 19,MALACCA,P.12,MALACCA SELATAN,NO. 19,SERKAM,ALLIANCE - UMNO,,4329,1194,82.42,3568,48,3520,UMNO,ABDUL BIN CHUNDANG,MALE,,2357,,,,,,,,PMIP,MOHD. TAHA BIN KALLU,MALE,,1163,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_NO. 20,MALACCA,P.12,MALACCA SELATAN,NO. 20,SUNGEI RAMBAI,ALLIANCE - UMNO,,4500,1241,78.58,3536,85,3451,UMNO,IBRAHIM BIN ABDUL HAMID,MALE,,2346,,PRM,OTHMAN BIN HUSSIN,MALE,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_NO. 1,PERAK,P.13,KRIAN LAUT,NO. 1,PARIT BUNTAR,ALLIANCE - UMNO,,11133,236,66.65,7420,168,7252,UMNO,HAJAH HALIMAH BINTI HJ. ABD. RAOF,FEMALE,38,3744,,,,,,,,PMIP,HAJI HASAN ADLI BIN HJ. ARSHAD,MALE,30,3508,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_NO. 2,PERAK,P.13,KRIAN LAUT,NO. 2,KUALA KURAU,ALLIANCE - UMNO,,11276,1216,67.1,7566,170,7396,UMNO,HAJI SHAMSUDIN BIN HAJI AHMAD,MALE,57,4306,,,,,,,,PMIP,MD. KAMIL BIN HAJI AHMAD,MALE,39,3090,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_NO. 3,PERAK,P.14,KRIAN DARAT,NO. 3,BAGAN SERAI,ALLIANCE - UMNO,,10467,2704,63.1,6605,309,6296,UMNO,MASUD BIN UTOI,MALE,35,4113,,,,,,,,PMIP,KHADIRI BIN HAJI DAHALAN,MALE,30,1409,,PPP,G. P. RAMU,MALE,43,774,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.14_NO. 4,PERAK,P.14,KRIAN DARAT,NO. 4,GUNONG SEMANGGOL,PMIP,,10781,34,64.66,6971,221,6750,UMNO,RAMLI BIN OMAR,MALE,27,3358,,,,,,,,PMIP,BAHARUDDIN BIN HAJI ABDUL LATIF,MALE,32,3392,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_NO. 5,PERAK,P.15,BATANG PADANG,NO. 5,TAPAH ROAD,ALLIANCE - UMNO,,7368,2012,70.34,5183,125,5058,UMNO,MOHAMED JUMAH BIN SATIR,MALE,26,3147,,,,,,,,PMIP,HAJI HASHIM BIN HAJI SALLEH,MALE,43,776,,PPP,OSMAN BIN AHMAD,MALE,41,1135,,,,,,,,,,,,,,,,,,,
P.15_NO. 6,PERAK,P.15,BATANG PADANG,NO. 6,TAPAH,ALLIANCE - MCA,,9299,1813,67.78,6303,105,6198,MCA,THUM YENG YONG,MALE,52,3627,,,,,,,,PMIP,ZAN ABU KASSIM BIN HAJI MOHAMED HASHIM,MALE,30,757,LOST DEPOSIT,PPP,CHEAH WAN TUCK,MALE,31,1814,,,,,,,,,,,,,,,,,,,
P.16_NO. 7,PERAK,P.16,TANJONG MALIM,NO. 7,BIDOR,ALLIANCE - MIC,,9233,784,73.77,6811,221,6590,MIC,PONNUSAMY PILLAI S/O VYAYAPURI PILLAI,MALE,37,3687,,,,,,,,,,,,,,PPP,RAMANATHAN CHELVARAYAN MANNAVARAYAN,MALE,50,2903,,,,,,,,,,,,,,,,,,,
P.16_NO. 8,PERAK,P.16,TANJONG MALIM,NO. 8,SLIM,ALLIANCE - UMNO,,10041,2924,64.2,6446,278,6168,UMNO,YANG ABDUL RASHID BIN ABD. WAHAB,MALE,52,3927,,PRM,JAFFAR BIN ALANG,MALE,27,1003,,PMIP,ABDULLAH BIN ABU SEMAN,MALE,55,457,LOST DEPOSIT,PPP,MOHAMED SUHAILY BIN AHMAD,MALE,36,781,,,,,,,,,,,,,,,,,,,
P.17_NO. 9,PERAK,P.17,LARUT UTARA,NO. 9,SELAMA,ALLIANCE - UMNO,,12515,4459,71.63,8964,179,8785,UMNO,HAJI HUSSIN BIN HAJI YAACOB,MALE,44,6622,,,,,,,,PMIP,KAMARUN BIN MOHD. HASSAN,MALE,45,2163,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_NO. 10,PERAK,P.17,LARUT UTARA,NO. 10,LARUT,ALLIANCE - UMNO,,12349,2954,63.49,7840,141,7699,UMNO,KAMARUDDIN BIN MD. ISA,MALE,30,4972,,LPM,HAJI HARUN BIN MUSA,MALE,50,709,LOST DEPOSIT,PMIP,HARUN BIN HAJI HUSAIN,MALE,48,2018,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_NO. 11,PERAK,P.18,LARUT SELATAN,NO. 11,TAIPING,ALLIANCE - MCA,,16054,3594,57.01,9152,173,8979,MCA,GOH CHOK SAM,MALE,,5736,,LPM,SELLAR SABARATNAM,MALE,47,1101,LOST DEPOSIT,,,,,,,PPP,C. H. YIN,MALE,,2142,,,,,,,,,,,,,,,,,,,
P.18_NO. 12,PERAK,P.18,LARUT SELATAN,NO. 12,MATANG,ALLIANCE - UMNO,,16579,3354,55.11,9136,182,8954,UMNO,OTHMAN BIN WAN OMAR,MALE,,5239,,LPM,PHO KIM CHIANG,MALE,,1445,,PMIP,HAJI ZAINUDDIN BIN HAJI ABDULLAH ALI,MALE,,1885,,,,,,,,,,,,,,INDEPENDENT,MOHD. TAIB BIN HAJI LATIFF,MALE,,385,LOST DEPOSIT,,,,,,
P.19_NO. 13,PERAK,P.19,BRUAS,NO. 13,PENGKALAN BHARU,ALLIANCE - UMNO,,11774,1491,64.08,7545,206,7339,UMNO,HAJI ISHAK BIN HAJI MOHAMED,MALE,,3503,,,,,,,,PMIP,ABDUL RAHIM BIN MAT SALLEH,MALE,,2012,,,,,,,,,,,,,,INDEPENDENT,L. KATHIRGAMEN,MALE,33,1824,,,,,,,
P.19_NO. 14,PERAK,P.19,BRUAS,NO. 14,AYER TAWAR,ALLIANCE - MCA,,12609,2270,71.38,9000,308,8692,MCA,LEE KHING HOE,MALE,,4847,,,,,,,,,,,,,,PPP,CHOONG AH HING,MALE,,2577,,,,,,,,INDEPENDENT,A. R. SHAHARUDIN,MALE,,1268,,,,,,,
P.20_NO. 15,PERAK,P.20,SITIAWAN,NO. 15,LEKIR,ALLIANCE - MCA,,8868,3095,74.59,6615,209,6406,MCA,WONG TING SENG,MALE,,4276,,,,,,,,PMIP,MOHD. SHAMSUDDIN BIN HJ. HAMZAH,MALE,,793,LOST DEPOSIT,PPP,KONG TOONG,MALE,,1181,,,,,,,,INDEPENDENT,CHIONG EE HANG,MALE,,156,LOST DEPOSIT,,,,,,
P.20_NO. 16,PERAK,P.20,SITIAWAN,NO. 16,LUMUT,ALLIANCE - MCA,,11663,2824,73.35,8555,298,8257,MCA,LIEW WHY HONE,MALE,43,5506,,,,,,,,,,,,,,PPP,YONG MEI YAN,MALE,,2682,,,,,,,,INDEPENDENT,TAN BENG HONG,MALE,,69,LOST DEPOSIT,,,,,,
P.21_NO. 17,PERAK,P.21,ULU PERAK,NO. 17,GRIK,ALLIANCE - UMNO,,10166,3534,64.48,6555,124,6431,UMNO,MOHAMED GHAZALI BIN HAJI JAWI,MALE,,4607,,,,,,,,PMIP,ABU BIN HAJI BAKRI,MALE,,751,LOST DEPOSIT,PPP,HUIN SWEE LEONG,MALE,,1073,,,,,,,,,,,,,,,,,,,
