UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.24,PERAK,P.24,HILIR PERAK,ALLIANCE - UMNO,,12991,545,70.75,9191,100,9091,UMNO,MOHD. ABAS BIN AHMAD,MALE,48,4818,,,,,,,,PMIP,ABU BAKAR BIN ANJANG WAHID,MALE,45,4273,,,,,,,,,,,,,,,,,,,,,,,,,
P.25,PERAK,P.25,BAGAN DATOH,ALLIANCE - UMNO,,18545,3653,71.28,13219,133,13086,UMNO,YAHYA BIN HAJI AHMAD,MALE,41,8078,,,,,,,,PMIP,HAJI AZUBIR BIN HAJI AHMAD,MALE,55,4425,,PPP,MOHAMED YUNUS BIN SIBI,MALE,55,583,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.26,PERAK,P.26,TELOK ANSON,ALLIANCE - MCA,,22762,4404,71,16162,218,15944,MCA,WONG SAIK HONG,MALE,50,10174,,,,,,,,,,,,,,PPP,TAN POH AUN,MALE,55,5770,,,,,,,,,,,,,,,,,,,
P.27,PERAK,P.27,IPOH,PPP,,30473,5711,66.92,20392,167,20225,MCA,DR. CHANG HOEY CHAN,MALE,53,6531,,LPM,YOON FOO THONG,MALE,25,1452,LOST DEPOSIT,,,,,,,PPP,D. R. SEENIVASAGAM,MALE,37,12242,,,,,,,,,,,,,,,,,,,
P.28,PERAK,P.28,MENGLEMBU,PPP,,33561,8046,65.68,22044,131,21913,MCA,WONG KOK WENG,MALE,44,6292,,PRM,DAHAN BIN KHATIB,MALE,,1283,LOST DEPOSIT,,,,,,,PPP,S. P. SEENIVASAGAM,MALE,42,14338,,,,,,,,,,,,,,,,,,,
P.29,PERAK,P.29,SUNGEI SIPUT,ALLIANCE - MIC,,17174,2803,70.31,12075,96,11979,MIC,V.T. SAMBANTHAN,MALE,40,7317,,,,,,,,,,,,,,PPP,K. ANNAMALAI,MALE,31,4514,,,,,,,,INDEPENDENT,CHOY KOK KUAN,MALE,42,148,LOST DEPOSIT,,,,,,
P.30,PERAK,P.30,ULU KINTA,PPP,,18147,2367,73.4,13320,348,12972,MCA,K. C. CHAN JR.,MALE,30,4629,,PRM,YAU HOONG SEH,MALE,25,1347,LOST DEPOSIT,,,,,,,PPP,CHAN SWEE HO,MALE,30,6996,,,,,,,,,,,,,,,,,,,
P.31,PERAK,P.31,BATU GAJAH,PPP,,21006,1939,73.28,15394,127,15267,MCA,YEOH KIAN TEIK,MALE,34,6503,,,,,,,,,,,,,,PPP,KHONG KOK YAT,MALE,29,8442,,,,,,,,INDEPENDENT,THEAN MOI TUCK,MALE,36,322,LOST DEPOSIT,,,,,,
P.32,PERAK,P.32,KAMPAR,ALLIANCE - MCA,,26558,1253,76.18,20232,128,20104,MCA,LEONG KEE NYEAN,MALE,32,9765,,,,,,,,PMIP,OTHMAN BIN MOHD AKIB,MALE,49,1827,LOST DEPOSIT,PPP,CHAN YOON OON,MALE,39,8512,,,,,,,,,,,,,,,,,,,
P.33,SELANGOR,P.33,BATU,SF - LPM,,20819,2329,73.53,15309,164,15145,MCA,LIM HEE HONG,MALE,58,6408,,LPM,NG ANN TECK,MALE,28,8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34,SELANGOR,P.34,BUNGSAR,SF - LPM,,35549,2913,68.01,24177,198,23979,MCA,LAW JOO KOOI,MALE,,5036,,LPM,V. DAVID,MALE,,9734,,,,,,,,PPP,ONG YEOW KAY,MALE,,2388,LOST DEPOSIT,,,,,,,INDEPENDENT,KOH POOI KEE,MALE,,6821,,,,,,,
P.35,SELANGOR,P.35,BUKIT BINTANG,ALLIANCE - MCA,,24984,700,66.08,16510,79,16431,MCA,CHEAH THIAM SWEE,MALE,,6134,,PRM,MOHAMED NAZAR BIN NONG,MALE,,4593,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HENG CHENG SWEE,MALE,43,5434,,INDEPENDENT,ROBERT K.C. KOH,MALE,,270,LOST DEPOSIT
P.36,SELANGOR,P.36,SETAPAK,SF - PRM,,22490,2096,69.64,15661,102,15559,UMNO,CHE AISAH BINTE GHANI,FEMALE,36,4805,,PRM,AHMAD BOESTAMAM,MALE,,6901,,,,,,,,,,,,,,,,,,,,INDEPENDENT,YAP KIM SWEE,MALE,,3853,,,,,,,
P.37,SELANGOR,P.37,ULU SELANGOR,ALLIANCE - MCA,,14274,1416,82.67,11801,143,11658,MCA,ONG YOKE LIN,MALE,42,6537,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,CHAI YOKE KIN,MALE,,5121,,,,,,,
P.38,SELANGOR,P.38,RAWANG,SF - LPM,,14378,2489,75.76,10893,118,10775,UMNO,ABD. KARIM BIN HAJI KASIM,MALE,,3654,,LPM,LIU YOONG PENG,MALE,,6143,,,,,,,,,,,,,,,,,,,,INDEPENDENT,BORHAN BIN ABDUL MAJID,MALE,,978,LOST DEPOSIT,,,,,,
