UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.70,JOHORE,P.70,MUAR PANTAI,ALLIANCE - MCA,SEAH TENG NGIAB,MALE,,
P.71,JOHORE,P.71,MUAR UTARA,ALLIANCE - UMNO,AHMAD BIN ARSHAD,MALE,,
P.72,JOHORE,P.72,MUAR DALAM,ALLIANCE - UMNO,AZIZ BIN ISHAK,MALE,,
P.73,JOHORE,P.73,SEGAMAT UTARA,ALLIANCE - UMNO,HAJI ABDULLAH BIN HAJI MOHD. SALLEH,MALE,,
P.74,JOHORE,P.74,SEGAMAT SELATAN,ALLIANCE - MCA,TEOH CHZE CHONG,MALE,,
P.75,KEDAH,P.75,ALOR STAR,ALLIANCE - MCA,LIM JOO KONG,MALE,,
P.76,KEDAH,P.76,KUALA KEDAH,ALLIANCE - UMNO,TENGKU ABDUL RAHMAN,MALE,56,
P.77,KEDAH,P.77,KOTA STAR UTARA,ALLIANCE - UMNO,HAJI ABDUL KHALID,MALE,,
P.78,KEDAH,P.78,KOTA STAR SELATAN,ALLIANCE - UMNO,WAN SULAIMAN BIN WAN TAM,MALE,,
P.79,KEDAH,P.79,KUBANG PASU BARAT,ALLIANCE - UMNO,HAJI AZAHARI BIN HAJI IBRAHIM,MALE,,
P.80,KEDAH,P.80,JITRA-PADANG TERAP,ALLIANCE - UMNO,FATIMAH BINTI HAJI HASHIM,FEMALE,,
P.81,KEDAH,P.81,JERAI,ALLIANCE - UMNO,MD. ISMAIL BIN YUSOF,MALE,,
P.82,KEDAH,P.82,KEDAH TENGAH,ALLIANCE - UMNO,MOHAMED KHIR JOHARI,MALE,36,
P.83,KEDAH,P.83,SUNGEI PATANI,ALLIANCE - UMNO,ABDUL SAMAD BIN OSMAN,MALE,,
P.84,KEDAH,P.84,BALING,ALLIANCE - UMNO,HARUN BIN ABDULLAH,MALE,40,
P.85,KEDAH,P.85,KULIM UTARA,ALLIANCE - UMNO,HANAFIE BIN MOHD. YUNUS,MALE,,
P.86,KEDAH,P.86,KULIM-BANDAR BAHRU,ALLIANCE - MCA,TAN TYE CHER,MALE,42,
P.87,KELANTAN,P.87,ULU KELANTAN,ALLIANCE - UMNO,TENGKU INDRA PETRA,MALE,,
P.88,KELANTAN,P.88,TANAH MERAH,PMIP,USTAZ OTHMAN BIN ABDULLAH,MALE,,
P.89,KELANTAN,P.89,PASIR PUTEH,PMIP,USTAZ MD. ASRI,MALE,,
P.90,KELANTAN,P.90,BACHOK,PMIP,ZULKIFLEE BIN MUHAMMAD,MALE,,
P.91,KELANTAN,P.91,PASIR MAS HILIR,PMIP,NIK MAN BIN NIK MOHAMED,MALE,,
P.92,KELANTAN,P.92,PASIR MAS HULU,PMIP,DATO RAJA HANIFAH,MALE,,
P.93,KELANTAN,P.93,TUMPAT,PMIP,HAJI CHE HASSAN,MALE,,
P.94,KELANTAN,P.94,KELANTAN HILIR,PMIP,WAN MUSTAPHA,MALE,,
P.95,KELANTAN,P.95,KOTA BHARU HILIR,PMIP,HAJI AHMAD,MALE,,
P.96,KELANTAN,P.96,KOTA BHARU HULU,PMIP,HAJI HUSSIN RAHIMI,MALE,,
P.97,TRENGGANU,P.97,BESUT,PMIP,DR. BURHANUDDIN BIN MD. NOOR,MALE,48,
P.98,TRENGGANU,P.98,KUALA TRENGGANU UTARA,PMIP,HASSAN ADLI BIN HAJI ARSHAD,MALE,,
P.99,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NEGARA,DATO ONN BIN JAAFAR,MALE,64,
P.100,TRENGGANU,P.100,TRENGGANU TENGAH,PMIP,HARUN BIN PILUS,MALE,,
P.101,TRENGGANU,P.101,DUNGUN,PMIP,KHADIJAH SIDEK BINTI MD. SIDEK,FEMALE,41,
P.102,TRENGGANU,P.102,KEMAMAN,ALLIANCE - UMNO,WAN YAHYA BIN HAJI WAN MOHAMED,MALE,,YES
P.103,PERLIS,P.103,PERLIS UTARA,ALLIANCE - UMNO,OTHMAN BIN ABDULLAH,MALE,,
P.104,PERLIS,P.104,PERLIS SELATAN,ALLIANCE - UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,
