UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.18_NO. 11,PERAK,P.18,LARUT SELATAN,NO. 11,TAIPING,ALLIANCE - MCA,,16054,3594,57.01,9152,,173,8979,MCA,GOH CHOK SAM,MALE,,5736,,LPM,SELLAR SABARATNAM,MALE,47,1101,LOST DEPOSIT,,,,,,,PPP,C. H. YIN,MALE,,2142,,,,,,,,,,,,,,,,,,,
P.18_NO. 12,PERAK,P.18,LARUT SELATAN,NO. 12,MATANG,ALLIANCE - UMNO,,16579,3354,55.11,9136,,182,8954,UMNO,OTHMAN BIN WAN OMAR,MALE,,5239,,LPM,PHO KIM CHIANG,MALE,,1445,,PMIP,HAJI ZAINUDDIN BIN HAJI ABDULLAH ALI,MALE,,1885,,,,,,,,,,,,,,INDEPENDENT,MOHD. TAIB BIN HAJI LATIFF,MALE,,385,LOST DEPOSIT,,,,,,
P.19_NO. 13,PERAK,P.19,BRUAS,NO. 13,PENGKALAN BHARU,ALLIANCE - UMNO,,11774,1491,64.08,7545,,206,7339,UMNO,HAJI ISHAK BIN HAJI MOHAMED,MALE,,3503,,,,,,,,PMIP,ABDUL RAHIM BIN MAT SALLEH,MALE,,2012,,,,,,,,,,,,,,INDEPENDENT,L. KATHIRGAMEN,MALE,33,1824,,,,,,,
P.19_NO. 14,PERAK,P.19,BRUAS,NO. 14,AYER TAWAR,ALLIANCE - MCA,,12609,2270,71.38,9000,,308,8692,MCA,LEE KHING HOE,MALE,,4847,,,,,,,,,,,,,,PPP,CHOONG AH HING,MALE,,2577,,,,,,,,INDEPENDENT,A. R. SHAHARUDIN,MALE,,1268,,,,,,,
P.20_NO. 15,PERAK,P.20,SITIAWAN,NO. 15,LEKIR,ALLIANCE - MCA,,8868,3095,74.59,6615,,209,6406,MCA,WONG TING SENG,MALE,,4276,,,,,,,,PMIP,MOHD. SHAMSUDDIN BIN HJ. HAMZAH,MALE,,793,LOST DEPOSIT,PPP,KONG TOONG,MALE,,1181,,,,,,,,INDEPENDENT,CHIONG EE HANG,MALE,,156,LOST DEPOSIT,,,,,,
P.20_NO. 16,PERAK,P.20,SITIAWAN,NO. 16,LUMUT,ALLIANCE - MCA,,11663,2824,73.35,8555,,298,8257,MCA,LIEW WHY HONE,MALE,43,5506,,,,,,,,,,,,,,PPP,YONG MEI YAN,MALE,,2682,,,,,,,,INDEPENDENT,TAN BENG HONG,MALE,,69,LOST DEPOSIT,,,,,,
P.21_NO. 17,PERAK,P.21,ULU PERAK,NO. 17,GRIK,ALLIANCE - UMNO,,10166,3534,64.48,6555,,124,6431,UMNO,MOHAMED GHAZALI BIN HAJI JAWI,MALE,,4607,,,,,,,,PMIP,ABU BIN HAJI BAKRI,MALE,,751,LOST DEPOSIT,PPP,HUIN SWEE LEONG,MALE,,1073,,,,,,,,,,,,,,,,,,,
P.21_NO. 18,PERAK,P.21,ULU PERAK,NO. 18,LENGGONG,ALLIANCE - UMNO,,11264,3990,72.6,8178,,120,8058,UMNO,AHMAD BIN SAID,MALE,,5342,,PRM,SHAHARUDDIN DAHALAN,MALE,,509,LOST DEPOSIT,PMIP,HAJI ABDUL SAMAD BIN HJ. MOHD. NOH,MALE,,1352,,PPP,LUM KWOK LOON,MALE,,855,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.22_NO. 19,PERAK,P.22,KUALA KANGSAR,NO. 19,SENGGANG,ALLIANCE - UMNO,,14224,2810,67.95,9665,,197,9468,UMNO,SHAARI BIN PIAI,MALE,,5169,,PRM,SAEDAH BINTI MOHD. HASHIM,FEMALE,,1940,,PMIP,ABDUL MUTALIB BIN HAJI MOHD. TAHIR,MALE,,2359,,,,,,,,,,,,,,,,,,,,,,,,,
P.22_NO. 20,PERAK,P.22,KUALA KANGSAR,NO. 20,PADANG RENGAS,ALLIANCE - UMNO,,12242,2750,72.13,8830,,168,8662,UMNO,ABAS BIN MOHD. ADAM,MALE,,4931,,PRM,TALIB BIN HUSSAIN,MALE,,1550,,PMIP,ABDUL RASHID BIN ABDUL KARIM,MALE,,2181,,,,,,,,,,,,,,,,,,,,,,,,,
P.23_NO. 21,PERAK,P.23,PARIT,NO. 21,BLANJA,ALLIANCE - UMNO,,10085,2657,77.29,7795,,94,7701,UMNO,MOHD. HARUN BIN KULOP SEMAN,MALE,,5074,,PRM,YUSOOF BIN SAROH,MALE,,210,LOST DEPOSIT,PMIP,MEOR AHMAD BIN YUSOF,MALE,,2417,,,,,,,,,,,,,,,,,,,,,,,,,
