UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 40_N.30,TERENGGANU,P. 40,KEMAMAN,N.30,KIJAL,BN - UMNO,,9301,1290,83.84,7798,6,174,7618,UMNO,AHMAD BIN SAID,MALE,,4433,,PAS,AWANG @ IBRAHIM B. OMAR A.K.A IBRAHIM KAMAL,MALE,,3143,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,JAMALIS BIN AWANG,MALE,,42,LOST DEPOSIT,,,,,,,,,,,,
P. 40_N.31,TERENGGANU,P. 40,KEMAMAN,N.31,CUKAI,BN - UMNO,,15984,2571,76.77,12271,60,270,11941,UMNO,WAN MOKHTAR BIN AHMAD,MALE,,7256,,,,,,,,,,,,,,S46,ALIAS BIN ABDUL RAHMAN,MALE,,4685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40_N.32,TERENGGANU,P. 40,KEMAMAN,N.32,AIR PUTIH,BN - UMNO,,12271,2649,80,9817,14,314,9489,UMNO,HARUN BIN HASAN,MALE,,6069,,PAS,ISMAIL BIN HARUN,MALE,,3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41_N. 1,PULAU PINANG,P. 41,KEPALA BATAS,N. 1,PENAGA,BN - UMNO,,11945,3299,79.02,9439,11,249,9179,UMNO,AZHAR BIN IBRAHIM,MALE,,6239,,PAS,MOHD. HAMDAN BIN HJ. ABDUL RAHMAN,MALE,,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41_N. 2,PULAU PINANG,P. 41,KEPALA BATAS,N. 2,BERTAM,BN - UMNO,,11369,5402,71.09,8082,5,215,7862,UMNO,HILMI BIN HJ ABDUL RASHID,MALE,,6632,,,,,,,,,,,,,,S46,JAMILAH KHATON BT. ZAINAL ABIDIN,FEMALE,,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41_N. 3,PULAU PINANG,P. 41,KEPALA BATAS,N. 3,PINANG TUNGGAL,BN - UMNO,,12791,6824,80.48,10294,11,313,9970,UMNO,YAHAYA BIN ABDUL HAMID,MALE,,8397,,,,,,,,,,,,,,S46,SYED IBRAHIM BIN SYED ABU BAKAR,MALE,,1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42_N. 4,PULAU PINANG,P. 42,TASEK GELUGOR,N. 4,PERMATANG BERANGAN,BN - UMNO,,12200,5671,79.1,9650,10,259,9381,UMNO,MOHD. SHARIFF BIN OMAR,MALE,,7526,,PAS,MOHD. SALLEH BIN MAN,MALE,,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42_N. 5,PULAU PINANG,P. 42,TASEK GELUGOR,N. 5,SUNGAI DUA,BN - UMNO,,11836,4271,79.28,9383,8,256,9119,UMNO,JASMIN BIN MOHAMED,MALE,,6695,,PAS,KHALID BIN MAN,MALE,,2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42_N. 6,PULAU PINANG,P. 42,TASEK GELUGOR,N. 6,TELOK AYER TAWAR,BN - UMNO,,13019,5836,77.56,10098,591,299,9208,UMNO,JAHARA BIN HAMID,MALE,,7522,,,,,,,,,,,,,,S46,MD. SHERIFF BIN SAAD,MALE,,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43_N. 7,PULAU PINANG,P. 43,BAGAN,N. 7,SUNGAI PUYU,BN - MCA,,24545,166,82.04,20137,21,408,19708,MCA,LOO AH DEE @ LEE AH LEE,MALE,,9937,,,,,,,,,,,,,,,,,,,,DAP,CHEAH TIEK SOON,,,9771,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43_N. 8,PULAU PINANG,P. 43,BAGAN,N. 8,BAGAN JERMAL,BN - MCA,,23049,4818,75.46,17392,90,378,16924,MCA,DR. SAK CHENG LUM,MALE,,10871,,,,,,,,,,,,,,,,,,,,DAP,PHEE BOON POH,MALE,,6053,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43_N. 9,PULAU PINANG,P. 43,BAGAN,N. 9,PERAI,BN - MIC,,23124,1690,72.86,16849,37,408,16404,MIC,RAJAPATHY A/L KUPPUSAMY,MALE,,9047,,,,,,,,,,,,,,,,,,,,DAP,PATTO A/L PERUMAL,MALE,,7357,,,,,,,,,,,,,,,,,,,,,,,,,
P. 44_N. 10,PULAU PINANG,P. 44,PERMATANG PAUH,N. 10,SEBERANG JAYA,BN - UMNO,,17362,8970,78.07,13554,26,372,13156,UMNO,ABDUL LATIFF BIN S. MIRASA,MALE,,11063,,,,,,,,,,,,,,,,,,,,DAP,NOOR HALIL BIN ABD. GHANI,MALE,,2093,,,,,,,,,,,,,,,,,,,,,,,,,
P. 44_N. 11,PULAU PINANG,P. 44,PERMATANG PAUH,N. 11,PERMATANG PASIR,BN - UMNO,,16750,6198,78.63,13171,12,252,12907,UMNO,AHMAD BIN SAAD,MALE,,8764,,PAS,YUSOFF BIN ABDUL LATIB,MALE,,2566,,,,,,,,,,,,,,DAP,MIOR ARIFF BIN MIOR HASSAN,MALE,,1577,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 44_N. 12,PULAU PINANG,P. 44,PERMATANG PAUH,N. 12,PENANTI,BN - UMNO,,13631,6818,78.06,10641,13,292,10336,UMNO,DAUD BIN TAHA,MALE,,8577,,,,,,,,,,,,,,S46,ADIL BIN ISMAIL,MALE,,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45_N. 13,PULAU PINANG,P. 45,BUKIT MERTAJAM,N. 13,BERAPIT,BN - MCA,,18047,2807,77.5,13986,32,277,13677,MCA,LAU CHIEK TUAN,MALE,,8242,,,,,,,,,,,,,,,,,,,,DAP,GOOI SEONG KIN,,,5435,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45_N. 14,PULAU PINANG,P. 45,BUKIT MERTAJAM,N. 14,MACHANG BUBUK,BN - GERAKAN,,20723,5385,78.56,16279,16,412,15851,GERAKAN,TOH KIN WOON,MALE,,10618,,,,,,,,,,,,,,,,,,,,DAP,CHIN KOOI THOON,,,5233,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45_N. 15,PULAU PINANG,P. 45,BUKIT MERTAJAM,N. 15,BUKIT TENGAH,BN - GERAKAN,,24485,4679,79.21,19394,39,454,18901,GERAKAN,LIONG AH SOW @ LIANG THAU SANG,MALE,,11790,,,,,,,,,,,,,,,,,,,,DAP,LIM HOCK SENG,,,7111,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46_N. 16,PULAU PINANG,P. 46,NIBONG TEBAL,N. 16,SUNGAI BAKAP,BN - GERAKAN,,16570,5327,74.53,12350,40,395,11915,GERAKAN,OOI THENG BOK,,,8621,,,,,,,,,,,,,,,,,,,,DAP,ABDUL RAZAK BIN ABDUL HAMID,MALE,,3294,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46_N. 17,PULAU PINANG,P. 46,NIBONG TEBAL,N. 17,JAWI,BN - MCA,,20850,661,79.13,16498,29,420,16049,MCA,TAN CHENG LIANG,FEMALE,,8355,,,,,,,,,,,,,,,,,,,,DAP,GOH KHENG HUAT,,,7694,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46_N. 18,PULAU PINANG,P. 46,NIBONG TEBAL,N. 18,SUNGAI ACHEH,BN - UMNO,,12476,4349,76.03,9486,14,247,9225,UMNO,ABDUL RASHID BIN ABDULLAH,MALE,,6787,,,,,,,,,,,,,,,,,,,,DAP,KHAIRUL ANNUAR BIN AHMAD,MALE,,2438,,,,,,,,,,,,,,,,,,,,,,,,,
P. 47_N. 19,PULAU PINANG,P. 47,BUKIT BENDERA,N. 19,TANJONG BUNGA,BN - GERAKAN,,24222,7703,77.79,18842,27,344,18471,GERAKAN,KOH TSU KOON,MALE,,13087,,,,,,,,,,,,,,,,,,,,DAP,LIM KIT SIANG,MALE,,5384,,,,,,,,,,,,,,,,,,,,,,,,,
P. 47_N. 20,PULAU PINANG,P. 47,BUKIT BENDERA,N. 20,AIR ITAM,BN - MCA,,24228,2735,73.82,17885,136,370,17379,MCA,LYE SIEW WENG,MALE,,10057,,,,,,,,,,,,,,,,,,,,DAP,ONG HOCK AUN,,,7322,,,,,,,,,,,,,,,,,,,,,,,,,
P. 47_N. 21,PULAU PINANG,P. 47,BUKIT BENDERA,N. 21,KEBUN BUNGA,BN - GERAKAN,,20792,5486,72.38,15049,48,309,14692,GERAKAN,TENG HOCK NAN,MALE,,10089,,,,,,,,,,,,,,,,,,,,DAP,GOOI HOCK SENG,MALE,,4603,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48_N. 22,PULAU PINANG,P. 48,TANJONG,N. 22,PADANG KOTA,BN - GERAKAN,,20086,2560,67.8,13619,88,213,13318,GERAKAN,TENG CHANG YEOW,MALE,,7939,,,,,,,,,,,,,,,,,,,,DAP,KARPAL SINGH A/L RAM SINGHH,MALE,,5379,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48_N. 23,PULAU PINANG,P. 48,TANJONG,N. 23,PENGKALAN KOTA,BN - MCA,,21567,1513,78.79,16993,11,292,16690,MCA,LEE HACK TEIK,MALE,,9036,,,,,,,,PBS,KHOO SOO HOE,,,131,LOST DEPOSIT,,,,,,,DAP,CHOW KON YEOW,MALE,,7523,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48_N. 24,PULAU PINANG,P. 48,TANJONG,N. 24,KAMPONG KOLAM,BN - MCA,,21697,1883,71.49,15511,117,218,15176,MCA,LIM GIM SOON,MALE,,8310,,,,,,,,PBS,KHOR NGAK SENG @ KHOR GAK KIM,MALE,,439,LOST DEPOSIT,,,,,,,DAP,CHEAT TEIK HOE,,,6427,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49_N. 25,PULAU PINANG,P. 49,JELUTONG,N. 25,DATOK KERAMAT,BN - GERAKAN,,20263,5293,74.21,15038,42,245,14751,GERAKAN,LIM BOO CHANG,MALE,,9974,,,,,,,,PBS,SEEVARAJU A/L MUNIANDY,MALE,,96,LOST DEPOSIT,,,,,,,DAP,WONG HANG YOKE,,,4681,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49_N. 26,PULAU PINANG,P. 49,JELUTONG,N. 26,SUNGAI PINANG,BN - GERAKAN,,19396,5558,74.27,14406,8,258,14140,GERAKAN,KANG CHIN SENG @ CHIANG CHEN CHENG,,,9552,,PAS,ABDUL KARIM BIN PAWANCHEE,MALE,,594,LOST DEPOSIT,,,,,,,,,,,,,DAP,AHMAD BIN NOR,MALE,,3994,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49_N. 27,PULAU PINANG,P. 49,JELUTONG,N. 27,BATU LANCHANG,DAP,,20200,62,76.48,15449,0,223,15226,GERAKAN,LEE BOON TEN,MALE,,7508,,,,,,,,PBS,TAN BAN YEW,,,148,LOST DEPOSIT,,,,,,,DAP,CHONG ENG,FEMALE,,7570,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50_N. 28,PULAU PINANG,P. 50,BAYAN BARU,N. 28,BUKIT GELUGOR,BN - MCA,,22978,3751,74.22,17054,56,249,16749,MCA,KOAY KAR HUAH,MALE,,10124,,,,,,,,PBS,HSU TSUH JIANGS @ KHOR TSEH JIANG,,,252,LOST DEPOSIT,,,,,,,DAP,PETER DASON A/L MUTHU JAHA DASON,MALE,,6373,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50_N. 29,PULAU PINANG,P. 50,BAYAN BARU,N. 29,PAYA TERUBONG,BN - MCA,,28648,4016,79.25,22703,69,318,22316,MCA,DR. LOH HOCK HUN,MALE,,13097,,,,,,,,PBS,SELVARAJA SOMIAH S/O DAVID SOMIAH,MALE,,138,LOST DEPOSIT,,,,,,,DAP,TEOH TEIK HUAT,,,9081,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50_N. 30,PULAU PINANG,P. 50,BAYAN BARU,N. 30,BATU UBAN,BN - GERAKAN,,26832,8876,72.74,19517,55,301,19161,GERAKAN,KEE PHAIK CHEEN,FEMALE,,13923,,,,,,,,PBS,LAKHBIR SINGH A/L SADU SINGH,MALE,,191,LOST DEPOSIT,,,,,,,DAP,ROSLI BIN HANAFI,MALE,,5047,,,,,,,,,,,,,,,,,,,,,,,,,
P. 51_N. 31,PULAU PINANG,P. 51,BALIK PULAU,N. 31,BAYAN LEPAS,BN - GERAKAN,,22759,6775,76.98,17521,30,382,17109,GERAKAN,LIM CHIEN AUN,MALE,,11269,,PAS,ZOLKIFLY BIN MD. LAZIM,MALE,,1346,LOST DEPOSIT,,,,,,,,,,,,,DAP,ZULKIFLI BIN MOHD. NOOR,MALE,,4494,,,,,,,,,,,,,,,,,,,,,,,,,
P. 51_N. 32,PULAU PINANG,P. 51,BALIK PULAU,N. 32,TELOK KUMBAR,BN - UMNO,,18820,7813,75.32,14175,35,353,13787,UMNO,SYED AMERRUDDIN BIN SYED AHMAD,MALE,,10800,,,,,,,,,,,,,,,,,,,,DAP,MOHD. NOOR BIN MARZUKI,MALE,,2987,,,,,,,,,,,,,,,,,,,,,,,,,
P. 51_N. 33,PULAU PINANG,P. 51,BALIK PULAU,N. 33,TELOK BAHANG,BN - UMNO,,17466,7626,75.76,13233,50,314,12869,UMNO,HILMI BIN HAJI YAHAYA,MALE,,9854,,PAS,RAHIM BIN RAHMAT,MALE,,787,LOST DEPOSIT,,,,,,,,,,,,,DAP,MOHD. YUSHOF BIN AWANG KARIM,MALE,,2228,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52_N. 1,PERAK,P. 52,GERIK,N. 1,PENGKALAN HULU,BN - UMNO,,13298,3829,72.82,9684,476,347,8861,UMNO,IBRAHIM BIN MOHD. HANAFIAH,MALE,,6345,,PAS,MD. DALI BIN GHAZALI,MALE,,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52_N. 2,PERAK,P. 52,GERIK,N. 2,TEMENGOR,BN - UMNO,,12055,4071,71.41,8608,368,257,7983,UMNO,MOKHTARUDIN BIN HAJI MOHAMAD KAYA,MALE,,6027,,PAS,ABDUL AZIZ BIN HAJI JAEH,MALE,,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52_N. 3,PERAK,P. 52,GERIK,N. 3,KENERING,BN - UMNO,,11326,2743,68.34,7740,4,206,7530,UMNO,KHANSIYAH KHAMSIYAH BT. YEOP,FEMALE,,5051,,,,,,,,,,,,,,S46,ABDUL RANI BIN CHE LAH,MALE,,2308,,,,,,,,,,,,,,INDEPENDENT,SULAIMAN BIN JAPAR,MALE,,171,LOST DEPOSIT,,,,,,,,,,,,
P. 53_N. 4,PERAK,P. 53,LARUT,N. 4,SELAMA,BN - UMNO,,17781,5841,68.16,12120,49,258,11813,UMNO,MOHD. ALI BIN MOHD. ISA,MALE,,8827,,PAS,MOHD. YAAKOB BIN HAJI MOHD. ZABIDI,MALE,,2986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 53_N. 5,PERAK,P. 53,LARUT,N. 5,BATU KURAU,BN - UMNO,,18138,4808,67.96,12328,50,239,12039,UMNO,RAJA AHMAD ZAINUDDIN B. RAJA HJ. OMAR,MALE,,8245,,PAS,KAMARUDIN BIN AWANG BASIR,MALE,,3437,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MOHAMED SHOHOR BIN MOHD. NASIR,MALE,,357,LOST DEPOSIT,,,,,,,,,,,,
P. 54_N. 6,PERAK,P. 54,PARIT BUNTAR,N. 6,TITI SERONG,BN - UMNO,,21771,4893,70.61,15373,56,374,14943,UMNO,ABD. LATIF BIN MAT ALI,MALE,,9918,,PAS,HAJI KHALID BIN ABD. HAMID,MALE,,5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 54_N. 7,PERAK,P. 54,PARIT BUNTAR,N. 7,KUALA KURAU,BN - UMNO,,20684,3991,71.31,14750,25,395,14330,UMNO,AHMAD SHARIFFUDIN BIN A. AZIZ,MALE,,7754,,PAS,KADIR BIN HAJI IDRIS,MALE,,3763,,,,,,,,,,,,,,DAP,ABD. HAMID BIN SALLEH,MALE,,2813,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55_N. 8,PERAK,P. 55,BAGAN SERAI,N. 8,ALOR PONGSU,BN - UMNO,,18776,5514,66.42,12471,94,505,11872,UMNO,BAHARUDIN BIN MAT NOR,MALE,,8693,,PAS,JABERAL SABRAN BIN HASAMAWI @ ASMAWI,MALE,,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55_N. 9,PERAK,P. 55,BAGAN SERAI,N. 9,GUNONG SEMANGGOL,BN - UMNO,,23044,3281,68.82,15858,81,560,15217,UMNO,SAIKIDOL BIN MOHAMAD NOOR,MALE,,9249,,PAS,ABDUL HALIM BIN MD. ALI,MALE,,5968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56_N. 10,PERAK,P. 56,BUKIT GANTANG,N. 10,KUALA SAPETANG,BN - GERAKAN,,19043,5299,69.08,13155,15,579,12561,GERAKAN,SIEW KOK KAN,MALE,,8930,,,,,,,,,,,,,,S46,ABD. MALIK BIN AHMAD,MALE,,3631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56_N. 11,PERAK,P. 56,BUKIT GANTANG,N. 11,CHANGKAT JERING,BN - UMNO,,18802,6402,68.52,12883,56,371,12456,UMNO,MOHAMAD RAZLAN BIN HAJI ABDUL HAMID,MALE,,9429,,PAS,HAWARI BIN CHE THE,MALE,,3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56_N. 12,PERAK,P. 56,BUKIT GANTANG,N. 12,TRONG,BN - UMNO,,14923,3548,65.11,9716,19,303,9394,UMNO,SAHARUDIN BIN ABD. JABAR,MALE,,6471,,PAS,SIDEK BIN MOHD. NOOR,MALE,,2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57_N. 13,PERAK,P. 57,TAIPING,N. 13,KAMUNTING,BN - UMNO,,16795,6762,70.25,11798,0,250,11548,UMNO,ABDUL MALEK BIN MOHAMED HANAFIAH,MALE,,9155,,PAS,AHMAD TAJUDDIN MAT JALI MD. JELANI,MALE,,2393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57_N. 14,PERAK,P. 57,TAIPING,N. 14,POKOK ASSAM,BN - MCA,,26065,4828,66.33,17289,42,461,16786,MCA,HO CHENG WANG,MALE,,10807,,,,,,,,,,,,,,,,,,,,DAP,LIM YAN CHIOW,,,5979,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57_N. 15,PERAK,P. 57,TAIPING,N. 15,AULONG,BN - GERAKAN,,25486,6336,73.39,18704,1475,749,16480,GERAKAN,YAP KIEW @ YAP PENG LAN,MALE,,11225,,,,,,,,,,,,,,,,,,,,DAP,AHMED BIN AKI,MALE,,4889,,,,,,,,INDEPENDENT,NG CHAI HOR @ HWANG CHAI HOR,,,366,LOST DEPOSIT,,,,,,,,,,,,
P. 58_N. 16,PERAK,P. 58,CHENDEROH,N. 16,LENGGONG,BN - UMNO,,16196,5865,66.06,10699,47,277,10375,UMNO,TALHA BIN HAJI ISMAIL,MALE,,8120,,PAS,AZIZAN BIN MOHAMED DESA,MALE,,2255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 58_N. 17,PERAK,P. 58,CHENDEROH,N. 17,LUBUK MERBAU,BN - UMNO,,18185,5449,67.04,12191,69,315,11807,UMNO,JAMAL NASIR BIN RASDI,MALE,,8628,,PAS,ABDUL MUNIM BIN HAJI MOHAMAD ZAIN,MALE,,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59_N. 18,PERAK,P. 59,SUNGAI SIPUT,N. 18,LINTANG,BN - UMNO,,20074,8381,67.51,13552,44,415,13093,UMNO,MOHAMAD PADIL BIN HARUN,MALE,,10737,,PAS,ZAWI BIN MOHD. SAMAN,MALE,,2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 59_N. 19,PERAK,P. 59,SUNGAI SIPUT,N. 19,JALONG,BN - GERAKAN,,25082,5448,67.76,16996,66,488,16442,GERAKAN,CHANG KO YOUN,MALE,,10317,,,,,,,,,,,,,,,,,,,,DAP,LIM AH GUAN @ LIM SOON GUAN,,,4869,,,,,,,,INDEPENDENT,LIEW SAM FONG,,,1256,LOST DEPOSIT,,,,,,,,,,,,
P. 60_N. 20,PERAK,P. 60,TAMBUN,N. 20,MANJOI,BN - UMNO,,30710,12906,69.72,21412,88,624,20700,UMNO,NADZRI BIN ISMAIL,MALE,,16803,,PAS,ZAINUDDIN BIN AHMAD KARIM,MALE,,3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 60_N. 21,PERAK,P. 60,TAMBUN,N. 21,HULU KINTA,BN - UMNO,,27862,12769,75.36,20997,1251,497,19249,UMNO,MAZIDAH BT. ZAKARIA,FEMALE,,16009,,,,,,,,,,,,,,S46,MEOR TERMIZI BIN MIOR YUSOF,MALE,,3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61_N. 22,PERAK,P. 61,IPOH TIMOR,N. 22,TAMAN CANNING,BN - GERAKAN,,27772,2713,69.51,19305,251,331,18723,GERAKAN,HIEW YEW CAN,,,10718,,,,,,,,,,,,,,,,,,,,DAP,M. KULASEGARAN A/L V. MURUGESON,MALE,,8005,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61_N. 23,PERAK,P. 61,IPOH TIMOR,N. 23,TEBING TINGGI,BN - MCA,,21303,1441,61.06,13009,42,214,12753,MCA,CHEW WAI KHOON,,,7097,,,,,,,,,,,,,,,,,,,,DAP,KERK KIM HOCK,MALE,,5656,,,,,,,,,,,,,,,,,,,,,,,,,
P. 61_N. 24,PERAK,P. 61,IPOH TIMOR,N. 24,PASIR PINJI,BN - MCA,,24757,1209,68.34,16919,51,275,16593,MCA,CHAN KAM,,,8901,,,,,,,,,,,,,,,,,,,,DAP,CHOO SING CHYE,,,7692,,,,,,,,,,,,,,,,,,,,,,,,,
P. 62_N. 25,PERAK,P. 62,IPOH BARAT,N. 25,BERCHAM,BN - MCA,,33442,4183,70.27,23501,227,573,22701,MCA,TAN CHIN MENG,,,13442,,,,,,,,,,,,,,,,,,,,DAP,WONG YOON CHOONG,,,9259,,,,,,,,,,,,,,,,,,,,,,,,,
P. 62_N. 26,PERAK,P. 62,IPOH BARAT,N. 26,BUNTONG,BN - MCA,,33060,5627,67.63,22359,89,435,21835,MCA,YIK PHOOI HONG,MALE,,13731,,,,,,,,,,,,,,,,,,,,DAP,CHEN TIAM SEONG,,,8104,,,,,,,,,,,,,,,,,,,,,,,,,
P. 63_N. 27,PERAK,P. 63,BATU GAJAH,N. 27,MENGLEMBU,BN - MCA,,28790,1750,71.58,20607,36,621,19950,MCA,LIEW KAY CHAY @ LIEW CHOONG SANG,,,10850,,,,,,,,,,,,,,,,,,,,DAP,LAM WAI MUN,,,9100,,,,,,,,,,,,,,,,,,,,,,,,,
P. 63_N. 28,PERAK,P. 63,BATU GAJAH,N. 28,LAHAT,BN - MCA,,29655,6354,66.92,19846,121,641,19084,MCA,LEE KON YIN,,,12719,,,,,,,,,,,,,,,,,,,,DAP,YANG KAR MING,,,6365,,,,,,,,,,,,,,,,,,,,,,,,,
P. 64_N. 29,PERAK,P. 64,KUALA KANGSAR,N. 29,BUKIT CHANDAN,BN - UMNO,,16599,5885,64.39,10689,72,256,10361,UMNO,AHMAD BIN JAAFAR,MALE,,8123,,PAS,HAJI YAHYA BIN HAJI KAMARUZZAMAN,MALE,,2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 64_N. 30,PERAK,P. 64,KUALA KANGSAR,N. 30,MANONG,BN - UMNO,,15416,5580,66.81,10300,45,301,9954,UMNO,RAMLY BIN ZAHARI,MALE,,7767,,PAS,MUHAMMAD BIN HARON,MALE,,2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65_N. 31,PERAK,P. 65,BERUAS,N. 31,PENGKALAN BAHARU,BN - UMNO,,16724,4299,65.03,10876,28,383,10465,UMNO,HAMDI BIN ABU BAKAR,MALE,,7382,,,,,,,,,,,,,,S46,KAMARUDIN BIN AWANG TEH,MALE,,3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 65_N. 32,PERAK,P. 65,BERUAS,N. 32,PANTAI REMIS,BN - MCA,,25583,3160,66.44,16997,47,390,16560,MCA,WONG CHONG SANG,,,9645,,,,,,,,,,,,,,,,,,,,DAP,NGO TICK WONG,,,6485,,,,,,,,INDEPENDENT,TAN KIAT SENG @ SHUK YIK,,,430,LOST DEPOSIT,,,,,,,,,,,,
P. 66_N. 33,PERAK,P. 66,PARIT,N. 33,BELANJA,BN - UMNO,,16684,4814,66.26,11055,29,310,10716,UMNO,MOHD. ZAIM BIN ABU HASSAN,MALE,,7765,,PAS,ABU HASSAN BIN JOHOR,MALE,,2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
